id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
53835,Agalteca,4052,FM,97,HN,city,,,14.45000000,-87.26667000,Agalteca,1029,America/Tegucigalpa,"{""br"":""Agalteca"",""ko"":""아갈테카"",""pt-BR"":""Agalteca"",""pt"":""Agalteca"",""nl"":""Agalteca"",""hr"":""Agalteca"",""fa"":""آگالتکا"",""de"":""Agalteca"",""es"":""Agalteca"",""fr"":""Agalteca"",""ja"":""アガルテカ"",""it"":""Agalteca"",""zh-CN"":""阿加尔特卡"",""tr"":""Agalteca"",""ru"":""Агалтека"",""uk"":""Агальтека"",""pl"":""Agalteca"",""hi"":""अगाल्टिका"",""ar"":""أغالتيكا""}",2019-10-06T09:53:28,2025-12-02T14:39:31,1,Q1018877
53836,Agua Azul,4046,CR,97,HN,city,,,14.91667000,-87.96667000,Agua Azul,1079,America/Tegucigalpa,"{""br"":""Agua Azul"",""ko"":""아과 아줄"",""pt-BR"":""Água Azul"",""pt"":""Água Azul"",""nl"":""Blauw water"",""hr"":""Agua Azul"",""fa"":""آگوا آزول"",""de"":""Agua Azul"",""es"":""Agua Azul"",""fr"":""Eau bleue"",""ja"":""アグア・アズール"",""it"":""Agua Azul"",""zh-CN"":""阿瓜阿祖尔"",""tr"":""Mavi su"",""ru"":""Агуа Асуль"",""uk"":""Агуа Азул"",""pl"":""Woda Agua Azul"",""hi"":""अगुआ अज़ुल"",""ar"":""أغوا أزول""}",2019-10-06T09:53:28,2025-12-02T14:38:56,1,Q1018877
53837,Agua Azul Rancho,4046,CR,97,HN,city,,,14.90000000,-87.95000000,Agua Azul Rancho,1043,America/Tegucigalpa,"{""br"":""Agua Azul Rancho"",""ko"":""아과 아줄 란초"",""pt-BR"":""Rancho Água Azul"",""pt"":""Rancho Água Azul"",""nl"":""Agua Azul Rancho"",""hr"":""Agua Azul Rancho"",""fa"":""آگوا آزول رانچو"",""de"":""Agua Azul Rancho"",""es"":""Rancho Agua Azul"",""fr"":""Rancho Agua Azul"",""ja"":""アグア・アズール・ランチョ"",""it"":""Agua Azul Rancho"",""zh-CN"":""阿瓜阿苏尔牧场"",""tr"":""Agua Azul Çiftliği"",""ru"":""Агуа Асул Ранчо"",""uk"":""Агуа Азул Ранчо"",""pl"":""Agua Azul Rancho"",""hi"":""अगुआ अज़ुल रैंचो"",""ar"":""أغوا أزول رانشو""}",2019-10-06T09:53:28,2025-12-02T14:38:56,1,Q1018877
53838,Agua Blanca Sur,4057,YO,97,HN,city,,,15.25000000,-87.88333000,Agua Blanca Sur,8463,America/Tegucigalpa,"{""br"":""Agua Blanca Sur"",""ko"":""아과 블랑카 수르"",""pt-BR"":""Água Branca Sul"",""pt"":""Água Branca Sul"",""nl"":""Agua Blanca Sur"",""hr"":""Agua Blanca Sur"",""fa"":""آگوا بلانکا سور"",""de"":""Agua Blanca Sur"",""es"":""Agua Blanca Sur"",""fr"":""Agua Blanca Sur"",""ja"":""アグアブランカ・スル"",""it"":""Agua Blanca Sur"",""zh-CN"":""南阿瓜布兰卡"",""tr"":""Agua Blanca Sur"",""ru"":""Агуа Бланка Сур"",""uk"":""Агуа Бланка Сур"",""pl"":""Woda Biała Sur"",""hi"":""अगुआ ब्लैंका सुर"",""ar"":""أغوا بلانكا سور""}",2019-10-06T09:53:28,2025-12-02T14:38:56,1,Q1018877
53839,Agua Caliente,4049,CP,97,HN,city,,,14.88333000,-88.81667000,Agua Caliente,1075,America/Tegucigalpa,"{""br"":""Agua Caliente"",""ko"":""아과 칼리엔테"",""pt-BR"":""Água Caliente"",""pt"":""Água Caliente"",""nl"":""Warm water"",""hr"":""Agua Caliente"",""fa"":""آگوا کالینته"",""de"":""Agua Caliente"",""es"":""Agua Caliente"",""fr"":""Eau chaude"",""ja"":""アグア・カリエンテ"",""it"":""Acqua calda"",""zh-CN"":""阿瓜卡连特"",""tr"":""Sıcak Su"",""ru"":""Агуа Кальенте"",""uk"":""Агуа-Кальєнте"",""pl"":""Woda Caliente"",""hi"":""अगुआ कैलिएंटे"",""ar"":""مياه كالينتي""}",2019-10-06T09:53:28,2025-12-02T14:39:31,1,Q1018877
53840,Agua Fría,4055,VA,97,HN,city,,,13.46889000,-87.55111000,Agua Fría,3196,America/Tegucigalpa,"{""br"":""Agua Fría"",""ko"":""아과 프라이아"",""pt-BR"":""Água Fria"",""pt"":""Água Fria"",""nl"":""Agua Fria"",""hr"":""Agua Fría"",""fa"":""آگوا فریا"",""de"":""Agua Fría"",""es"":""Agua Fría"",""fr"":""Eau froide"",""ja"":""アグア・フリア"",""it"":""Acqua Fría"",""zh-CN"":""阿瓜弗里亚"",""tr"":""Agua Fria"",""ru"":""Агуа Фриа"",""uk"":""Агуа Фріа"",""pl"":""Woda Fría"",""hi"":""अगुआ फ्रिया"",""ar"":""أغوا فريا""}",2019-10-06T09:53:28,2025-12-02T14:39:31,1,Q1018877
53841,Agualote,4053,SB,97,HN,city,,,15.33528000,-88.55306000,Agualota,1759,America/Tegucigalpa,"{""br"":""Agualote"",""ko"":""아구알로테"",""pt-BR"":""Agualote"",""pt"":""Agualote"",""nl"":""Agualot"",""hr"":""Agualote"",""fa"":""آگوالوته"",""de"":""Agualote"",""es"":""Agualote"",""fr"":""Agualote"",""ja"":""アグアロテ"",""it"":""Agualote"",""zh-CN"":""阿瓜洛特"",""tr"":""Agualot"",""ru"":""Агуалоте"",""uk"":""Агуалоте"",""pl"":""Agualote"",""hi"":""अगुआलोटे"",""ar"":""أغوالوتي""}",2019-10-06T09:53:28,2025-12-02T14:39:31,1,Q1018877
53842,Aguanqueterique,4058,LP,97,HN,city,,,13.98606000,-87.64622000,Aguanqueterique,4738,America/Tegucigalpa,"{""br"":""Aguanqueterique"",""ko"":""아구안케테리크"",""pt-BR"":""Aguanqueterique"",""pt"":""Aguanqueterique"",""nl"":""Aguanqueterique"",""hr"":""Aguanqueterique"",""fa"":""آگوانکتریک"",""de"":""Aguanqueterique"",""es"":""Aguanqueterique"",""fr"":""Aguanqueterique"",""ja"":""アグアンケテリケ"",""it"":""Aguanqueterique"",""zh-CN"":""阿瓜克特里克"",""tr"":""Aguanqueterique"",""ru"":""Агуанкетерике"",""uk"":""Агуанкетерік"",""pl"":""Aguanqueterique"",""hi"":""अगुआनक्वेटेरिक"",""ar"":""أجوانكيتريك""}",2019-10-06T09:53:28,2025-12-02T17:11:50,1,Q1018877
53843,Aguas del Padre,4042,CM,97,HN,city,,,14.56667000,-87.88333000,Aguas del Padre,1104,America/Tegucigalpa,"{""br"":""Aguas del Padre"",""ko"":""아과스 델 파드레"",""pt-BR"":""Águas do Padre"",""pt"":""Águas do Padre"",""nl"":""Water van de Vader"",""hr"":""Aguas del Padre"",""fa"":""آگواس دل پادره"",""de"":""Aguas del Padre"",""es"":""Aguas del Padre"",""fr"":""Aguas del Padre"",""ja"":""アグアス・デル・パドレ"",""it"":""Aguas del Padre"",""zh-CN"":""阿瓜斯德尔帕德雷"",""tr"":""Padre Suları"",""ru"":""Агуас дель Падре"",""uk"":""Агуас-дель-Падре"",""pl"":""Wody Padre"",""hi"":""अगुआस डेल पाद्रे"",""ar"":""أغواس ديل بادري""}",2019-10-06T09:53:28,2025-12-02T14:38:56,1,Q1018877
53844,Ahuas,4048,GD,97,HN,city,,,15.46923000,-84.34479000,Ahorcado,8095,America/Tegucigalpa,"{""br"":""Ahuas"",""ko"":""아후아스"",""pt-BR"":""Ahuas"",""pt"":""Ahuas"",""nl"":""Ahuas"",""hr"":""Ahua"",""fa"":""آهواس"",""de"":""Ahuas"",""es"":""Ahuas"",""fr"":""Ahuas"",""ja"":""アウアス"",""it"":""Ahuas"",""zh-CN"":""阿瓦斯"",""tr"":""Ahualar"",""ru"":""Ахуа"",""uk"":""Ахуас"",""pl"":""Ahuas"",""hi"":""अहुआस"",""ar"":""أهواس""}",2019-10-06T09:53:28,2025-12-02T17:11:50,1,Q2393126
53845,Ajuterique,4042,CM,97,HN,city,,,14.38333000,-87.70000000,Atúrico,11356,America/Tegucigalpa,"{""br"":""Ajuterique"",""ko"":""아주테리크"",""pt-BR"":""Ajuterique"",""pt"":""Ajuterique"",""nl"":""Ajuterique"",""hr"":""Ajuterique"",""fa"":""آجوتریک"",""de"":""Ajuterique"",""es"":""Ajuterique"",""fr"":""Ajuterique"",""ja"":""アジュテリック"",""it"":""Ajuterique"",""zh-CN"":""阿朱特里克"",""tr"":""Yardımcı"",""ru"":""Ajuterique"",""uk"":""Ажутерік"",""pl"":""Ajuterique"",""hi"":""अजुटेरिक"",""ar"":""أجوتيريكي""}",2019-10-06T09:53:28,2025-12-02T17:11:50,1,Q762654
53846,Alauca,4043,EP,97,HN,city,,,13.84020000,-86.69526000,Alauca,9109,America/Tegucigalpa,"{""br"":""Alauca"",""ko"":""알라우카"",""pt-BR"":""Alauca"",""pt"":""Alauca"",""nl"":""Alauca"",""hr"":""Alauca"",""fa"":""آلائوکا"",""de"":""Alauca"",""es"":""Alauca"",""fr"":""Alauca"",""ja"":""アラウカ"",""it"":""Alauca"",""zh-CN"":""阿劳卡"",""tr"":""Alauca"",""ru"":""Алаука"",""uk"":""Алаука"",""pl"":""Alauca"",""hi"":""अलौका"",""ar"":""ألاوكا""}",2019-10-06T09:53:28,2025-12-02T17:11:50,1,Q762654
