id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
54380,Andrijaševci,741,16,55,HR,adm2,,,45.22472000,18.73806000,Andrijaševci,1749,Europe/Zagreb,"{""br"":""Andrijaševci"",""ko"":""안드리야셰프치"",""pt-BR"":""Andrijaševci"",""pt"":""Andrijaševci"",""nl"":""Andrijaševci"",""hr"":""Andrijaševci"",""fa"":""آندریاشفچی"",""de"":""Andrijaševci"",""es"":""Andrijaševci"",""fr"":""Andrijaševci"",""ja"":""アンドリヤシェヴツィ"",""it"":""Andrijaševci"",""zh-CN"":""安德里亚舍夫齐"",""tr"":""Andrijaševci"",""ru"":""Андрияшевцы"",""uk"":""Андріяшевці"",""pl"":""Andrijaševci"",""hi"":""एंड्रीजाशेवसी"",""ar"":""أندرياشيفتشي""}",2019-10-06T09:53:31,2025-12-02T14:39:31,1,Q1277314
54381,Antunovac,740,14,55,HR,adm2,,,45.49083000,18.67500000,Antunovac,2036,Europe/Zagreb,"{""br"":""Antunovac"",""ko"":""안투노박"",""pt-BR"":""Antunovac"",""pt"":""Antunovac"",""nl"":""Antunovac"",""hr"":""Antunovac"",""fa"":""آنتونوواک"",""de"":""Antunovac"",""es"":""Antunovac"",""fr"":""Antunovac"",""ja"":""アントゥノヴァツ"",""it"":""Antunovac"",""zh-CN"":""安图诺瓦茨"",""tr"":""Antunovac"",""ru"":""Антуновак"",""uk"":""Антуновац"",""pl"":""Antunovac"",""hi"":""एंटुनोवाक"",""ar"":""أنتونوفاتش""}",2019-10-06T09:53:31,2025-12-02T14:39:31,1,Q1277283
54382,Babina Greda,741,16,55,HR,adm2,,,45.11722000,18.53694000,Babina Greda,2762,Europe/Zagreb,"{""br"":""Babina Greda"",""ko"":""바비나 그레다"",""pt-BR"":""Babina Greda"",""pt"":""Babina Greda"",""nl"":""Babina Greda"",""hr"":""Babina Greda"",""fa"":""بابینا گردا"",""de"":""Babina Greda"",""es"":""Babina Greda"",""fr"":""Babina Greda"",""ja"":""バビナ・グレダ"",""it"":""Babina Greda"",""zh-CN"":""巴比娜·格雷达"",""tr"":""Babina Greda"",""ru"":""Бабина Греда"",""uk"":""Бабина Греда"",""pl"":""Babina Greda"",""hi"":""बबीना ग्रेडा"",""ar"":""بابينا جريدا""}",2019-10-06T09:53:31,2025-12-02T14:38:56,1,Q797704
54383,Bakar,735,08,55,HR,adm2,,,45.30861000,14.53028000,Bakar,1187,Europe/Zagreb,"{""br"":""Bakar"",""ko"":""바카르"",""pt-BR"":""Bakar"",""pt"":""Bakar"",""nl"":""Bakar"",""hr"":""Bakar"",""fa"":""باکار"",""de"":""Bakar"",""es"":""Bakar"",""fr"":""Bakar"",""ja"":""バカール"",""it"":""Bakar"",""zh-CN"":""巴卡尔"",""tr"":""Bakar"",""ru"":""Бакар"",""uk"":""Бакар"",""pl"":""Bakar"",""hi"":""बाकर"",""ar"":""بكار""}",2019-10-06T09:53:31,2025-12-02T14:39:31,1,Q740324
54384,Bale,743,18,55,HR,adm2,,,45.04056000,13.78361000,Bala,1170,Europe/Zagreb,"{""br"":""Bale"",""ko"":""곤포"",""pt-BR"":""Fardo"",""pt"":""Fardo"",""nl"":""Baal"",""hr"":""Bale"",""fa"":""بیل"",""de"":""Ballen"",""es"":""Bala"",""fr"":""Balle"",""ja"":""ベール"",""it"":""Balla"",""zh-CN"":""包"",""tr"":""Balya"",""ru"":""Бейл"",""uk"":""Бейл"",""pl"":""Bela"",""hi"":""गांठ"",""ar"":""بالة""}",2019-10-06T09:53:31,2025-12-02T14:38:56,1,Q519226
54385,Bale-Valle,743,18,55,HR,adm2,,,45.04089000,13.78565000,Bala,,Europe/Zagreb,"{""br"":""Bale-Valle"",""ko"":""베일-발레"",""pt-BR"":""Bale-Vale"",""pt"":""Bale-Vale"",""nl"":""Bale-Valle"",""hr"":""Bale-Valle"",""fa"":""بیل-وال"",""de"":""Bale-Valle"",""es"":""Bale-Valle"",""fr"":""Bale-Valle"",""ja"":""バレ・ヴァッレ"",""it"":""Bale-Valle"",""zh-CN"":""贝尔-瓦莱"",""tr"":""Bale-Vadisi"",""ru"":""Бале-Валле"",""uk"":""Бале-Валле"",""pl"":""Dolina Bale"",""hi"":""बेल-वैले"",""ar"":""بيل فالي""}",2019-10-06T09:53:31,2025-12-02T17:11:50,1,Q519226
54386,Banjol,735,08,55,HR,city,,,44.75000000,14.78333000,Bajd,1708,Europe/Zagreb,"{""br"":""Banjol"",""ko"":""반졸"",""pt-BR"":""Banjol"",""pt"":""Banjol"",""nl"":""Banjol"",""hr"":""Banjol"",""fa"":""بانجول"",""de"":""Banjol"",""es"":""Banjol"",""fr"":""Banjol"",""ja"":""バンジョール"",""it"":""Banjol"",""zh-CN"":""班卓尔"",""tr"":""Banjol"",""ru"":""Баньол"",""uk"":""Банджол"",""pl"":""Banjol"",""hi"":""बंजोल"",""ar"":""بانجول""}",2019-10-06T09:53:31,2025-12-02T17:11:50,1,Q790050
54387,Batrina,737,12,55,HR,city,,,45.18944000,17.66639000,star,861,Europe/Zagreb,"{""br"":""Batrina"",""ko"":""바트리나"",""pt-BR"":""Batrina"",""pt"":""Batrina"",""nl"":""Batrina"",""hr"":""Batrina"",""fa"":""باترینا"",""de"":""Batrina"",""es"":""Batrina"",""fr"":""Batrina"",""ja"":""バトリーナ"",""it"":""Batrina"",""zh-CN"":""巴特里娜"",""tr"":""Batrina"",""ru"":""Батрина"",""uk"":""Батріна"",""pl"":""Batrina"",""hi"":""बत्रिना"",""ar"":""باترينا""}",2019-10-06T09:53:31,2025-12-02T14:38:56,1,Q2170112
54388,Baška,735,08,55,HR,adm2,,,44.97028000,14.75333000,Baška,899,Europe/Zagreb,"{""br"":""Baška"",""ko"":""바슈카"",""pt-BR"":""Baska"",""pt"":""Baska"",""nl"":""Baska"",""hr"":""Baška"",""fa"":""باشکا"",""de"":""Baska"",""es"":""Baska"",""fr"":""Baška"",""ja"":""バシュカ"",""it"":""Baška"",""zh-CN"":""巴斯卡"",""tr"":""Başka"",""ru"":""Башка"",""uk"":""Башка"",""pl"":""Baška"",""hi"":""बास्का"",""ar"":""باشكا""}",2019-10-06T09:53:31,2025-12-02T14:39:31,1,Q791614
54389,Baška Voda,725,17,55,HR,adm2,,,43.35694000,16.95028000,Baška voda,1766,Europe/Zagreb,"{""br"":""Baška Voda"",""ko"":""바스카 보다"",""pt-BR"":""Baska Voda"",""pt"":""Baska Voda"",""nl"":""Baška Voda"",""hr"":""Baška Voda"",""fa"":""باشکا ودا"",""de"":""Baska Voda"",""es"":""Baška Voda"",""fr"":""Baška Voda"",""ja"":""バシュカ・ヴォダ"",""it"":""Baška Voda"",""zh-CN"":""巴什卡沃达"",""tr"":""Baška Voda"",""ru"":""Башка Вода"",""uk"":""Башка-Вода"",""pl"":""Baška Voda"",""hi"":""बास्का वोडा"",""ar"":""باسكا فودا""}",2019-10-06T09:53:31,2025-12-02T14:39:31,1,Q812769
