id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
55044,Acul du Nord,4117,ND,95,HT,city,,,19.66667000,-72.28333000,L'aiguille du nord,,America/Port-au-Prince,"{""br"":""Skol an Norzh"",""ko"":""아쿨 뒤 노르"",""pt-BR"":""Acul du Nord"",""pt"":""Acul du Nord"",""nl"":""Acul du Nord"",""hr"":""Sjeverni akvarij"",""fa"":""آکول دو نورد"",""de"":""Acul du Nord"",""es"":""Acul du Nord"",""fr"":""Acul du Nord"",""ja"":""アクル・デュ・ノール"",""it"":""Acul du Nord"",""zh-CN"":""北方之门"",""tr"":""Kuzey Acul'u"",""ru"":""Acul du Nord"",""uk"":""Акул-дю-Норд"",""pl"":""Acul du Nord"",""hi"":""एकुल डू नॉर्ड"",""ar"":""أكول دو نورد""}",2019-10-06T09:53:33,2025-12-02T17:11:50,1,Q394257
55045,Ansavo,4118,NI,95,HT,city,,,18.41667000,-73.50000000,Thos,,America/Port-au-Prince,"{""br"":""Ansavo"",""ko"":""안사보"",""pt-BR"":""Ansavo"",""pt"":""Ansavo"",""nl"":""Ansavo"",""hr"":""Ansavo"",""fa"":""آنساوو"",""de"":""Ansavo"",""es"":""Ansavo"",""fr"":""Ansavo"",""ja"":""アンサボ"",""it"":""Ansavo"",""zh-CN"":""安萨沃"",""tr"":""Ansavo"",""ru"":""Ансаво"",""uk"":""Ансаво"",""pl"":""Ansavo"",""hi"":""अंसावो"",""ar"":""أنسافو""}",2019-10-06T09:53:33,2025-12-02T17:11:50,1,Q394257
55046,Anse Rouge,4123,AR,95,HT,city,,,19.63382000,-73.05530000,Anse Rouge,4437,America/Port-au-Prince,"{""br"":""Anse Rouge"",""ko"":""앙스 루즈"",""pt-BR"":""Anse Rouge"",""pt"":""Anse Rouge"",""nl"":""Anse Rouge"",""hr"":""Anse Rouge"",""fa"":""آنسه روژ"",""de"":""Anse Rouge"",""es"":""Anse Rouge"",""fr"":""Anse Rouge"",""ja"":""アンス・ルージュ"",""it"":""Anse Rouge"",""zh-CN"":""安斯鲁日"",""tr"":""Anse Rouge"",""ru"":""Анс-Руж"",""uk"":""Анс-Руж"",""pl"":""Anse Rouge"",""hi"":""एन्से रूज"",""ar"":""أنس روج""}",2019-10-06T09:53:33,2025-12-02T14:39:31,1,Q394257
55047,Anse à Galets,4120,OU,95,HT,city,,,18.83449000,-72.86644000,Anse à Galets,7178,America/Port-au-Prince,"{""br"":""Anse à Galets"",""ko"":""앙스 아 갈레"",""pt-BR"":""Anse à Galets"",""pt"":""Anse à Galets"",""nl"":""Anse à Galets"",""hr"":""Anse à Galets"",""fa"":""آنسه آ گالتس"",""de"":""Anse à Galets"",""es"":""Anse à Galets"",""fr"":""Anse à Galets"",""ja"":""アンス・ア・ガレ"",""it"":""Anse à Galets"",""zh-CN"":""加莱特湾"",""tr"":""Anse à Galets"",""ru"":""Anse à Galets"",""uk"":""Анс-а-Галетс"",""pl"":""Anse à Galets"",""hi"":""एन्से आ गैलेट्स"",""ar"":""Anse à Galets""}",2019-10-06T09:53:33,2025-12-02T14:39:31,1,Q26228056
55048,Anse-à-Pitre,4124,SE,95,HT,city,,,18.05000000,-71.75000000,Anse-à-Pitre,1736,America/Port-au-Prince,"{""br"":""Anse-à-Pitre"",""ko"":""앙세아피트르"",""pt-BR"":""Anse-à-Pitre"",""pt"":""Anse-à-Pitre"",""nl"":""Anse-à-Pitre"",""hr"":""Anse-à-Pitre"",""fa"":""آنسه-آ-پیتر"",""de"":""Anse-à-Pitre"",""es"":""Anse-à-Pitre"",""fr"":""Anse-à-Pitre"",""ja"":""アンス・ア・ピートル"",""it"":""Anse-à-Pitre"",""zh-CN"":""皮特尔湾"",""tr"":""Anse-à-Pitre"",""ru"":""Анс-а-Питр"",""uk"":""Анс-а-Пітр"",""pl"":""Anse-à-Pitre"",""hi"":""Anse-à-पित्रे"",""ar"":""أنس-آ-بيتر""}",2019-10-06T09:53:33,2025-12-02T14:38:56,1,Q2258426
55049,Anse-à-Veau,4119,GA,95,HT,city,,,18.50110000,-73.34490000,Anse-à-Veau,1731,America/Port-au-Prince,"{""br"":""Anse-à-Veau"",""ko"":""앙스아보"",""pt-BR"":""Anse-à-Veau"",""pt"":""Anse-à-Veau"",""nl"":""Anse-à-Veau"",""hr"":""Anse-à-Veau"",""fa"":""آنسه-آ-وئو"",""de"":""Anse-à-Veau"",""es"":""Anse-à-Veau"",""fr"":""Anse-à-Veau"",""ja"":""アンス・ア・ヴォー"",""it"":""Anse-à-Veau"",""zh-CN"":""安塞阿沃"",""tr"":""Anse-à-Veau"",""ru"":""Анс-а-Во"",""uk"":""Анс-а-Во"",""pl"":""Anse-à-Veau"",""hi"":""एंसे-ए-वू"",""ar"":""أنس-آ-فو""}",2019-10-06T09:53:33,2025-12-02T14:39:31,1,Q2703974
55050,Aquin,4122,SD,95,HT,city,,,18.27974000,-73.39433000,Aquin,5246,America/Port-au-Prince,"{""br"":""Aquin"",""ko"":""아퀸"",""pt-BR"":""Aquino"",""pt"":""Aquino"",""nl"":""Aquin"",""hr"":""Aquin"",""fa"":""آکوین"",""de"":""Aquin"",""es"":""Aquino"",""fr"":""Aquin"",""ja"":""アキン"",""it"":""Aquin"",""zh-CN"":""阿奎因"",""tr"":""Aquin"",""ru"":""Аквин"",""uk"":""Аквін"",""pl"":""Akwin"",""hi"":""एक्विन"",""ar"":""أكوين""}",2019-10-06T09:53:33,2025-12-02T14:39:31,1,Q2703974
55051,Arcahaie,4126,NO,95,HT,city,,,19.81667000,-72.91667000,Arcahaïe,4119,America/Port-au-Prince,"{""br"":""Arcahaie"",""ko"":""아르카하이"",""pt-BR"":""Arcahaie"",""pt"":""Arcahaie"",""nl"":""Arcahaie"",""hr"":""Arcahaie"",""fa"":""آرکاهای"",""de"":""Arcahaie"",""es"":""Arcahaie"",""fr"":""Arcahaie"",""ja"":""アルカイエ"",""it"":""Arcahaie"",""zh-CN"":""阿卡哈耶"",""tr"":""Arkahaie"",""ru"":""Аркахае"",""uk"":""Аркахай"",""pl"":""Arcahaie"",""hi"":""आर्काहाई"",""ar"":""أركاهي""}",2019-10-06T09:53:33,2025-12-02T14:39:31,1,Q2703974
55052,Arcahaie,4120,OU,95,HT,city,,,18.83333000,-72.41667000,Arcahaïe,0,America/Port-au-Prince,"{""br"":""Arcahaie"",""ko"":""아르카하이"",""pt-BR"":""Arcahaie"",""pt"":""Arcahaie"",""nl"":""Arcahaie"",""hr"":""Arcahaie"",""fa"":""آرکاهای"",""de"":""Arcahaie"",""es"":""Arcahaie"",""fr"":""Arcahaie"",""ja"":""アルカイエ"",""it"":""Arcahaie"",""zh-CN"":""阿卡哈耶"",""tr"":""Arkahaie"",""ru"":""Аркахае"",""uk"":""Аркахай"",""pl"":""Arcahaie"",""hi"":""आर्काहाई"",""ar"":""أركاهي""}",2019-10-06T09:53:33,2025-12-02T17:11:50,1,Q2703974
55053,Arrondissement de Bainet,4124,SE,95,HT,city,,,18.25000000,-72.85000000,Arrondissement de Bainet,,America/Port-au-Prince,"{""br"":""Arondisamant Bainet"",""ko"":""베네 구"",""pt-BR"":""Distrito de Bainet"",""pt"":""Distrito de Bainet"",""nl"":""Arrondissement de Bainet"",""hr"":""Okrug Bainet"",""fa"":""منطقه بینه"",""de"":""Arrondissement de Bainet"",""es"":""Distrito de Bainet"",""fr"":""Arrondissement de Bainet"",""ja"":""ベネ区"",""it"":""Arrondissement di Bainet"",""zh-CN"":""巴内特区"",""tr"":""Bainet Bölgesi"",""ru"":""Округ Байне"",""uk"":""Округ Байне"",""pl"":""Okręg Bainet"",""hi"":""Arrondissement de Bainet"",""ar"":""دائرة باينيت""}",2019-10-06T09:53:33,2025-12-02T16:59:27,1,Q2703974
