id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
55168,Aba,1044,FE,99,HU,city,,,47.02907000,18.52172000,ABA,4371,Europe/Budapest,"{""br"":""Aba"",""ko"":""아바"",""pt-BR"":""Aba"",""pt"":""Aba"",""nl"":""Aba"",""hr"":""Aba"",""fa"":""آبا"",""de"":""Aba"",""es"":""Aba"",""fr"":""Aba"",""ja"":""アバ"",""it"":""Aba"",""zh-CN"":""阿坝"",""tr"":""Aba"",""ru"":""Аба"",""uk"":""Аба"",""pl"":""Aba"",""hi"":""आबा"",""ar"":""أبا""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q304274
55169,Abasár,1040,HE,99,HU,city,,,47.79705000,20.00324000,Megszabadulás,3189,Europe/Budapest,"{""br"":""Abasár"",""ko"":""아바사르"",""pt-BR"":""Abasár"",""pt"":""Abasár"",""nl"":""Abasár"",""hr"":""Abasár"",""fa"":""اباسار"",""de"":""Abasár"",""es"":""Abasár"",""fr"":""Abasar"",""ja"":""アバサール"",""it"":""Abasár"",""zh-CN"":""阿巴萨尔"",""tr"":""Abasár"",""ru"":""Абасар"",""uk"":""Абасар"",""pl"":""Abasár"",""hi"":""अबासार"",""ar"":""أباسار""}",2019-10-06T09:53:34,2025-12-02T14:39:31,1,Q368326
55170,Abaújszántó,1058,BZ,99,HU,city,,,48.28333000,21.20000000,Abaújszántó,2671,Europe/Budapest,"{""br"":""Abaújszántó"",""ko"":""아바우이산토"",""pt-BR"":""Abaújszántó"",""pt"":""Abaújszántó"",""nl"":""Abaújszántó"",""hr"":""Abaújszántó"",""fa"":""آباویژانتو"",""de"":""Abaújszántó"",""es"":""Abaújszántó"",""fr"":""Abaújszántó"",""ja"":""アバウイザント"",""it"":""Abaújszántó"",""zh-CN"":""阿包伊桑托"",""tr"":""Abaújszántó"",""ru"":""Абауйсанто"",""uk"":""Абауйсанто"",""pl"":""Abaúujszántó"",""hi"":""अबाउज्स्ज़ांटो"",""ar"":""أباوجسانتو""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q305749
55171,Abda,1042,GS,99,HU,city,,,47.69464000,17.54489000,Abda,3155,Europe/Budapest,"{""br"":""Abda"",""ko"":""압다"",""pt-BR"":""Abda"",""pt"":""Abda"",""nl"":""Abda"",""hr"":""Abda"",""fa"":""عبدا"",""de"":""Abda"",""es"":""Abda"",""fr"":""Abda"",""ja"":""アブダ"",""it"":""Abda"",""zh-CN"":""阿布达"",""tr"":""Abda"",""ru"":""Абда"",""uk"":""Абда"",""pl"":""Abda"",""hi"":""अब्दा"",""ar"":""عبدة""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q479596
55172,Abony,1059,PE,99,HU,city,,,47.18990000,20.00476000,Abony,14603,Europe/Budapest,"{""br"":""Abony"",""ko"":""아보니"",""pt-BR"":""Abony"",""pt"":""Abony"",""nl"":""Abony"",""hr"":""Abony"",""fa"":""آبونی"",""de"":""Abony"",""es"":""Abón"",""fr"":""Abony"",""ja"":""アボニー"",""it"":""Abony"",""zh-CN"":""阿博尼"",""tr"":""Abony"",""ru"":""Эбони"",""uk"":""Абоні"",""pl"":""Abony"",""hi"":""अबोनी"",""ar"":""أبوني""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q480421
55173,Abádszalók,1043,JN,99,HU,city,,,47.46667000,20.60000000,Abádszalók,3727,Europe/Budapest,"{""br"":""Abádszalók"",""ko"":""아바드잘록"",""pt-BR"":""Abádszalók"",""pt"":""Abádszalók"",""nl"":""Abádszalók"",""hr"":""Abádszalók"",""fa"":""آبادسالوک"",""de"":""Abádszalók"",""es"":""Abádszalók"",""fr"":""Abádszalók"",""ja"":""アバドサローク"",""it"":""Abádszalók"",""zh-CN"":""阿巴德扎洛克"",""tr"":""Abádszalók"",""ru"":""Абадсалок"",""uk"":""Абадсалок"",""pl"":""Abádszalók"",""hi"":""अबादस्ज़ालोक"",""ar"":""أبادزالوك""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q336820
55174,Acsa,1059,PE,99,HU,city,,,47.79425000,19.38795000,ACSA,1320,Europe/Budapest,"{""br"":""Acsa"",""ko"":""아크사"",""pt-BR"":""Acsa"",""pt"":""Acsa"",""nl"":""Acsa"",""hr"":""Acsa"",""fa"":""آکسا"",""de"":""Acsa"",""es"":""Acsa"",""fr"":""Acsa"",""ja"":""アクサ"",""it"":""Acsa"",""zh-CN"":""阿克萨"",""tr"":""Acsa"",""ru"":""Акса"",""uk"":""Акса"",""pl"":""Acsa"",""hi"":""एसीएसए"",""ar"":""أكسا""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q482001
55175,Adony,1044,FE,99,HU,city,,,47.11940000,18.86493000,Adony,4103,Europe/Budapest,"{""br"":""Adony"",""ko"":""아도니"",""pt-BR"":""Adony"",""pt"":""Adony"",""nl"":""Adony"",""hr"":""Adony"",""fa"":""آدونی"",""de"":""Adonis"",""es"":""Adony"",""fr"":""Adony"",""ja"":""アドニー"",""it"":""Adony"",""zh-CN"":""阿多尼"",""tr"":""Adony"",""ru"":""Адоний"",""uk"":""Адоні"",""pl"":""Adony"",""hi"":""एडोनी"",""ar"":""أدوني""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q366220
55176,Adács,1040,HE,99,HU,city,,,47.69210000,19.97696000,Adács,2507,Europe/Budapest,"{""br"":""Adács"",""ko"":""아다치"",""pt-BR"":""Adács"",""pt"":""Adács"",""nl"":""Adács"",""hr"":""Adács"",""fa"":""آداکس"",""de"":""Adács"",""es"":""Adács"",""fr"":""Adács"",""ja"":""アダチ"",""it"":""Adács"",""zh-CN"":""阿达奇"",""tr"":""Adács"",""ru"":""Адач"",""uk"":""Адач"",""pl"":""Adács"",""hi"":""अडाक्स"",""ar"":""أداكس""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q506654
55177,Ajak,1045,SZ,99,HU,city,,,48.17664000,22.06273000,Hoz,3218,Europe/Budapest,"{""br"":""Ajak"",""ko"":""아작"",""pt-BR"":""Ajak"",""pt"":""Ajak"",""nl"":""Ajak"",""hr"":""Ajak"",""fa"":""آجاک"",""de"":""Ajak"",""es"":""Ajak"",""fr"":""Ajak"",""ja"":""アジャク"",""it"":""Ajak"",""zh-CN"":""阿贾克"",""tr"":""Ajak"",""ru"":""Аджак"",""uk"":""Аяк"",""pl"":""Ajak"",""hi"":""अजाक"",""ar"":""أجاك""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q554250
55178,Ajka,1054,VE,99,HU,adm2,,,47.10196000,17.55892000,Ajka,26007,Europe/Budapest,"{""br"":""Ajka"",""ko"":""아이카"",""pt-BR"":""Ajka"",""pt"":""Ajka"",""nl"":""Ajka"",""hr"":""Ajka"",""fa"":""آجکا"",""de"":""Ajka"",""es"":""Ajka"",""fr"":""Ajka"",""ja"":""アイカ"",""it"":""Ajka"",""zh-CN"":""阿伊卡"",""tr"":""Ajka"",""ru"":""Айка"",""uk"":""Айка"",""pl"":""Ajka"",""hi"":""अज्का"",""ar"":""أجكا""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q206872
55179,Ajkai Járás,1054,VE,99,HU,city,,,47.07988000,17.56375000,Ajkai Járás,,Europe/Budapest,"{""br"":""Ajkai Járás"",""ko"":""아즈카이 자라스"",""pt-BR"":""Ajkai Járás"",""pt"":""Ajkai Járás"",""nl"":""Ajkai Járás"",""hr"":""Ajkai Járás"",""fa"":""آجیکای یاراس"",""de"":""Ajkai Járás"",""es"":""Ajkai Járás"",""fr"":""Ajkai Járás"",""ja"":""アジカイ・ジャラス"",""it"":""Ajkai Járás"",""zh-CN"":""Ajkai Járás"",""tr"":""Ajkai Járás"",""ru"":""Айкай Ярас"",""uk"":""Айкай Ярас"",""pl"":""Ajkai Járás"",""hi"":""अजकाई जारस"",""ar"":""أجكاي جاراس""}",2019-10-06T09:53:34,2025-12-02T16:59:27,1,Q554544
55180,Akasztó,1048,BK,99,HU,city,,,46.69167000,19.20423000,Akasztó,3113,Europe/Budapest,"{""br"":""Akasztó"",""ko"":""아카스토"",""pt-BR"":""Akasztó"",""pt"":""Akasztó"",""nl"":""Akasztó"",""hr"":""Akasztó"",""fa"":""آکاشتو"",""de"":""Akasztó"",""es"":""Akasztó"",""fr"":""Akasztó"",""ja"":""アカストー"",""it"":""Akasztó"",""zh-CN"":""阿卡斯托"",""tr"":""Akasztó"",""ru"":""Акасто"",""uk"":""Акасто"",""pl"":""Akasztó"",""hi"":""अकास्ज़्टो"",""ar"":""أكاستو""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q555288
55181,Alap,1044,FE,99,HU,city,,,46.79915000,18.68938000,Alap,1840,Europe/Budapest,"{""br"":""Alap"",""ko"":""알라프"",""pt-BR"":""Alap"",""pt"":""Alap"",""nl"":""Alap"",""hr"":""Alap"",""fa"":""آلاپ"",""de"":""Alap"",""es"":""Alap"",""fr"":""Alap"",""ja"":""アラップ"",""it"":""Alap"",""zh-CN"":""阿拉普"",""tr"":""Alap"",""ru"":""Алап"",""uk"":""Алап"",""pl"":""Alap"",""hi"":""आलाप"",""ar"":""ألاب""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q575707
55182,Alattyán,1043,JN,99,HU,city,,,47.42705000,20.04219000,Alattyán,2060,Europe/Budapest,"{""br"":""Alattyán"",""ko"":""알라티안"",""pt-BR"":""Alattyán"",""pt"":""Alattyán"",""nl"":""Alattyán"",""hr"":""Alattyán"",""fa"":""آلاتیان"",""de"":""Alattyán"",""es"":""Alattyán"",""fr"":""Alattyán"",""ja"":""アラティアン"",""it"":""Alattyán"",""zh-CN"":""阿拉蒂扬"",""tr"":""Alattyán"",""ru"":""Алаттьян"",""uk"":""Алаттян"",""pl"":""Alattyán"",""hi"":""अलाट्यान"",""ar"":""ألاتيان""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q576157
55183,Albertirsa,1059,PE,99,HU,city,,,47.24315000,19.61686000,Albertirsa,13950,Europe/Budapest,"{""br"":""Albertirsa"",""ko"":""알베르티르사"",""pt-BR"":""Albertirsa"",""pt"":""Albertirsa"",""nl"":""Albertirsa"",""hr"":""Albertirsa"",""fa"":""آلبرتیرسا"",""de"":""Albertirsa"",""es"":""Albertirsa"",""fr"":""Albertirsa"",""ja"":""アルベルティルサ"",""it"":""Albertirsa"",""zh-CN"":""阿尔贝蒂尔萨"",""tr"":""Albertirsa"",""ru"":""Альбертирса"",""uk"":""Альбертірса"",""pl"":""Albertirsa"",""hi"":""एल्बर्टिर्सा"",""ar"":""ألبرتيرسا""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q578823
55184,Algyő,1031,CS,99,HU,city,,,46.33472000,20.20849000,Algyő,5364,Europe/Budapest,"{""br"":""Algyő"",""ko"":""알기요"",""pt-BR"":""Algyő"",""pt"":""Algyő"",""nl"":""Algyő"",""hr"":""Algyő"",""fa"":""آلگیو"",""de"":""Algyő"",""es"":""Algyő"",""fr"":""Algyő"",""ja"":""アルジェ"",""it"":""Algyő"",""zh-CN"":""阿尔盖奥"",""tr"":""Algyő"",""ru"":""Альгиё"",""uk"":""Алдьо"",""pl"":""Algyő"",""hi"":""अल्ग्यो"",""ar"":""ألجيو""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q646699
55185,Alsónémedi,1059,PE,99,HU,city,,,47.31524000,19.15843000,Alsónémedi,5584,Europe/Budapest,"{""br"":""Alsónémedi"",""ko"":""알소네메디"",""pt-BR"":""Alsonémedi"",""pt"":""Alsonémedi"",""nl"":""Alsónémedi"",""hr"":""Alsónémedi"",""fa"":""آلسونمدی"",""de"":""Alsónémedi"",""es"":""Alsónémedi"",""fr"":""Alsónémedi"",""ja"":""アルソネメディ"",""it"":""Anchemedi"",""zh-CN"":""阿尔索内梅迪"",""tr"":""Alsónémedi"",""ru"":""Альсонемеди"",""uk"":""Альсонемеді"",""pl"":""Alsónémedi"",""hi"":""अलसोनेमेडी"",""ar"":""ألسونيميد""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q253865
55186,Alsózsolca,1058,BZ,99,HU,city,,,48.06982000,20.88046000,Alsózsolca,5459,Europe/Budapest,"{""br"":""Alsózsolca"",""ko"":""알소솔차"",""pt-BR"":""Tambémzsolca"",""pt"":""Tambémzsolca"",""nl"":""Alsózsolca"",""hr"":""Alsózsolca"",""fa"":""آلسوزولکا"",""de"":""Alsózsolca"",""es"":""Alsózsolca"",""fr"":""Alsózsolca"",""ja"":""アルソソルカ"",""it"":""Alsózsolca"",""zh-CN"":""阿尔索兹索尔卡"",""tr"":""Alsózsolca"",""ru"":""Alsózsolca"",""uk"":""Альшолца"",""pl"":""Alsózsolca"",""hi"":""अलसोज़ोल्का"",""ar"":""ألسوزولكا""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q432888
55187,Anarcs,1045,SZ,99,HU,city,,,48.17642000,22.11167000,Anarcs,1841,Europe/Budapest,"{""br"":""Anarked"",""ko"":""아나크스"",""pt-BR"":""Anarcs"",""pt"":""Anarcs"",""nl"":""Anarcs"",""hr"":""Anarcs"",""fa"":""آنارک‌ها"",""de"":""Anarcs"",""es"":""Anarcos"",""fr"":""Anarcs"",""ja"":""アナルクス"",""it"":""Anarci"",""zh-CN"":""阿纳克"",""tr"":""Anarcs"",""ru"":""Анары"",""uk"":""Анарк"",""pl"":""Anarks"",""hi"":""अनार्क्स"",""ar"":""أنارك""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q699189
55188,Andornaktálya,1040,HE,99,HU,city,,,47.85000000,20.41667000,Andornaktálya,2569,Europe/Budapest,"{""br"":""Andornaktalya"",""ko"":""안도르나크탈리아"",""pt-BR"":""Andornaktálya"",""pt"":""Andornaktálya"",""nl"":""Andornaktálya"",""hr"":""Andornaktálya"",""fa"":""آندورناکتالیا"",""de"":""Andornaktálya"",""es"":""Andornaktálya"",""fr"":""Andornaktálya"",""ja"":""アンドルナクタリア"",""it"":""Andornaktálya"",""zh-CN"":""安多纳克塔利亚"",""tr"":""Andornaktálya"",""ru"":""Андорнакталья"",""uk"":""Андорнакталья"",""pl"":""Andornaktálya"",""hi"":""एंडोर्नाक्टालिया"",""ar"":""أندورناكتاليا""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q760889
55189,Apagy,1045,SZ,99,HU,city,,,47.96431000,21.93539000,Ablaktábla,2167,Europe/Budapest,"{""br"":""Apagy"",""ko"":""아파지"",""pt-BR"":""Apagia"",""pt"":""Apagia"",""nl"":""Apagie"",""hr"":""Apagija"",""fa"":""آپاگی"",""de"":""Apagie"",""es"":""Apagia"",""fr"":""Apagie"",""ja"":""アパジー"",""it"":""Apagy"",""zh-CN"":""阿帕吉"",""tr"":""Apagy"",""ru"":""Апаги"",""uk"":""Апагія"",""pl"":""Apagia"",""hi"":""अपागी"",""ar"":""أباجي""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q302032
55190,Apc,1040,HE,99,HU,city,,,47.79419000,19.69429000,APC,2421,Europe/Budapest,"{""br"":""Apc"",""ko"":""APC"",""pt-BR"":""Apc"",""pt"":""Apc"",""nl"":""Apc"",""hr"":""Apc"",""fa"":""ای پی سی"",""de"":""APC"",""es"":""Apc"",""fr"":""APC"",""ja"":""APC"",""it"":""Apc"",""zh-CN"":""装甲运兵车"",""tr"":""APC"",""ru"":""БТР"",""uk"":""Апк"",""pl"":""APC"",""hi"":""एपीसी"",""ar"":""APC""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q773393
55191,Apostag,1048,BK,99,HU,city,,,46.88208000,18.96210000,Hitehagyás,2031,Europe/Budapest,"{""br"":""Apostag"",""ko"":""아포스타그"",""pt-BR"":""Apostag"",""pt"":""Apostag"",""nl"":""Apostag"",""hr"":""Otpadništvo"",""fa"":""آپاستاگ"",""de"":""Apostag"",""es"":""Apóstol"",""fr"":""Apostag"",""ja"":""アポスタグ"",""it"":""Apostag"",""zh-CN"":""阿波斯塔格"",""tr"":""Apostag"",""ru"":""Апостаг"",""uk"":""Відступництво"",""pl"":""Apostag"",""hi"":""अपोस्टैग"",""ar"":""أبوستاج""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q516344
55192,Apátfalva,1031,CS,99,HU,city,,,46.16667000,20.58333000,Apátfalva,2799,Europe/Budapest,"{""br"":""Apátfalva"",""ko"":""아파트팔바"",""pt-BR"":""Apátfalva"",""pt"":""Apátfalva"",""nl"":""Apátfalva"",""hr"":""Apátfalva"",""fa"":""آپاتفالوا"",""de"":""Apátfalva"",""es"":""Apátfalva"",""fr"":""Apátfalva"",""ja"":""アプトファルヴァ"",""it"":""Apátfalva"",""zh-CN"":""阿帕特法尔瓦"",""tr"":""Apátfalva"",""ru"":""Апатфалва"",""uk"":""Апатфалва"",""pl"":""Apátfalva"",""hi"":""अपाटफल्वा"",""ar"":""أباتفالفا""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q774368
55193,Aranyosapáti,1045,SZ,99,HU,city,,,48.20595000,22.25916000,Aranyosapáti,2032,Europe/Budapest,"{""br"":""Aranyosapáti"",""ko"":""아라니오사파티"",""pt-BR"":""Aranyosapáti"",""pt"":""Aranyosapáti"",""nl"":""Aranyosapáti"",""hr"":""Aranyosapáti"",""fa"":""آرانیوساپاتی"",""de"":""Aranyosapáti"",""es"":""Aranyosapáti"",""fr"":""Aranyosapáti"",""ja"":""アラニョサパティ"",""it"":""Aranyosapati"",""zh-CN"":""阿兰约萨帕蒂"",""tr"":""Aranyosapáti"",""ru"":""Араньосапати"",""uk"":""Араньосапаті"",""pl"":""Aranyosapáti"",""hi"":""अरनियोसापति"",""ar"":""أرانيوساباتي""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q775775
55194,Arló,1058,BZ,99,HU,city,,,48.18333000,20.26667000,Arló,3454,Europe/Budapest,"{""br"":""Arló"",""ko"":""아를로"",""pt-BR"":""Arló"",""pt"":""Arló"",""nl"":""Arló"",""hr"":""Arló"",""fa"":""آرلو"",""de"":""Arló"",""es"":""Arló"",""fr"":""Arlo"",""ja"":""アルロ"",""it"":""Arló"",""zh-CN"":""阿洛"",""tr"":""Arló"",""ru"":""Арло"",""uk"":""Арло"",""pl"":""Arló"",""hi"":""अर्लो"",""ar"":""أرلو""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q676021
55195,Arnót,1058,BZ,99,HU,city,,,48.13058000,20.85832000,Arnót,2254,Europe/Budapest,"{""br"":""Arnót"",""ko"":""아르노트"",""pt-BR"":""Arnót"",""pt"":""Arnót"",""nl"":""Arnót"",""hr"":""Arnót"",""fa"":""آرنوت"",""de"":""Arnót"",""es"":""Arnót"",""fr"":""Arnot"",""ja"":""アルノット"",""it"":""Arnót"",""zh-CN"":""阿诺特"",""tr"":""Arnot"",""ru"":""Арнот"",""uk"":""Арнот"",""pl"":""Arnót"",""hi"":""अर्नोट"",""ar"":""أرنوت""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q697898
55196,Aszaló,1058,BZ,99,HU,city,,,48.21667000,20.96667000,Aszaló,1834,Europe/Budapest,"{""br"":""Aszaló"",""ko"":""아살로"",""pt-BR"":""Aszaló"",""pt"":""Aszaló"",""nl"":""Aszaló"",""hr"":""Aszaló"",""fa"":""آسزالو"",""de"":""Aszaló"",""es"":""Aszaló"",""fr"":""Aszaló"",""ja"":""アザロ"",""it"":""Aszaló"",""zh-CN"":""阿萨洛"",""tr"":""Aszaló"",""ru"":""Ассало"",""uk"":""Асало"",""pl"":""Aszaló"",""hi"":""अस्ज़ालो"",""ar"":""أسالو""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q668362
55197,Aszód,1059,PE,99,HU,city,,,47.65174000,19.47850000,Aszód,6096,Europe/Budapest,"{""br"":""Aszód"",""ko"":""아조드"",""pt-BR"":""Aszód"",""pt"":""Aszód"",""nl"":""Aszód"",""hr"":""Aszód"",""fa"":""آسود"",""de"":""Aszód"",""es"":""Aszód"",""fr"":""Aszód"",""ja"":""アゾッド"",""it"":""Aszód"",""zh-CN"":""阿佐德"",""tr"":""Aszód"",""ru"":""Асод"",""uk"":""Ашод"",""pl"":""Aszód"",""hi"":""अस्ज़ोड"",""ar"":""أسزود""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q752838
55198,Aszódi Járás,1059,PE,99,HU,city,,,47.64738000,19.54240000,Aszódi Járás,,Europe/Budapest,"{""br"":""Aszódi Járás"",""ko"":""아조디 자라스"",""pt-BR"":""Aszódi Járás"",""pt"":""Aszódi Járás"",""nl"":""Aszódi Járás"",""hr"":""Aszódi Járás"",""fa"":""آسودی جراس"",""de"":""Aszódi Járás"",""es"":""Aszódi Járás"",""fr"":""Aszódi Járás"",""ja"":""Aszódi Járás"",""it"":""Aszódi Járás"",""zh-CN"":""阿索迪·哈拉斯"",""tr"":""Aszódi Járás"",""ru"":""Асзоди Ярас"",""uk"":""Аседі Яраш"",""pl"":""Aszódi Járás"",""hi"":""असज़ोदी जारस"",""ar"":""أسزودي جاراس""}",2019-10-06T09:53:34,2025-12-02T17:11:50,1,Q779802
55199,Babócsa,1035,SO,99,HU,city,,,46.04155000,17.34332000,Babócsa,1877,Europe/Budapest,"{""br"":""Babócsa"",""ko"":""바보츠아"",""pt-BR"":""Babócsa"",""pt"":""Babócsa"",""nl"":""Babócsa"",""hr"":""Babócsa"",""fa"":""بابوکسا"",""de"":""Babócsa"",""es"":""Babócsa"",""fr"":""Babócsa"",""ja"":""バボチャ"",""it"":""Babócsa"",""zh-CN"":""巴博查"",""tr"":""Babócsa"",""ru"":""Бабоча"",""uk"":""Бабоча"",""pl"":""Babócsa"",""hi"":""बाबोक्सा"",""ar"":""بابوكسا""}",2019-10-06T09:53:34,2025-12-02T14:39:31,1,Q733421
55200,Badacsonytomaj,1054,VE,99,HU,city,,,46.80711000,17.51385000,Badacsonytomaj,2101,Europe/Budapest,"{""br"":""Badacsonytomaj"",""ko"":""바다초니토마즈"",""pt-BR"":""Badacsonytomaj"",""pt"":""Badacsonytomaj"",""nl"":""Badacsonytomaj"",""hr"":""Badacsonytomaj"",""fa"":""باداکسونیتوماج"",""de"":""Badacsonytomaj"",""es"":""Badacsonytomaj"",""fr"":""Badacsonytomaj"",""ja"":""バダチョニトマイ"",""it"":""Badacsonytomaj"",""zh-CN"":""巴达克索尼托马伊"",""tr"":""Badacsonytomaj"",""ru"":""Badacsonytomaj"",""uk"":""Бадачоньтомай"",""pl"":""Badacsonytomaj"",""hi"":""बैडाक्सोनीटोमाज"",""ar"":""باداكسونيوتوماي""}",2019-10-06T09:53:34,2025-12-02T14:38:56,1,Q788322
