id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
56173,Abepura,1798,PA,102,ID,adm3,,,-2.59640000,140.63240000,Abepura,62248,Asia/Jayapura,"{""br"":""Abepura"",""ko"":""아베푸라"",""pt-BR"":""Abepura"",""pt"":""Abepura"",""nl"":""Abepura"",""hr"":""Abepura"",""fa"":""آبپورا"",""de"":""Abepura"",""es"":""Abepura"",""fr"":""Abepura"",""ja"":""アベプラ"",""it"":""Abepura"",""zh-CN"":""阿贝普拉"",""tr"":""Abepura"",""ru"":""Абепура"",""uk"":""Абепура"",""pl"":""Abepura"",""hi"":""जयापुरा"",""ar"":""أبيبورا""}",2019-10-06T09:53:37,2025-12-02T14:39:55,1,Q383063
56174,Adiwerna,1802,JT,102,ID,city,,,-6.93750000,109.13250000,Adiwerna,134188,Asia/Jakarta,"{""br"":""Adiwerna"",""ko"":""아디베르나"",""pt-BR"":""Adiwerna"",""pt"":""Adiwerna"",""nl"":""Adiwerna"",""hr"":""Adiwerna"",""fa"":""آدیورنا"",""de"":""Adiwerna"",""es"":""Adiwerna"",""fr"":""Adiwerna"",""ja"":""アディウェルナ"",""it"":""Adiwerna"",""zh-CN"":""阿迪韦纳"",""tr"":""Adiwerna"",""ru"":""Адиверна"",""uk"":""Адіверна"",""pl"":""Adiwerna"",""hi"":""आदिवेर्ना"",""ar"":""أديويرنا""}",2019-10-06T09:53:37,2025-12-02T14:39:31,1,Q25017837
56175,Amahai,1800,MA,102,ID,city,,,-3.33984000,128.91975000,Amahai,47653,Asia/Jayapura,"{""br"":""Amahai"",""ko"":""아마하이"",""pt-BR"":""Amahai"",""pt"":""Amahai"",""nl"":""Amahai"",""hr"":""Amahai"",""fa"":""آماهی"",""de"":""Amahai"",""es"":""Amahai"",""fr"":""Amahai"",""ja"":""アマハイ"",""it"":""Amahai"",""zh-CN"":""阿玛海"",""tr"":""Amahai"",""ru"":""Амахай"",""uk"":""Амахай"",""pl"":""Amahai"",""hi"":""अमहा"",""ar"":""أماهاي""}",2019-10-06T09:53:37,2025-12-02T14:39:55,1,Q25017837
56176,Ambarawa,1802,JT,102,ID,city,,,-7.26333000,110.39750000,Ambarawa,63193,Asia/Jakarta,"{""br"":""Ambarawa"",""ko"":""암바라와"",""pt-BR"":""Ambarawa"",""pt"":""Ambarawa"",""nl"":""Ambarawa"",""hr"":""Ambarawa"",""fa"":""امباراوا"",""de"":""Ambarawa"",""es"":""Ambarawa"",""fr"":""Ambarawa"",""ja"":""アンバラワ"",""it"":""Ambarawa"",""zh-CN"":""安巴拉瓦"",""tr"":""Ambarawa"",""ru"":""Амбарава"",""uk"":""Амбарава"",""pl"":""Ambarawa"",""hi"":""अंबरवा"",""ar"":""أمباراوا""}",2019-10-06T09:53:37,2025-12-02T14:39:31,1,Q25017837
56177,Ambarita,1792,SU,102,ID,adm3,,,2.68140000,98.83110000,Ambarita,2000,Asia/Jakarta,"{""br"":""Ambarita"",""ko"":""암바리타"",""pt-BR"":""Ambarita"",""pt"":""Ambarita"",""nl"":""Ambarita"",""hr"":""Ambarita"",""fa"":""آمباریتا"",""de"":""Ambarita"",""es"":""Ambarita"",""fr"":""Ambarita"",""ja"":""アンバリタ"",""it"":""Ambarita"",""zh-CN"":""安巴里塔"",""tr"":""Ambarita"",""ru"":""Амбарита"",""uk"":""Амбаріта"",""pl"":""Ambarita"",""hi"":""अम्बरीता"",""ar"":""أمباريتا""}",2019-10-06T09:53:37,2025-12-02T14:39:31,1,Q25017837
56178,Ambon,1800,MA,102,ID,adm1,,,-3.69583000,128.18333000,Ambon,372249,Asia/Jayapura,"{""br"":""Ambon"",""ko"":""암본"",""pt-BR"":""Ambon"",""pt"":""Ambon"",""nl"":""Ambon"",""hr"":""Ambon"",""fa"":""آمبون"",""de"":""Ambon"",""es"":""Ambón"",""fr"":""Ambon"",""ja"":""アンボン"",""it"":""Ambon"",""zh-CN"":""安汶"",""tr"":""Ambon"",""ru"":""Амбон"",""uk"":""Амбон"",""pl"":""Ambon"",""hi"":""अम्बॉन"",""ar"":""أمبون""}",2019-10-06T09:53:37,2025-12-02T14:39:55,1,Q18970
56179,Amlapura,1826,BA,102,ID,adm2,,,-8.45000000,115.61667000,Amlapura,31869,Asia/Makassar,"{""br"":""Amlapura"",""ko"":""암라푸라"",""pt-BR"":""Amlapura"",""pt"":""Amlapura"",""nl"":""Amlapura"",""hr"":""Amlapura"",""fa"":""آملاپورا"",""de"":""Amlapura"",""es"":""Amlapura"",""fr"":""Amlapura"",""ja"":""アムラプラ"",""it"":""Amlapura"",""zh-CN"":""阿姆拉普拉"",""tr"":""Amlapura"",""ru"":""Амлапура"",""uk"":""Амлапура"",""pl"":""Amlapura"",""hi"":""अमलापुरा"",""ar"":""أملابورا""}",2019-10-06T09:53:37,2025-12-02T14:39:55,1,Q18970
56181,Amuntai,1819,KS,102,ID,city,,,-2.41773000,115.24941000,Amuntai,55560,Asia/Makassar,"{""br"":""Amuntai"",""ko"":""아문타이"",""pt-BR"":""Amuntai"",""pt"":""Amuntai"",""nl"":""Amuntai"",""hr"":""Amuntai"",""fa"":""آمونتای"",""de"":""Amuntai"",""es"":""Amuntai"",""fr"":""Amuntaï"",""ja"":""アムンタイ"",""it"":""Amuntai"",""zh-CN"":""阿蒙泰"",""tr"":""Amuntai"",""ru"":""Амонтай"",""uk"":""Амунтай"",""pl"":""Amuntai"",""hi"":""अमुंताई"",""ar"":""أمونتاي""}",2019-10-06T09:53:37,2025-12-02T14:39:55,1,Q18970
56182,Arjawinangun,1825,JB,102,ID,city,,,-6.64528000,108.41028000,Arjawinangun,105845,Asia/Jakarta,"{""br"":""Arjawinangun"",""ko"":""아르자위낭군"",""pt-BR"":""Arjawinangun"",""pt"":""Arjawinangun"",""nl"":""Arjawinangun"",""hr"":""Arjawinangun"",""fa"":""آرجاوینانگون"",""de"":""Arjawinangun"",""es"":""Arjawinangun"",""fr"":""Arjawinangun"",""ja"":""アルジャウィナングン"",""it"":""Arjawinangun"",""zh-CN"":""阿尔贾维南贡"",""tr"":""Arjawinangun"",""ru"":""Арджавинангун"",""uk"":""Арджавінангун"",""pl"":""Arjawinangun"",""hi"":""अर्जाविनांगुन"",""ar"":""أرجوينانغون""}",2019-10-06T09:53:37,2025-12-02T14:38:56,1,Q25016835
56183,Astanajapura,1825,JB,102,ID,city,,,-6.80170000,108.63110000,Antilles Belanda,148047,Asia/Jakarta,"{""br"":""Astanajapura"",""ko"":""아스타나자푸라"",""pt-BR"":""Astanajapura"",""pt"":""Astanajapura"",""nl"":""Astanajapura"",""hr"":""Astanajapura"",""fa"":""آستاناجاپورا"",""de"":""Astanajapura"",""es"":""Astanápura"",""fr"":""Astanajapura"",""ja"":""アスタナジャプラ"",""it"":""Astanajapura"",""zh-CN"":""阿斯塔纳加普拉"",""tr"":""Astanajapura"",""ru"":""Астанаджапура"",""uk"":""Астанаджапура"",""pl"":""Astanajapura"",""hi"":""अस्तानाजापुरा"",""ar"":""أستاناجابورا""}",2019-10-06T09:53:37,2025-12-02T14:39:31,1,Q25016302
