id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
57434,Abū Ghaush,1370,JM,106,IL,city,,,31.80592000,35.10930000,אבו גאוש,7698,Asia/Jerusalem,"{""br"":""Abū Ghaush"",""ko"":""아부 가우쉬"",""pt-BR"":""Abu Ghaush"",""pt"":""Abu Ghaush"",""nl"":""Abū Ghaush"",""hr"":""Abu Ghaush"",""fa"":""ابو غوش"",""de"":""Abū Ghaush"",""es"":""Abu Ghaush"",""fr"":""Abū Ghaush"",""ja"":""アブ・ガウシュ"",""it"":""Abū Ghaush"",""zh-CN"":""阿布·加什"",""tr"":""Ebu Ghaush"",""ru"":""Абу Гауш"",""uk"":""Абу Гауш"",""pl"":""Abū Ghaush"",""hi"":""अबू ग़ौश"",""ar"":""أبو غوش""}",2019-10-06T09:53:42,2025-12-02T14:39:31,1,Q335023
57435,Acre,1366,Z,106,IL,city,,,32.92814000,35.07647000,אַקְר,48900,Asia/Jerusalem,"{""br"":""Acre"",""ko"":""에이커"",""pt-BR"":""Acre"",""pt"":""Acre"",""nl"":""Acre"",""hr"":""Jutro"",""fa"":""هکتار"",""de"":""Acre"",""es"":""Acre"",""fr"":""Acre"",""ja"":""エーカー"",""it"":""Acro"",""zh-CN"":""英亩"",""tr"":""Dönüm"",""ru"":""Акр"",""uk"":""Акр"",""pl"":""Akr"",""hi"":""एकड़"",""ar"":""فدان""}",2019-10-06T09:53:42,2025-12-02T14:38:56,1,Q126084
57436,Afula,1366,Z,106,IL,city,,,32.60907000,35.28920000,עפולה,44930,Asia/Jerusalem,"{""br"":""Afula"",""ko"":""아풀라"",""pt-BR"":""Afula"",""pt"":""Afula"",""nl"":""Afula"",""hr"":""Afula"",""fa"":""آفولا"",""de"":""Afula"",""es"":""Afula"",""fr"":""Afoula"",""ja"":""アフラ"",""it"":""Afula"",""zh-CN"":""阿富拉"",""tr"":""Afula"",""ru"":""Афула"",""uk"":""Афула"",""pl"":""Afula"",""hi"":""अफुला"",""ar"":""العفولة""}",2019-10-06T09:53:42,2025-12-02T14:39:31,1,Q152462
57437,Arad,1368,D,106,IL,city,,,31.25882000,35.21282000,ערד,24436,Asia/Jerusalem,"{""br"":""Arad"",""ko"":""아라드"",""pt-BR"":""Arad"",""pt"":""Arad"",""nl"":""Arad"",""hr"":""Arad"",""fa"":""آراد"",""de"":""Arad"",""es"":""Arad"",""fr"":""Arad"",""ja"":""アラド"",""it"":""Arad"",""zh-CN"":""阿拉德"",""tr"":""Arad"",""ru"":""Арад"",""uk"":""Арад"",""pl"":""Arad"",""hi"":""अराद"",""ar"":""أراد""}",2019-10-06T09:53:42,2025-12-02T14:38:56,1,Q152473
57438,Ashdod,1368,D,106,IL,city,,,31.79213000,34.64966000,אשדוד,225939,Asia/Jerusalem,"{""br"":""Asdod"",""ko"":""아스돗"",""pt-BR"":""Asdode"",""pt"":""Asdode"",""nl"":""Asdod"",""hr"":""Ašdod"",""fa"":""اشدود"",""de"":""Aschdod"",""es"":""Asdod"",""fr"":""Ashdod"",""ja"":""アシュドッド"",""it"":""Ashdod"",""zh-CN"":""阿什杜德"",""tr"":""Aşdod"",""ru"":""Ашдод"",""uk"":""Ашдод"",""pl"":""Aszdod"",""hi"":""अशदोद"",""ar"":""أشدود""}",2019-10-06T09:53:42,2025-12-02T14:38:56,1,Q171639
57439,Ashkelon,1368,D,106,IL,city,,,31.66926000,34.57149000,אשקלון,141000,Asia/Jerusalem,"{""br"":""Askelon"",""ko"":""아스켈론"",""pt-BR"":""Ascalão"",""pt"":""Ascalão"",""nl"":""Asjkelon"",""hr"":""Aškelon"",""fa"":""اشکلون"",""de"":""Aschkelon"",""es"":""Ascalón"",""fr"":""Ashkelon"",""ja"":""アシュケロン"",""it"":""Ascalona"",""zh-CN"":""阿什凯隆"",""tr"":""Aşkelon"",""ru"":""Ашкелон"",""uk"":""Ашкелон"",""pl"":""Aszkelon"",""hi"":""अश्कलोन"",""ar"":""عسقلان""}",2019-10-06T09:53:42,2025-12-02T14:38:56,1,Q60956
57440,Atlit,1369,HA,106,IL,city,,,32.68889000,34.94236000,עתלית,10474,Asia/Jerusalem,"{""br"":""Atlit"",""ko"":""아틀릿"",""pt-BR"":""Atlit"",""pt"":""Atlit"",""nl"":""Atlit"",""hr"":""Atlit"",""fa"":""آتلیت"",""de"":""Atlit"",""es"":""Atlit"",""fr"":""Atlit"",""ja"":""アトリット"",""it"":""Atlit"",""zh-CN"":""阿特利特"",""tr"":""Atlit"",""ru"":""Атлит"",""uk"":""Атліт"",""pl"":""Atlit"",""hi"":""एटलिट"",""ar"":""أتليت""}",2019-10-06T09:53:42,2025-12-02T14:38:56,1,Q757398
57441,Azor,1371,TA,106,IL,city,,,32.02430000,34.80632000,אזור,13481,Asia/Jerusalem,"{""br"":""Azor"",""ko"":""아조르"",""pt-BR"":""Azor"",""pt"":""Azor"",""nl"":""Azor"",""hr"":""Azor"",""fa"":""آزور"",""de"":""Azor"",""es"":""Azor"",""fr"":""Azor"",""ja"":""アゾール"",""it"":""Azor"",""zh-CN"":""亚所"",""tr"":""Azor"",""ru"":""Азор"",""uk"":""Азор"",""pl"":""Azor"",""hi"":""अज़ोर"",""ar"":""أزور""}",2019-10-06T09:53:42,2025-12-02T14:38:56,1,Q952186
57442,Basmat Ṭab‘ūn,1366,Z,106,IL,city,,,32.73898000,35.15716000,בסמת טאבון,7916,Asia/Jerusalem,"{""br"":""Basmat Ṭab‘ūn"",""ko"":""바스마트 타브운"",""pt-BR"":""Basmat Ṭab‘ūn"",""pt"":""Basmat Ṭab‘ūn"",""nl"":""Basmat Ṭab‘ūn"",""hr"":""Basmat Tab'ūn"",""fa"":""بسمه تبعون"",""de"":""Basmat Ṭab‘ūn"",""es"":""Basmat Tab‘ūn"",""fr"":""Basmat Ṭab‘ūn"",""ja"":""バスマット・タブーン"",""it"":""Basmat Ṭab‘ūn"",""zh-CN"":""巴斯马特·塔布‘ūn"",""tr"":""Basmat Ṭab‘ūn"",""ru"":""Басмат Таб‘ун"",""uk"":""Басмат Табун"",""pl"":""Basmat Ṭab‘ūn"",""hi"":""बासमत Ṭab‘ūn"",""ar"":""بسمة طبعون""}",2019-10-06T09:53:42,2025-12-02T14:39:31,1,Q2651477
57443,Bat Yam,1371,TA,106,IL,city,,,32.02379000,34.75185000,בת ים,128800,Asia/Jerusalem,"{""br"":""Bat Yam"",""ko"":""바트얌"",""pt-BR"":""Bat Yam"",""pt"":""Bat Yam"",""nl"":""Bat Yam"",""hr"":""Bat Jam"",""fa"":""بت یام"",""de"":""Bat Yam"",""es"":""Bat Yam"",""fr"":""Bat Yam"",""ja"":""バットヤム"",""it"":""Bat Yam"",""zh-CN"":""巴特亚姆"",""tr"":""Yarasa Yam"",""ru"":""Бат-Ям"",""uk"":""Бат-Ям"",""pl"":""Bat Jam"",""hi"":""बैट यम"",""ar"":""بات يام""}",2019-10-06T09:53:42,2025-12-02T14:38:56,1,Q208725
