id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
154082,Andreas,5303,01,136,IM,parish,,,54.36841400,-4.52114630,Andreas,,Europe/Isle_of_Man,"{""br"":""Andreas"",""ko"":""안드레아스"",""pt-BR"":""Andréas"",""pt"":""Andréas"",""nl"":""Andreas"",""hr"":""Andreas"",""fa"":""آندریاس"",""de"":""Andreas"",""es"":""Andreas"",""fr"":""Andréas"",""ja"":""アンドレアス"",""it"":""Andreas"",""zh-CN"":""安德烈亚斯"",""tr"":""Andreas"",""ru"":""Андреас"",""uk"":""Андреас"",""pl"":""Andreas"",""hi"":""एंड्रियास"",""ar"":""أندرياس""}",2024-10-15T03:43:46,2025-12-02T15:23:28,1,Q2484746
154083,Bride,5303,01,136,IM,parish,,,54.38316570,-4.40803560,Bride,,Europe/Isle_of_Man,"{""br"":""Plac'h nevez"",""ko"":""신부"",""pt-BR"":""Noiva"",""pt"":""Noiva"",""nl"":""Bruid"",""hr"":""Nevjesta"",""fa"":""عروس"",""de"":""Braut"",""es"":""Novia"",""fr"":""Mariée"",""ja"":""花嫁"",""it"":""Sposa"",""zh-CN"":""新娘"",""tr"":""Gelin"",""ru"":""Невеста"",""uk"":""Наречена"",""pl"":""Panna młoda"",""hi"":""दुल्हन"",""ar"":""زوجة""}",2024-10-15T03:43:46,2025-12-02T15:23:28,1,Q2925151
154084,Lezayre,5303,01,136,IM,parish,,,54.29621930,-4.53110150,Lezay,,Europe/Isle_of_Man,"{""br"":""Lezayre"",""ko"":""르자이르"",""pt-BR"":""Lezayre"",""pt"":""Lezayre"",""nl"":""Lezayre"",""hr"":""Lezayre"",""fa"":""لزیر"",""de"":""Lezayre"",""es"":""Lezayre"",""fr"":""Lezayre"",""ja"":""レゼール"",""it"":""Lezayre"",""zh-CN"":""莱扎尔"",""tr"":""Lezayre"",""ru"":""Лезайр"",""uk"":""Лезер"",""pl"":""Lezayre"",""hi"":""लेज़ायरे"",""ar"":""ليزير""}",2024-10-15T03:43:46,2025-12-02T15:23:28,1,Q3237456
154085,Lonan,5304,02,136,IM,parish,,,54.22104520,-4.50103060,Lonan,,Europe/Isle_of_Man,"{""br"":""Lonan"",""ko"":""로난"",""pt-BR"":""Lonan"",""pt"":""Lonan"",""nl"":""Lonan"",""hr"":""Lonan"",""fa"":""لونان"",""de"":""Lonan"",""es"":""Lonan"",""fr"":""Lonan"",""ja"":""ロナン"",""it"":""Lonan"",""zh-CN"":""洛南"",""tr"":""Lonan"",""ru"":""Лонан"",""uk"":""Лонан"",""pl"":""Lonan"",""hi"":""लोनन"",""ar"":""لونان""}",2024-10-15T03:49:24,2025-12-02T15:23:28,1,Q3258914
154086,Maughold,5304,02,136,IM,parish,,,54.25494540,-4.51223490,Maughold,,Europe/Isle_of_Man,"{""br"":""Maughold"",""ko"":""모홀드"",""pt-BR"":""Maughold"",""pt"":""Maughold"",""nl"":""Maughold"",""hr"":""Maughold"",""fa"":""موگولد"",""de"":""Maughold"",""es"":""Maughold"",""fr"":""Maughold"",""ja"":""モーホールド"",""it"":""Maughold"",""zh-CN"":""莫霍尔德"",""tr"":""Maughold"",""ru"":""Моугольд"",""uk"":""Могольд"",""pl"":""Maughold"",""hi"":""मॉगहोल्ड"",""ar"":""موهولد""}",2024-10-15T03:49:24,2025-12-02T15:23:28,1,Q2734578
154087,Onchan,5304,02,136,IM,parish,,,54.19815080,-4.54908980,Onchan,,Europe/Isle_of_Man,"{""br"":""Onchan"",""ko"":""온찬"",""pt-BR"":""Onchan"",""pt"":""Onchan"",""nl"":""Onchan"",""hr"":""Ončan"",""fa"":""اونچان"",""de"":""Onchan"",""es"":""Onchan"",""fr"":""Onchan"",""ja"":""おんちゃん"",""it"":""Onchan"",""zh-CN"":""昂坎"",""tr"":""Onchan"",""ru"":""Ончан"",""uk"":""Ончан"",""pl"":""Onchan"",""hi"":""ओनचन"",""ar"":""أونتشان""}",2024-10-15T03:49:24,2025-12-02T15:23:28,1,Q7091958
154088,German,5305,03,136,IM,parish,,,54.21871450,-4.70652730,German,,Europe/Isle_of_Man,"{""br"":""alamaneg"",""ko"":""독일 사람"",""pt-BR"":""Alemão"",""pt"":""Alemão"",""nl"":""Duits"",""hr"":""njemački"",""fa"":""آلمانی"",""de"":""Deutsch"",""es"":""Alemán"",""fr"":""Allemand"",""ja"":""ドイツ語"",""it"":""tedesco"",""zh-CN"":""德语"",""tr"":""Almanca"",""ru"":""немецкий"",""uk"":""Німецька"",""pl"":""niemiecki"",""hi"":""जर्मन"",""ar"":""الألمانية""}",2024-10-15T03:52:39,2025-12-02T15:23:28,1,Q2734574
154089,Ballaugh,5306,04,136,IM,parish,,,54.30481210,-4.62075260,Ballaugh,,Europe/Isle_of_Man,"{""br"":""Ballaugh"",""ko"":""발로프"",""pt-BR"":""Ballaugh"",""pt"":""Ballaugh"",""nl"":""Ballaugh"",""hr"":""Ballaugh"",""fa"":""بالاو"",""de"":""Ballaugh"",""es"":""Ballaugh"",""fr"":""Ballaugh"",""ja"":""バロー"",""it"":""Ballaugh"",""zh-CN"":""巴拉夫"",""tr"":""Ballaugh"",""ru"":""Баллах"",""uk"":""Балло"",""pl"":""Ballaugh"",""hi"":""बैलाघ"",""ar"":""بالاو""}",2024-10-15T03:54:37,2025-12-02T15:23:28,1,Q2734562
154090,Jurby,5306,04,136,IM,parish,,,54.35905280,-4.54065860,Jurby,,Europe/Isle_of_Man,"{""br"":""Jurby"",""ko"":""저비"",""pt-BR"":""Jurby"",""pt"":""Jurby"",""nl"":""Jurby"",""hr"":""Jurby"",""fa"":""جوربی"",""de"":""Jurby"",""es"":""Jurby"",""fr"":""Jurby"",""ja"":""ジャービー"",""it"":""Jurby"",""zh-CN"":""朱比"",""tr"":""Jurby"",""ru"":""Джерби"",""uk"":""Джурбі"",""pl"":""Jurby"",""hi"":""जुर्बी"",""ar"":""جوربي""}",2024-10-15T03:54:37,2025-12-02T15:23:28,1,Q2734559
154091,Michael,5306,04,136,IM,parish,,,54.27427780,-4.64273250,Michael,,Europe/Isle_of_Man,"{""br"":""Mikael"",""ko"":""남자 이름"",""pt-BR"":""Miguel"",""pt"":""Miguel"",""nl"":""Michaël"",""hr"":""Mihael"",""fa"":""مایکل"",""de"":""Michael"",""es"":""Miguel"",""fr"":""Michel"",""ja"":""マイケル"",""it"":""Michele"",""zh-CN"":""迈克尔"",""tr"":""Michael"",""ru"":""Майкл"",""uk"":""Майкл"",""pl"":""Michał"",""hi"":""माइकल"",""ar"":""مايكل""}",2024-10-15T03:54:37,2025-12-02T15:23:28,1,Q2734562
