id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
134473,Abu Ghraib,3959,BG,104,IQ,district,,,33.29194000,44.06919000,قضاء أبو غريب,190000,Asia/Baghdad,"{""br"":""Distrig Abu Ghraib"",""ko"":""아부그라이브 지구"",""pt-BR"":""Distrito de Abu Ghraib"",""pt"":""Distrito de Abu Ghraib"",""nl"":""Abu Ghraib-district"",""hr"":""Okrug Abu Ghraib"",""fa"":""منطقه ابوغریب"",""de"":""Abu Ghraib Bezirk"",""es"":""Distrito de Abu Ghraib"",""fr"":""District d'Abou Ghraib"",""ja"":""アブグレイブ地区"",""it"":""Distretto di Abu Ghraib"",""zh-CN"":""阿布格莱布区"",""tr"":""Ebu Gureyb Bölgesi"",""ru"":""Район Абу-Грейб"",""uk"":""Район Абу-Грейб"",""pl"":""Dystrykt Abu Ghraib"",""hi"":""अबू ग़रीब जिला"",""ar"":""قضاء أبو غريب""}",2019-10-06T10:39:01,2025-12-02T17:03:53,1,Q1637459
134474,Abū Ghurayb,3959,BG,104,IQ,adm2,,,33.30563000,44.18477000,أبو غريب,900000,Asia/Baghdad,"{""br"":""Abū Ghurayb"",""ko"":""아부 구라이브"",""pt-BR"":""Abu Ghurayb"",""pt"":""Abu Ghurayb"",""nl"":""Abū Ghurayb"",""hr"":""Abu Ghurayb"",""fa"":""ابوغریب"",""de"":""Abū Ghurayb"",""es"":""Abu Ghurayb"",""fr"":""Abū Ghurayb"",""ja"":""アブー・グライブ"",""it"":""Abū Ghurayb"",""zh-CN"":""阿布·古莱布"",""tr"":""Ebu Gurayb"",""ru"":""Абу Гурейб"",""uk"":""Абу Гурайб"",""pl"":""Abū Ghurayb"",""hi"":""अबू ग़ुरैब"",""ar"":""أبو غريب""}",2019-10-06T10:39:01,2025-12-02T14:39:31,1,Q335021
134475,Ad Dujayl,3961,SD,104,IQ,city,,,33.84667000,44.23444000,الدجيل,26362,Asia/Baghdad,"{""br"":""Ad Dujayl"",""ko"":""애드 두자일"",""pt-BR"":""Anúncio Dujayl"",""pt"":""Anúncio Dujayl"",""nl"":""Ad Dujayl"",""hr"":""Ad Dujayl"",""fa"":""اد دجیل"",""de"":""Ad Dujayl"",""es"":""Ad Dujayl"",""fr"":""Ad Dujayl"",""ja"":""アド・デュジャイル"",""it"":""Ad Dujayl"",""zh-CN"":""杜贾伊尔"",""tr"":""Ad Dujayl"",""ru"":""Ад-Дуджейль"",""uk"":""Ад Дуджайл"",""pl"":""Ad Dujayl"",""hi"":""अद दुजायल"",""ar"":""الدجيل""}",2019-10-06T10:39:01,2025-12-02T14:39:31,1,Q988430
134476,Ad Dīwānīyah,3956,QA,104,IQ,adm1,,,31.99289000,44.92552000,الديوانية,318801,Asia/Baghdad,"{""br"":""Ad Dīwānīyah"",""ko"":""아드 디와니야"",""pt-BR"":""Ad Dīwānīyah"",""pt"":""Ad Dīwānīyah"",""nl"":""Ad Dīwānīyah"",""hr"":""Ad Divanija"",""fa"":""دیوانیه"",""de"":""Ad Dīwānīyah"",""es"":""Ad Dīwānīyah"",""fr"":""Ad Diwaniyah"",""ja"":""アド・ディワーニーヤ"",""it"":""Ad Dīwānīyah"",""zh-CN"":""迪瓦尼亚"",""tr"":""Ad Dīwānīyah"",""ru"":""Ad Dīwānīyah"",""uk"":""Ад Діванія"",""pl"":""Ad Dīwānīyah"",""hi"":""Ad Dīwānīyah"",""ar"":""الديوانية""}",2019-10-06T10:39:01,2025-12-02T14:39:31,1,Q694939
134477,Al Başrah al Qadīmah,3960,BA,104,IQ,section,,,30.50316000,47.81507000,البصرة القديمة,2015483,Asia/Baghdad,"{""br"":""Al Başrah al Qadīmah"",""ko"":""알 바스라 알 카디마"",""pt-BR"":""Al Başrah al Qadīmah"",""pt"":""Al Başrah al Qadīmah"",""nl"":""Al Başrah al Qadīmah"",""hr"":""Al Bašra al-Kadima"",""fa"":""البشرة القدیمة"",""de"":""Al Başrah al Qadīmah"",""es"":""Al Basora al Qadīmah"",""fr"":""Al Basrah al Qadīmah"",""ja"":""アル・バシュラ・アル・カディーマ"",""it"":""Al Başrah al Qadīmah"",""zh-CN"":""巴士拉·卡迪马"",""tr"":""Al Başrah al Qadīmah"",""ru"":""Аль-Башра аль-Кадима"",""uk"":""Аль-Басра-аль-Кадіма"",""pl"":""Al Başrah al Qadīmah"",""hi"":""अल बसरा अल क़दीमा"",""ar"":""البصرة القديمة""}",2019-10-06T10:39:01,2025-12-02T14:39:31,1,Q694939
134478,Al Fallūjah,3964,AN,104,IQ,adm2,,,33.34913000,43.78599000,الفلوجة,190159,Asia/Baghdad,"{""br"":""Al Fallūjah"",""ko"":""알 팔루자"",""pt-BR"":""Al Fallūjah"",""pt"":""Al Fallūjah"",""nl"":""Al Fallūjah"",""hr"":""Al Fallujah"",""fa"":""فلوجه"",""de"":""Al Fallūjah"",""es"":""Al Faluya"",""fr"":""Al Falloujah"",""ja"":""アル・ファルージャ"",""it"":""Al Fallūjah"",""zh-CN"":""费卢杰"",""tr"":""El Felluce"",""ru"":""Аль-Фаллуджа"",""uk"":""Аль-Фаллуджа"",""pl"":""Al Fallūjah"",""hi"":""अल फ़ल्लूजा"",""ar"":""الفلوجة""}",2019-10-06T10:39:01,2025-12-02T14:39:31,1,Q191170
134479,Al Fāw,3960,BA,104,IQ,adm2,,,29.97421000,48.47309000,الفاو,104569,Asia/Baghdad,"{""br"":""Al Fāw"",""ko"":""알 파우"",""pt-BR"":""Al Fāw"",""pt"":""Al Fāw"",""nl"":""Al Fāw"",""hr"":""Al Faw"",""fa"":""فاو"",""de"":""Al Fāw"",""es"":""Al Faw"",""fr"":""Al Fāw"",""ja"":""アル・ファウ"",""it"":""Al Fāw"",""zh-CN"":""法乌"",""tr"":""Al Faw"",""ru"":""Аль-Фау"",""uk"":""Аль-Фау"",""pl"":""Al Fāw"",""hi"":""अल फाव"",""ar"":""الفاو""}",2019-10-06T10:39:01,2025-12-02T14:39:31,1,Q1164081
134480,Al Hindīyah,3957,KA,104,IQ,adm2,,,32.54671000,44.22765000,الهندية,,Asia/Baghdad,"{""br"":""Al Hindīyah"",""ko"":""알 힌디야"",""pt-BR"":""Al Hindīyah"",""pt"":""Al Hindīyah"",""nl"":""Al Hindīyah"",""hr"":""Al Hindiyah"",""fa"":""الهندیه"",""de"":""Al Hindīyah"",""es"":""Al Hindīyah"",""fr"":""Al Hindīyah"",""ja"":""アル・ヒンディーヤ"",""it"":""Al Hindīyah"",""zh-CN"":""兴都教"",""tr"":""El Hindiyah"",""ru"":""Аль-Хиндия"",""uk"":""Аль-Хіндія"",""pl"":""Al Hindīyah"",""hi"":""अल हिंदियाह"",""ar"":""الهندية""}",2019-10-06T10:39:01,2025-12-02T17:11:50,1,Q2617657
134481,Al Hārithah,3960,BA,104,IQ,section,,,30.58481000,47.76114000,الحارثة,92395,Asia/Baghdad,"{""br"":""Al Hārithah"",""ko"":""알 하리타"",""pt-BR"":""Al Harithah"",""pt"":""Al Harithah"",""nl"":""Al Hārithah"",""hr"":""Al-Harita"",""fa"":""حارثه"",""de"":""Al Hārithah"",""es"":""Al Harithah"",""fr"":""Al-Hārithah"",""ja"":""アル・ハリサ"",""it"":""Al Hārithah"",""zh-CN"":""哈里萨"",""tr"":""El Harishah"",""ru"":""Аль-Харита"",""uk"":""Аль-Харіта"",""pl"":""Al Harithah"",""hi"":""अल हरीथा"",""ar"":""الحارثة""}",2019-10-06T10:39:01,2025-12-02T14:39:31,1,Q2617657
134482,Al Kūt,3970,WA,104,IQ,adm1,,,32.51280000,45.81817000,الكوت,315162,Asia/Baghdad,"{""br"":""Al Kūt"",""ko"":""알 쿠트"",""pt-BR"":""Al Kūt"",""pt"":""Al Kūt"",""nl"":""Al Kūt"",""hr"":""Al Kūt"",""fa"":""الکوت"",""de"":""Al Kūt"",""es"":""Al Kūt"",""fr"":""Al Kūt"",""ja"":""アル・クート"",""it"":""Al Kūt"",""zh-CN"":""库特"",""tr"":""Al Kūt"",""ru"":""Аль-Кут"",""uk"":""Аль-Кут"",""pl"":""Al Kūt"",""hi"":""अल कुट"",""ar"":""الكوت""}",2019-10-06T10:39:01,2025-12-02T14:39:31,1,Q328030
