id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
134555,Abadan,3917,06,103,IR,city,,,30.33920000,48.30430000,عابد,370180,Asia/Tehran,"{""br"":""Abadan"",""ko"":""아바단"",""pt-BR"":""Abadan"",""pt"":""Abadan"",""nl"":""Abadan"",""hr"":""Abadan"",""fa"":""آبادان"",""de"":""Abadan"",""es"":""Abadán"",""fr"":""Abadan"",""ja"":""アバダン"",""it"":""Abadan"",""zh-CN"":""阿巴丹"",""tr"":""Abadan"",""ru"":""Абадан"",""uk"":""Абадан"",""pl"":""Abadan"",""hi"":""अबादान"",""ar"":""عبادان""}",2019-10-06T10:39:02,2025-12-02T14:39:31,1,Q63049
134556,Abhar,3925,19,103,IR,adm2,,,36.14680000,49.21800000,موضوع,69889,Asia/Tehran,"{""br"":""Abhar"",""ko"":""아바르"",""pt-BR"":""Abhar"",""pt"":""Abhar"",""nl"":""Abhar"",""hr"":""Abhar"",""fa"":""ابهر"",""de"":""Abhar"",""es"":""Abhar"",""fr"":""Abhar"",""ja"":""アバール"",""it"":""Abhar"",""zh-CN"":""阿布哈尔"",""tr"":""Abhar"",""ru"":""Абхар"",""uk"":""Абхар"",""pl"":""Abhar"",""hi"":""अभार"",""ar"":""أبهر""}",2019-10-06T10:39:02,2025-12-02T14:39:31,1,Q643359
134557,Abrisham,3923,10,103,IR,city,,,32.55613000,51.57325000,ابیشام,22429,Asia/Tehran,"{""br"":""Abrisham"",""ko"":""아브리샴"",""pt-BR"":""Abrisham"",""pt"":""Abrisham"",""nl"":""Abrisham"",""hr"":""Abrisham"",""fa"":""ابریشم"",""de"":""Abrisham"",""es"":""Abrisham"",""fr"":""Abrisham"",""ja"":""アブリシャム"",""it"":""Abrisham"",""zh-CN"":""阿布里舍姆"",""tr"":""Abrisham"",""ru"":""Абришам"",""uk"":""Абрішам"",""pl"":""Abrisham"",""hi"":""अब्रीशम"",""ar"":""أبريشام""}",2019-10-06T10:39:02,2025-12-02T14:38:56,1,Q2614216
134558,Aghajari,3917,06,103,IR,city,,,30.70060000,49.83150000,اگجاری,21785,Asia/Tehran,"{""br"":""Aghajari"",""ko"":""아가자리"",""pt-BR"":""Aghajari"",""pt"":""Aghajari"",""nl"":""Aghajari"",""hr"":""Aghajari"",""fa"":""آغاجاری"",""de"":""Aghajari"",""es"":""Aghajari"",""fr"":""Aghajari"",""ja"":""アガジャリ"",""it"":""Aghajari"",""zh-CN"":""阿加贾里"",""tr"":""Aghajari"",""ru"":""Агаджари"",""uk"":""Агхаджарі"",""pl"":""Aghajari"",""hi"":""अघाजारी"",""ar"":""أغاجاري""}",2019-10-06T10:39:02,2025-12-02T14:39:31,1,Q889045
134559,Ahar,3944,03,103,IR,adm2,,,38.47740000,47.06990000,عیاشی,100641,Asia/Tehran,"{""br"":""Ahar"",""ko"":""아하르"",""pt-BR"":""Ahar"",""pt"":""Ahar"",""nl"":""Ahar"",""hr"":""Ahar"",""fa"":""اهر"",""de"":""Ahar"",""es"":""Ahar"",""fr"":""Ahar"",""ja"":""アハル"",""it"":""Ahar"",""zh-CN"":""阿哈尔"",""tr"":""Ahar"",""ru"":""Ахар"",""uk"":""Ахар"",""pl"":""Ahar"",""hi"":""आहाड़"",""ar"":""أهار""}",2019-10-06T10:39:02,2025-12-02T14:38:56,1,Q911727
134560,Ahram,3932,18,103,IR,adm2,,,28.88260000,51.27460000,قمری,0,Asia/Tehran,"{""br"":""Ahram"",""ko"":""아흐람"",""pt-BR"":""Ahram"",""pt"":""Ahram"",""nl"":""Ahram"",""hr"":""Ahram"",""fa"":""اهرام"",""de"":""Ahram"",""es"":""Ahram"",""fr"":""Ahram"",""ja"":""アハラム"",""it"":""Ahram"",""zh-CN"":""金字塔报"",""tr"":""Ahram"",""ru"":""Ахрам"",""uk"":""Ахрам"",""pl"":""Ahram"",""hi"":""अहरम"",""ar"":""الأهرام""}",2019-10-06T10:39:02,2025-12-02T14:39:31,1,Q968057
134561,Ahvaz,3917,06,103,IR,adm1,,,31.31901000,48.68420000,آهواز,841145,Asia/Tehran,"{""br"":""Ahvaz"",""ko"":""아바즈"",""pt-BR"":""Ahvaz"",""pt"":""Ahvaz"",""nl"":""Ahvaz"",""hr"":""Ahvaz"",""fa"":""اهواز"",""de"":""Ahvaz"",""es"":""Ahvaz"",""fr"":""Ahvaz"",""ja"":""アフヴァーズ"",""it"":""Ahvaz"",""zh-CN"":""阿瓦士"",""tr"":""Ahvaz"",""ru"":""Ахваз"",""uk"":""Ахваз"",""pl"":""Ahwaz"",""hi"":""उसके बाद अह्वाज़"",""ar"":""الأهواز""}",2019-10-06T10:39:02,2025-12-02T14:39:31,1,Q170366
134562,Akbarabad,3939,07,103,IR,city,,,29.24640000,52.77930000,اکبارباد,5837,Asia/Tehran,"{""br"":""Akbarabad"",""ko"":""아크바라바드"",""pt-BR"":""Akbarabad"",""pt"":""Akbarabad"",""nl"":""Akbarabad"",""hr"":""Akbarabad"",""fa"":""اکبرآباد"",""de"":""Akbarabad"",""es"":""Akbarabad"",""fr"":""Akbarabad"",""ja"":""アクバラバード"",""it"":""Akbarabad"",""zh-CN"":""阿克巴拉巴德"",""tr"":""Akbarabad"",""ru"":""Акбарабад"",""uk"":""Акбарабад"",""pl"":""Akbarabad"",""hi"":""अकबराबाद"",""ar"":""أكبر آباد""}",2019-10-06T10:39:02,2025-12-02T14:38:56,1,Q170366
134563,Alborz,3941,26,103,IR,adm2,,,36.18861000,50.07829000,البرز,0,Asia/Tehran,"{""br"":""Alborz"",""ko"":""알보르즈"",""pt-BR"":""Alborz"",""pt"":""Alborz"",""nl"":""Alborz"",""hr"":""Alborz"",""fa"":""البرز"",""de"":""Elburs"",""es"":""Alborz"",""fr"":""Alborz"",""ja"":""アルボルズ"",""it"":""Alborz"",""zh-CN"":""厄尔布尔士"",""tr"":""Elburz"",""ru"":""Альборз"",""uk"":""Альборз"",""pl"":""Alborz"",""hi"":""अल्बोर्ज़"",""ar"":""البرز""}",2019-10-06T10:39:02,2025-12-02T17:11:50,1,Q170366
134564,Aleshtar,3928,15,103,IR,adm2,,,33.86419000,48.26258000,الشتار,33558,Asia/Tehran,"{""br"":""Aleshtar"",""ko"":""알레슈타르"",""pt-BR"":""Aleshtar"",""pt"":""Aleshtar"",""nl"":""Aleshtar"",""hr"":""Aleštar"",""fa"":""الشتر"",""de"":""Aleshtar"",""es"":""Aleshtar"",""fr"":""Aleshtar"",""ja"":""アレシュタル"",""it"":""Aleshtar"",""zh-CN"":""阿莱什塔尔"",""tr"":""Aleshtar"",""ru"":""Алештар"",""uk"":""Алештар"",""pl"":""Alesztar"",""hi"":""अलेश्टर"",""ar"":""أليشتر""}",2019-10-06T10:39:02,2025-12-02T14:38:56,1,Q967701
