id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
135161,Akrahreppur,5559,BOG,100,IS,city,,,65.35505000,-18.79572000,Akrahreppur,,Atlantic/Reykjavik,"{""ar"":""أكراهريبور"",""br"":""Akrahreppur"",""de"":""Akrahreppur"",""es"":""Akrahreppur"",""fa"":""آکراهرپپور"",""fr"":""Akrahreppur"",""hi"":""अकरहरेपुर"",""hr"":""Akrahreppur"",""it"":""Akrahreppur"",""ja"":""アクラレプル"",""ko"":""아크라레푸르"",""nl"":""Akrahreppur"",""pl"":""Akrahreppur"",""pt"":""Akrahreppur"",""pt-BR"":""Akrahreppur"",""ru"":""Акрахреппур"",""tr"":""Akrahreppur"",""uk"":""Акрахреппур"",""zh-CN"":""阿克拉雷普尔""}",2019-10-05T23:39:05,2025-12-02T16:59:27,1,Q420730
135162,Akranes,5554,AKN,100,IS,adm2,,,64.32179000,-22.07490000,Akranes,8285,Atlantic/Reykjavik,"{""ar"":""أكرانيس"",""br"":""Akranes"",""de"":""Akranes"",""es"":""Akranes"",""fa"":""اکرانس"",""fr"":""Akranes"",""hi"":""अक्रानेस"",""hr"":""Akranes"",""it"":""Akranes"",""ja"":""アクラネース"",""ko"":""아크라네스"",""nl"":""Akranes"",""pl"":""Akranes"",""pt"":""Akranes"",""pt-BR"":""Akranes"",""ru"":""Акранес"",""tr"":""Akranes"",""uk"":""Акранес"",""zh-CN"":""阿克拉内斯""}",2019-10-05T23:39:05,2025-12-02T14:38:56,1,Q107398
135163,Akureyri,5555,AKU,100,IS,adm1,,,65.68353000,-18.08780000,Akureyri,20050,Atlantic/Reykjavik,"{""ar"":""أكوريري"",""br"":""Akureyri"",""de"":""Akureyri"",""es"":""Akureyri"",""fa"":""آکوریری"",""fr"":""Akureyri"",""hi"":""अकुरेरी"",""hr"":""Akureyri"",""it"":""Akureyri"",""ja"":""アークレイリ"",""ko"":""아쿠레이리"",""nl"":""Akureyri"",""pl"":""Akureyri"",""pt"":""Akureyri"",""pt-BR"":""Akureyri"",""ru"":""Акюрейри"",""tr"":""Akureyri"",""uk"":""Акурейрі"",""zh-CN"":""阿克雷里""}",2019-10-05T23:39:05,2025-12-02T14:38:56,1,Q29042
135164,Bláskógabyggð,5558,BLA,100,IS,city,,,64.41667000,-20.33333000,Bláskógabyggð,1362,Atlantic/Reykjavik,"{""ar"":""بلاسكوغابيغد"",""br"":""Bláskógabyggð"",""de"":""Bláskógabyggð"",""es"":""Bláskógabyggð"",""fa"":""بلاسکوگابیگ"",""fr"":""Bláskógabyggð"",""hi"":""ब्लास्कोगाबिग्ग्ड"",""hr"":""Bláskéhobyggð"",""it"":""Bláskógabyggð"",""ja"":""ブラスコガビッグズ"",""ko"":""Bláskógabyggð"",""nl"":""Bláskógabyggð"",""pl"":""Bláskógabyggð"",""pt"":""Bláskógabyggð"",""pt-BR"":""Bláskógabyggð"",""ru"":""Bláskógabyggð"",""tr"":""Bláskógabyggð"",""uk"":""Бласкогабіггð"",""zh-CN"":""布洛斯科加比格""}",2019-10-05T23:39:05,2025-12-02T16:59:27,1,Q886944
135165,Borgarbyggð,5559,BOG,100,IS,city,,,64.71446000,-21.23788000,Borgarbyggð,4102,Atlantic/Reykjavik,"{""ar"":""بورغاربيغد"",""br"":""Borgarbyggð"",""de"":""Borgarbyggð"",""es"":""Borgarbyggð"",""fa"":""بورگاربیگ"",""fr"":""Borgarbyggð"",""hi"":""बोर्गरब्यग्ग्ड"",""hr"":""Borgarbyggð"",""it"":""Borgarbyggð"",""ja"":""ボルガルビグズ"",""ko"":""보르가르비그드"",""nl"":""Borgarbyggð"",""pl"":""Borgarbyggð"",""pt"":""Borgarbyggð"",""pt-BR"":""Borgarbyggð"",""ru"":""Borgarbyggð"",""tr"":""Borgarbyggð"",""uk"":""Боргарбігггд"",""zh-CN"":""博尔加比格德""}",2019-10-05T23:39:05,2025-12-02T16:59:27,1,Q893528
135166,Borgarfjarðarhreppur,5559,BOG,100,IS,city,,,65.43401000,-13.82933000,Borgarfjarðarhreppur,,Atlantic/Reykjavik,"{""ar"":""بورغارفجارهاربور"",""br"":""Borgarfjarðarhreppur"",""de"":""Borgarfjarðarhreppur"",""es"":""Borgarfjarðarhreppur"",""fa"":""بورگارفجاردارپور"",""fr"":""Borgarfjarðarhreppur"",""hi"":""बोर्गरफजार्डार्ह्रेप्पुर"",""hr"":""Borgarfjarðarhreppur"",""it"":""Borgarfjarðarhreppur"",""ja"":""ボルガルフィヤルダルレップル"",""ko"":""보르가르피야르다르레푸르"",""nl"":""Borgarfjarðarhreppur"",""pl"":""Borgarfjarðarhreppur"",""pt"":""Borgarfjarðarhreppur"",""pt-BR"":""Borgarfjarðarhreppur"",""ru"":""Borgarfjarðarhreppur"",""tr"":""Borgarfjarðarhreppur"",""uk"":""Боргарф'ярдархреппур"",""zh-CN"":""博尔加夫加尔德赫雷普尔""}",2019-10-05T23:39:05,2025-12-02T16:59:27,1,Q893531
135167,Borgarnes,5559,BOG,100,IS,adm1,,,64.53834000,-21.92064000,Borgarnes,2181,Atlantic/Reykjavik,"{""ar"":""بورغارنيس"",""br"":""Borgarnes"",""de"":""Borgarnes"",""es"":""Borgarnes"",""fa"":""بورگارنز"",""fr"":""Borgarnes"",""hi"":""बोर्गर्नेस"",""hr"":""Borgarnes"",""it"":""Borgarnes"",""ja"":""ボルガルネース"",""ko"":""보르가르네스"",""nl"":""Borgarnes"",""pl"":""Borgarnes"",""pt"":""Borgarnes"",""pt-BR"":""Borgarnes"",""ru"":""Боргарнес"",""tr"":""Borgarnes"",""uk"":""Боргарнес"",""zh-CN"":""博尔加内斯""}",2019-10-05T23:39:05,2025-12-02T14:38:56,1,Q276537
135168,Breiðdalshreppur,5565,FJD,100,IS,city,,,64.83333000,-14.25000000,Breiðdalshreppur,,Atlantic/Reykjavik,"{""ar"":""بريدالشربور"",""br"":""Breiðdalshreppur"",""de"":""Breiðdalshreppur"",""es"":""Breiðdalshreppur"",""fa"":""بریدالشرپور"",""fr"":""Breiðdalshreppur"",""hi"":""ब्रीडलश्रेप्पुर"",""hr"":""Breiðdalshreppur"",""it"":""Breiðdalshreppur"",""ja"":""ブレイダルシュレップル"",""ko"":""브레이드달슈레푸르"",""nl"":""Breiðdalshreppur"",""pl"":""Breiðdalshreppur"",""pt"":""Breiðdalshreppur"",""pt-BR"":""Breiðdalshreppur"",""ru"":""Breiðdalshreppur"",""tr"":""Breiðdalshreppur"",""uk"":""Брейдалшреппур"",""zh-CN"":""布雷达尔什雷普尔""}",2019-10-05T23:39:05,2025-12-02T16:59:27,1,Q431733
135169,Dalabyggð,5561,DAB,100,IS,city,,,65.10121000,-21.72871000,Dalabyggð,645,Atlantic/Reykjavik,"{""ar"":""دالابيغ"",""br"":""Dalabyggð"",""de"":""Dalabyggð"",""es"":""Dalabyggð"",""fa"":""دالابیگ"",""fr"":""Dalabyggð"",""hi"":""दलाब्यग्ग्ड"",""hr"":""Dalabyggð"",""it"":""Dalabyggð"",""ja"":""ダラビグド"",""ko"":""달라비그드"",""nl"":""Dalabyggð"",""pl"":""Dalabyggð"",""pt"":""Dalabyggð"",""pt-BR"":""Dalabyggð"",""ru"":""Dalabyggð"",""tr"":""Dalabyggð"",""uk"":""Далабіггг"",""zh-CN"":""达拉比格""}",2019-10-05T23:39:05,2025-12-02T16:59:27,1,Q1157787
135170,Dalvík,5562,DAV,100,IS,city,,,65.97018000,-18.52861000,Dalvík,1404,Atlantic/Reykjavik,"{""ar"":""دالفيك"",""br"":""Dalvík"",""de"":""Dalvík"",""es"":""Dalvík"",""fa"":""دالویک"",""fr"":""Dalvik"",""hi"":""डाल्विक"",""hr"":""Dalvík"",""it"":""Dalvík"",""ja"":""ダルヴィーク"",""ko"":""달빅"",""nl"":""Dalvík"",""pl"":""Dalvík"",""pt"":""Dalvík"",""pt-BR"":""Dalvík"",""ru"":""Дальвик"",""tr"":""Dalvik"",""uk"":""Далвік"",""zh-CN"":""达尔维克""}",2019-10-05T23:39:05,2025-12-02T14:38:56,1,Q921052
