id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
58202,Paganico Sabino,1712,RI,107,IT,adm3,,,42.18963000,12.99689000,Paganico Sabino,156,Europe/Rome,"{""br"":""Paganico Sabino"",""ko"":""파가니코 사비노"",""pt-BR"":""Paganico Sabino"",""pt"":""Paganico Sabino"",""nl"":""Paganico Sabino"",""hr"":""Paganico Sabino"",""fa"":""پاگانیکو سابینو"",""de"":""Paganico Sabino"",""es"":""Paganico Sabino"",""fr"":""Paganico Sabino"",""ja"":""パガーニコ・サビーノ"",""it"":""Paganico Sabino"",""zh-CN"":""帕加尼科·萨比诺"",""tr"":""Paganico Sabino"",""ru"":""Паганико Сабино"",""uk"":""Паганіко Сабіно"",""pl"":""Paganico Sabino"",""hi"":""पगानिको सबिनो"",""ar"":""باجانيكو سابينو""}",2019-10-06T10:06:39,2025-12-02T14:38:56,1,Q224291
58203,Pagazzano,1704,BG,107,IT,adm3,,,45.53428000,9.67116000,Pagazzano,2104,Europe/Rome,"{""br"":""Pagazano"",""ko"":""파가차노"",""pt-BR"":""Pagazzano"",""pt"":""Pagazzano"",""nl"":""Pagazzano"",""hr"":""Pagazzano"",""fa"":""پاگازانو"",""de"":""Pagazzano"",""es"":""Pagazzano"",""fr"":""Pagazzano"",""ja"":""パガッツァーノ"",""it"":""Pagazzano"",""zh-CN"":""帕加扎诺"",""tr"":""Ödeme"",""ru"":""Пагаццано"",""uk"":""Пагаццано"",""pl"":""Pagazzano"",""hi"":""पगाज़ानो"",""ar"":""باجازانو""}",2019-10-06T10:06:39,2025-12-02T14:38:56,1,Q101346
58204,Pagliara,5632,ME,107,IT,adm3,,,37.98546000,15.35969000,Pagliara,462,Europe/Rome,"{""br"":""Pagliara"",""ko"":""파글리아라"",""pt-BR"":""Pagliara"",""pt"":""Pagliara"",""nl"":""Pagliara"",""hr"":""Pagliara"",""fa"":""پالیارا"",""de"":""Pagliara"",""es"":""Pagliara"",""fr"":""Pagliara"",""ja"":""パグリアラ"",""it"":""Pagliara"",""zh-CN"":""帕利亚拉"",""tr"":""Pagliara"",""ru"":""Пальяра"",""uk"":""Пальяра"",""pl"":""Pagliara"",""hi"":""पगलियारा"",""ar"":""باجليارا""}",2019-10-06T10:06:39,2025-12-02T14:39:31,1,Q492615
58205,Pagliare,1752,TE,107,IT,city,,,42.64372000,13.95171000,Pagliare,1649,Europe/Rome,"{""br"":""Pagliare"",""ko"":""파글리아레"",""pt-BR"":""Pagliare"",""pt"":""Pagliare"",""nl"":""Pagliare"",""hr"":""Pagliare"",""fa"":""پالیاره"",""de"":""Pagliare"",""es"":""Pagliare"",""fr"":""Pagliare"",""ja"":""パグリアーレ"",""it"":""Pagliare"",""zh-CN"":""帕利亚雷"",""tr"":""Pagliare"",""ru"":""Пальяре"",""uk"":""Пальяре"",""pl"":""Pagliare"",""hi"":""पग्लियारे"",""ar"":""باجلياري""}",2019-10-06T10:06:39,2025-12-02T14:39:31,1,Q18428397
58206,Pagliare,1681,AP,107,IT,city,,,42.86906000,13.76906000,Pagliare,4847,Europe/Rome,"{""br"":""Pagliare"",""ko"":""파글리아레"",""pt-BR"":""Pagliare"",""pt"":""Pagliare"",""nl"":""Pagliare"",""hr"":""Pagliare"",""fa"":""پالیاره"",""de"":""Pagliare"",""es"":""Pagliare"",""fr"":""Pagliare"",""ja"":""パグリアーレ"",""it"":""Pagliare"",""zh-CN"":""帕利亚雷"",""tr"":""Pagliare"",""ru"":""Пальяре"",""uk"":""Пальяре"",""pl"":""Pagliare"",""hi"":""पग्लियारे"",""ar"":""باجلياري""}",2019-10-06T10:06:39,2025-12-02T14:38:56,1,Q18496595
58207,Pagliarelle,1754,KR,107,IT,city,,,39.14017000,16.75101000,Pagliarelle,1277,Europe/Rome,"{""br"":""Pagliarelle"",""ko"":""파글리아렐레"",""pt-BR"":""Pagliarelle"",""pt"":""Pagliarelle"",""nl"":""Pagliarelle"",""hr"":""Pagliarelle"",""fa"":""پاگلیارل"",""de"":""Pagliarelle"",""es"":""Pagliarelle"",""fr"":""Pagliarelle"",""ja"":""パグリアレル"",""it"":""Pagliarelle"",""zh-CN"":""帕利亚雷勒"",""tr"":""Pagliarelle"",""ru"":""Пальярелле"",""uk"":""Пальярелль"",""pl"":""Pagliarelle"",""hi"":""पगलियारेले"",""ar"":""باجلياريلي""}",2019-10-06T10:06:39,2025-12-02T14:39:31,1,Q3888959
58208,Pagliarone,1720,SA,107,IT,city,,,40.63006000,14.91325000,Pagliarone,1736,Europe/Rome,"{""br"":""Pagliarone"",""ko"":""파글리아론"",""pt-BR"":""Pagliarone"",""pt"":""Pagliarone"",""nl"":""Pagliarone"",""hr"":""Pagliarone"",""fa"":""پاگلیارون"",""de"":""Pagliarone"",""es"":""Pagliarone"",""fr"":""Pagliarone"",""ja"":""パグリアローネ"",""it"":""Pagliarone"",""zh-CN"":""帕利亚罗内"",""tr"":""Pagliarone"",""ru"":""Пальяроне"",""uk"":""Пальяроне"",""pl"":""Pagliarone"",""hi"":""पग्लियारोन"",""ar"":""باجلياروني""}",2019-10-06T10:06:39,2025-12-02T14:39:31,1,Q18437567
58209,Paglieta,1739,CH,107,IT,adm3,,,42.16139000,14.50306000,Paglieta,2758,Europe/Rome,"{""br"":""Paglieta"",""ko"":""파글리에타"",""pt-BR"":""Paglieta"",""pt"":""Paglieta"",""nl"":""Paglieta"",""hr"":""Paglieta"",""fa"":""پاگلیتا"",""de"":""Paglieta"",""es"":""Paglieta"",""fr"":""Paglieta"",""ja"":""パグリエタ"",""it"":""Paglieta"",""zh-CN"":""帕列塔"",""tr"":""Paglieta"",""ru"":""Пальета"",""uk"":""Пальєта"",""pl"":""Paglieta"",""hi"":""पग्लिएटा"",""ar"":""باجليتا""}",2019-10-06T10:06:39,2025-12-11T20:19:15,1,Q51257
58210,Pagnacco,1764,UD,107,IT,adm3,,,46.11462000,13.18377000,Pagnacco,5090,Europe/Rome,"{""br"":""Pagnacco"",""ko"":""파냐코"",""pt-BR"":""Pagnacco"",""pt"":""Pagnacco"",""nl"":""Pagnacco"",""hr"":""Pagnacco"",""fa"":""پاگناکو"",""de"":""Pagnacco"",""es"":""Pagnacco"",""fr"":""Pagnacco"",""ja"":""パニャッコ"",""it"":""Pagnacco"",""zh-CN"":""帕尼亚科"",""tr"":""Pagnacco"",""ru"":""Паньякко"",""uk"":""Паньякко"",""pl"":""Pagnacco"",""hi"":""पग्नाको"",""ar"":""باجناكو""}",2019-10-06T10:06:39,2025-12-11T20:19:15,1,Q53299
58211,Pagno,1775,CN,107,IT,adm3,,,44.61173000,7.42572000,Pagno,392,Europe/Rome,"{""br"":""Pagno"",""ko"":""파그노"",""pt-BR"":""Pagno"",""pt"":""Pagno"",""nl"":""Pagno"",""hr"":""Pagno"",""fa"":""پاگنو"",""de"":""Pagno"",""es"":""Pagno"",""fr"":""Pagno"",""ja"":""パグノ"",""it"":""Pagno"",""zh-CN"":""帕尼奥"",""tr"":""Sayfa"",""ru"":""Пагно"",""uk"":""Паньо"",""pl"":""Pagno"",""hi"":""पैग्नो"",""ar"":""باجنو""}",2019-10-06T10:06:39,2025-12-11T20:19:15,1,Q20290
