id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
154098,Vingtaine des Marais,5309,01,110,JE,city,,,49.18556300,-2.05042200,Twenty marshes,,Europe/Jersey,"{""br"":""Vingtaine des Marais"",""ko"":""뱅텐 데 마레"",""pt-BR"":""Vingtaine des Marais"",""pt"":""Vingtaine des Marais"",""nl"":""Vingtaine des Marais"",""hr"":""Vingtaine des Marais"",""fa"":""وینگتین دِ ماره"",""de"":""Vingtaine des Marais"",""es"":""Vingtaine des Marais"",""fr"":""Vingtaine des Marais"",""ja"":""ヴァンテーヌ・デ・マレ"",""it"":""Vingtaine des Marais"",""zh-CN"":""玛黑区"",""tr"":""Marais Vadisi"",""ru"":""Вентайн де Марэ"",""uk"":""Вентен де Маре"",""pl"":""Vingtaine des Marais"",""hi"":""विंग्टाइन डेस मारैस"",""ar"":""فينغتين دي ماريه""}",2024-10-15T06:07:19,2025-12-02T16:59:27,1,Q3560224
154099,Vingtaine de la Rue,5309,01,110,JE,adm1,,,49.18661230,-2.05316130,Twenty of the street,,Europe/Jersey,"{""br"":""Vingtaine de la Rue"",""ko"":""뱅텐 드 라 뤼"",""pt-BR"":""Vingtaine de la Rue"",""pt"":""Vingtaine de la Rue"",""nl"":""Vingtaine de la Rue"",""hr"":""Vingtaine de la Rue"",""fa"":""وینگتین دو لا رو"",""de"":""Vingtaine de la Rue"",""es"":""Vingtaine de la Rue"",""fr"":""Vingtaine de la Rue"",""ja"":""ヴァンテーヌ・ド・ラ・リュ"",""it"":""Vingtaine de la Rue"",""zh-CN"":""街上的七姐妹"",""tr"":""Rue Caddesi'nin Bağları"",""ru"":""Винтайн де ла Рю"",""uk"":""Вентен де ла Рю"",""pl"":""Vingtaine de la Rue"",""hi"":""विंग्टाइन डे ला रू"",""ar"":""فينغتين دي لا رو""}",2024-10-15T06:07:19,2025-12-02T17:11:50,1,Q3560211
154100,Vingtaine de Longueville,5309,01,110,JE,adm1,,,49.19001830,-2.04917800,Twenty Longueville,,Europe/Jersey,"{""br"":""Vingtaine de Longueville"",""ko"":""롱그빌의 뱅텐"",""pt-BR"":""Vindima de Longueville"",""pt"":""Vindima de Longueville"",""nl"":""Vingtaine de Longueville"",""hr"":""Vingtaine de Longueville"",""fa"":""وینگتین دو لونگویل"",""de"":""Vingtaine de Longueville"",""es"":""Vingtaine de Longueville"",""fr"":""Vingtaine de Longueville"",""ja"":""ロングヴィルのヴァンテーヌ"",""it"":""Vingtaine de Longueville"",""zh-CN"":""隆格维尔的维坦"",""tr"":""Longueville Vingtaine"",""ru"":""Вентен де Лонгвиль"",""uk"":""Вентен де Лонгвіль"",""pl"":""Vingtaine de Longueville"",""hi"":""विंग्टेन डे लॉन्गविले"",""ar"":""فينغتين دي لونغفيل""}",2024-10-15T06:07:19,2025-12-02T17:11:50,1,Q3560187
154101,Vingtaine de la Rocque,5309,01,110,JE,city,,,49.17048880,-2.03389140,Twenty Rocque,,Europe/Jersey,"{""br"":""Vingtaine de la Rocque"",""ko"":""뱅텐 드 라 로크"",""pt-BR"":""Vindima de la Rocque"",""pt"":""Vindima de la Rocque"",""nl"":""Vingtaine de la Rocque"",""hr"":""Vingtaine de la Rocque"",""fa"":""وینگتین دو لا روک"",""de"":""Vingtaine de la Rocque"",""es"":""Vingtaine de la Rocque"",""fr"":""Vingtaine de la Rocque"",""ja"":""ヴァンテーヌ・ド・ラ・ロック"",""it"":""Vingtaine de la Rocque"",""zh-CN"":""洛克的维坦"",""tr"":""Vingtaine de la Rocque"",""ru"":""Винтен-де-ла-Рок"",""uk"":""Вентен-де-ла-Рок"",""pl"":""Vingtaine de la Rocque"",""hi"":""विंग्टेन डे ला रोके"",""ar"":""فينغتين دي لا روك""}",2024-10-15T06:07:19,2025-12-02T16:59:27,1,Q3560208
154102,Vingtaine de Noirmont,5310,02,110,JE,city,,,49.17269850,-2.22550510,Twenty blacks,,Europe/Jersey,"{""br"":""Vingtaine de Noirmont"",""ko"":""뱅텐 드 누아르몽"",""pt-BR"":""Vindima de Noirmont"",""pt"":""Vindima de Noirmont"",""nl"":""Vingtaine de Noirmont"",""hr"":""Vingtaine de Noirmont"",""fa"":""وینگتین دو نوآرمونت"",""de"":""Vingtaine de Noirmont"",""es"":""Vingtaine de Noirmont"",""fr"":""Vingtaine de Noirmont"",""ja"":""ヴァンテーヌ・ド・ノワールモン"",""it"":""Vingtaine de Noirmont"",""zh-CN"":""努瓦尔蒙特的 Vingtaine"",""tr"":""Noirmont Ağacı"",""ru"":""Вентайн де Нуармон"",""uk"":""Вентен де Нуармон"",""pl"":""Vingtaine de Noirmont"",""hi"":""विन्गटाइन डे नोइरमोंट"",""ar"":""فينغتين دي نوارمونت""}",2024-10-15T06:15:53,2025-12-02T16:59:27,1,Q3560193
154103,Vingtaine du Coin,5310,02,110,JE,city,,,49.18753960,-2.18473710,Twenty of the corner,,Europe/Jersey,"{""br"":""Vingtaine du Coin"",""ko"":""동전 뱅텐"",""pt-BR"":""Vindima da Moeda"",""pt"":""Vindima da Moeda"",""nl"":""Vingtaine du Coin"",""hr"":""Vingtaine du Coin"",""fa"":""وینگتین دو کوین"",""de"":""Vingtaine du Coin"",""es"":""Vintagne du Coin"",""fr"":""Vingtaine du Coin"",""ja"":""ヴァンテーヌ・デュ・コイン"",""it"":""Vingtaine du Coin"",""zh-CN"":""硬币的胜利"",""tr"":""Coin'in Eski Hali"",""ru"":""Vingtaine du Coin"",""uk"":""Вентен-дю-Куен"",""pl"":""Vingtaine du Coin"",""hi"":""विंग्टेन डू कॉइन"",""ar"":""فينغتين دو كوين""}",2024-10-15T06:15:53,2025-12-02T16:59:27,1,Q3560226
154104,Vingtaine des Quennevais,5310,02,110,JE,city,,,49.19704320,-2.21618080,Twenty quennevais,,Europe/Jersey,"{""br"":""Vingtaine des Quennevais"",""ko"":""뱅텐 데 케네베"",""pt-BR"":""Vingtaine des Quennevais"",""pt"":""Vingtaine des Quennevais"",""nl"":""Vingtaine des Quennevais"",""hr"":""Vingtaine des Quennevais"",""fa"":""وینگتین دِ کونِنوِه"",""de"":""Vingtaine des Quennevais"",""es"":""Vingtaine des Quennevais"",""fr"":""Vingtaine des Quennevais"",""ja"":""ヴァンテーヌ・デ・ケヌヴェ"",""it"":""Vingtaine des Quennevais"",""zh-CN"":""凯讷瓦的胜利"",""tr"":""Quennevais Ağacı"",""ru"":""Vingtaine des Quennevais"",""uk"":""Вінтен де Кенневе"",""pl"":""Vingtaine des Quennevais"",""hi"":""विंग्टेन डेस क्वेनेवाइस"",""ar"":""Vingtaine des Quennevais""}",2024-10-15T06:15:53,2025-12-02T16:59:27,1,Q3560225
154105,Vingtaine de la Moye,5310,02,110,JE,city,,,49.18445480,-2.23950470,Twenty of the hub,,Europe/Jersey,"{""br"":""Vingtaine de la Moye"",""ko"":""뱅텐 드 라 모예"",""pt-BR"":""Vingtaine de la Moye"",""pt"":""Vingtaine de la Moye"",""nl"":""Vingtaine de la Moye"",""hr"":""Vingtaine de la Moye"",""fa"":""وینگتین دو لا مویه"",""de"":""Vingtaine de la Moye"",""es"":""Vingtaine de la Moye"",""fr"":""Vingtaine de la Moye"",""ja"":""ヴァンテーヌ・ド・ラ・モワ"",""it"":""Vingtaine de la Moye"",""zh-CN"":""莫耶的胜利"",""tr"":""Vingtaine de la Moye"",""ru"":""Винтайн де ла Мойе"",""uk"":""Вінтен-де-ла-Мой"",""pl"":""Vingtaine de la Moye"",""hi"":""विंग्टेन डे ला मोये"",""ar"":""فينغتين دي لا موي""}",2024-10-15T06:15:53,2025-12-02T16:59:27,1,Q3560207
154106,Grande Vingtaine,5311,03,110,JE,adm1,,,49.17207130,-2.06199370,Tall twenty,0,Europe/Jersey,"{""br"":""Grande Vingtaine"",""ko"":""그랑드 뱅텐"",""pt-BR"":""Grande Vingtaine"",""pt"":""Grande Vingtaine"",""nl"":""Grande Vingtaine"",""hr"":""Grande Vingtaine"",""fa"":""گراند وینگتین"",""de"":""Grande Vingtaine"",""es"":""Grande Vingtaine"",""fr"":""Grande Vingtaine"",""ja"":""グランド・ヴァンテーヌ"",""it"":""Grande Vingtaine"",""zh-CN"":""格兰德·维坦"",""tr"":""Grande Vingtaine"",""ru"":""Гранд Вентайн"",""uk"":""Гранд-Вентен"",""pl"":""Wielki Vingtaine"",""hi"":""ग्रांडे विंग्टाइन"",""ar"":""جراند فينجتين""}",2024-10-15T06:27:22,2025-12-02T14:39:31,1,Q3115042
154107,Vingtaine du Rocquier,5311,03,110,JE,adm1,,,49.17250500,-2.06543840,Vingtaine du Rocquier,,Europe/Jersey,"{""br"":""Vingtaine du Rocquier"",""ko"":""뱅텐 뒤 로키에"",""pt-BR"":""Vindima do Rocquier"",""pt"":""Vindima do Rocquier"",""nl"":""Vingtaine du Rocquier"",""hr"":""Vingtaine du Rocquier"",""fa"":""وینگتین دو روکیه"",""de"":""Vingtaine du Rocquier"",""es"":""Vingtaine du Rocquier"",""fr"":""Vingtaine du Rocquier"",""ja"":""ヴァンテーヌ・デュ・ロキエ"",""it"":""Vingtaine du Rocquier"",""zh-CN"":""罗基耶的七星岩"",""tr"":""Rocquier Ağacı"",""ru"":""Вентайн дю Рокье"",""uk"":""Вентен-дю-Рок'є"",""pl"":""Vingtaine du Rocquier"",""hi"":""विंग्टाइन डू रोक्वियर"",""ar"":""فينغتين دو روكييه""}",2024-10-15T06:27:22,2025-12-02T17:11:50,1,Q3560250
