id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
62289,12th Street,3742,10,108,JM,adm1,,,18.21097000,-78.13603000,12th Street,16553,America/Jamaica,"{""br"":""12vet straed"",""ko"":""12번가"",""pt-BR"":""Rua 12"",""pt"":""Rua 12"",""nl"":""12e straat"",""hr"":""12. ulica"",""fa"":""خیابان دوازدهم"",""de"":""12. Straße"",""es"":""Calle 12"",""fr"":""12e rue"",""ja"":""12番街"",""it"":""12a strada"",""zh-CN"":""第十二街"",""tr"":""12. Cadde"",""ru"":""12-я улица"",""uk"":""12-та вулиця"",""pl"":""12. Ulica"",""hi"":""12वीं स्ट्रीट"",""ar"":""شارع 12""}",2019-10-06T10:07:27,2025-12-02T14:39:31,1,Q18436859
62290,Aberdeen,3743,11,108,JM,city,,,18.20508000,-77.67932000,Aberdeen,,America/Jamaica,"{""br"":""Aberdeen"",""ko"":""애버딘"",""pt-BR"":""Aberdeen"",""pt"":""Aberdeen"",""nl"":""Aberdeen"",""hr"":""Aberdeen"",""fa"":""آبردین"",""de"":""Aberdeen"",""es"":""Aberdeen"",""fr"":""Aberdeen"",""ja"":""アバディーン"",""it"":""Aberdeen"",""zh-CN"":""阿伯丁"",""tr"":""Aberdeen"",""ru"":""Абердин"",""uk"":""Абердин"",""pl"":""Aberdeen"",""hi"":""एबरडीन"",""ar"":""أبردين""}",2019-10-06T10:07:27,2025-12-02T17:11:50,1,Q18436859
62291,Aboukir,3744,06,108,JM,city,,,18.25090000,-77.34327000,Aboukir,,America/Jamaica,"{""br"":""Aboukir"",""ko"":""아부키르"",""pt-BR"":""Abukir"",""pt"":""Abukir"",""nl"":""Aboukir"",""hr"":""Aboukir"",""fa"":""ابوکیر"",""de"":""Abukir"",""es"":""Abukir"",""fr"":""Aboukir"",""ja"":""アブキール"",""it"":""Abukir"",""zh-CN"":""阿布基尔"",""tr"":""Aboukir"",""ru"":""Абукир"",""uk"":""Абукір"",""pl"":""Aboukir"",""hi"":""अबूकिर"",""ar"":""أبو قير""}",2019-10-06T10:07:27,2025-12-02T17:11:50,1,Q18436859
62292,Above Rocks,3746,14,108,JM,city,,,18.11432000,-76.87590000,Above Rocks,5261,America/Jamaica,"{""br"":""A-us d'ar roc'hioù"",""ko"":""바위 위"",""pt-BR"":""Acima das Rochas"",""pt"":""Acima das Rochas"",""nl"":""Boven rotsen"",""hr"":""Iznad stijena"",""fa"":""بالای صخره‌ها"",""de"":""Über Felsen"",""es"":""Por encima de las rocas"",""fr"":""Au-dessus des rochers"",""ja"":""岩の上"",""it"":""Sopra le rocce"",""zh-CN"":""岩石之上"",""tr"":""Kayaların Üstünde"",""ru"":""Над скалами"",""uk"":""Над скелями"",""pl"":""Ponad skałami"",""hi"":""चट्टानों के ऊपर"",""ar"":""فوق الصخور""}",2019-10-06T10:07:27,2025-12-02T14:38:56,1,Q18436859
62293,Accompong,3743,11,108,JM,city,,,18.22985000,-77.74816000,Accompong,0,America/Jamaica,"{""br"":""Heuliañ"",""ko"":""동반자"",""pt-BR"":""Acompanhar"",""pt"":""Acompanhar"",""nl"":""Begeleiding"",""hr"":""Pratnja"",""fa"":""آکمپونگ"",""de"":""Begleitung"",""es"":""Acompañamiento"",""fr"":""Accompong"",""ja"":""アコンポン"",""it"":""Accompagnamento"",""zh-CN"":""阿科彭"",""tr"":""Eşlik etmek"",""ru"":""Аккомпанемент"",""uk"":""Супровід"",""pl"":""Towarzyszyć"",""hi"":""साथ देना"",""ar"":""مرافق""}",2019-10-06T10:07:27,2025-12-02T17:11:50,1,Q18436859
62294,Adelphi,3745,08,108,JM,city,,,18.45060000,-77.78590000,Adelphi,0,America/Jamaica,"{""br"":""Adelfi"",""ko"":""아델피"",""pt-BR"":""Adelphi"",""pt"":""Adelphi"",""nl"":""Adelphi"",""hr"":""Adelphi"",""fa"":""آدلفی"",""de"":""Adelphi"",""es"":""Adelphi"",""fr"":""Adelphi"",""ja"":""アデルフィ"",""it"":""Adelphi"",""zh-CN"":""阿德尔菲"",""tr"":""Adelphi"",""ru"":""Адельфи"",""uk"":""Адельфі"",""pl"":""Adelphi"",""hi"":""अडेल्फी"",""ar"":""أديلفي""}",2019-10-06T10:07:27,2025-12-02T17:11:50,1,Q18436859
62295,Aenon Town,3753,13,108,JM,city,,,18.21027000,-77.39851000,Aenon Town,,America/Jamaica,"{""br"":""Kêr Aenon"",""ko"":""에논 타운"",""pt-BR"":""Cidade de Aenon"",""pt"":""Cidade de Aenon"",""nl"":""Aenon-stad"",""hr"":""Grad Aenon"",""fa"":""شهر آئون"",""de"":""Aenon-Stadt"",""es"":""Ciudad de Aenon"",""fr"":""Ville d'Aenon"",""ja"":""エイノンタウン"",""it"":""Città di Aenon"",""zh-CN"":""安侬镇"",""tr"":""Aenon Kasabası"",""ru"":""Город Энон"",""uk"":""Місто Аенон"",""pl"":""Miasto Aenon"",""hi"":""एनोन टाउन"",""ar"":""بلدة إينون""}",2019-10-06T10:07:27,2025-12-02T17:11:50,1,Q18436859
62296,Airy Castle,3750,03,108,JM,city,,,17.92506000,-76.34216000,Airy Castle,0,America/Jamaica,"{""br"":""Kastell Airy"",""ko"":""에어리 캐슬"",""pt-BR"":""Castelo Airy"",""pt"":""Castelo Airy"",""nl"":""Luchtig Kasteel"",""hr"":""Prozračni dvorac"",""fa"":""قلعه ایری"",""de"":""Luftiges Schloss"",""es"":""Castillo aireado"",""fr"":""Château aérien"",""ja"":""エアリー城"",""it"":""Castello Airy"",""zh-CN"":""艾里城堡"",""tr"":""Havadar Kale"",""ru"":""Эйри Касл"",""uk"":""Повітряний замок"",""pl"":""Powietrzny Zamek"",""hi"":""हवादार महल"",""ar"":""قلعة هوائية""}",2019-10-06T10:07:27,2025-12-02T16:59:27,1,Q18436859
62297,Albert Town,3755,07,108,JM,city,,,18.29434000,-77.54239000,Albert Town,3449,America/Jamaica,"{""br"":""Kêr Albert"",""ko"":""앨버트 타운"",""pt-BR"":""Albert Town"",""pt"":""Albert Town"",""nl"":""Albert Town"",""hr"":""Albert Town"",""fa"":""شهر آلبرت"",""de"":""Albert Town"",""es"":""Ciudad de Albert"",""fr"":""Ville d'Albert"",""ja"":""アルバートタウン"",""it"":""Albert Town"",""zh-CN"":""阿尔伯特镇"",""tr"":""Albert Kasabası"",""ru"":""Альберт-Таун"",""uk"":""Альберт-Таун"",""pl"":""Albert Town"",""hi"":""अल्बर्ट टाउन"",""ar"":""مدينة ألبرت""}",2019-10-06T10:07:27,2025-12-02T14:38:56,1,Q4711348
62298,Albion,3745,08,108,JM,adm1,,,18.48471000,-77.91408000,Albion,82867,America/Jamaica,"{""br"":""Albion"",""ko"":""앨비온"",""pt-BR"":""Albion"",""pt"":""Albion"",""nl"":""Albion"",""hr"":""Albion"",""fa"":""آلبیون"",""de"":""Albion"",""es"":""Albión"",""fr"":""Albion"",""ja"":""アルビオン"",""it"":""Albione"",""zh-CN"":""阿尔比恩"",""tr"":""Albion"",""ru"":""Альбион"",""uk"":""Альбіон"",""pl"":""Albion"",""hi"":""एल्बियन"",""ar"":""ألبيون""}",2019-10-06T10:07:27,2025-12-02T14:39:31,1,Q4711348
