id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
63129,Adir,956,KA,111,JO,city,,,31.20217000,35.76155000,أدير,4441,Asia/Amman,"{""br"":""Adir"",""ko"":""아디르"",""pt-BR"":""Adir"",""pt"":""Adir"",""nl"":""Adir"",""hr"":""Adir"",""fa"":""آدیر"",""de"":""Adir"",""es"":""Adir"",""fr"":""Adir"",""ja"":""アディール"",""it"":""Adir"",""zh-CN"":""阿迪尔"",""tr"":""Adir"",""ru"":""Адир"",""uk"":""Адір"",""pl"":""Adir"",""hi"":""आदिर"",""ar"":""أدير""}",2019-10-06T10:07:33,2025-12-02T14:38:56,1,Q27125599
63130,Al Azraq ash Shamālī,967,AZ,111,JO,city,,,31.88209000,36.83017000,الأزرق الشمالي,14800,Asia/Amman,"{""br"":""Al Azraq ash Shamālī"",""ko"":""알 아즈라크 아쉬 샤말리"",""pt-BR"":""Al Azraq ash Shamālī"",""pt"":""Al Azraq ash Shamālī"",""nl"":""Al Azraq ash Shamālī"",""hr"":""Al Azraq ash Shamālī"",""fa"":""الازرق الشمالی"",""de"":""Al Azraq ash Shamālī"",""es"":""Al Azraq ash Shamālī"",""fr"":""Al Azraq ash Shamālī"",""ja"":""アル・アズラク・アシュ・シャマリー"",""it"":""Al Azraq ash Shamālī"",""zh-CN"":""阿尔阿兹拉格·阿什·沙马利"",""tr"":""Al Azraq ash Shamālī"",""ru"":""Al Azraq ash Shamālī"",""uk"":""Аль-Азрак аш-Шамалі"",""pl"":""Al Azraq ash Shamālī"",""hi"":""अल अज़राक अश शामाली"",""ar"":""الأزرق الشمالي""}",2019-10-06T10:07:33,2025-12-02T14:39:31,1,Q27125599
63131,Al Jafr,964,MN,111,JO,adm3,,,30.31840000,36.17775000,الجفر,3557,Asia/Amman,"{""br"":""Al Jafr"",""ko"":""알 자프르"",""pt-BR"":""Al Jafr"",""pt"":""Al Jafr"",""nl"":""Al Jafr"",""hr"":""Al Džafr"",""fa"":""آل جعفر"",""de"":""Al Jafr"",""es"":""Al Jafr"",""fr"":""Al Jafr"",""ja"":""アル・ジャフル"",""it"":""Al Jafr"",""zh-CN"":""贾夫尔"",""tr"":""El Cafer"",""ru"":""Аль-Джафр"",""uk"":""Аль-Джафр"",""pl"":""Al-Dżafr"",""hi"":""अल जाफ़र"",""ar"":""الجفر""}",2019-10-06T10:07:33,2025-12-02T14:39:31,1,Q27125599
63132,Al Jubayhah,965,AM,111,JO,adm2,,,32.01071000,35.89802000,الجبيهة,46834,Asia/Amman,"{""br"":""Al Jubayhah"",""ko"":""알 주바이하"",""pt-BR"":""Al Jubayhah"",""pt"":""Al Jubayhah"",""nl"":""Al Jubayhah"",""hr"":""Al Jubayhah"",""fa"":""الجبیحه"",""de"":""Al Jubayhah"",""es"":""Al Jubayhah"",""fr"":""Al Jubayhah"",""ja"":""アル・ジュバイハ"",""it"":""Al Jubayhah"",""zh-CN"":""朱拜哈"",""tr"":""Al Jubayhah"",""ru"":""Аль-Джубайха"",""uk"":""Аль-Джубайха"",""pl"":""Al-Dżubajha"",""hi"":""अल जुबैहा"",""ar"":""الجبيهة""}",2019-10-06T10:07:33,2025-12-02T14:38:56,1,Q3505791
63133,Al Jīzah,965,AM,111,JO,adm2,,,31.69893000,35.95530000,الجيزة,4397,Asia/Amman,"{""br"":""Al Jīzah"",""ko"":""알 지자"",""pt-BR"":""Al Jīzah"",""pt"":""Al Jīzah"",""nl"":""Al Jizah"",""hr"":""Al Jīzah"",""fa"":""الجیزه"",""de"":""Al Jīzah"",""es"":""Al Jizah"",""fr"":""Al Jizah"",""ja"":""アル・ジザ"",""it"":""Al Jīzah"",""zh-CN"":""吉萨"",""tr"":""Al Cīzah"",""ru"":""Аль-Джиза"",""uk"":""Аль-Джиза"",""pl"":""Al-Dżiza"",""hi"":""अल जिज़ा"",""ar"":""الجيزة""}",2019-10-06T10:07:33,2025-12-02T14:38:56,1,Q3505791
63134,Al Karāmah,961,BA,111,JO,city,,,31.95439000,35.58033000,الكرامة,9384,Asia/Amman,"{""br"":""Al Karamah"",""ko"":""알 카라마"",""pt-BR"":""Al Karamah"",""pt"":""Al Karamah"",""nl"":""Al Karāmah"",""hr"":""Al Karamah"",""fa"":""الکرامه"",""de"":""Al Karāmah"",""es"":""Al Karāmah"",""fr"":""Al Karāmah"",""ja"":""アル・カラマ"",""it"":""Al Karāmah"",""zh-CN"":""卡拉马"",""tr"":""Al Kerāmah"",""ru"":""Аль-Карама"",""uk"":""Аль-Карамах"",""pl"":""Al Karamah"",""hi"":""अल करमाह"",""ar"":""الكرامة""}",2019-10-06T10:07:33,2025-12-02T14:39:31,1,Q3505791
63135,Al Khinzīrah,956,KA,111,JO,city,,,31.05056000,35.60606000,الخنزيرة,5231,Asia/Amman,"{""br"":""Al Khinzīrah"",""ko"":""알 킨지라"",""pt-BR"":""Al Khinzirah"",""pt"":""Al Khinzirah"",""nl"":""Al Khinzīrah"",""hr"":""Al Khinzīrah"",""fa"":""الخنزیره"",""de"":""Al Khinzīrah"",""es"":""Al Khinzīrah"",""fr"":""Al Khinzīrah"",""ja"":""アル・キンジーラ"",""it"":""Al Khinzīrah"",""zh-CN"":""阿尔金兹拉"",""tr"":""El-Hinzîrah"",""ru"":""Аль-Хинзира"",""uk"":""Аль-Хінзіра"",""pl"":""Al Khinzīrah"",""hi"":""अल खिन्ज़ीरा"",""ar"":""الخنزيرة""}",2019-10-06T10:07:33,2025-12-02T14:39:31,1,Q3505791
63136,Al Kittah,966,JA,111,JO,city,,,32.27685000,35.84114000,القطة,5626,Asia/Amman,"{""br"":""Al Kittah"",""ko"":""알 키타"",""pt-BR"":""Al Kittah"",""pt"":""Al Kittah"",""nl"":""Al Kittah"",""hr"":""Al Kittah"",""fa"":""آل کیتا"",""de"":""Al Kittah"",""es"":""Al Kittah"",""fr"":""Al-Kittah"",""ja"":""アルキタ"",""it"":""Al Kittah"",""zh-CN"":""阿尔基塔"",""tr"":""El Kittah"",""ru"":""Аль-Китта"",""uk"":""Аль-Кіттах"",""pl"":""Al Kittah"",""hi"":""अल कित्ताह"",""ar"":""القطة""}",2019-10-06T10:07:33,2025-12-02T14:38:56,1,Q3505791
63137,Al Mazār al Janūbī,956,KA,111,JO,adm2,,,31.06722000,35.69486000,المزار الجنوبي,9383,Asia/Amman,"{""br"":""Al Mazār al Janūbī"",""ko"":""알 마자르 알 자누비"",""pt-BR"":""Al Mazār al Janūbī"",""pt"":""Al Mazār al Janūbī"",""nl"":""Al Mazār al Janūbī"",""hr"":""Al Mazār al Janūbī"",""fa"":""المزار الجنوبی"",""de"":""Al Mazār al Janūbī"",""es"":""Al Mazār al Janūbī"",""fr"":""Al Mazār al Janūbī"",""ja"":""アル・マザール・アル・ジャヌービー"",""it"":""Al Mazār al Janūbī"",""zh-CN"":""Al Mazār al Janūbī"",""tr"":""Al Mazār al Janūbī"",""ru"":""Al Mazār al Janūbī"",""uk"":""Аль-Мазар аль-Джанубі"",""pl"":""Al Mazār al Janūbī"",""hi"":""अल मज़ार अल जनूबी"",""ar"":""المزار الجنوبي""}",2019-10-06T10:07:33,2025-12-02T14:39:31,1,Q3505791
63138,Al Qaşr,956,KA,111,JO,adm2,,,31.31407000,35.74393000,القصر,3840,Asia/Amman,"{""br"":""Al Qaşr"",""ko"":""알 카스르"",""pt-BR"":""Al Qaşr"",""pt"":""Al Qaşr"",""nl"":""Al Qaşr"",""hr"":""Al Qaşr"",""fa"":""القصر"",""de"":""Al Qaşr"",""es"":""Al Qaşr"",""fr"":""Al Qasr"",""ja"":""アル・カシュル"",""it"":""Al Qaşr"",""zh-CN"":""卡什尔宫"",""tr"":""Al Qaşr"",""ru"":""Аль-Кашр"",""uk"":""Аль-Кашр"",""pl"":""Al Qaşr"",""hi"":""अल क़सर"",""ar"":""القصر""}",2019-10-06T10:07:33,2025-12-02T14:39:31,1,Q3505791
63139,Al Quwayrah,964,MN,111,JO,city,,,29.80045000,35.31160000,القويرة,7372,Asia/Amman,"{""br"":""Al Quwayrah"",""ko"":""알 쿠와이라"",""pt-BR"":""Al Quwayrah"",""pt"":""Al Quwayrah"",""nl"":""Al Quwayrah"",""hr"":""Al Quwayrah"",""fa"":""القویره"",""de"":""Al Quwayrah"",""es"":""Al Quwayrah"",""fr"":""Al Quwayrah"",""ja"":""アル・クワイラ"",""it"":""Al Quwayrah"",""zh-CN"":""库韦拉"",""tr"":""El Kuveyra"",""ru"":""Аль-Кувайра"",""uk"":""Аль-Кувайра"",""pl"":""Al Quwayrah"",""hi"":""अल कुवैरा"",""ar"":""القويرة""}",2019-10-06T10:07:33,2025-12-02T14:39:31,1,Q3505791
63140,Al Ḩamrā’,962,MA,111,JO,city,,,32.44017000,36.15265000,الحمراء,6211,Asia/Amman,"{""br"":""Al Ḩamrā’"",""ko"":""알 함라"",""pt-BR"":""Al Ḩamrā’"",""pt"":""Al Ḩamrā’"",""nl"":""Al Ḩamrā’"",""hr"":""Al Hamra"",""fa"":""الحمراء"",""de"":""Al Ḩamrā’"",""es"":""Al Hamra’"",""fr"":""Al Hamrā’"",""ja"":""アル・ハムラー"",""it"":""Al Ḩamrā’"",""zh-CN"":""阿尔·哈姆拉"",""tr"":""El Hamra"",""ru"":""Аль-Хамра"",""uk"":""Аль-Хамра"",""pl"":""Al Ḩamrā’"",""hi"":""अल हमरा"",""ar"":""الحمراء""}",2019-10-06T10:07:33,2025-12-02T14:39:31,1,Q3505791
63141,Amman,965,AM,111,JO,capital,,,31.95522000,35.94503000,عمان,1275857,Asia/Amman,"{""br"":""Amman"",""ko"":""암만"",""pt-BR"":""Amã"",""pt"":""Amã"",""nl"":""Amman"",""hr"":""Aman"",""fa"":""عمان"",""de"":""Amman"",""es"":""Ammán"",""fr"":""Amman"",""ja"":""アンマン"",""it"":""Amman"",""zh-CN"":""安曼"",""tr"":""Amman"",""ru"":""Амман"",""uk"":""Амман"",""pl"":""Amman"",""hi"":""अम्मान"",""ar"":""عمان""}",2019-10-06T10:07:33,2025-12-02T14:39:31,1,Q3805
63142,Aqaba,959,AQ,111,JO,adm1,,,29.52667000,35.00778000,العقبة,95048,Asia/Amman,"{""br"":""Akaba"",""ko"":""아카바"",""pt-BR"":""Aqaba"",""pt"":""Aqaba"",""nl"":""Aqaba"",""hr"":""Akaba"",""fa"":""عقبه"",""de"":""Akaba"",""es"":""Áqaba"",""fr"":""Aqaba"",""ja"":""アカバ"",""it"":""Aqaba"",""zh-CN"":""亚喀巴"",""tr"":""Akabe"",""ru"":""Акаба"",""uk"":""Акаба"",""pl"":""Akaba"",""hi"":""अकाबा"",""ar"":""العقبة""}",2019-10-06T10:07:33,2025-12-02T14:39:31,1,Q180522
63143,Ar Rabbah,956,KA,111,JO,city,,,31.26923000,35.73829000,الرباح,4229,Asia/Amman,"{""br"":""Ar Rabbah"",""ko"":""아르 라바"",""pt-BR"":""Ar Rabbah"",""pt"":""Ar Rabbah"",""nl"":""Ar Rabba"",""hr"":""Ar Rabbah"",""fa"":""آر رباح"",""de"":""Ar Rabbah"",""es"":""Ar Rabbah"",""fr"":""Ar Rabbah"",""ja"":""アル・ラバ"",""it"":""Ar Rabbah"",""zh-CN"":""拉巴"",""tr"":""Ar Rabbah"",""ru"":""Ар Рабба"",""uk"":""Ар-Рабба"",""pl"":""Ar Rabba"",""hi"":""अर रब्बा"",""ar"":""الرباح""}",2019-10-06T10:07:33,2025-12-02T14:39:31,1,Q847351
