id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
63211,Abashiri,832,01,109,JP,adm2,,,44.02127000,144.26971000,網走,35759,Asia/Tokyo,"{""br"":""Abashiri"",""ko"":""아바시리"",""pt-BR"":""Abashiri"",""pt"":""Abashiri"",""nl"":""Abashiri"",""hr"":""Abashiri"",""fa"":""ابشیری"",""de"":""Abashiri"",""es"":""abashiri"",""fr"":""Abashiri"",""ja"":""網走"",""it"":""Abashiri"",""zh-CN"":""网走"",""tr"":""Abaşiri"",""ru"":""Абашири"",""uk"":""Абашірі"",""pl"":""Abashiriego"",""hi"":""अबशीरी"",""ar"":""اباشيري""}",2019-10-06T10:07:33,2025-12-02T14:39:31,1,Q2828134
63212,Abashiri Shi,832,01,109,JP,city,,,43.98565000,144.21051000,網走市,,Asia/Tokyo,"{""br"":""Abashiri Shi"",""ko"":""아바시리시"",""pt-BR"":""Abashiri Shi"",""pt"":""Abashiri Shi"",""nl"":""Abashiri Shi"",""hr"":""Abashiri Shi"",""fa"":""ابشیری شی"",""de"":""Abashiri Shi"",""es"":""Abashiri Shi"",""fr"":""Abashiri Shi"",""ja"":""網走市"",""it"":""Abashiri Shi"",""zh-CN"":""网走市"",""tr"":""Abashiri Shi"",""ru"":""Абашири Ши"",""uk"":""Абашірі Ши"",""pl"":""Abashiri Shi"",""hi"":""अबशीरी शि"",""ar"":""اباشيري شي""}",2019-10-06T10:07:33,2025-12-02T16:59:27,1,Q305640
63213,Abiko,821,12,109,JP,adm2,,,35.86667000,140.01667000,我孫子,130290,Asia/Tokyo,"{""br"":""Abiko"",""ko"":""아비코"",""pt-BR"":""Abiko"",""pt"":""Abiko"",""nl"":""Abiko"",""hr"":""Abiko"",""fa"":""آبیکو"",""de"":""Abiko"",""es"":""Abiko"",""fr"":""Abiko"",""ja"":""我孫子"",""it"":""Abiko"",""zh-CN"":""我孙子"",""tr"":""Abiko"",""ru"":""Абико"",""uk"":""Абіко"",""pl"":""Abiko"",""hi"":""एबीको"",""ar"":""أبيكو""}",2019-10-06T10:07:33,2025-12-02T14:38:56,1,Q305640
63214,Abiko-shi,821,12,109,JP,adm2,,,35.86947000,140.06510000,我孫子市,62441,Asia/Tokyo,"{""br"":""Abiko-shi"",""ko"":""아비코시"",""pt-BR"":""Abiko-shi"",""pt"":""Abiko-shi"",""nl"":""Abiko-shi"",""hr"":""Abiko-shi"",""fa"":""آبیکو شی"",""de"":""Abiko-shi"",""es"":""Abiko-shi"",""fr"":""Abiko-shi"",""ja"":""我孫子市"",""it"":""Abiko-shi"",""zh-CN"":""我孙子市"",""tr"":""Abiko-şi"",""ru"":""Абико-ши"",""uk"":""Абіко-ші"",""pl"":""Abiko-shi"",""hi"":""Abiko-शि"",""ar"":""أبيكو شي""}",2019-10-06T10:07:33,2025-12-02T14:39:31,1,Q243859
63215,Adachi Ku,823,13,109,JP,city,,,35.77880000,139.79509000,足立区,,Asia/Tokyo,"{""br"":""Adachi Ku"",""ko"":""아다치 쿠"",""pt-BR"":""Adachi Ku"",""pt"":""Adachi Ku"",""nl"":""Adachi Ku"",""hr"":""Adachi Ku"",""fa"":""آداچی کو"",""de"":""Adachi Ku"",""es"":""Adachi Ku"",""fr"":""Adachi Ku"",""ja"":""足立区"",""it"":""Adachi Ku"",""zh-CN"":""足立久"",""tr"":""Adachi Ku"",""ru"":""Адачи Ку"",""uk"":""Адачі Ку"",""pl"":""Adachi Ku"",""hi"":""अदाची कु"",""ar"":""أداتشي كو""}",2019-10-06T10:07:33,2025-12-02T17:11:50,1,Q213464
63216,Agano Shi,841,15,109,JP,city,,,37.81420000,139.25914000,阿賀野市,,Asia/Tokyo,"{""br"":""Agano Shi"",""ko"":""아가노 시"",""pt-BR"":""Agano Shi"",""pt"":""Agano Shi"",""nl"":""Agano Shi"",""hr"":""Agano Ši"",""fa"":""آگانو شی"",""de"":""Agano Shi"",""es"":""Agano Shi"",""fr"":""Agano Shi"",""ja"":""阿賀野市"",""it"":""Agano Shi"",""zh-CN"":""阿贺野市"",""tr"":""Agano Shi"",""ru"":""Агано Ши"",""uk"":""Агано Ши"",""pl"":""Agano Shi"",""hi"":""अगानो शि"",""ar"":""أغانو شي""}",2019-10-06T10:07:33,2025-12-02T17:11:50,1,Q390466
63217,Agatsuma-gun,862,10,109,JP,city,,,36.57368000,138.67243000,吾妻郡,,Asia/Tokyo,"{""br"":""Fuzuilh Agatsuma"",""ko"":""아가츠마군"",""pt-BR"":""Arma Agatsuma"",""pt"":""Arma Agatsuma"",""nl"":""Agatsuma-pistool"",""hr"":""Agatsuma-puška"",""fa"":""تفنگ آگاتسوما"",""de"":""Agatsuma-Pistole"",""es"":""pistola agatsuma"",""fr"":""Pistolet Agatsuma"",""ja"":""吾妻郡"",""it"":""Pistola Agatsuma"",""zh-CN"":""我妻郡"",""tr"":""Agatsuma silahı"",""ru"":""Уезд Агацума"",""uk"":""Агацума-гармата"",""pl"":""Pistolet Agatsuma"",""hi"":""Agatsuma बंदूक"",""ar"":""أغاتسوما غون""}",2019-10-06T10:07:33,2025-12-02T16:59:27,1,Q642394
63218,Ageo Shi,860,11,109,JP,city,,,35.97043000,139.58159000,上尾市,,Asia/Tokyo,"{""br"":""Ageo Shi"",""ko"":""아게오 시"",""pt-BR"":""Ageo Shi"",""pt"":""Ageo Shi"",""nl"":""Ageo Shi"",""hr"":""Ageo Shi"",""fa"":""آجئو شی"",""de"":""Ageo Shi"",""es"":""Ageo Shi"",""fr"":""Ageo Shi"",""ja"":""上尾市"",""it"":""Ageo Shi"",""zh-CN"":""上尾史"",""tr"":""Ageo Shi"",""ru"":""Агео Ши"",""uk"":""Агео Ши"",""pl"":""Ageo Shi"",""hi"":""एजियो शि"",""ar"":""اجيو شي""}",2019-10-06T10:07:33,2025-12-02T17:11:50,1,Q163888
63219,Ageoshimo,860,11,109,JP,city,,,35.97145000,139.61382000,上尾下,,Asia/Tokyo,"{""br"":""Ageoshimo"",""ko"":""아게오시모"",""pt-BR"":""Ageoshimo"",""pt"":""Ageoshimo"",""nl"":""Ageoshimo"",""hr"":""Ageoshimo"",""fa"":""آژئوشیمو"",""de"":""Ageoshimo"",""es"":""Ageoshimo"",""fr"":""Âgeoshimo"",""ja"":""上尾下"",""it"":""Ageoshimo"",""zh-CN"":""上下"",""tr"":""Ageoshimo"",""ru"":""Агеошимо"",""uk"":""Агеошімо"",""pl"":""Ageoshimo"",""hi"":""एजियोशिमो"",""ar"":""أجوشيمو""}",2019-10-06T10:07:33,2025-12-02T17:11:50,1,Q163888
63220,Aioi,831,28,109,JP,adm2,,,34.80361000,134.46806000,相生,28350,Asia/Tokyo,"{""br"":""Aioi"",""ko"":""아이오이"",""pt-BR"":""Aioi"",""pt"":""Aioi"",""nl"":""Aioi"",""hr"":""Aioi"",""fa"":""آیوی"",""de"":""Aioi"",""es"":""Aioi"",""fr"":""Aïoi"",""ja"":""相生"",""it"":""Aioi"",""zh-CN"":""相生"",""tr"":""Aioi"",""ru"":""Айой"",""uk"":""Айої"",""pl"":""Aioi"",""hi"":""ऐयोई"",""ar"":""أيوي""}",2019-10-06T10:07:33,2025-12-02T14:38:56,1,Q406318
