id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
64772,Ahero,171,17,113,KE,city,,,-0.17359000,34.91890000,Amherno,11801,Africa/Nairobi,"{""br"":""Ahero"",""ko"":""아헤로"",""pt-BR"":""Ahero"",""pt"":""Ahero"",""nl"":""Ahero"",""hr"":""Ahero"",""fa"":""آهرو"",""de"":""Ahero"",""es"":""Ahero"",""fr"":""Ahero"",""ja"":""アヘロ"",""it"":""Ahero"",""zh-CN"":""阿赫罗"",""tr"":""Bir kahraman"",""ru"":""Ахеро"",""uk"":""Агеро"",""pl"":""Ahero"",""hi"":""नायक"",""ar"":""أهيرو""}",2019-10-06T10:07:43,2025-12-02T14:38:56,1,Q2280998
64773,Athi River,184,22,113,KE,city,,,-1.45630000,36.97826000,They say River,81302,Africa/Nairobi,"{""br"":""Stêr Athi"",""ko"":""아티 강"",""pt-BR"":""Rio Athi"",""pt"":""Rio Athi"",""nl"":""Athi-rivier"",""hr"":""Rijeka Athi"",""fa"":""رودخانه آتی"",""de"":""Athi-Fluss"",""es"":""Río Athi"",""fr"":""Rivière Athi"",""ja"":""アティ川"",""it"":""Fiume Athi"",""zh-CN"":""阿西河"",""tr"":""Athi Nehri"",""ru"":""Река Ати"",""uk"":""Річка Аті"",""pl"":""Rzeka Athi"",""hi"":""अथी नदी"",""ar"":""نهر أثي""}",2019-10-06T10:07:43,2025-12-02T14:38:56,1,Q4813647
64774,Baringo,181,01,113,KE,city,,,0.46667000,35.96667000,Baringo,7656,Africa/Nairobi,"{""br"":""Baringo"",""ko"":""바링고"",""pt-BR"":""Baringo"",""pt"":""Baringo"",""nl"":""Baringo"",""hr"":""Baringo"",""fa"":""بارینگو"",""de"":""Baringo"",""es"":""Baringo"",""fr"":""Baringo"",""ja"":""バリンゴ"",""it"":""Baringo"",""zh-CN"":""巴林戈"",""tr"":""Baringo"",""ru"":""Баринго"",""uk"":""Барінго"",""pl"":""Baringo"",""hi"":""बेरिगो"",""ar"":""بارينجو""}",2019-10-06T10:07:43,2025-12-02T14:39:31,1,Q4813647
64775,Bondo,186,38,113,KE,city,,,0.23522000,34.28086000,Kneecap,7797,Africa/Nairobi,"{""br"":""Bondo"",""ko"":""본도"",""pt-BR"":""Bondo"",""pt"":""Bondo"",""nl"":""Bondo"",""hr"":""Bondo"",""fa"":""باندو"",""de"":""Bondo"",""es"":""Bondo"",""fr"":""Bondo"",""ja"":""ボンド"",""it"":""Bondo"",""zh-CN"":""邦多"",""tr"":""Bağ"",""ru"":""Бондо"",""uk"":""Бондо"",""pl"":""Bondo"",""hi"":""बोंडो"",""ar"":""بوندو""}",2019-10-06T10:07:43,2025-12-02T14:38:56,1,Q1013242
64776,Bungoma,168,03,113,KE,adm1,,,0.56350000,34.56055000,Bungoma,55857,Africa/Nairobi,"{""br"":""Bungoma"",""ko"":""방고마"",""pt-BR"":""Bungoma"",""pt"":""Bungoma"",""nl"":""Bungoma"",""hr"":""Bungoma"",""fa"":""بونگوما"",""de"":""Bungoma"",""es"":""Bungoma"",""fr"":""Bungoma"",""ja"":""ブンゴマ"",""it"":""Bungoma"",""zh-CN"":""邦戈马"",""tr"":""Bungoma"",""ru"":""Бунгома"",""uk"":""Бунгома"",""pl"":""Bungoma"",""hi"":""बूँगोमा"",""ar"":""بونغوما""}",2019-10-06T10:07:43,2025-12-02T14:38:56,1,Q996851
64777,Busia,161,04,113,KE,adm1,,,0.46005000,34.11169000,Busia,71886,Africa/Nairobi,"{""br"":""Busia"",""ko"":""부시아"",""pt-BR"":""Busia"",""pt"":""Busia"",""nl"":""Busia"",""hr"":""Busia"",""fa"":""بوسیا"",""de"":""Busia"",""es"":""Busia"",""fr"":""Busia"",""ja"":""ブシア"",""it"":""Busia"",""zh-CN"":""布西亚"",""tr"":""Busia"",""ru"":""Бусия"",""uk"":""Бусія"",""pl"":""Busia"",""hi"":""बुसिया"",""ar"":""بوسيا""}",2019-10-06T10:07:43,2025-12-02T14:38:56,1,Q1111957
64778,Butere,158,11,113,KE,city,,,0.20694000,34.49006000,Brought,11205,Africa/Nairobi,"{""br"":""Butere"",""ko"":""부테레"",""pt-BR"":""Butere"",""pt"":""Butere"",""nl"":""Butere"",""hr"":""Butere"",""fa"":""بوتر"",""de"":""Butere"",""es"":""Butere"",""fr"":""Butere"",""ja"":""ブテレ"",""it"":""Butere"",""zh-CN"":""布特雷"",""tr"":""Butere"",""ru"":""Бутере"",""uk"":""Бутере"",""pl"":""Butere"",""hi"":""बुटेरे"",""ar"":""بوتيري""}",2019-10-06T10:07:43,2025-12-02T14:38:56,1,Q1017895
64779,Chepareria,208,47,113,KE,city,,,1.30583000,35.20365000,Chepareria,1073,Africa/Nairobi,"{""br"":""Chepareria"",""ko"":""체파레리아"",""pt-BR"":""Chepareria"",""pt"":""Chepareria"",""nl"":""Chepareria"",""hr"":""Chepareria"",""fa"":""چپاریا"",""de"":""Chepareria"",""es"":""Cheparería"",""fr"":""Chepareria"",""ja"":""チェパレリア"",""it"":""Chepareria"",""zh-CN"":""切帕雷里亚"",""tr"":""Chepareria"",""ru"":""Чепарерия"",""uk"":""Чепарерія"",""pl"":""Chepareria"",""hi"":""चेपेरेरिया"",""ar"":""تشيباريريا""}",2019-10-06T10:07:43,2025-12-02T14:39:31,1,Q1017895
64780,Chuka,185,41,113,KE,adm2,,,-0.33316000,37.64587000,Chuka,22388,Africa/Nairobi,"{""br"":""Chuka"",""ko"":""추카"",""pt-BR"":""Chuka"",""pt"":""Chuka"",""nl"":""Chuka"",""hr"":""Čuka"",""fa"":""چوکا"",""de"":""Chuka"",""es"":""Chuka"",""fr"":""Chuka"",""ja"":""チュカ"",""it"":""Chuka"",""zh-CN"":""楚卡"",""tr"":""Çuka"",""ru"":""Чука"",""uk"":""Чука"",""pl"":""Chuka"",""hi"":""चुका"",""ar"":""تشوكا""}",2019-10-06T10:07:43,2025-12-02T14:38:56,1,Q1017895
64781,Eldama Ravine,181,01,113,KE,city,,,0.05196000,35.72734000,Eldama Ravine,21385,Africa/Nairobi,"{""br"":""Eldama Ravine"",""ko"":""엘다마 계곡"",""pt-BR"":""Ravina de Eldama"",""pt"":""Ravina de Eldama"",""nl"":""Eldama-kloof"",""hr"":""Eldama Ravine"",""fa"":""دره الداما"",""de"":""Eldama-Schlucht"",""es"":""Barranco de Eldama"",""fr"":""Ravin d'Eldama"",""ja"":""エルダマ渓谷"",""it"":""Burrone di Eldama"",""zh-CN"":""埃尔达玛峡谷"",""tr"":""Eldama Vadisi"",""ru"":""Ущелье Элдама"",""uk"":""Ущелина Елдама"",""pl"":""Wąwóz Eldama"",""hi"":""एल्डामा खड्ड"",""ar"":""وادي إلداما""}",2019-10-06T10:07:43,2025-12-02T14:38:56,1,Q1009186
