id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
64882,Ak-Suu,1002,Y,118,KG,adm2,,,42.49948000,78.52702000,Ак-Суу,14009,Asia/Bishkek,"{""br"":""Ak-Suu"",""ko"":""악수"",""pt-BR"":""Ak-Suu"",""pt"":""Ak-Suu"",""nl"":""Ak-Suu"",""hr"":""Ak-Suu"",""fa"":""آک-سو"",""de"":""Ak-Suu"",""es"":""Ak-Suu"",""fr"":""Ak Suu"",""ja"":""アクスー"",""it"":""Ak-Suu"",""zh-CN"":""阿克苏"",""tr"":""Ak-Suu"",""ru"":""Ак-Суу"",""uk"":""Ак-Суу"",""pl"":""Ak-Suu"",""hi"":""Ak-सू"",""ar"":""أك سو""}",2019-10-06T10:07:43,2025-12-02T14:38:56,1,Q7701363
64883,Ala-Buka,1000,J,118,KG,city,,,41.40806000,71.46306000,Ала-Бука,15426,Asia/Bishkek,"{""br"":""Ala-Buka"",""ko"":""알라부카"",""pt-BR"":""Ala-Buka"",""pt"":""Ala-Buka"",""nl"":""Ala-Buka"",""hr"":""Ala-Buka"",""fa"":""آلا-بوکا"",""de"":""Ala-Buka"",""es"":""Ala-Buka"",""fr"":""Ala-Buka"",""ja"":""アラブカ"",""it"":""Ala-Buka"",""zh-CN"":""阿拉布卡"",""tr"":""Ala-Buka"",""ru"":""Ала-Бука"",""uk"":""Ала-Бука"",""pl"":""Ala-Buka"",""hi"":""अला-Buka"",""ar"":""علاء بوكا""}",2019-10-06T10:07:43,2025-12-02T16:59:27,1,Q401959
64884,Alamudunskiy Rayon,1004,C,118,KG,capital,,,42.81985000,74.59398000,Аламудун району,,Asia/Bishkek,"{""br"":""Alamudunskiy Rayon"",""ko"":""알라무둔스키 레이온"",""pt-BR"":""Alamudunskiy Rayon"",""pt"":""Alamudunskiy Rayon"",""nl"":""Alamudunskiy Rayon"",""hr"":""Alamudunski rajon"",""fa"":""شهرستان آلامودونسکی"",""de"":""Alamudunskiy Rayon"",""es"":""Distrito de Alamudunskiy"",""fr"":""Rayon d'Alamudunskiy"",""ja"":""アラムドゥンスキー・レーヨン"",""it"":""Alamudunskiy Rayon"",""zh-CN"":""阿拉穆敦斯基区"",""tr"":""Alamudunskiy Rayonu"",""ru"":""Аламудунский район"",""uk"":""Аламудський район"",""pl"":""Rejon Alamudunski"",""hi"":""अलमुदुन्स्की रेयोन"",""ar"":""رايون ألامودونسكي""}",2019-10-06T10:07:43,2025-12-02T17:11:50,1,Q670790
64885,At-Bashi,999,N,118,KG,adm2,,,41.16951000,75.80099000,Ат-Башы,14655,Asia/Bishkek,"{""br"":""At-Bashi"",""ko"":""아트바시"",""pt-BR"":""At-Bashi"",""pt"":""At-Bashi"",""nl"":""At-Bashi"",""hr"":""At-Baši"",""fa"":""آت باشی"",""de"":""At-Bashi"",""es"":""At-Bashi"",""fr"":""At-Bashi"",""ja"":""アトバシ"",""it"":""At-Bashi"",""zh-CN"":""阿特巴什"",""tr"":""At-Başi"",""ru"":""Ат-Баши"",""uk"":""Ат-Баші"",""pl"":""At-Bashi"",""hi"":""अत-बाशी"",""ar"":""أت-باشي""}",2019-10-06T10:07:43,2025-12-02T14:39:31,1,Q2349598
64886,Aydarken,998,B,118,KG,city,,,39.94319000,71.34184000,Айдаркен,10331,Asia/Bishkek,"{""br"":""Aydarken"",""ko"":""아이다르켄"",""pt-BR"":""Aydarken"",""pt"":""Aydarken"",""nl"":""Aydarken"",""hr"":""Aydarken"",""fa"":""آیدارکن"",""de"":""Aydarken"",""es"":""Aydarken"",""fr"":""Aydarken"",""ja"":""アイダーケン"",""it"":""Aydarken"",""zh-CN"":""艾达肯"",""tr"":""Aydarken"",""ru"":""Айдаркен"",""uk"":""Айдаркен"",""pl"":""Aydarken"",""hi"":""आयडार्केन"",""ar"":""أيداركن""}",2019-10-06T10:07:43,2025-12-02T14:38:56,1,Q2045904
64887,Balykchy,1002,Y,118,KG,city,,,42.46017000,76.18709000,Балыкчы,42875,Asia/Bishkek,"{""br"":""Balykchy"",""ko"":""발릭치"",""pt-BR"":""Balykchy"",""pt"":""Balykchy"",""nl"":""Balykchy"",""hr"":""Balikči"",""fa"":""بالیکچی"",""de"":""Balyktschy"",""es"":""Balykchy"",""fr"":""Balyktchy"",""ja"":""バルイクチ"",""it"":""Balykchy"",""zh-CN"":""巴雷克奇"",""tr"":""Balıkçı"",""ru"":""Балыкчи"",""uk"":""Баликчи"",""pl"":""Bałykczy"",""hi"":""बिश्केक"",""ar"":""باليكشي""}",2019-10-06T10:07:43,2025-12-02T14:39:31,1,Q805876
64888,Batken,998,B,118,KG,adm1,,,40.06259000,70.81939000,Баткен,27730,Asia/Bishkek,"{""br"":""Batken"",""ko"":""배트켄"",""pt-BR"":""Batken"",""pt"":""Batken"",""nl"":""Batken"",""hr"":""Batken"",""fa"":""باتکن"",""de"":""Batken"",""es"":""Batken"",""fr"":""Batken"",""ja"":""バトケン"",""it"":""Batken"",""zh-CN"":""巴特肯"",""tr"":""Batken"",""ru"":""Баткен"",""uk"":""Баткен"",""pl"":""Batken"",""hi"":""बैटकेन"",""ar"":""باتكن""}",2019-10-06T10:07:43,2025-12-02T14:38:56,1,Q478031
64889,Bazar-Korgon,1000,J,118,KG,adm2,,,41.03760000,72.74586000,Базар-Коргон,41011,Asia/Bishkek,"{""br"":""Bazar-Korgon"",""ko"":""바자르-코르곤"",""pt-BR"":""Bazar-Korgon"",""pt"":""Bazar-Korgon"",""nl"":""Bazar-Korgon"",""hr"":""Bazar-Korgon"",""fa"":""بازار-کورگون"",""de"":""Bazar-Korgon"",""es"":""Bazar-Korgon"",""fr"":""Bazar-Korgon"",""ja"":""バザール・コルゴン"",""it"":""Bazar-Korgon"",""zh-CN"":""巴扎尔-科尔贡"",""tr"":""Bazar-Korgon"",""ru"":""Базар-Коргон"",""uk"":""Базар-Коргон"",""pl"":""Bazar-Korgon"",""hi"":""बाजार-Korgon"",""ar"":""بازار-كورجون""}",2019-10-06T10:07:43,2025-12-02T14:38:56,1,Q1703230
64890,Belovodskoye,1004,C,118,KG,adm2,,,42.82944000,74.10830000,Беловодское,23046,Asia/Bishkek,"{""br"":""Belovodskoye"",""ko"":""벨로보츠코예"",""pt-BR"":""Belovodskoye"",""pt"":""Belovodskoye"",""nl"":""Belovodskoje"",""hr"":""Belovodskoje"",""fa"":""بلوودسکویه"",""de"":""Belowodskoje"",""es"":""Belovodskoye"",""fr"":""Belovodskoïe"",""ja"":""ベロヴォツコエ"",""it"":""Belovodskoye"",""zh-CN"":""别洛沃德斯科耶"",""tr"":""Belovodskoye"",""ru"":""Беловодское"",""uk"":""Біловодське"",""pl"":""Biełowodskoje"",""hi"":""बेलोवोदस्कॉय"",""ar"":""بيلوفودسكوي""}",2019-10-06T10:07:43,2025-12-02T14:38:56,1,Q816163
64891,Bishkek,1001,GB,118,KG,capital,,,42.87000000,74.59000000,Бишкек,900000,Asia/Bishkek,"{""br"":""Biskek"",""ko"":""비슈케크"",""pt-BR"":""Bishkek"",""pt"":""Bishkek"",""nl"":""Bisjkek"",""hr"":""Biškek"",""fa"":""بیشکک"",""de"":""Bischkek"",""es"":""Biskek"",""fr"":""Bichkek"",""ja"":""ビシュケク"",""it"":""Biškek"",""zh-CN"":""比什凯克"",""tr"":""Bişkek"",""ru"":""Бишкек"",""uk"":""Бішкек"",""pl"":""Biszkek"",""hi"":""बिश्केक"",""ar"":""بيشكيك""}",2019-10-06T10:07:43,2025-12-02T14:39:31,1,Q816163
