id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
64935,Angkor Chey,3981,7,37,KH,city,,,10.76667000,104.65000000,អង្គរជាយជ័យ,4191,Asia/Phnom_Penh,"{""ar"":""أنغكور تشي"",""br"":""Angkor Chey"",""de"":""Angkor Chey"",""es"":""Angkor Chey"",""fa"":""آنگکور چی"",""fr"":""Angkor Chey"",""hi"":""अंगकोर चेय"",""hr"":""Angkor Chey"",""it"":""Angkor Chey"",""ja"":""アンコール・チェイ"",""ko"":""앙코르 체이"",""nl"":""Angkor Chey"",""pl"":""Angkor Chey"",""pt"":""Angkor Chey"",""pt-BR"":""Angkor Chey"",""ru"":""Ангкор Чей"",""tr"":""Angkor Chey"",""uk"":""Ангкор-Чей"",""zh-CN"":""吴哥窟""}",2019-10-05T23:07:43,2025-12-02T14:39:31,1,Q4763325
64936,Bakan,3977,15,37,KH,adm2,,,12.78000000,103.79000000,ប៉ាស្ទ័រ,121229,Asia/Phnom_Penh,"{""ar"":""باكان"",""br"":""Bakan"",""de"":""Bakan"",""es"":""Bakan"",""fa"":""باکان"",""fr"":""Bakan"",""hi"":""बकान"",""hr"":""Bakan"",""it"":""Bakan"",""ja"":""バカン"",""ko"":""바칸"",""nl"":""Bakan"",""pl"":""Bakan"",""pt"":""Bakan"",""pt-BR"":""Bakan"",""ru"":""Бакан"",""tr"":""Bakan"",""uk"":""Бакан"",""zh-CN"":""巴坎""}",2019-10-05T23:07:43,2025-12-02T17:11:50,1,Q4849003
64937,Banlung,3990,16,37,KH,adm1,,,13.73939000,106.98727000,ហាមឃាត់នៅលើ,17000,Asia/Phnom_Penh,"{""ar"":""بانلونغ"",""br"":""Banlung"",""de"":""Banlung"",""es"":""Banlung"",""fa"":""بانلونگ"",""fr"":""Banlung"",""hi"":""बानलुंग"",""hr"":""Banlung"",""it"":""Banlung"",""ja"":""バンルン"",""ko"":""반룽"",""nl"":""Banlung"",""pl"":""Banlung"",""pt"":""Banlung"",""pt-BR"":""Banlung"",""ru"":""Банлунг"",""tr"":""Banlung"",""uk"":""Банлунг"",""zh-CN"":""邦隆""}",2019-10-05T23:07:43,2025-12-02T14:38:56,1,Q1350362
64938,Banteay Meas,3981,7,37,KH,city,,,10.61667000,104.53333000,បន្ទាយមាសមាស,4634,Asia/Phnom_Penh,"{""ar"":""بانتياي ميس"",""br"":""Banteay Meas"",""de"":""Banteay Meas"",""es"":""Banteay Meas"",""fa"":""بانتی میاس"",""fr"":""Banteay Meas"",""hi"":""बंतेय मीस"",""hr"":""Banteay Meas"",""it"":""Banteay Meas"",""ja"":""バンテアイ・メアス"",""ko"":""반테아이 메아스"",""nl"":""Banteay Meas"",""pl"":""Banteay Meas"",""pt"":""Banteay Meas"",""pt-BR"":""Banteay Meas"",""ru"":""Бантей Меас"",""tr"":""Banteay Ölçümü"",""uk"":""Бантей-Міас"",""zh-CN"":""班蒂米斯""}",2019-10-05T23:07:43,2025-12-02T14:39:31,1,Q4857204
64939,Baribour,3979,4,37,KH,adm2,,,12.43000000,104.47000000,បារម្កតោប,0,Asia/Phnom_Penh,"{""ar"":""باريبور"",""br"":""Baribour"",""de"":""Baribour"",""es"":""Baribour"",""fa"":""باریبور"",""fr"":""Baribour"",""hi"":""बारिबोर"",""hr"":""Baribour"",""it"":""Baribour"",""ja"":""バリボー"",""ko"":""바리부르"",""nl"":""Baribour"",""pl"":""Baribour"",""pt"":""Baribour"",""pt-BR"":""Baribour"",""ru"":""Барибур"",""tr"":""Baribour"",""uk"":""Барібур"",""zh-CN"":""巴里布尔""}",2019-10-05T23:07:43,2025-12-02T14:39:31,1,Q4860702
64940,Battambang,3976,2,37,KH,adm1,,,13.10271000,103.19822000,បាត់ដំបង,119251,Asia/Phnom_Penh,"{""ar"":""باتامبانغ"",""br"":""Battambang"",""de"":""Battambang"",""es"":""Battambang"",""fa"":""باتامبانگ"",""fr"":""Battambang"",""hi"":""बट्टमबैंग"",""hr"":""Battambang"",""it"":""Battambang"",""ja"":""バッタンバン"",""ko"":""바탐방"",""nl"":""Battambang"",""pl"":""Battambang"",""pt"":""Battambang"",""pt-BR"":""Battambang"",""ru"":""Баттамбанг"",""tr"":""Battambang"",""uk"":""Баттамбанг"",""zh-CN"":""马德望""}",2019-10-05T23:07:43,2025-12-02T14:38:56,1,Q748336
64941,Cheung Prey,3991,3,37,KH,adm2,,,12.10000000,105.07000000,ជើងព្រៃ,0,Asia/Phnom_Penh,"{""ar"":""تشيونغ بري"",""br"":""Cheung Prey"",""de"":""Cheung Prey"",""es"":""Cheung Prey"",""fa"":""چونگ پری"",""fr"":""Cheung Prey"",""hi"":""चेउंग प्री"",""hr"":""Cheung Prey"",""it"":""Cheung Prey"",""ja"":""チャン・プレイ"",""ko"":""장 프레이"",""nl"":""Cheung Prey"",""pl"":""Cheung Prey"",""pt"":""Cheung Prey"",""pt-BR"":""Cheung Prey"",""ru"":""Чунг Прей"",""tr"":""Cheung Avı"",""uk"":""Чеунг Прей"",""zh-CN"":""张普雷""}",2019-10-05T23:07:43,2025-12-02T14:39:31,1,Q4930086
64942,Chhouk,3981,7,37,KH,district,,,10.81667000,104.45000000,ស្រុកឈូក,0,Asia/Phnom_Penh,"{""ar"":""منطقة تشوك"",""br"":""Distrig Chhouk"",""de"":""Chhouk-Bezirk"",""es"":""Distrito de Chhouk"",""fa"":""شهرستان چوک"",""fr"":""District de Chhouk"",""hi"":""छौक जिला"",""hr"":""Okrug Chhouk"",""it"":""Distretto di Chhouk"",""ja"":""チョーク地区"",""ko"":""초크 지구"",""nl"":""Chhouk-district"",""pl"":""Dzielnica Chhouk"",""pt"":""Distrito de Chhouk"",""pt-BR"":""Distrito de Chhouk"",""ru"":""Район Чхоук"",""tr"":""Chhouk Bölgesi"",""uk"":""Район Чхук"",""zh-CN"":""乔克区""}",2019-10-05T23:07:43,2025-12-02T17:29:56,1,Q4929144
64943,Kampong Bay,3981,7,37,KH,section,,,10.59554000,104.17136000,កំពង់បាយ័ន,10514,Asia/Phnom_Penh,"{""ar"":""خليج كامبونج"",""br"":""Bae Kampong"",""de"":""Kampong Bay"",""es"":""Bahía de Kampong"",""fa"":""خلیج کامپونگ"",""fr"":""Baie de Kampong"",""hi"":""कम्पोंग खाड़ी"",""hr"":""Zaljev Kampong"",""it"":""Baia di Kampong"",""ja"":""カンポン湾"",""ko"":""캄퐁 베이"",""nl"":""Kampongbaai"",""pl"":""Zatoka Kampong"",""pt"":""Baía de Kampong"",""pt-BR"":""Baía de Kampong"",""ru"":""Залив Кампонг"",""tr"":""Kampong Körfezi"",""uk"":""Кампонг-Бей"",""zh-CN"":""甘榜湾""}",2019-10-05T23:07:43,2025-12-02T14:39:31,1,Q6359277
64944,Kampong Cham,3991,3,37,KH,city,,,11.98000000,105.44500000,កំពង់ចាម,4143,Asia/Phnom_Penh,"{""ar"":""كامبونج تشام"",""br"":""Kampong Cham"",""de"":""Kampong Cham"",""es"":""Kampong Cham"",""fa"":""کامپونگ چام"",""fr"":""Kampong Cham"",""hi"":""कम्पोंग चाम"",""hr"":""Kampong Čam"",""it"":""Kampong Cham"",""ja"":""コンポンチャム"",""ko"":""캄퐁참"",""nl"":""Kampong Cham"",""pl"":""Kampong Cham"",""pt"":""Kampong Cham"",""pt-BR"":""Kampong Cham"",""ru"":""Кампонгтям"",""tr"":""Kampong Cham"",""uk"":""Кампонг Чам"",""zh-CN"":""磅湛""}",2019-10-05T23:07:43,2025-12-02T14:39:31,1,Q4930039
