id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
65041,Abaiang,1831,G,114,KI,city,,,1.85293000,172.94369000,Abaiang,91,Pacific/Enderbury,"{""br"":""Abaiang"",""ko"":""아바이앙"",""pt-BR"":""Abaiang"",""pt"":""Abaiang"",""nl"":""Abaang"",""hr"":""Abaiang"",""fa"":""آبایانگ"",""de"":""Abaiang"",""es"":""Abaiang"",""fr"":""Abaïang"",""ja"":""アバヤン"",""it"":""Abaiang"",""zh-CN"":""阿拜昂"",""tr"":""Abayang"",""ru"":""Абайанг"",""uk"":""Абаянг"",""pl"":""Abaiang"",""hi"":""अबियांग"",""ar"":""أبايانغ""}",2019-10-06T10:07:44,2025-12-02T17:11:50,1,Q2428308
65042,Abemama,1831,G,114,KI,city,,,0.40000000,173.86667000,Abemama,,Pacific/Enderbury,"{""br"":""Abemama"",""ko"":""아베마마"",""pt-BR"":""Abemama"",""pt"":""Abemama"",""nl"":""Abemama"",""hr"":""Abemama"",""fa"":""آبماما"",""de"":""Abemama"",""es"":""Abemama"",""fr"":""Abemama"",""ja"":""アベママ"",""it"":""Abemama"",""zh-CN"":""阿贝玛玛"",""tr"":""Abemama"",""ru"":""Абемама"",""uk"":""Абемама"",""pl"":""Abemama"",""hi"":""अबेमामा"",""ar"":""أبيماما""}",2019-10-06T10:07:44,2025-12-02T17:11:50,1,Q2428308
65043,Ambo Village,1831,G,114,KI,city,,,1.35317000,173.04259000,Ambo Village,1688,Pacific/Tarawa,"{""br"":""Kêriadenn Ambo"",""ko"":""암보 마을"",""pt-BR"":""Vila Ambo"",""pt"":""Vila Ambo"",""nl"":""Ambo Dorp"",""hr"":""Selo Ambo"",""fa"":""روستای آمبو"",""de"":""Dorf Ambo"",""es"":""Pueblo de Ambo"",""fr"":""Village d'Ambo"",""ja"":""アンボ村"",""it"":""Villaggio di Ambo"",""zh-CN"":""安博村"",""tr"":""Ambo Köyü"",""ru"":""Деревня Амбо"",""uk"":""Село Амбо"",""pl"":""Wioska Ambo"",""hi"":""अम्बो गाँव"",""ar"":""قرية أمبو""}",2019-10-06T10:07:44,2025-12-02T14:39:55,1,Q27222398
65044,Aranuka,1831,G,114,KI,city,,,0.16428000,173.60579000,Aranuka,509,Pacific/Tarawa,"{""br"":""Aranuka"",""ko"":""아라누카"",""pt-BR"":""Aranuka"",""pt"":""Aranuka"",""nl"":""Aranuka"",""hr"":""Aranuka"",""fa"":""آرانوکا"",""de"":""Aranuka"",""es"":""Aranuka"",""fr"":""Aranuka"",""ja"":""アラヌカ"",""it"":""Aranuka"",""zh-CN"":""阿兰努卡"",""tr"":""Aranuka"",""ru"":""Аранука"",""uk"":""Аранука"",""pl"":""Aranuka"",""hi"":""अरनुका"",""ar"":""أرانوكا""}",2019-10-06T10:07:44,2025-12-02T14:39:55,1,Q27222398
65045,Arorae,1831,G,114,KI,city,,,-2.63493000,176.82229000,Arise,764,Pacific/Tarawa,"{""br"":""Arorae"",""ko"":""아로라에"",""pt-BR"":""Arorae"",""pt"":""Arorae"",""nl"":""Arorae"",""hr"":""Arorae"",""fa"":""آرورا"",""de"":""Arorae"",""es"":""Arorae"",""fr"":""Arorae"",""ja"":""アロラエ"",""it"":""Arorae"",""zh-CN"":""阿罗拉埃"",""tr"":""Arorae"",""ru"":""Арорае"",""uk"":""Арорае"",""pl"":""Arorae"",""hi"":""अरोड़ा"",""ar"":""أروراي""}",2019-10-06T10:07:44,2025-12-02T14:39:55,1,Q27222398
65046,Bairiki Village,1831,G,114,KI,city,,,1.32924000,172.97522000,Bairiki Village,2766,Pacific/Tarawa,"{""br"":""Kêriadenn Bairiki"",""ko"":""바이리키 마을"",""pt-BR"":""Vila Bairiki"",""pt"":""Vila Bairiki"",""nl"":""Bairiki-dorp"",""hr"":""Selo Bairiki"",""fa"":""روستای بایریکی"",""de"":""Dorf Bairiki"",""es"":""Pueblo de Bairiki"",""fr"":""Village de Bairiki"",""ja"":""バイリキ村"",""it"":""Villaggio Bairiki"",""zh-CN"":""拜里基村"",""tr"":""Bairiki Köyü"",""ru"":""Деревня Байрики"",""uk"":""Село Байрікі"",""pl"":""Wioska Bairiki"",""hi"":""बैरिकी गाँव"",""ar"":""قرية بايريكي""}",2019-10-06T10:07:44,2025-12-02T14:39:55,1,Q27222398
65047,Banaba,1831,G,114,KI,city,,,-0.85500000,169.53800000,Banaba,,Pacific/Enderbury,"{""br"":""Banaba"",""ko"":""바나바"",""pt-BR"":""Banaba"",""pt"":""Banaba"",""nl"":""Banaba"",""hr"":""Banaba"",""fa"":""بانابا"",""de"":""Banaba"",""es"":""Banaba"",""fr"":""Banaba"",""ja"":""バナバ"",""it"":""Banaba"",""zh-CN"":""巴纳巴"",""tr"":""Banaba"",""ru"":""Банаба"",""uk"":""Банаба"",""pl"":""Banaba"",""hi"":""बनबा"",""ar"":""بانابا""}",2019-10-06T10:07:44,2025-12-02T16:59:27,1,Q27222398
65048,Banana Village,1832,L,114,KI,city,,,1.98329000,-157.36526000,Banana Village,1170,Pacific/Kiritimati,"{""br"":""Kêriadenn bananez"",""ko"":""바나나 빌리지"",""pt-BR"":""Vila das Bananas"",""pt"":""Vila das Bananas"",""nl"":""Bananendorp"",""hr"":""Selo banana"",""fa"":""روستای موز"",""de"":""Bananendorf"",""es"":""Pueblo bananero"",""fr"":""Village de la banane"",""ja"":""バナナビレッジ"",""it"":""Villaggio delle banane"",""zh-CN"":""香蕉村"",""tr"":""Muz Köyü"",""ru"":""Банановая деревня"",""uk"":""Бананове село"",""pl"":""Wioska Bananowa"",""hi"":""केले का गाँव"",""ar"":""قرية الموز""}",2019-10-06T10:07:44,2025-12-02T14:38:56,1,Q27222398
65049,Banraeaba Village,1831,G,114,KI,city,,,1.34540000,173.03464000,Banraeaba Village,1789,Pacific/Tarawa,"{""br"":""Kêriadenn Banraeaba"",""ko"":""반래아바 마을"",""pt-BR"":""Vila de Banraeaba"",""pt"":""Vila de Banraeaba"",""nl"":""Banraeaba Dorp"",""hr"":""Selo Banraeaba"",""fa"":""روستای بانرایبا"",""de"":""Banraeaba Dorf"",""es"":""Aldea de Banraeaba"",""fr"":""Village de Banraeaba"",""ja"":""バンラエアバ村"",""it"":""Villaggio di Banraeaba"",""zh-CN"":""班莱巴村"",""tr"":""Banraeaba Köyü"",""ru"":""Деревня Банраеаба"",""uk"":""Село Банраеаба"",""pl"":""Wioska Banraeaba"",""hi"":""बनरायबा गाँव"",""ar"":""قرية بانرايبا""}",2019-10-06T10:07:44,2025-12-02T14:39:55,1,Q27222398
65050,Beru,1831,G,114,KI,city,,,-1.32957000,175.98072000,I take,2169,Pacific/Enderbury,"{""br"":""Beru"",""ko"":""베루"",""pt-BR"":""Beru"",""pt"":""Beru"",""nl"":""Beru"",""hr"":""Beru"",""fa"":""برو"",""de"":""Beru"",""es"":""Beru"",""fr"":""Béru"",""ja"":""ベルー"",""it"":""Beru"",""zh-CN"":""贝鲁"",""tr"":""Beru"",""ru"":""Беру"",""uk"":""Беру"",""pl"":""Beru"",""hi"":""बेरू"",""ar"":""بيرو""}",2019-10-06T10:07:44,2025-12-02T16:59:27,1,Q27222398
