id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
65079,Adda-Douéni,2821,A,49,KM,city,,,-12.29250000,44.49722000,أدا-دويني,11165,Indian/Comoro,"{""br"":""Adda-Douéni"",""ko"":""아다-두에니"",""pt-BR"":""Adda-Douéni"",""pt"":""Adda-Douéni"",""nl"":""Adda-Douéni"",""hr"":""Adda-Douéni"",""fa"":""آدا-دوئنی"",""de"":""Adda-Douéni"",""es"":""Adda-Douéni"",""fr"":""Adda-Douéni"",""ja"":""アダ・ドゥエニ"",""it"":""Adda-Douéni"",""zh-CN"":""阿达-杜埃尼"",""tr"":""Adda-Douéni"",""ru"":""Адда-Дуэни"",""uk"":""Адда-Дуені"",""pl"":""Adda-Douéni"",""hi"":""अड्डा-डौएनी"",""ar"":""أدا-دويني""}",2019-10-06T10:07:44,2025-12-02T14:38:56,1,Q2824136
65080,Antsahé,2821,A,49,KM,city,,,-12.35639000,44.52250000,أنتساهي,1328,Indian/Comoro,"{""br"":""Antsahé"",""ko"":""안차헤"",""pt-BR"":""Antsahé"",""pt"":""Antsahé"",""nl"":""Antsahé"",""hr"":""Antsahé"",""fa"":""آنتساهه"",""de"":""Antsahé"",""es"":""Antsahé"",""fr"":""Antsahé"",""ja"":""アンツァヘ"",""it"":""Antsahé"",""zh-CN"":""安萨赫"",""tr"":""Antsahé"",""ru"":""Антсахе"",""uk"":""Антсахе"",""pl"":""Antsahé"",""hi"":""अंत्साहे"",""ar"":""أنتساهي""}",2019-10-06T10:07:44,2025-12-02T14:38:56,1,Q2857608
65081,Assimpao,2821,A,49,KM,city,,,-12.23306000,44.31972000,أسيمباو,1252,Indian/Comoro,"{""br"":""Assimpao"",""ko"":""아심파오"",""pt-BR"":""Assimpao"",""pt"":""Assimpao"",""nl"":""Assimpao"",""hr"":""Assimpao"",""fa"":""آسیمپائو"",""de"":""Assimpao"",""es"":""Assimpao"",""fr"":""Assimpao"",""ja"":""アシンパオ"",""it"":""Assimpao"",""zh-CN"":""阿辛帕奥"",""tr"":""Assimpao"",""ru"":""Ассимпао"",""uk"":""Ассімпао"",""pl"":""Assimpao"",""hi"":""असिम्पाओ"",""ar"":""أسيمباو""}",2019-10-06T10:07:44,2025-12-02T14:38:56,1,Q2867178
65082,Bahani,2822,G,49,KM,city,,,-11.63972000,43.28417000,بهاني,1454,Indian/Comoro,"{""br"":""Bahani"",""ko"":""바하니"",""pt-BR"":""Bahani"",""pt"":""Bahani"",""nl"":""Bahani"",""hr"":""Bahani"",""fa"":""بهانی"",""de"":""Bahani"",""es"":""Bahani"",""fr"":""Bahani"",""ja"":""バハニ"",""it"":""Bahani"",""zh-CN"":""巴哈尼"",""tr"":""Bahani"",""ru"":""Бахани"",""uk"":""Бахані"",""pl"":""Bahani"",""hi"":""बहानी"",""ar"":""بهاني""}",2019-10-06T10:07:44,2025-12-02T14:38:56,1,Q2879261
65083,Bambadjani,2822,G,49,KM,city,,,-11.47861000,43.37722000,بامبادجاني,1549,Indian/Comoro,"{""br"":""Bambadjani"",""ko"":""밤바자니"",""pt-BR"":""Bambadjani"",""pt"":""Bambadjani"",""nl"":""Bambadjani"",""hr"":""Bambadžani"",""fa"":""بمبادجانی"",""de"":""Bambadjani"",""es"":""Bambadjani"",""fr"":""Bambadjani"",""ja"":""バンバジャニ"",""it"":""Bambadjani"",""zh-CN"":""班巴贾尼"",""tr"":""Bambadjani"",""ru"":""Бамбаджани"",""uk"":""Бамбаджані"",""pl"":""Bambadżani"",""hi"":""बम्बादजानी"",""ar"":""بامبادجاني""}",2019-10-06T10:07:44,2025-12-02T14:38:56,1,Q923118
65084,Bambao,2821,A,49,KM,city,,,-12.20325000,44.51638000,بامباو,2699,Indian/Comoro,"{""br"":""Bambao"",""ko"":""밤바오"",""pt-BR"":""Bambao"",""pt"":""Bambao"",""nl"":""Bambao"",""hr"":""Bambus"",""fa"":""بامبائو"",""de"":""Bambus"",""es"":""Bambú"",""fr"":""Bambao"",""ja"":""バンバオ"",""it"":""Bambao"",""zh-CN"":""竹子"",""tr"":""Bambao"",""ru"":""Бамбао"",""uk"":""Бамбук"",""pl"":""Bambus"",""hi"":""बंबाओ"",""ar"":""بامباو""}",2019-10-06T10:07:44,2025-12-02T14:39:31,1,Q923118
65085,Bandajou,2821,A,49,KM,city,,,-12.19167000,44.28694000,بانداجو,2044,Indian/Comoro,"{""br"":""Bandajou"",""ko"":""반다주"",""pt-BR"":""Bandajou"",""pt"":""Bandajou"",""nl"":""Bandajou"",""hr"":""Bandajou"",""fa"":""بانداجو"",""de"":""Bandajou"",""es"":""Bandajou"",""fr"":""Bandajou"",""ja"":""バンダジュー"",""it"":""Bandajou"",""zh-CN"":""班达茹"",""tr"":""Bandajou"",""ru"":""Бандажу"",""uk"":""Банджажу"",""pl"":""Bandajou"",""hi"":""बंदाजौ"",""ar"":""بانداجو""}",2019-10-06T10:07:44,2025-12-02T14:38:56,1,Q2882134
65086,Barakani,2821,A,49,KM,section,,,-12.13861000,44.43026000,باراكاني,6854,Indian/Comoro,"{""br"":""Barakani"",""ko"":""바라카니"",""pt-BR"":""Barakani"",""pt"":""Barakani"",""nl"":""Barakani"",""hr"":""Barakani"",""fa"":""برکانی"",""de"":""Barakani"",""es"":""Barakani"",""fr"":""Barakani"",""ja"":""バラカニ"",""it"":""Barakani"",""zh-CN"":""巴拉卡尼"",""tr"":""Barakani"",""ru"":""Баракани"",""uk"":""Баракані"",""pl"":""Barakani"",""hi"":""बाराकानी"",""ar"":""باراكاني""}",2019-10-06T10:07:44,2025-12-02T14:38:56,1,Q2883788
65087,Bimbini,2821,A,49,KM,city,,,-12.18833000,44.23556000,بيمبيني,2052,Indian/Comoro,"{""br"":""Bimbini"",""ko"":""빔비니"",""pt-BR"":""Bimbini"",""pt"":""Bimbini"",""nl"":""Bimbini"",""hr"":""Bimbini"",""fa"":""بیمبینی"",""de"":""Bimbini"",""es"":""Bimbini"",""fr"":""Bimbini"",""ja"":""ビンビニ"",""it"":""Bimbini"",""zh-CN"":""比比尼"",""tr"":""Bimbini"",""ru"":""Бимбини"",""uk"":""Бімбіні"",""pl"":""Bimbini"",""hi"":""बिम्बिनी"",""ar"":""بيمبيني""}",2019-10-06T10:07:44,2025-12-02T14:38:56,1,Q2903802
65088,Boungouéni,2821,A,49,KM,city,,,-12.20556000,44.29944000,بونغويني,2775,Indian/Comoro,"{""br"":""Boungouéni"",""ko"":""Boungouéni"",""pt-BR"":""Boungouéni"",""pt"":""Boungouéni"",""nl"":""Boungouéni"",""hr"":""Boungouéni"",""fa"":""بونگوئنی"",""de"":""Boungouéni"",""es"":""Boungouéni"",""fr"":""Boungouéni"",""ja"":""ブンゴエニ"",""it"":""Boungouéni"",""zh-CN"":""邦古埃尼"",""tr"":""Boungouéni"",""ru"":""Бунгуэни"",""uk"":""Бунгуені"",""pl"":""Boungouéni"",""hi"":""बौंगौएनी"",""ar"":""بونغويني""}",2019-10-06T10:07:44,2025-12-02T14:38:56,1,Q2922202
