id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
65167,Cayon,3844,08,185,KN,adm1,,,17.35000000,-62.73333000,Cayon,788,America/St_Kitts,"{""br"":""Cayon"",""ko"":""케이온"",""pt-BR"":""Cayon"",""pt"":""Cayon"",""nl"":""Kloof"",""hr"":""Cayon"",""fa"":""کایون"",""de"":""Cayon"",""es"":""Cayón"",""fr"":""Cayon"",""ja"":""ケイヨン"",""it"":""Cayon"",""zh-CN"":""卡永"",""tr"":""Cayon"",""ru"":""Кайон"",""uk"":""Кайон"",""pl"":""Cayon"",""hi"":""केयॉन"",""ar"":""كايون""}",2019-10-06T10:07:45,2025-12-02T14:39:31,1,Q3316336
65168,Charlestown,3838,10,185,KN,adm1,,,17.13333000,-62.61667000,Charlestown,1538,America/St_Kitts,"{""br"":""Charlestown"",""ko"":""찰스타운"",""pt-BR"":""Charlestown"",""pt"":""Charlestown"",""nl"":""Charlestown"",""hr"":""Charlestown"",""fa"":""چارلزتاون"",""de"":""Charlestown"",""es"":""Charlestown"",""fr"":""Charlestown"",""ja"":""チャールズタウン"",""it"":""Charlestown"",""zh-CN"":""查尔斯顿"",""tr"":""Charlestown"",""ru"":""Чарльзтаун"",""uk"":""Чарльзтаун"",""pl"":""Charlestown"",""hi"":""Charlestown"",""ar"":""تشارلزتاون""}",2019-10-06T10:07:45,2025-12-02T14:39:31,1,Q992311
65169,Cotton Ground,3839,12,185,KN,adm1,,,17.16667000,-62.61667000,Cotton Ground,381,America/St_Kitts,"{""br"":""Douar kotoñs"",""ko"":""코튼 그라운드"",""pt-BR"":""Algodão moído"",""pt"":""Algodão moído"",""nl"":""Katoenen grond"",""hr"":""Pamučna zemlja"",""fa"":""پنبه آسیاب شده"",""de"":""Baumwollboden"",""es"":""Tierra de algodón"",""fr"":""Coton moulu"",""ja"":""コットングラウンド"",""it"":""Cotton Ground"",""zh-CN"":""棉地"",""tr"":""Pamuk Zemin"",""ru"":""Хлопковая земля"",""uk"":""Бавовняна земля"",""pl"":""Podłoże bawełniane"",""hi"":""कपास जमीन"",""ar"":""أرض القطن""}",2019-10-06T10:07:45,2025-12-02T14:38:56,1,Q3394446
65170,Dieppe Bay Town,3845,06,185,KN,adm1,,,17.41473000,-62.81390000,Dieppe Bay Town,592,America/St_Kitts,"{""br"":""Kêr Bae Dieppe"",""ko"":""디에프 베이 타운"",""pt-BR"":""Cidade da Baía de Dieppe"",""pt"":""Cidade da Baía de Dieppe"",""nl"":""Dieppe Bay Town"",""hr"":""Grad zaljeva Dieppe"",""fa"":""شهر خلیج دیپه"",""de"":""Dieppe Bay Town"",""es"":""Ciudad de la bahía de Dieppe"",""fr"":""Ville de la baie de Dieppe"",""ja"":""ディエップベイタウン"",""it"":""Città della baia di Dieppe"",""zh-CN"":""迪耶普湾镇"",""tr"":""Dieppe Körfezi Kasabası"",""ru"":""Город Дьепп-Бей"",""uk"":""Дьєпп-Бей-Таун"",""pl"":""Miasto Dieppe Bay"",""hi"":""डिएप्पे बे टाउन"",""ar"":""مدينة دييب باي""}",2019-10-06T10:07:45,2025-12-02T14:38:56,1,Q1010810
65171,Fig Tree,3840,07,185,KN,adm1,,,17.12623000,-62.60265000,Fig Tree,2922,America/St_Kitts,"{""br"":""Gwezenn-fiez"",""ko"":""무화과나무"",""pt-BR"":""Figueira"",""pt"":""Figueira"",""nl"":""Vijgeboom"",""hr"":""Smokva"",""fa"":""درخت انجیر"",""de"":""Feigenbaum"",""es"":""Higuera"",""fr"":""Figuier"",""ja"":""イチジクの木"",""it"":""Fico"",""zh-CN"":""无花果树"",""tr"":""İncir Ağacı"",""ru"":""Смоковница"",""uk"":""Фігове дерево"",""pl"":""Drzewo figowe"",""hi"":""अंजीर का वृक्ष"",""ar"":""شجرة التين""}",2019-10-06T10:07:45,2025-12-02T14:39:31,1,Q3395177
65172,Market Shop,3837,04,185,KN,adm1,,,17.13218000,-62.57267000,Market Shop,2568,America/St_Kitts,"{""br"":""Stal marc'had"",""ko"":""마켓샵"",""pt-BR"":""Loja de Mercado"",""pt"":""Loja de Mercado"",""nl"":""Marktwinkel"",""hr"":""Trgovina na tržnici"",""fa"":""فروشگاه بازار"",""de"":""Marktladen"",""es"":""Tienda de mercado"",""fr"":""Boutique du marché"",""ja"":""マーケットショップ"",""it"":""Negozio del mercato"",""zh-CN"":""市场商店"",""tr"":""Pazar Dükkanı"",""ru"":""Магазин на рынке"",""uk"":""Ринковий магазин"",""pl"":""Sklep targowy"",""hi"":""बाज़ार की दुकान"",""ar"":""متجر السوق""}",2019-10-06T10:07:45,2025-12-02T14:38:56,1,Q3398739
65173,Middle Island,3842,13,185,KN,adm1,,,17.32590000,-62.81055000,Middle Island,2332,America/St_Kitts,"{""br"":""Enez ar C'hreiz"",""ko"":""미들 아일랜드"",""pt-BR"":""Ilha do Meio"",""pt"":""Ilha do Meio"",""nl"":""Midden-eiland"",""hr"":""Srednji otok"",""fa"":""جزیره میانی"",""de"":""Mittelinsel"",""es"":""Isla del Medio"",""fr"":""Île du Milieu"",""ja"":""ミドルアイランド"",""it"":""Isola di Mezzo"",""zh-CN"":""中岛"",""tr"":""Orta Ada"",""ru"":""Средний остров"",""uk"":""Середній острів"",""pl"":""Wyspa Środkowa"",""hi"":""मध्य द्वीप"",""ar"":""الجزيرة الوسطى""}",2019-10-06T10:07:45,2025-12-02T14:38:56,1,Q3394074
65174,Monkey Hill,3831,11,185,KN,adm1,,,17.32327000,-62.72914000,Monkey Hill,592,America/St_Kitts,"{""br"":""Monkey Monkey"",""ko"":""몽키 힐"",""pt-BR"":""Colina dos Macacos"",""pt"":""Colina dos Macacos"",""nl"":""Apenheuvel"",""hr"":""Majmunsko brdo"",""fa"":""تپه میمون‌ها"",""de"":""Affenhügel"",""es"":""Colina de los monos"",""fr"":""La colline des singes"",""ja"":""モンキーヒル"",""it"":""Monkey Hill"",""zh-CN"":""猴山"",""tr"":""Maymun Tepesi"",""ru"":""Холм обезьян"",""uk"":""Мавпячий пагорб"",""pl"":""Wzgórze Małp"",""hi"":""मंकी हिल"",""ar"":""تلة القرد""}",2019-10-06T10:07:45,2025-12-02T14:38:56,1,Q3395174
65175,Newcastle,3835,05,185,KN,adm1,,,17.20000000,-62.58333000,Newcastle,493,America/St_Kitts,"{""br"":""Kastell-Nevez"",""ko"":""뉴캐슬"",""pt-BR"":""Newcastle"",""pt"":""Newcastle"",""nl"":""Newcastle"",""hr"":""Newcastle"",""fa"":""نیوکاسل"",""de"":""Newcastle"",""es"":""Newcastle"",""fr"":""Newcastle"",""ja"":""ニューカッスル"",""it"":""Newcastle"",""zh-CN"":""纽卡斯尔"",""tr"":""Newcastle"",""ru"":""Ньюкасл"",""uk"":""Ньюкасл"",""pl"":""Newcastle"",""hi"":""न्यूकासल"",""ar"":""نيوكاسل""}",2019-10-06T10:07:45,2025-12-02T14:38:56,1,Q2835379
65176,Nicola Town,3833,01,185,KN,adm1,,,17.37956000,-62.75318000,Nicola Town,2059,America/St_Kitts,"{""br"":""Kêr Nicola"",""ko"":""니콜라 타운"",""pt-BR"":""Nicola Town"",""pt"":""Nicola Town"",""nl"":""Nicola Town"",""hr"":""Grad Nicola"",""fa"":""نیکولا تاون"",""de"":""Nicola Town"",""es"":""Nicola Town"",""fr"":""Ville de Nicola"",""ja"":""ニコラタウン"",""it"":""Nicola Town"",""zh-CN"":""尼古拉镇"",""tr"":""Nicola Kasabası"",""ru"":""Никола Таун"",""uk"":""Нікола-Таун"",""pl"":""Miasto Nicola"",""hi"":""निकोला टाउन"",""ar"":""نيكولا تاون""}",2019-10-06T10:07:45,2025-12-02T14:39:31,1,Q3394454
