id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
65180,Anak,4004,06,115,KP,city,,,38.51083000,125.49417000,아낙,19995,Asia/Pyongyang,"{""br"":""Anak"",""ko"":""아낙"",""pt-BR"":""Anak"",""pt"":""Anak"",""nl"":""Anak"",""hr"":""Anak"",""fa"":""آناک"",""de"":""Anak"",""es"":""Anak"",""fr"":""Enfant"",""ja"":""アナク"",""it"":""Anak"",""zh-CN"":""亚纳克"",""tr"":""Çocuklar"",""ru"":""Анак"",""uk"":""Анак"",""pl"":""Anak"",""hi"":""अनाक"",""ar"":""أناك""}",2019-10-06T10:07:45,2025-12-02T14:39:31,1,Q3398703
65181,Anbyŏn-ŭp,3999,07,115,KP,city,,,39.04250000,127.52389000,안변읍,31845,Asia/Pyongyang,"{""br"":""Anbyŏn-ŭp"",""ko"":""안변읍"",""pt-BR"":""Anbyŏn-ŭp"",""pt"":""Anbyŏn-ŭp"",""nl"":""Anbyŏn-ŭp"",""hr"":""Anbyŏn-ŭp"",""fa"":""آنبیون-وپ"",""de"":""Anbyŏn-ŭp"",""es"":""Anbyŏn-ŭp"",""fr"":""Anbyŏn-ŭp"",""ja"":""アンビョン・ウープ"",""it"":""Anbyŏn-ŭp"",""zh-CN"":""安比翁-卢普"",""tr"":""Anbyŏn-ŭp"",""ru"":""Anbyŏn-ŭp"",""uk"":""Анбьон-уп"",""pl"":""Anbyŏn-ŭp"",""hi"":""Anbyŏn-अप"",""ar"":""أنبيون-أوب""}",2019-10-06T10:07:45,2025-12-02T14:39:31,1,Q3398703
65182,Anju,3997,02,115,KP,city,,,39.61778000,125.66472000,안주,50196,Asia/Pyongyang,"{""br"":""Anju"",""ko"":""안주"",""pt-BR"":""Anju"",""pt"":""Anju"",""nl"":""Anju"",""hr"":""Anju"",""fa"":""آنجو"",""de"":""Anju"",""es"":""Anju"",""fr"":""Anju"",""ja"":""アンジュ"",""it"":""Anju"",""zh-CN"":""安居"",""tr"":""Anju"",""ru"":""Анджу"",""uk"":""Анджу"",""pl"":""Andżu"",""hi"":""अंजू"",""ar"":""أنجو""}",2019-10-06T10:07:45,2025-12-02T14:39:31,1,Q196236
65183,Aoji,3995,09,115,KP,city,,,42.52448000,130.39718000,아오지,34248,Asia/Pyongyang,"{""br"":""Aoji"",""ko"":""아오지"",""pt-BR"":""Aoji"",""pt"":""Aoji"",""nl"":""Aoji"",""hr"":""Aoji"",""fa"":""آئوجی"",""de"":""Aoji"",""es"":""Aoji"",""fr"":""Aoji"",""ja"":""アオジ"",""it"":""Aoji"",""zh-CN"":""青吉"",""tr"":""Aoji"",""ru"":""Аодзи"",""uk"":""Аоджі"",""pl"":""Aoji"",""hi"":""आओजी"",""ar"":""أوجي""}",2019-10-06T10:07:45,2025-12-02T14:39:31,1,Q196236
65184,Ayang-ni,4003,05,115,KP,city,,,38.24306000,125.78000000,아양리,,Asia/Pyongyang,"{""br"":""Ayang-ni"",""ko"":""아양리"",""pt-BR"":""Ayang-ni"",""pt"":""Ayang-ni"",""nl"":""Ayang-ni"",""hr"":""Ayang-ni"",""fa"":""آیانگ-نی"",""de"":""Ayang-ni"",""es"":""Ayang-ni"",""fr"":""Ayang-ni"",""ja"":""アヤンニ"",""it"":""Ayang-ni"",""zh-CN"":""阿养妮"",""tr"":""Ayang-ni"",""ru"":""Аян-ни"",""uk"":""Аян-ні"",""pl"":""Ayang-ni"",""hi"":""अयांग-नी"",""ar"":""أيانغ ني""}",2019-10-06T10:07:45,2025-12-02T17:11:50,1,Q196236
65185,Chaeryŏng-ŭp,4003,05,115,KP,adm2,,,38.39917000,125.61556000,채령읍,53330,Asia/Pyongyang,"{""br"":""Chaeryŏng-ŭp"",""ko"":""채령읍"",""pt-BR"":""Chaeryŏng-ŭp"",""pt"":""Chaeryŏng-ŭp"",""nl"":""Chaeryŏng-ŭp"",""hr"":""Chaeryŏng-ŭp"",""fa"":""چاریونگ-وپ"",""de"":""Chaeryŏng-ŭp"",""es"":""Chaeryong-up"",""fr"":""Chaeryŏng-ŭp"",""ja"":""チェリョン・ウプ"",""it"":""Chaeryŏng-ŭp"",""zh-CN"":""彩玲-ŭp"",""tr"":""Chaeryŏng-ŭp"",""ru"":""Chaeryŏng-ŭp"",""uk"":""Чейонг-уп"",""pl"":""Chaeryŏng-ŭp"",""hi"":""Chaeryŏng-अप"",""ar"":""تشايريونغ-أوب""}",2019-10-06T10:07:45,2025-12-02T14:39:31,1,Q196236
65186,Changgang-gun,3998,04,115,KP,city,,,41.06333000,126.72556000,창강군,,Asia/Pyongyang,"{""br"":""Changgang-gun"",""ko"":""창강군"",""pt-BR"":""Changgang-gun"",""pt"":""Changgang-gun"",""nl"":""Changgang-gun"",""hr"":""Changgang-gun"",""fa"":""چانگگانگ-گان"",""de"":""Changgang-gun"",""es"":""Changgang-gun"",""fr"":""District de Changgang"",""ja"":""昌江郡"",""it"":""Changgang-gun"",""zh-CN"":""长江郡"",""tr"":""Changgang-gun"",""ru"":""Чанган-гун"",""uk"":""Чанган-ґун"",""pl"":""Changgang-gun"",""hi"":""चांगगांग-गन"",""ar"":""تشانغانغ-غون""}",2019-10-06T10:07:45,2025-12-02T16:59:27,1,Q707395
65187,Changyŏn,4003,05,115,KP,city,,,38.25083000,125.09611000,창연,39368,Asia/Pyongyang,"{""br"":""Changyŏn"",""ko"":""창연"",""pt-BR"":""Changyon"",""pt"":""Changyon"",""nl"":""Changyŏn"",""hr"":""Changyŏn"",""fa"":""Changyŏn"",""de"":""Changyŏn"",""es"":""Changyon"",""fr"":""Changyŏn"",""ja"":""チャンイン"",""it"":""Changyŏn"",""zh-CN"":""昌殷"",""tr"":""Changyŏn"",""ru"":""Чангён"",""uk"":""Changyŏn"",""pl"":""Changyŏn"",""hi"":""चंग्योन"",""ar"":""تشانغين""}",2019-10-06T10:07:45,2025-12-02T14:39:31,1,Q707395
65188,Chasŏng,3998,04,115,KP,city,,,41.46083000,126.64139000,차성,12736,Asia/Pyongyang,"{""br"":""Chasŏng"",""ko"":""차성"",""pt-BR"":""Perseguindo"",""pt"":""Perseguindo"",""nl"":""Chasŏng"",""hr"":""Chasŏng"",""fa"":""چاسونگ"",""de"":""Chasŏng"",""es"":""Chasong"",""fr"":""Chasŏng"",""ja"":""チャソン"",""it"":""Chasŏng"",""zh-CN"":""查森"",""tr"":""Chasŏng"",""ru"":""Часон"",""uk"":""Часонг"",""pl"":""Chasŏng"",""hi"":""चासोंग"",""ar"":""تشاسونغ""}",2019-10-06T10:07:45,2025-12-02T14:39:31,1,Q707395
65189,Chongjin,3995,09,115,KP,adm1,,,41.79556000,129.77583000,청진,327000,Asia/Pyongyang,"{""br"":""Chongjin"",""ko"":""청진"",""pt-BR"":""Chongjin"",""pt"":""Chongjin"",""nl"":""Chongjin"",""hr"":""Chongjin"",""fa"":""چونجین"",""de"":""Chongjin"",""es"":""Chongjin"",""fr"":""Chongjin"",""ja"":""清津"",""it"":""Chongjin"",""zh-CN"":""清津"",""tr"":""Chongjin"",""ru"":""Чхонджин"",""uk"":""Chongjin"",""pl"":""Chongjin"",""hi"":""चोंगजिन"",""ar"":""تشونغجين""}",2019-10-06T10:07:45,2025-12-02T14:39:31,1,Q109336
65190,Chunghwa,4005,01,115,KP,city,,,38.86389000,125.80000000,중화,19346,Asia/Pyongyang,"{""br"":""Chunghwa"",""ko"":""중화"",""pt-BR"":""Chunghwa"",""pt"":""Chunghwa"",""nl"":""Chunghwa"",""hr"":""Čunghva"",""fa"":""چونگهوا"",""de"":""Chunghwa"",""es"":""Chunghwa"",""fr"":""Chunghwa"",""ja"":""中華"",""it"":""Chunghwa"",""zh-CN"":""中华"",""tr"":""Çunghwa"",""ru"":""Чхунхва"",""uk"":""Чунхва"",""pl"":""Chunghwa"",""hi"":""Chunghwa"",""ar"":""تشونغهوا""}",2019-10-06T10:07:45,2025-12-02T14:39:31,1,Q109336
65191,Chŏngju,4002,03,115,KP,city,,,39.69333000,125.21028000,청주,29065,Asia/Pyongyang,"{""br"":""Chŏngju"",""ko"":""청주"",""pt-BR"":""Chongju"",""pt"":""Chongju"",""nl"":""Chongju"",""hr"":""Chŏngju"",""fa"":""چونگجو"",""de"":""Chŏngju"",""es"":""Chongju"",""fr"":""Chongju"",""ja"":""清州"",""it"":""Chŏngju"",""zh-CN"":""清州市"",""tr"":""Çongju"",""ru"":""Чонджу"",""uk"":""Чонджу"",""pl"":""Chŏngju"",""hi"":""चियांग्जू"",""ar"":""تشونغجو""}",2019-10-06T10:07:45,2025-12-02T14:39:31,1,Q109336
65192,Chŏngju-gun,4002,03,115,KP,city,,,39.70944000,125.25278000,청주군,,Asia/Pyongyang,"{""br"":""Chŏngju-gun"",""ko"":""청주군"",""pt-BR"":""Chŏngju-gun"",""pt"":""Chŏngju-gun"",""nl"":""Chŏngju-gun"",""hr"":""Chŏngju-gun"",""fa"":""چونجو-گان"",""de"":""Chŏngju-gun"",""es"":""Chongju-gun"",""fr"":""Chongju-gun"",""ja"":""忠州郡"",""it"":""Chŏngju-gun"",""zh-CN"":""清州郡"",""tr"":""Chŏngju-gun"",""ru"":""Уезд Чонджу"",""uk"":""Чонджу-гун"",""pl"":""Chŏngju-gun"",""hi"":""चोंगजू-गन"",""ar"":""تشونغجو غون""}",2019-10-06T10:07:45,2025-12-02T17:11:50,1,Q213169
65193,Haeju,4003,05,115,KP,adm1,,,38.04056000,125.71472000,해주,241599,Asia/Pyongyang,"{""br"":""Haeju"",""ko"":""해주"",""pt-BR"":""Haeju"",""pt"":""Haeju"",""nl"":""Haeju"",""hr"":""Haeju"",""fa"":""هاجو"",""de"":""Haeju"",""es"":""Haeju"",""fr"":""Haeju"",""ja"":""海州"",""it"":""Haeju"",""zh-CN"":""海州"",""tr"":""Haeju"",""ru"":""Хэджу"",""uk"":""Хеджу"",""pl"":""Haeju"",""hi"":""हेजू"",""ar"":""هايجو""}",2019-10-06T10:07:45,2025-12-02T14:38:56,1,Q714865
65194,Hamhŭng,4000,08,115,KP,adm1,,,39.91833000,127.53639000,함흥,559056,Asia/Pyongyang,"{""br"":""Hamhŭng"",""ko"":""함흥"",""pt-BR"":""Hamhung"",""pt"":""Hamhung"",""nl"":""Hamhŭng"",""hr"":""Hamhŭng"",""fa"":""هامهونگ"",""de"":""Hamhŭng"",""es"":""Hamhung"",""fr"":""Hamhung"",""ja"":""ハムフン"",""it"":""Hamhŭng"",""zh-CN"":""咸兴"",""tr"":""Hamhŭng"",""ru"":""Хамхын"",""uk"":""Хамхинг"",""pl"":""Hamhŭng"",""hi"":""हमहुंग"",""ar"":""هامهونغ""}",2019-10-06T10:07:45,2025-12-02T14:39:31,1,Q109356
65195,Hau-ri,3995,09,115,KP,locality,,,41.20056000,129.47028000,하우리,13581,Asia/Pyongyang,"{""br"":""Hau-ri"",""ko"":""하우리"",""pt-BR"":""Hau-ri"",""pt"":""Hau-ri"",""nl"":""Hau-ri"",""hr"":""Hau-ri"",""fa"":""هائوری"",""de"":""Hau-ri"",""es"":""Hau-ri"",""fr"":""Hau-ri"",""ja"":""ハウリ"",""it"":""Hau-ri"",""zh-CN"":""厚里"",""tr"":""Hau-ri"",""ru"":""Хау-ри"",""uk"":""Хау-рі"",""pl"":""Hau-ri"",""hi"":""हौ-री"",""ar"":""هاوري""}",2019-10-06T10:07:45,2025-12-02T14:39:31,1,Q109356
65196,Hoemul-li,3995,09,115,KP,locality,,,41.43389000,129.67000000,회물리,11681,Asia/Pyongyang,"{""br"":""Hoemul-li"",""ko"":""회물리"",""pt-BR"":""Hoemul-li"",""pt"":""Hoemul-li"",""nl"":""Hoemul-li"",""hr"":""Hoemul-li"",""fa"":""هومول-لی"",""de"":""Hoemul-li"",""es"":""Hoemul-li"",""fr"":""Hoemul-li"",""ja"":""ホエムルリ"",""it"":""Hoemul-li"",""zh-CN"":""赫姆利"",""tr"":""Hoemul-li"",""ru"":""Хёмул-ли"",""uk"":""Хоемуль-лі"",""pl"":""Hoemul-li"",""hi"":""होएमुल-ली"",""ar"":""هويمول لي""}",2019-10-06T10:07:45,2025-12-02T14:39:31,1,Q109356
65197,Hoeryŏng,3995,09,115,KP,adm2,,,42.44113000,129.74601000,회령,43831,Asia/Pyongyang,"{""br"":""Hoeryŏng"",""ko"":""회령"",""pt-BR"":""Hoeryŏng"",""pt"":""Hoeryŏng"",""nl"":""Hoeryŏng"",""hr"":""Hoeryŏng"",""fa"":""هوریونگ"",""de"":""Hoeryŏng"",""es"":""Hoeryong"",""fr"":""Hoeryŏng"",""ja"":""会寧"",""it"":""Hoeryŏng"",""zh-CN"":""会宁"",""tr"":""Hoeryong"",""ru"":""Хверён"",""uk"":""Хьорьонг"",""pl"":""Hoeryŏng"",""hi"":""होएर्योन्ग"",""ar"":""هويريونغ""}",2019-10-06T10:07:45,2025-12-02T14:39:31,1,Q48888
65198,Hoeyang,3999,07,115,KP,city,,,38.71028000,127.59833000,회양,21111,Asia/Pyongyang,"{""br"":""Hoeyang"",""ko"":""회양"",""pt-BR"":""Hoeyang"",""pt"":""Hoeyang"",""nl"":""Hoeyang"",""hr"":""Hoeyang"",""fa"":""هویانگ"",""de"":""Hoeyang"",""es"":""Hoeyang"",""fr"":""Hoeyang"",""ja"":""会陽"",""it"":""Hoeyang"",""zh-CN"":""会阳"",""tr"":""Hoeyang"",""ru"":""Хэян"",""uk"":""Хоеян"",""pl"":""Hoeyang"",""hi"":""होयांग"",""ar"":""هويانغ""}",2019-10-06T10:07:45,2025-12-02T14:39:31,1,Q48888
