id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
65569,Abu Al Hasaniya,974,MU,117,KW,city,,,29.19076000,48.11355000,أبو الحسنية,1350,Asia/Kuwait,"{""br"":""Abu Al Hasaniya"",""ko"":""아부 알 하사니야"",""pt-BR"":""Abu Al Hasaniya"",""pt"":""Abu Al Hasaniya"",""nl"":""Abu Al Hasaniya"",""hr"":""Abu Al-Hasania"",""fa"":""ابو الحسنیه"",""de"":""Abu Al Hasaniya"",""es"":""Abu Al Hasaniya"",""fr"":""Abou Al Hasaniya"",""ja"":""アブ・アル・ハサニヤ"",""it"":""Abu Al Hasaniya"",""zh-CN"":""阿布·哈桑尼亚"",""tr"":""Ebu El Hasaniye"",""ru"":""Абу Аль Хасания"",""uk"":""Абу Аль-Хасанія"",""pl"":""Abu Al Hasaniya"",""hi"":""अबू अल हसनिया"",""ar"":""أبو الحسنية""}",2019-10-06T10:07:48,2025-12-02T14:39:31,1,Q50431
65570,Abu Fatira,974,MU,117,KW,city,,,29.19746000,48.10278000,أبو فطيرة,1240,Asia/Kuwait,"{""br"":""Abu Fatira"",""ko"":""아부 파티라"",""pt-BR"":""Abu Fatira"",""pt"":""Abu Fatira"",""nl"":""Abu Fatira"",""hr"":""Abu Fatira"",""fa"":""ابو فطیره"",""de"":""Abu Fatira"",""es"":""Abu Fatira"",""fr"":""Abou Fatira"",""ja"":""アブ・ファティラ"",""it"":""Abu Fatira"",""zh-CN"":""阿布·法蒂拉"",""tr"":""Ebu Fatira"",""ru"":""Абу Фатира"",""uk"":""Абу-Фатіра"",""pl"":""Abu Fatira"",""hi"":""अबू फ़ातिरा"",""ar"":""أبو فطيرة""}",2019-10-06T10:07:48,2025-12-02T14:39:31,1,Q50431
65571,Ad Dasmah,976,KU,117,KW,city,,,29.36500000,48.00139000,الدسمة,17585,Asia/Kuwait,"{""br"":""Ad Dasmah"",""ko"":""아드 다스마"",""pt-BR"":""Ad Dasmah"",""pt"":""Ad Dasmah"",""nl"":""Ad Dasmah"",""hr"":""Ad Dasma"",""fa"":""الدسمه"",""de"":""Ad Dasmah"",""es"":""Ad Dasmah"",""fr"":""Ad Dasmah"",""ja"":""アド・ダスマ"",""it"":""Ad Dasmah"",""zh-CN"":""达斯玛"",""tr"":""Ad Dasmah"",""ru"":""Ад Дасмах"",""uk"":""Ад Дасма"",""pl"":""Ad Dasmah"",""hi"":""अद दस्माह"",""ar"":""الدسمة""}",2019-10-06T10:07:48,2025-12-02T14:39:31,1,Q50431
65572,Al Aḩmadī,977,AH,117,KW,adm1,,,29.07694000,48.08389000,الأحمدي,637411,Asia/Kuwait,"{""br"":""Al Aḩmadī"",""ko"":""알 아마디"",""pt-BR"":""Al Aḩmadī"",""pt"":""Al Aḩmadī"",""nl"":""Al Aḩmadī"",""hr"":""Al Ahmadi"",""fa"":""آل احمدی"",""de"":""Al Aḩmadī"",""es"":""Al Ahmadī"",""fr"":""Al Ahmadi"",""ja"":""アル・アフマディ"",""it"":""Al Aḩmadī"",""zh-CN"":""艾哈迈迪"",""tr"":""El Ahmedî"",""ru"":""Аль Ахмади"",""uk"":""Аль-Ахмаді"",""pl"":""Al Aḩmadī"",""hi"":""अल अहमदी"",""ar"":""الأحمدي""}",2019-10-06T10:07:48,2025-12-02T14:39:31,1,Q980396
65573,Al Farwānīyah,975,FA,117,KW,adm1,,,29.27750000,47.95861000,الفروانية,86525,Asia/Kuwait,"{""br"":""Al Farwānīyah"",""ko"":""알 파르와니야"",""pt-BR"":""Al Farwānīyah"",""pt"":""Al Farwānīyah"",""nl"":""Al Farwānīyah"",""hr"":""Al Farwānīyah"",""fa"":""الفروانیه"",""de"":""Al Farwānīyah"",""es"":""Al Farwaniyah"",""fr"":""Al Farwānīyah"",""ja"":""アル・ファルワーニーヤ"",""it"":""Al Farwānīyah"",""zh-CN"":""法尔瓦尼亚"",""tr"":""Al Farwānīyah"",""ru"":""Аль-Фарванийя"",""uk"":""Аль-Фарванія"",""pl"":""Al Farwānīyah"",""hi"":""अल फरवानीया"",""ar"":""الفروانية""}",2019-10-06T10:07:48,2025-12-02T14:39:31,1,Q980396
65574,Al Faḩāḩīl,977,AH,117,KW,city,,,29.08250000,48.13028000,الفحيحيل,68290,Asia/Kuwait,"{""br"":""Al Faḩāḩīl"",""ko"":""알 파하힐"",""pt-BR"":""Al Faḩāḩīl"",""pt"":""Al Faḩāḩīl"",""nl"":""Al Faḩāḩīl"",""hr"":""Al Fahahil"",""fa"":""الفحَیل"",""de"":""Al Faḩāḩīl"",""es"":""Al Faḩāḩīl"",""fr"":""Al Faḩāḩīl"",""ja"":""アル・ファハーイル"",""it"":""Al Faḩāḩīl"",""zh-CN"":""阿尔法赫伊尔"",""tr"":""Al Faḩāḩīl"",""ru"":""Аль-Фахахил"",""uk"":""Аль-Фахахіл"",""pl"":""Al Faḩāḩīl"",""hi"":""अल फ़ाहिल"",""ar"":""الفحيحيل""}",2019-10-06T10:07:48,2025-12-02T14:39:31,1,Q980396
65575,Al Finţās,977,AH,117,KW,city,,,29.17389000,48.12111000,الفنطاس,23071,Asia/Kuwait,"{""br"":""Al Finţās"",""ko"":""알 핀타스"",""pt-BR"":""Al Finţās"",""pt"":""Al Finţās"",""nl"":""Al Finţās"",""hr"":""Al Finţās"",""fa"":""الفنطاس"",""de"":""Al Finţās"",""es"":""Al Fintas"",""fr"":""Al Finţās"",""ja"":""アル・フィンツァス"",""it"":""Al Finţās"",""zh-CN"":""阿尔芬塔斯"",""tr"":""Al Finţās"",""ru"":""Аль Финцас"",""uk"":""Аль-Фінтас"",""pl"":""Al Finţās"",""hi"":""अल फ़िनतास"",""ar"":""الفنطاس""}",2019-10-06T10:07:48,2025-12-02T14:39:31,1,Q980396
65576,Al Funayţīs,974,MU,117,KW,city,,,29.22528000,48.10167000,الفنيطيس,1878,Asia/Kuwait,"{""br"":""Al Funayţīs"",""ko"":""알 푸나이티스"",""pt-BR"":""Al Funayţīs"",""pt"":""Al Funayţīs"",""nl"":""Al Funayţīs"",""hr"":""Al Funaytīs"",""fa"":""الفناطیس"",""de"":""Al Funayţīs"",""es"":""Al Funayţīs"",""fr"":""Al Funayţīs"",""ja"":""アル・フナイス"",""it"":""Al Funayţīs"",""zh-CN"":""阿尔富纳伊蒂斯"",""tr"":""Al Funayţīs"",""ru"":""Аль-Фунайтис"",""uk"":""Аль-Фунайціс"",""pl"":""Al Funayţīs"",""hi"":""अल फ़नायतीस"",""ar"":""الفنيطيس""}",2019-10-06T10:07:48,2025-12-02T14:39:31,1,Q980396
65577,Al Jahrā’,972,JA,117,KW,adm1,,,29.33750000,47.65806000,الجهراء,24281,Asia/Kuwait,"{""br"":""Al Jahrā'"",""ko"":""알 자흐라"",""pt-BR"":""Al Jahrā’"",""pt"":""Al Jahrā’"",""nl"":""Al Jahrā’"",""hr"":""Al Džahra"",""fa"":""الجهراء"",""de"":""Al Jahrā’"",""es"":""Al Jahrā’"",""fr"":""Al Jahrā’"",""ja"":""アル・ジャフラ"",""it"":""Al Jahrā’"",""zh-CN"":""贾赫拉’"",""tr"":""El Cehrâ"",""ru"":""Аль-Джахра"",""uk"":""Аль-Джахра"",""pl"":""Al Jahrā’"",""hi"":""अल जहरा"",""ar"":""الجهراء""}",2019-10-06T10:07:48,2025-12-02T14:39:31,1,Q980396
65578,Al Mahbūlah,977,AH,117,KW,city,,,29.14500000,48.13028000,المهبولة,18178,Asia/Kuwait,"{""br"":""Al Mahbūlah"",""ko"":""알 마흐불라"",""pt-BR"":""Al Mahbūlah"",""pt"":""Al Mahbūlah"",""nl"":""Al Mahbulah"",""hr"":""Al-Mahbulah"",""fa"":""آل محبوبه"",""de"":""Al Mahbūlah"",""es"":""Al Mahbulá"",""fr"":""Al Mahbulah"",""ja"":""アル・マブーラ"",""it"":""Al Mahbūlah"",""zh-CN"":""阿尔马布拉"",""tr"":""El Mahbûla"",""ru"":""Аль Махбула"",""uk"":""Аль-Махбула"",""pl"":""Al Mahbūlah"",""hi"":""अल महबूला"",""ar"":""المهبولة""}",2019-10-06T10:07:48,2025-12-02T14:39:31,1,Q980396
