id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
65594,Abay,150,35,112,KZ,adm2,,,49.63575000,72.86164000,Абай,25550,Asia/Almaty,"{""br"":""Abay"",""ko"":""아바이"",""pt-BR"":""Abay"",""pt"":""Abay"",""nl"":""Abay"",""hr"":""Abaj"",""fa"":""ابی"",""de"":""Eine Bucht"",""es"":""Abay"",""fr"":""Abay"",""ja"":""アバイ"",""it"":""Abay"",""zh-CN"":""阿拜"",""tr"":""Abay"",""ru"":""Абай"",""uk"":""Абай"",""pl"":""Abay"",""hi"":""एक खाड़ी"",""ar"":""أباي""}",2019-10-06T10:07:48,2025-12-02T17:11:50,1,Q304827
65595,Abay Qalasy,150,35,112,KZ,city,,,49.63333000,72.88333000,Абай қаласы,0,Asia/Almaty,"{""br"":""Abay Qalasy"",""ko"":""아바이 칼라시"",""pt-BR"":""Abay Qalasy"",""pt"":""Abay Qalasy"",""nl"":""Abay Qalasy"",""hr"":""Abay Qalasy"",""fa"":""آبای قلعه سی"",""de"":""Abay Qalasy"",""es"":""Abay Qalasy"",""fr"":""Abay Qalasy"",""ja"":""アバイ・カラシ"",""it"":""Abay Qalasy"",""zh-CN"":""阿拜·盖拉西"",""tr"":""Abay Qalasy"",""ru"":""Абай Каласы"",""uk"":""Абай Каласи"",""pl"":""Abay Qalasy"",""hi"":""अबे क़लासी"",""ar"":""أباي قلاسي""}",2019-10-06T10:07:48,2025-12-02T16:59:27,1,Q2283566
65596,Akkol,145,11,112,KZ,adm2,,,51.99374000,70.94704000,Ақкөл,2605,Asia/Almaty,"{""br"":""Akkol"",""ko"":""아콜"",""pt-BR"":""Akkol"",""pt"":""Akkol"",""nl"":""Akkol"",""hr"":""Akkol"",""fa"":""آکول"",""de"":""Akkol"",""es"":""Akkol"",""fr"":""Akkol"",""ja"":""アッコル"",""it"":""Akkol"",""zh-CN"":""阿克科尔"",""tr"":""Akkol"",""ru"":""Акколь"",""uk"":""Аккол"",""pl"":""Akkol"",""hi"":""अक्कोल"",""ar"":""أكول""}",2019-10-06T10:07:48,2025-12-02T14:39:31,1,Q622740
65597,Akkol’,145,11,112,KZ,city,,,53.29617000,69.59997000,Ақкөл,16773,Asia/Almaty,"{""br"":""Akkol'"",""ko"":""아콜’"",""pt-BR"":""Akkol'"",""pt"":""Akkol'"",""nl"":""Akkol’"",""hr"":""Akkol"",""fa"":""آکول"",""de"":""Akkol’"",""es"":""Akkol’"",""fr"":""Akkol’"",""ja"":""アッコル"",""it"":""Akkol'"",""zh-CN"":""阿克科尔"",""tr"":""Akkol’"",""ru"":""Акколь"",""uk"":""Акколь"",""pl"":""Akkol’"",""hi"":""अक्कोल’"",""ar"":""أكول""}",2019-10-06T10:07:48,2025-12-02T14:39:31,1,Q622740
65598,Akkol’,153,23,112,KZ,city,,,48.77177000,53.18580000,Ақкөл,,Asia/Almaty,"{""br"":""Akkol'"",""ko"":""아콜’"",""pt-BR"":""Akkol'"",""pt"":""Akkol'"",""nl"":""Akkol’"",""hr"":""Akkol"",""fa"":""آکول"",""de"":""Akkol’"",""es"":""Akkol’"",""fr"":""Akkol’"",""ja"":""アッコル"",""it"":""Akkol'"",""zh-CN"":""阿克科尔"",""tr"":""Akkol’"",""ru"":""Акколь"",""uk"":""Акколь"",""pl"":""Akkol’"",""hi"":""अक्कोल’"",""ar"":""أكول""}",2019-10-06T10:07:48,2025-12-02T17:11:50,1,Q622740
65599,Aksu,146,55,112,KZ,adm2,,,52.04023000,76.92748000,Ақсу,39675,Asia/Almaty,"{""br"":""Aksu"",""ko"":""악수"",""pt-BR"":""Aksu"",""pt"":""Aksu"",""nl"":""Aksu"",""hr"":""Aksu"",""fa"":""آکسو"",""de"":""Aksu"",""es"":""Aksu"",""fr"":""Aksu"",""ja"":""アクス"",""it"":""Aksu"",""zh-CN"":""阿克苏"",""tr"":""Aksu"",""ru"":""Аксу"",""uk"":""Аксу"",""pl"":""Aksu"",""hi"":""अक्सू"",""ar"":""أكسو""}",2019-10-06T10:07:48,2025-12-02T14:38:56,1,Q622780
65600,Aksu,145,11,112,KZ,city,,,52.44422000,71.95761000,Ақсу,8543,Asia/Almaty,"{""br"":""Aksu"",""ko"":""악수"",""pt-BR"":""Aksu"",""pt"":""Aksu"",""nl"":""Aksu"",""hr"":""Aksu"",""fa"":""آکسو"",""de"":""Aksu"",""es"":""Aksu"",""fr"":""Aksu"",""ja"":""アクス"",""it"":""Aksu"",""zh-CN"":""阿克苏"",""tr"":""Aksu"",""ru"":""Аксу"",""uk"":""Аксу"",""pl"":""Aksu"",""hi"":""अक्सू"",""ar"":""أكسو""}",2019-10-06T10:07:48,2025-12-02T14:39:31,1,Q622780
65601,Aksu-Ayuly,150,35,112,KZ,adm2,,,48.76788000,73.67272000,Ақсу-Аюлы,4587,Asia/Almaty,"{""br"":""Aksu-Ayuly"",""ko"":""악수-아율리"",""pt-BR"":""Aksu-Ayuly"",""pt"":""Aksu-Ayuly"",""nl"":""Aksu-Ayuly"",""hr"":""Aksu-Ayuly"",""fa"":""آکسو-آیولی"",""de"":""Aksu-Ayuly"",""es"":""Aksu-Ayuly"",""fr"":""Aksu-Ayuly"",""ja"":""アクス・アユリ"",""it"":""Aksu-Ayuly"",""zh-CN"":""阿克苏-阿尤利"",""tr"":""Aksu-Ayuly"",""ru"":""Аксу-Аюлы"",""uk"":""Аксу-Аюли"",""pl"":""Aksu-Ayuly"",""hi"":""अक्सू-अयुली"",""ar"":""أكسو-أيولي""}",2019-10-06T10:07:48,2025-12-02T14:38:56,1,Q622780
65602,Aktas,150,35,112,KZ,city,,,49.77952000,72.96128000,Ақтас,9888,Asia/Almaty,"{""br"":""Aktas"",""ko"":""아크타스"",""pt-BR"":""Aktas"",""pt"":""Aktas"",""nl"":""Aktas"",""hr"":""Aktaš"",""fa"":""آکتاس"",""de"":""Aktas"",""es"":""Aktas"",""fr"":""Aktas"",""ja"":""アクタス"",""it"":""Aktas"",""zh-CN"":""阿克塔斯"",""tr"":""Aktaş"",""ru"":""Актас"",""uk"":""Актас"",""pl"":""Aktas"",""hi"":""अक्तास"",""ar"":""أكتاس""}",2019-10-06T10:07:48,2025-12-02T14:39:31,1,Q622780
65603,Aktau,150,35,112,KZ,city,,,48.03333000,72.83333000,Ақтау,9977,Asia/Almaty,"{""br"":""Aktau"",""ko"":""악타우"",""pt-BR"":""Aktau"",""pt"":""Aktau"",""nl"":""Aktau"",""hr"":""Aktau"",""fa"":""آکتائو"",""de"":""Aktau"",""es"":""Aktau"",""fr"":""Aktaou"",""ja"":""アクタウ"",""it"":""Aktau"",""zh-CN"":""阿克套"",""tr"":""Aktav"",""ru"":""Актау"",""uk"":""Актау"",""pl"":""Aktau"",""hi"":""अक्तौ"",""ar"":""أكتاو""}",2019-10-06T10:07:48,2025-12-02T14:39:31,1,Q622780
