id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
65854,Anouvong,983,XS,119,LA,district,,,18.89731000,103.09274000,ເມືອງອານຸວົງ,23658,Asia/Vientiane,"{""br"":""Distrig Anouvong"",""ko"":""아누봉 지구"",""pt-BR"":""Distrito de Anouvong"",""pt"":""Distrito de Anouvong"",""nl"":""Anouvong-district"",""hr"":""Okrug Anouvong"",""fa"":""بخش آنوونگ"",""de"":""Bezirk Anouvong"",""es"":""Distrito de Anouvong"",""fr"":""Quartier d'Anouvong"",""ja"":""アヌヴォン地区"",""it"":""Distretto di Anouvong"",""zh-CN"":""阿努冯区"",""tr"":""Anouvong bölgesi"",""ru"":""Район Анувонг"",""uk"":""Район Анувонг"",""pl"":""Dystrykt Anouvong"",""hi"":""अनौवोंग जिला"",""ar"":""منطقة أنوفونغ""}",2019-10-06T10:07:51,2025-12-02T17:16:10,1,Q20311301
65855,Attapeu,982,AT,119,LA,adm1,,,14.81071000,106.83184000,ອັດຕະປື,4297,Asia/Vientiane,"{""br"":""Attapeu"",""ko"":""아타푸"",""pt-BR"":""Attapeu"",""pt"":""Attapeu"",""nl"":""Attapeu"",""hr"":""Attapeu"",""fa"":""آتاپو"",""de"":""Attapeu"",""es"":""Attapeu"",""fr"":""Attapeu"",""ja"":""アタプー"",""it"":""Attapeu"",""zh-CN"":""阿速坡"",""tr"":""Attapeu"",""ru"":""Аттапеу"",""uk"":""Аттапеу"",""pl"":""Attapeu"",""hi"":""अट्टापेउ"",""ar"":""أتابو""}",2019-10-06T10:07:51,2025-12-02T14:39:31,1,Q757905
65856,Ban Houakhoua,991,BK,119,LA,city,,,20.24670000,100.45401000,ບ້ານຫົວຂົວ,15500,Asia/Vientiane,"{""br"":""Ban Houakhoua"",""ko"":""반 후아쿠아"",""pt-BR"":""Ban Houakhoua"",""pt"":""Ban Houakhoua"",""nl"":""Ban Houakhoua"",""hr"":""Ban Houakhoua"",""fa"":""بان هوآخوا"",""de"":""Ban Houakhoua"",""es"":""Ban Houakhoua"",""fr"":""Ban Houakhoua"",""ja"":""バン・ホアクア"",""it"":""Divieto di Houakhoua"",""zh-CN"":""班胡阿胡阿"",""tr"":""Houakhoua'yı yasakla"",""ru"":""Пан Хуахуа"",""uk"":""Бан Хуахуа"",""pl"":""Zakaz Houakhouy"",""hi"":""बान हौखौआ"",""ar"":""بان هواخوا""}",2019-10-06T10:07:51,2025-12-02T14:38:56,1,Q757905
65857,Ban Houayxay,991,BK,119,LA,adm1,,,20.27000000,100.41780000,ບ້ານຫ້ວຍຊາຍ,12500,Asia/Vientiane,"{""br"":""Ban Houayxay"",""ko"":""반 후아이사이"",""pt-BR"":""Ban Houayxay"",""pt"":""Ban Houayxay"",""nl"":""Ban Houayxay"",""hr"":""Ban Houayxay"",""fa"":""بان هوئیخای"",""de"":""Ban Houayxay"",""es"":""Ban Houayxay"",""fr"":""Ban Houayxay"",""ja"":""バン・フアイサイ"",""it"":""Ban Houayxay"",""zh-CN"":""会晒"",""tr"":""Ban Houayxay"",""ru"":""Бан Хоуайсай"",""uk"":""Пан Хуайсай"",""pl"":""Ban Houayxay"",""hi"":""बान होउएक्साय"",""ar"":""بان هوايكساي""}",2019-10-06T10:07:51,2025-12-02T14:39:31,1,Q757905
65858,Ban Nahin,985,BL,119,LA,city,,,18.24253000,104.21281000,ບ້ານນາຫີນ,3466,Asia/Vientiane,"{""br"":""Difenn Nahin"",""ko"":""반 나힌"",""pt-BR"":""Ban Nahin"",""pt"":""Ban Nahin"",""nl"":""Ban Nahin"",""hr"":""Zabrana Nahina"",""fa"":""بان ناهین"",""de"":""Ban Nahin"",""es"":""Ban Nahin"",""fr"":""Ban Nahin"",""ja"":""バン・ナヒン"",""it"":""Divieto di Nahin"",""zh-CN"":""班纳欣"",""tr"":""Ban Nahin"",""ru"":""Бан Нахин"",""uk"":""Бан Нахін"",""pl"":""Ban Nahin"",""hi"":""प्रतिबंध नहीं"",""ar"":""بان ناهين""}",2019-10-06T10:07:51,2025-12-02T14:38:56,1,Q757905
65859,Ban Thatèng,984,XE,119,LA,city,,,15.43317000,106.38272000,ບ້ານທ່າແຕງ,1500,Asia/Vientiane,"{""br"":""Ban Thatèng"",""ko"":""반 타텡"",""pt-BR"":""Ban Thatèng"",""pt"":""Ban Thatèng"",""nl"":""Ban Thatèng"",""hr"":""Ban Thatèng"",""fa"":""بان تاتنگ"",""de"":""Ban Thatèng"",""es"":""Ban Thatèng"",""fr"":""Ban Thateng"",""ja"":""バン・タテン"",""it"":""Ban Thatèng"",""zh-CN"":""班塔滕"",""tr"":""Ban Thatèng"",""ru"":""Пан Тхатэн"",""uk"":""Пан Татенґ"",""pl"":""Ban Thatèng"",""hi"":""बान थाटेंग"",""ar"":""بان ثاتينغ""}",2019-10-06T10:07:51,2025-12-02T14:39:31,1,Q757905
65860,Champasak,996,CH,119,LA,city,,,14.89204000,105.87787000,ຈໍາປາສັກ,12994,Asia/Vientiane,"{""br"":""Champasak"",""ko"":""참파삭"",""pt-BR"":""Champasak"",""pt"":""Champasak"",""nl"":""Champasak"",""hr"":""Čampasak"",""fa"":""چامپاساک"",""de"":""Champasak"",""es"":""Champasak"",""fr"":""Champassak"",""ja"":""チャンパーサック"",""it"":""Champasak"",""zh-CN"":""占巴塞"",""tr"":""Çampasak"",""ru"":""Чампасак"",""uk"":""Чампасак"",""pl"":""Champasak"",""hi"":""चम्पासैक"",""ar"":""شامباساك""}",2019-10-06T10:07:51,2025-12-02T14:39:31,1,Q611444
65861,Kaysone Phomvihane,990,SV,119,LA,city,,,16.54943000,104.82339000,ໄກສອນ ພົມວິຫານ,,Asia/Vientiane,"{""br"":""Kaysone Phomvihane"",""ko"":""카이손 폼비한"",""pt-BR"":""Kaysone Phomvihane"",""pt"":""Kaysone Phomvihane"",""nl"":""Kaysone Phomvihane"",""hr"":""Kaysone Phomvihane"",""fa"":""کایسون فومویهانه"",""de"":""Kaysone Phomvihane"",""es"":""Kaysone Phomvihane"",""fr"":""Kaysone Phomvihane"",""ja"":""カイソーン・ポムヴィハーネ"",""it"":""Kaysone Phomvihane"",""zh-CN"":""凯山·丰威汉"",""tr"":""Kaysone Phomvihane"",""ru"":""Кейсон Фомвихан"",""uk"":""Кейсоне Пхомвіхане"",""pl"":""Kaysone Phomvihane"",""hi"":""कायसोन फ़ोमविहाने"",""ar"":""كايسون فومفيهان""}",2019-10-06T10:07:51,2025-12-02T16:59:27,1,Q24087731
65862,Lamam,984,XE,119,LA,city,,,15.41705000,106.69461000,ລຳ,4463,Asia/Vientiane,"{""br"":""Lamam"",""ko"":""라맘"",""pt-BR"":""Lamam"",""pt"":""Lamam"",""nl"":""Lamam"",""hr"":""Lamam"",""fa"":""لامام"",""de"":""Lamam"",""es"":""Lamam"",""fr"":""Lamam"",""ja"":""ラマム"",""it"":""Lamam"",""zh-CN"":""拉曼"",""tr"":""Lamam"",""ru"":""Ламам"",""uk"":""Ламам"",""pl"":""Lamam"",""hi"":""लामाम"",""ar"":""لامام""}",2019-10-06T10:07:51,2025-12-02T14:39:31,1,Q2087536
65863,Longchaeng,983,XS,119,LA,city,,,18.89394000,103.14274000,ລອງຈ່າງ,8834,Asia/Vientiane,"{""br"":""Longchaeng"",""ko"":""롱창"",""pt-BR"":""Longchaeng"",""pt"":""Longchaeng"",""nl"":""Longchaeng"",""hr"":""Longchaeng"",""fa"":""لونگچانگ"",""de"":""Longchaeng"",""es"":""Longchaeng"",""fr"":""Longchaeng"",""ja"":""ロンチェン"",""it"":""Longchaeng"",""zh-CN"":""龙城"",""tr"":""Longchaeng"",""ru"":""Лонгчэн"",""uk"":""Лонгченг"",""pl"":""Longchaeng"",""hi"":""लोंगचाएंग"",""ar"":""لونغتشانغ""}",2019-10-06T10:07:51,2025-12-02T16:59:27,1,Q30887129
65864,Luang Namtha,992,LM,119,LA,adm1,,,20.94860000,101.40188000,ຫຼວງນ້ຳທາ,3225,Asia/Vientiane,"{""br"":""Luang Namtha"",""ko"":""루앙남타"",""pt-BR"":""Luang Namtha"",""pt"":""Luang Namtha"",""nl"":""Luang Namtha"",""hr"":""Luang Namtha"",""fa"":""لوانگ نامتا"",""de"":""Luang Namtha"",""es"":""Luang Namtha"",""fr"":""Louang Namtha"",""ja"":""ルアンナムター"",""it"":""Luang Namtha"",""zh-CN"":""琅南塔"",""tr"":""Luang Namtha"",""ru"":""Луанг Намтха"",""uk"":""Луанг Намтха"",""pl"":""Luang Namtha"",""hi"":""लुआंग नामथा"",""ar"":""لوانغ نامثا""}",2019-10-06T10:07:51,2025-12-02T14:39:31,1,Q660793
65865,Luang Prabang,978,LP,119,LA,adm1,,,19.88601000,102.13503000,ຫຼວງພະບາງ,53792,Asia/Vientiane,"{""br"":""Luang Prabang"",""ko"":""루앙프라방"",""pt-BR"":""Luang Prabang"",""pt"":""Luang Prabang"",""nl"":""Luang Prabang"",""hr"":""Luang Prabang"",""fa"":""لوانگ پرابانگ"",""de"":""Luang Prabang"",""es"":""Luang Prabang"",""fr"":""Luang Prabang"",""ja"":""ルアンパバーン"",""it"":""Luang Prabang"",""zh-CN"":""琅勃拉邦"",""tr"":""Luang Prabang"",""ru"":""Луангпхабанг"",""uk"":""Луангпхабанг"",""pl"":""Luang Prabang"",""hi"":""लुआंग प्रबांग"",""ar"":""لوانغ برابانغ""}",2019-10-06T10:07:51,2025-12-02T17:11:50,1,Q190165
65866,Muang Alsaphangthong,990,SV,119,LA,city,,,16.72645000,105.39326000,ເມືອງ ອາລສັງທອງ,,Asia/Vientiane,"{""br"":""Muang Alsaphangthong"",""ko"":""무앙 알사팡통"",""pt-BR"":""Muang Alsaphangthong"",""pt"":""Muang Alsaphangthong"",""nl"":""Muang Alsaphangthong"",""hr"":""Muang Alsaphangthong"",""fa"":""موآنگ آلسافانگتونگ"",""de"":""Muang Alsaphangthong"",""es"":""Muang Alsaphangthong"",""fr"":""Muang Alsaphangthong"",""ja"":""ムアン・アルサパントン"",""it"":""Muang Alsaphangthong"",""zh-CN"":""阿尔萨潘通"",""tr"":""Muang Alsaphangthong"",""ru"":""Муанг Альсапхангтонг"",""uk"":""Муанг Алсафангтонг"",""pl"":""Muang Alsaphangthong"",""hi"":""मुआंग अलसाफांगथोंग"",""ar"":""موانج ألسابانغثونغ""}",2019-10-06T10:07:51,2025-12-02T16:59:27,1,Q4817736
65867,Muang Atsaphan,990,SV,119,LA,city,,,16.94740000,105.40290000,ເມືອງ ອາດສະພອນ,,Asia/Vientiane,"{""br"":""Muang Atsaphan"",""ko"":""무앙 아트사판"",""pt-BR"":""Muang Atsaphan"",""pt"":""Muang Atsaphan"",""nl"":""Muang Atsaphan"",""hr"":""Muang Atsaphan"",""fa"":""موآنگ آتساپان"",""de"":""Muang Atsaphan"",""es"":""Muang Atsaphan"",""fr"":""Muang Atsaphan"",""ja"":""ムアン・アッサパン"",""it"":""Muang Atsaphan"",""zh-CN"":""孟阿萨潘"",""tr"":""Muang Atsaphan"",""ru"":""Муанг Ацапхан"",""uk"":""Муанг Атсафан"",""pl"":""Muang Atsaphan"",""hi"":""मुआंग अत्साफान"",""ar"":""موانج أتسافان""}",2019-10-06T10:07:51,2025-12-02T16:59:27,1,Q4808420
65868,Muang Bachiangchaleunsook,996,CH,119,LA,city,,,15.24426000,105.96716000,ເມືອງບາຈຽງຈະເລີນສຸກ,,Asia/Vientiane,"{""br"":""Muang Bachiangchaleunsook"",""ko"":""무앙 바치앙찰룬숙"",""pt-BR"":""Muang Bachiangchaleunsook"",""pt"":""Muang Bachiangchaleunsook"",""nl"":""Muang Bachiangchaleunsook"",""hr"":""Muang Bachiangchaleunsook"",""fa"":""موآنگ باچیانگچالئونسوک"",""de"":""Muang Bachiangchaleunsook"",""es"":""Muang Bachiangchaleunsook"",""fr"":""Muang Bachiangchaleunsook"",""ja"":""ムアン・バチアンチャレウンスク"",""it"":""Muang Bachiangchaleunsook"",""zh-CN"":""孟巴清查伦苏克"",""tr"":""Muang Bachiangchaleunsook"",""ru"":""Muang Bachiangchaleunsook"",""uk"":""Муанг Бачіангчалеунсук"",""pl"":""Muang Bachiangchaleunsook"",""hi"":""मुआंग बाचियांगचलेउनसूक"",""ar"":""موانغ باتشيانغشاليونسوك""}",2019-10-06T10:07:51,2025-12-02T16:59:27,1,Q4869260
65869,Muang Champasak,996,CH,119,LA,adm1,,,14.85704000,105.75334000,ເມືອງຈໍາປາສັກ,,Asia/Vientiane,"{""br"":""Muang Champasak"",""ko"":""무앙 참파삭"",""pt-BR"":""Muang Champasak"",""pt"":""Muang Champasak"",""nl"":""Muang Champasak"",""hr"":""Muang Champasak"",""fa"":""موآنگ چامپاساک"",""de"":""Muang Champasak"",""es"":""Muang Champasak"",""fr"":""Muang Champassak"",""ja"":""ムアン・チャンパーサック"",""it"":""Muang Champasak"",""zh-CN"":""占巴塞省"",""tr"":""Muang Champasak"",""ru"":""Муанг Чампасак"",""uk"":""Муанг Чампасак"",""pl"":""Muang Champasak"",""hi"":""मुआंग चम्पासक"",""ar"":""موانج تشامباساك""}",2019-10-06T10:07:51,2025-12-02T17:11:50,1,Q2310194
65870,Muang Champhon,990,SV,119,LA,city,,,16.49363000,105.22020000,ເມືອງຈຳພອນ,,Asia/Vientiane,"{""br"":""Kampion Muang"",""ko"":""무앙 짬폰"",""pt-BR"":""Muang Champhon"",""pt"":""Muang Champhon"",""nl"":""Muang Champhon"",""hr"":""Muang Champhon"",""fa"":""موآنگ چامپون"",""de"":""Muang Champhon"",""es"":""Muang Champhon"",""fr"":""Muang Champhon"",""ja"":""ムアン・チャンポン"",""it"":""Muang Champon"",""zh-CN"":""孟昌蓬"",""tr"":""Muang Champhon"",""ru"":""Муанг Чампхон"",""uk"":""Муанг Чампхон"",""pl"":""Muang Champhon"",""hi"":""मुआंग चम्फॉन"",""ar"":""موانج تشامفون""}",2019-10-06T10:07:51,2025-12-02T16:59:27,1,Q5069951
65871,Muang Dakchung,984,XE,119,LA,adm2,,,15.38199000,107.31847000,ເມືອງດາກຈຶງ,,Asia/Vientiane,"{""br"":""Muang Dakchung"",""ko"":""무앙 닥충"",""pt-BR"":""Muang Dakchung"",""pt"":""Muang Dakchung"",""nl"":""Muang Dakchung"",""hr"":""Muang Dakchung"",""fa"":""موانگ داکچونگ"",""de"":""Muang Dakchung"",""es"":""Muang Dakchung"",""fr"":""Muang Dakchung"",""ja"":""ムアン・ダクチュン"",""it"":""Muang Dakchung"",""zh-CN"":""孟达琼"",""tr"":""Muang Dakchung"",""ru"":""Муанг Дакчунг"",""uk"":""Муанг Дакчунг"",""pl"":""Muang Dakchung"",""hi"":""मुआंग डाकचुंग"",""ar"":""موانج داكشونغ""}",2019-10-06T10:07:51,2025-12-02T17:11:50,1,Q5209893
