id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
65930,Aanjar,2287,BI,121,LB,city,,,33.72778000,35.93111000,عنجر,2400,Asia/Beirut,"{""br"":""Aanjar"",""ko"":""안자르"",""pt-BR"":""Aanjar"",""pt"":""Aanjar"",""nl"":""Aanjar"",""hr"":""Aanjar"",""fa"":""عنجر"",""de"":""Aanjar"",""es"":""Aanjar"",""fr"":""Aanjar"",""ja"":""アーンジャル"",""it"":""Aanjar"",""zh-CN"":""安贾尔"",""tr"":""Aanjar"",""ru"":""Аанджар"",""uk"":""Анджар"",""pl"":""Aanjar"",""hi"":""अंजार"",""ar"":""عنجر""}",2019-10-06T10:07:51,2025-12-02T14:39:31,1,Q14842846
65931,Ain Ebel,2288,NA,121,LB,city,,,33.11023000,35.40251000,عين إبل,2000,Asia/Beirut,"{""br"":""Ain Ebel"",""ko"":""아인 에벨"",""pt-BR"":""Ain Ebel"",""pt"":""Ain Ebel"",""nl"":""Ain Ebel"",""hr"":""Ain Ebel"",""fa"":""عین ایبل"",""de"":""Ain Ebel"",""es"":""Ain Ebel"",""fr"":""Aïn Ebel"",""ja"":""アイン・エベル"",""it"":""Ain Ebel"",""zh-CN"":""艾因埃贝尔"",""tr"":""Ayn Ebel"",""ru"":""Айн Эбель"",""uk"":""Айн-Ебель"",""pl"":""Ain Ebel"",""hi"":""ऐन एबेल"",""ar"":""عين إبل""}",2019-10-06T10:07:51,2025-12-02T14:38:56,1,Q2828135
65932,Baabda,2282,JL,121,LB,adm1,,,33.83389000,35.54417000,بعبدا,9000,Asia/Beirut,"{""br"":""Baabda"",""ko"":""바브다"",""pt-BR"":""Baabda"",""pt"":""Baabda"",""nl"":""Baabda"",""hr"":""Baabda"",""fa"":""بعبدا"",""de"":""Baabda"",""es"":""Baabda"",""fr"":""Baabda"",""ja"":""バアブダ"",""it"":""Baabda"",""zh-CN"":""巴卜达"",""tr"":""Baabda"",""ru"":""Баабда"",""uk"":""Баабда"",""pl"":""Baabda"",""hi"":""बाब्दा"",""ar"":""بعبدا""}",2019-10-06T10:07:51,2025-12-02T14:38:56,1,Q26454
65933,Baalbek,2283,BH,121,LB,adm1,,,34.00583000,36.21806000,بعلبك,30916,Asia/Beirut,"{""br"":""Baalbek"",""ko"":""바알베크"",""pt-BR"":""Baalbek"",""pt"":""Baalbek"",""nl"":""Baalbek"",""hr"":""Baalbek"",""fa"":""بعلبک"",""de"":""Baalbek"",""es"":""Baalbek"",""fr"":""Baalbek"",""ja"":""バールベック"",""it"":""Baalbek"",""zh-CN"":""巴勒贝克"",""tr"":""Baalbek"",""ru"":""Баальбек"",""uk"":""Баальбек"",""pl"":""Baalbek"",""hi"":""बाल्बेक"",""ar"":""بعلبك""}",2019-10-06T10:07:51,2025-12-02T14:39:31,1,Q178835
65934,Batroûn,2284,AS,121,LB,adm2,,,34.25528000,35.65806000,البترون,10852,Asia/Beirut,"{""br"":""Batroûn"",""ko"":""바트룬"",""pt-BR"":""Batroûn"",""pt"":""Batroûn"",""nl"":""Batroûn"",""hr"":""Batroûn"",""fa"":""بترون"",""de"":""Batrun"",""es"":""Batroún"",""fr"":""Batroûn"",""ja"":""バトロン"",""it"":""Batroûn"",""zh-CN"":""巴特龙"",""tr"":""Batroûn"",""ru"":""Батрун"",""uk"":""Батрун"",""pl"":""Batroûn"",""hi"":""बैट्रोन"",""ar"":""البترون""}",2019-10-06T10:07:51,2025-12-02T14:38:56,1,Q3285145
65935,Bcharré,2284,AS,121,LB,city,,,34.25083000,36.01056000,بشري,0,Asia/Beirut,"{""br"":""Bcharré"",""ko"":""브샤레"",""pt-BR"":""Bcharré"",""pt"":""Bcharré"",""nl"":""Bcharré"",""hr"":""Bcharré"",""fa"":""بشار"",""de"":""Bcharré"",""es"":""Bcharré"",""fr"":""Bcharré"",""ja"":""ブシャレ"",""it"":""Bcharré"",""zh-CN"":""布沙雷"",""tr"":""Bcharré"",""ru"":""Бчарре"",""uk"":""Бішаре"",""pl"":""Bcharré"",""hi"":""बचार्रे"",""ar"":""بشري""}",2019-10-06T10:07:51,2025-12-02T16:59:27,1,Q181167
65936,Beirut,2286,BA,121,LB,capital,,,33.89332000,35.50157000,بيروت,1916100,Asia/Beirut,"{""br"":""Beirout"",""ko"":""베이루트"",""pt-BR"":""Beirute"",""pt"":""Beirute"",""nl"":""Beiroet"",""hr"":""Bejrut"",""fa"":""بیروت"",""de"":""Beirut"",""es"":""Beirut"",""fr"":""Beyrouth"",""ja"":""ベイルート"",""it"":""Beirut"",""zh-CN"":""贝鲁特"",""tr"":""Beyrut"",""ru"":""Бейрут"",""uk"":""Бейрут"",""pl"":""Bejrut"",""hi"":""बेरूत"",""ar"":""بيروت""}",2019-10-06T10:07:51,2025-12-02T14:39:31,1,Q3820
65937,Bhamdoun,2282,JL,121,LB,city,,,33.79500000,35.65111000,بحمدون,1500,Asia/Beirut,"{""br"":""Bhamdoun"",""ko"":""밤둔"",""pt-BR"":""Bhamdoun"",""pt"":""Bhamdoun"",""nl"":""Bhamdoun"",""hr"":""Bhamdoun"",""fa"":""بهمدون"",""de"":""Bhamdoun"",""es"":""Bhamdoun"",""fr"":""Bhamdoun"",""ja"":""バムドゥン"",""it"":""Bhamdoun"",""zh-CN"":""布汉顿"",""tr"":""Bhamdoun"",""ru"":""Бхамдун"",""uk"":""Бхамдун"",""pl"":""Bhamdoun"",""hi"":""भामदौन"",""ar"":""بحمدون""}",2019-10-06T10:07:51,2025-12-02T14:39:31,1,Q3820
65938,Bhamdoûn el Mhatta,2282,JL,121,LB,city,,,33.80861000,35.65972000,بحمدون المحطة,5000,Asia/Beirut,"{""br"":""Bhamdoûn el Mhatta"",""ko"":""밤둔 엘 마타"",""pt-BR"":""Bhamdoûn el Mhatta"",""pt"":""Bhamdoûn el Mhatta"",""nl"":""Bhamdoûn el Mhatta"",""hr"":""Bhamdoûn el Mhatta"",""fa"":""بحمدون المحطه"",""de"":""Bhamdoûn el Mhatta"",""es"":""Bhamdoun el Mhatta"",""fr"":""Bhamdoûn el Mhatta"",""ja"":""バムドゥン・エル・マッタ"",""it"":""Bhamdoûn el Mhatta"",""zh-CN"":""巴姆顿·埃尔·马塔"",""tr"":""Bhamdoûn el Mhatta"",""ru"":""Bhamdoûn el Mhatta"",""uk"":""Бхамдун ель-Мхатта"",""pl"":""Bhamdoûn el Mhatta"",""hi"":""Bhamdoûn el Mhatta"",""ar"":""بحمدون المحطة""}",2019-10-06T10:07:51,2025-12-02T14:39:31,1,Q2900650
65939,Caza de Aakkar,2285,AK,121,LB,city,,,34.53333000,36.16667000,قضاء عكار,,Asia/Beirut,"{""br"":""Caza de Aakkar"",""ko"":""카사 데 아카카르"",""pt-BR"":""Caza de Aakkar"",""pt"":""Caza de Aakkar"",""nl"":""Caza de Aakkar"",""hr"":""Kuća Aakkar"",""fa"":""کاخ آکار"",""de"":""Caza de Aakkar"",""es"":""Caza de Aakkar"",""fr"":""Chasse d'Aakkar"",""ja"":""カザ・デ・アッカル"",""it"":""Caza de Aakkar"",""zh-CN"":""阿卡之卡"",""tr"":""Aakkar Cezaevi"",""ru"":""Каза де Ааккар"",""uk"":""Будинок Ааккара"",""pl"":""Caza de Aakkar"",""hi"":""Caza de Aakkar"",""ar"":""قضاء عكار""}",2019-10-06T10:07:51,2025-12-02T16:59:27,1,Q419697
