id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
65956,Active Hill,3758,02,186,LC,section,,,14.01940000,-60.97767000,Active Hill,1242,America/St_Lucia,"{""br"":""Menez oberiant"",""ko"":""액티브 힐"",""pt-BR"":""Colina Ativa"",""pt"":""Colina Ativa"",""nl"":""Actieve heuvel"",""hr"":""Aktivno brdo"",""fa"":""تپه فعال"",""de"":""Aktiver Hügel"",""es"":""Colina activa"",""fr"":""Colline active"",""ja"":""アクティブヒル"",""it"":""Collina attiva"",""zh-CN"":""活力山"",""tr"":""Aktif Tepe"",""ru"":""Активный холм"",""uk"":""Активний пагорб"",""pl"":""Aktywne Wzgórze"",""hi"":""सक्रिय पहाड़ी"",""ar"":""أكتيف هيل""}",2019-10-06T10:07:51,2025-12-02T14:39:31,1,Q26569
65957,Agard Lands/Morne Dudon,3758,02,186,LC,city,,,14.00768000,-60.96462000,Ard Lands/Morne Snakes,1003,America/St_Lucia,"{""br"":""Douaroù Agard/Morne Dudon"",""ko"":""아가드 랜즈/모른 두돈"",""pt-BR"":""Terras de Agard/Morne Dudon"",""pt"":""Terras de Agard/Morne Dudon"",""nl"":""Agard Lands/Morne Dudon"",""hr"":""Agard Lands/Morne Dudon"",""fa"":""آگارد لندز/مورن دودون"",""de"":""Agard Lands/Morne Dudon"",""es"":""Tierras de Agard/Morne Dudon"",""fr"":""Terres d'Agard/Morne Dudon"",""ja"":""アガード・ランズ/モーン・デュドン"",""it"":""Terre di Agard/Morne Dudon"",""zh-CN"":""阿加德土地/莫恩杜东"",""tr"":""Agard Toprakları/Morne Dudon"",""ru"":""Агард Лэндс/Морн Дюдон"",""uk"":""Землі Агарда/Морн-Дюдон"",""pl"":""Agard Lands/Morne Dudon"",""hi"":""अगार्ड लैंड्स/मोर्ने डुडॉन"",""ar"":""أغارد لاندز/مورن دودون""}",2019-10-06T10:07:51,2025-12-02T14:39:31,1,Q26569
65958,Almondale,3758,02,186,LC,city,,,14.01848000,-60.96162000,Almondale,1812,America/St_Lucia,"{""br"":""Amandez"",""ko"":""알몬데일"",""pt-BR"":""Almondale"",""pt"":""Almondale"",""nl"":""Amandelboom"",""hr"":""Almondale"",""fa"":""آلموندیل"",""de"":""Mandeldale"",""es"":""Almondale"",""fr"":""Almondale"",""ja"":""アルモンデール"",""it"":""Almondale"",""zh-CN"":""阿尔蒙代尔"",""tr"":""Almondale"",""ru"":""Алмондейл"",""uk"":""Алмондейл"",""pl"":""Migdałowiec"",""hi"":""आलमोंडेल"",""ar"":""ألمونديل""}",2019-10-06T10:07:51,2025-12-02T14:39:31,1,Q26569
65959,Annus,3759,07,186,LC,adm1,,,13.77449000,-61.00511000,Dose,,America/St_Lucia,"{""br"":""Annus"",""ko"":""안누스"",""pt-BR"":""Anus"",""pt"":""Anus"",""nl"":""Annus"",""hr"":""Annus"",""fa"":""آنوس"",""de"":""Annus"",""es"":""Año"",""fr"":""Annus"",""ja"":""アヌス"",""it"":""Anno"",""zh-CN"":""年鉴"",""tr"":""Yıl"",""ru"":""Аннус"",""uk"":""Аннус"",""pl"":""Annus"",""hi"":""एनस"",""ar"":""السنة""}",2019-10-06T10:07:51,2025-12-02T17:11:50,1,Q26569
65960,Anse Canot,3756,05,186,LC,city,,,13.90871000,-60.90440000,Canoe handle,1212,America/St_Lucia,"{""br"":""Anse Canot"",""ko"":""앙스 카노"",""pt-BR"":""Anse Canot"",""pt"":""Anse Canot"",""nl"":""Anse Canot"",""hr"":""Anse Canot"",""fa"":""آنسه کانوت"",""de"":""Anse Canot"",""es"":""Anse Canot"",""fr"":""Anse Canot"",""ja"":""アンス・カノ"",""it"":""Anse Canot"",""zh-CN"":""安斯卡诺特"",""tr"":""Anse Canot"",""ru"":""Анс Кано"",""uk"":""Анс Канот"",""pl"":""Anse Canot"",""hi"":""एंसे कैनोट"",""ar"":""أنس كانوت""}",2019-10-06T10:07:51,2025-12-02T14:39:31,1,Q26569
65961,Anse Chastanet,3764,10,186,LC,capital,,,13.86426000,-61.07016000,Anse Chastanet,,America/St_Lucia,"{""br"":""Anse Chastanet"",""ko"":""앙스 샤스타넷"",""pt-BR"":""Anse Chastanet"",""pt"":""Anse Chastanet"",""nl"":""Anse Chastanet"",""hr"":""Anse Chastanet"",""fa"":""آنسه چاستانت"",""de"":""Anse Chastanet"",""es"":""Anse Chastanet"",""fr"":""Anse Chastanet"",""ja"":""アンス・シャスタネット"",""it"":""Anse Chastanet"",""zh-CN"":""安斯沙斯塔内特"",""tr"":""Anse Chastanet"",""ru"":""Анс Частанет"",""uk"":""Анс Шастанет"",""pl"":""Anse Chastanet"",""hi"":""एंसे चैस्टानेट"",""ar"":""أنس شاستانيت""}",2019-10-06T10:07:51,2025-12-02T17:11:50,1,Q26569
65962,Anse Cochon,3761,12,186,LC,adm1,,,13.92261000,-61.05250000,Cove,2918,America/St_Lucia,"{""br"":""Anse Cochon"",""ko"":""앙스 코촌"",""pt-BR"":""Anse Cochon"",""pt"":""Anse Cochon"",""nl"":""Anse Cochon"",""hr"":""Anse Cochon"",""fa"":""آنسه کوچون"",""de"":""Anse Cochon"",""es"":""Anse Cochon"",""fr"":""Anse Cochon"",""ja"":""アンス・コション"",""it"":""Anse Cochon"",""zh-CN"":""安斯科琼"",""tr"":""Anse Cochon"",""ru"":""Анс Кошон"",""uk"":""Анс-Кошон"",""pl"":""Anse Cochon"",""hi"":""एंसे कोचोन"",""ar"":""أنس كوشون""}",2019-10-06T10:07:51,2025-12-02T14:39:31,1,Q26569
65963,Anse Galet,3761,12,186,LC,adm1,,,13.93221000,-61.04290000,Consider crazy,1256,America/St_Lucia,"{""br"":""Anse Galet"",""ko"":""앙스 갈렛"",""pt-BR"":""Anse Galet"",""pt"":""Anse Galet"",""nl"":""Anse Galet"",""hr"":""Anse Galet"",""fa"":""آنسه گالت"",""de"":""Anse Galet"",""es"":""Anse Galet"",""fr"":""Anse Galet"",""ja"":""アンス・ガレット"",""it"":""Anse Galet"",""zh-CN"":""安斯加莱特"",""tr"":""Anse Galet"",""ru"":""Анс Гале"",""uk"":""Анс Галет"",""pl"":""Anse Galet"",""hi"":""एन्से गैलेट"",""ar"":""أنس غاليت""}",2019-10-06T10:07:51,2025-12-02T14:39:31,1,Q26569
65964,Anse Ger,3762,08,186,LC,city,,,13.79567000,-60.91567000,Consider giving,1471,America/St_Lucia,"{""br"":""Anse Ger"",""ko"":""앙스 게르"",""pt-BR"":""Anse Ger"",""pt"":""Anse Ger"",""nl"":""Anse Ger"",""hr"":""Anse Ger"",""fa"":""آنسه گر"",""de"":""Anse Ger"",""es"":""Anse Ger"",""fr"":""Anse Ger"",""ja"":""アンス・ジェル"",""it"":""Anse Ger"",""zh-CN"":""安斯·格尔"",""tr"":""Anse Ger"",""ru"":""Анс Гер"",""uk"":""Анс Гер"",""pl"":""Anse Ger"",""hi"":""एन्से गेर"",""ar"":""أنس جير""}",2019-10-06T10:07:51,2025-12-02T14:39:31,1,Q26569
65965,Anse La Raye,3757,01,186,LC,adm1,,,13.94619000,-61.03879000,Anse la Raye,1256,America/St_Lucia,"{""br"":""Anse La Raye"",""ko"":""앙스 라 레이"",""pt-BR"":""Anse La Raye"",""pt"":""Anse La Raye"",""nl"":""Anse La Raye"",""hr"":""Anse La Raye"",""fa"":""آنسه لا رای"",""de"":""Anse La Raye"",""es"":""Anse La Raye"",""fr"":""Anse La Raye"",""ja"":""アンス・ラ・レイ"",""it"":""Anse La Raye"",""zh-CN"":""安斯拉雷"",""tr"":""Anse La Raye"",""ru"":""Анс Ла Рэй"",""uk"":""Анс-ла-Рей"",""pl"":""Anse La Raye"",""hi"":""एन्से ला रे"",""ar"":""أنس لا راي""}",2019-10-06T10:07:51,2025-12-02T14:38:56,1,Q569439
