id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
66437,Balzers,458,01,125,LI,adm1,,,47.06665000,9.50251000,Balzern,4628,Europe/Vaduz,"{""br"":""Balzeroù"",""ko"":""발저스"",""pt-BR"":""Balzers"",""pt"":""Balzers"",""nl"":""Balzers"",""hr"":""Balzers"",""fa"":""بالزرز"",""de"":""Balzers"",""es"":""Balzers"",""fr"":""Balzers"",""ja"":""バルザース"",""it"":""Balzers"",""zh-CN"":""巴尔泽斯"",""tr"":""Balzers"",""ru"":""Бальцерс"",""uk"":""Бальцерс"",""pl"":""Balzers"",""hi"":""बाल्ज़र्स"",""ar"":""بالزرز""}",2019-10-06T10:07:56,2025-12-02T14:38:56,1,Q3494579
66438,Eschen,451,02,125,LI,adm1,,,47.21071000,9.52223000,Eschen,4459,Europe/Vaduz,"{""br"":""Eschen"",""ko"":""에센"",""pt-BR"":""Eschen"",""pt"":""Eschen"",""nl"":""Eschen"",""hr"":""Eschen"",""fa"":""اشن"",""de"":""Eschen"",""es"":""Eschen"",""fr"":""Eschen"",""ja"":""エッシェン"",""it"":""Eschen"",""zh-CN"":""埃申"",""tr"":""Eschen"",""ru"":""Эшен"",""uk"":""Ешен"",""pl"":""Eschen"",""hi"":""एशेन"",""ar"":""إشن""}",2019-10-06T10:07:56,2025-12-02T14:39:31,1,Q3494579
66439,Gamprin,457,03,125,LI,adm1,,,47.22038000,9.50935000,Gamprin,1663,Europe/Vaduz,"{""br"":""Gamprin"",""ko"":""감프린"",""pt-BR"":""Gamprina"",""pt"":""Gamprina"",""nl"":""Gamprin"",""hr"":""Gamprin"",""fa"":""گامپرین"",""de"":""Gamprin"",""es"":""Gamprin"",""fr"":""Gamprin"",""ja"":""ガンプリン"",""it"":""Gamprin"",""zh-CN"":""甘普林"",""tr"":""Gamprin"",""ru"":""Гамприн"",""uk"":""Гампрін"",""pl"":""Gamprin"",""hi"":""गैम्प्रिन"",""ar"":""جامبرين""}",2019-10-06T10:07:56,2025-12-02T14:38:56,1,Q3494579
66440,Mauren,455,04,125,LI,adm1,,,47.21805000,9.54420000,Mauren,4404,Europe/Vaduz,"{""br"":""Mauren"",""ko"":""모렌"",""pt-BR"":""Mauren"",""pt"":""Mauren"",""nl"":""Mauren"",""hr"":""Mauren"",""fa"":""ماورن"",""de"":""Mauren"",""es"":""Mauren"",""fr"":""Mauren"",""ja"":""マウレン"",""it"":""Mauren"",""zh-CN"":""莫伦"",""tr"":""Mauren"",""ru"":""Маурен"",""uk"":""Маурен"",""pl"":""Mauren"",""hi"":""मौरेन"",""ar"":""مورين""}",2019-10-06T10:07:56,2025-12-02T14:38:56,1,Q49661
66441,Planken,454,05,125,LI,adm1,,,47.18516000,9.54437000,Bretter,478,Europe/Vaduz,"{""br"":""Planken"",""ko"":""플랑켄"",""pt-BR"":""Planken"",""pt"":""Planken"",""nl"":""Planken"",""hr"":""Planken"",""fa"":""پلانکن"",""de"":""Planken"",""es"":""Planken"",""fr"":""Planken"",""ja"":""プランケン"",""it"":""Planken"",""zh-CN"":""普兰肯"",""tr"":""Planken"",""ru"":""Планкен"",""uk"":""Планкен"",""pl"":""Planken"",""hi"":""प्लंकेन"",""ar"":""بلانكن""}",2019-10-06T10:07:56,2025-12-02T14:39:31,1,Q49660
66442,Ruggell,453,06,125,LI,adm1,,,47.23799000,9.52540000,Ruggell,2295,Europe/Vaduz,"{""br"":""Ruggell"",""ko"":""러겔"",""pt-BR"":""Ruggell"",""pt"":""Ruggell"",""nl"":""Ruggell"",""hr"":""Ruggell"",""fa"":""راگل"",""de"":""Ruggell"",""es"":""Ruggell"",""fr"":""Ruggell"",""ja"":""ルッゲル"",""it"":""Ruggell"",""zh-CN"":""鲁格尔"",""tr"":""Ruggell"",""ru"":""Руггелль"",""uk"":""Руггель"",""pl"":""Ruggell"",""hi"":""रग्गेल"",""ar"":""روجيل""}",2019-10-06T10:07:56,2025-12-02T14:38:56,1,Q49660
66443,Schaan,450,07,125,LI,adm1,,,47.16498000,9.50867000,Schaan,5998,Europe/Vaduz,"{""br"":""Schaan"",""ko"":""샨"",""pt-BR"":""Schaan"",""pt"":""Schaan"",""nl"":""Schaan"",""hr"":""Schaan"",""fa"":""شان"",""de"":""Schaan"",""es"":""Schaan"",""fr"":""Schaan"",""ja"":""シャーン"",""it"":""Schaan"",""zh-CN"":""沙恩"",""tr"":""Schaan"",""ru"":""Шаан"",""uk"":""Шан"",""pl"":""Schaan"",""hi"":""शैन"",""ar"":""شان""}",2019-10-06T10:07:56,2025-12-02T14:38:56,1,Q49660
66444,Schellenberg,449,08,125,LI,adm1,,,47.23123000,9.54678000,Schellenberg,1091,Europe/Vaduz,"{""br"":""Schellenberg"",""ko"":""셸렌버그"",""pt-BR"":""Schellenberg"",""pt"":""Schellenberg"",""nl"":""Schellenberg"",""hr"":""Šelenberg"",""fa"":""شلنبرگ"",""de"":""Schellenberg"",""es"":""Schellenberg"",""fr"":""Schellenberg"",""ja"":""シェレンベルグ"",""it"":""Schellenberg"",""zh-CN"":""谢伦伯格"",""tr"":""Schellenberg"",""ru"":""Шелленберг"",""uk"":""Шелленберг"",""pl"":""Schellenberg"",""hi"":""शेलेनबर्ग"",""ar"":""شيلينبيرج""}",2019-10-06T10:07:56,2025-12-02T14:38:56,1,Q49655
66445,Triesen,459,09,125,LI,adm1,,,47.10752000,9.52815000,Versuche,5230,Europe/Vaduz,"{""br"":""Triesen"",""ko"":""트리센"",""pt-BR"":""Triesen"",""pt"":""Triesen"",""nl"":""Triesen"",""hr"":""Triesen"",""fa"":""تریزن"",""de"":""Triesen"",""es"":""Triesen"",""fr"":""Triesen"",""ja"":""トリーゼン"",""it"":""Triesen"",""zh-CN"":""特里森"",""tr"":""Triesen"",""ru"":""Тризен"",""uk"":""Трізен"",""pl"":""Triesen"",""hi"":""ट्राइसेन"",""ar"":""تريسن""}",2019-10-06T10:07:56,2025-12-02T14:38:56,1,Q49655
66446,Triesenberg,456,10,125,LI,adm1,,,47.11815000,9.54197000,Triesenberg,2643,Europe/Vaduz,"{""br"":""Triesenberg"",""ko"":""트리젠버그"",""pt-BR"":""Triesenberg"",""pt"":""Triesenberg"",""nl"":""Triesenberg"",""hr"":""Triesenberg"",""fa"":""تریزنبرگ"",""de"":""Triesenberg"",""es"":""Triesenberg"",""fr"":""Triesenberg"",""ja"":""トリーゼンベルク"",""it"":""Triesenberg"",""zh-CN"":""特里森贝格"",""tr"":""Triesenberg"",""ru"":""Тризенберг"",""uk"":""Трізенберг"",""pl"":""Triesenberg"",""hi"":""ट्राइसेनबर्ग"",""ar"":""تريسنبيرج""}",2019-10-06T10:07:56,2025-12-02T14:39:31,1,Q49655
