id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
66448,Ambalangoda,2801,3,208,LK,city,,,6.23550000,80.05380000,අම්බලන්ගොඩ,56783,Asia/Colombo,"{""br"":""Ambalangoda"",""ko"":""암발랑고다"",""pt-BR"":""Ambalangoda"",""pt"":""Ambalangoda"",""nl"":""Ambalangoda"",""hr"":""Ambalangoda"",""fa"":""آمبالانگودا"",""de"":""Ambalangoda"",""es"":""Ambalangoda"",""fr"":""Ambalangoda"",""ja"":""アンバランゴダ"",""it"":""Ambalangoda"",""zh-CN"":""安巴朗戈达"",""tr"":""Ambalangoda"",""ru"":""Амбалангода"",""uk"":""Амбалангода"",""pl"":""Ambalangoda"",""hi"":""अम्बालांगोडा"",""ar"":""أمبالانجودا""}",2019-10-06T10:07:56,2025-12-02T14:38:56,1,Q4740977
66449,Ampara,2808,5,208,LK,city,,,7.29754000,81.68202000,සශ්රීක,43720,Asia/Colombo,"{""br"":""Ampara"",""ko"":""암파라"",""pt-BR"":""Ampara"",""pt"":""Ampara"",""nl"":""Ampara"",""hr"":""Ampara"",""fa"":""آمپارا"",""de"":""Ampara"",""es"":""Ampara"",""fr"":""Ampara"",""ja"":""アンパラ"",""it"":""Ampara"",""zh-CN"":""安帕拉"",""tr"":""Ampara"",""ru"":""Ампара"",""uk"":""Ампара"",""pl"":""Ampara"",""hi"":""ऍम्पारा"",""ar"":""أمبارا""}",2019-10-06T10:07:56,2025-12-02T14:38:56,1,Q696444
66450,Ampara District,2808,5,208,LK,district,,,7.08330000,81.75000000,දිස්ත්රික් ආවරණ,648057,Asia/Colombo,"{""br"":""Distrig Ampara"",""ko"":""암파라 지구"",""pt-BR"":""Distrito de Ampara"",""pt"":""Distrito de Ampara"",""nl"":""Ampara-district"",""hr"":""Okrug Ampara"",""fa"":""ناحیه آمپارا"",""de"":""Distrikt Ampara"",""es"":""Distrito de Ampara"",""fr"":""District d'Ampara"",""ja"":""アンパラ地区"",""it"":""Distretto di Ampara"",""zh-CN"":""安帕拉区"",""tr"":""Ampara Bölgesi"",""ru"":""Район Ампара"",""uk"":""Район Ампара"",""pl"":""Dystrykt Ampara"",""hi"":""अम्पारा जिला"",""ar"":""منطقة أمبارا""}",2019-10-06T10:07:56,2025-12-02T17:30:38,1,Q474395
66451,Anuradhapura,2800,7,208,LK,adm1,,,8.31223000,80.41306000,අනුරාධපුර,63208,Asia/Colombo,"{""br"":""Anuradhapura"",""ko"":""아누라다푸라"",""pt-BR"":""Anuradhapura"",""pt"":""Anuradhapura"",""nl"":""Anuradhapura"",""hr"":""Anuradhapura"",""fa"":""آنوراداپورا"",""de"":""Anuradhapura"",""es"":""Anuradhapura"",""fr"":""Anurâdhapura"",""ja"":""アヌラーダプラ"",""it"":""Anuradhapura"",""zh-CN"":""阿努拉德普勒"",""tr"":""Anuradhapura"",""ru"":""Анурадхапура"",""uk"":""Анурадхапура"",""pl"":""Anuradhapura"",""hi"":""अनुराधापुरा"",""ar"":""أنورادهابورة""}",2019-10-06T10:07:56,2025-12-02T14:38:56,1,Q5724
66452,Anuradhapura District,2800,7,208,LK,district,,,8.33333000,80.50000000,අනුරාධපුර දිස්ත්රික්කය,5000,Asia/Colombo,"{""br"":""Distrig Anuradhapura"",""ko"":""아누라다푸라 지구"",""pt-BR"":""Distrito de Anuradhapura"",""pt"":""Distrito de Anuradhapura"",""nl"":""Anuradhapura District"",""hr"":""Okrug Anuradhapura"",""fa"":""ناحیه آنوراداپورا"",""de"":""Distrikt Anuradhapura"",""es"":""Distrito de Anuradhapura"",""fr"":""District d'Anuradhapura"",""ja"":""アヌラーダプラ地区"",""it"":""Distretto di Anuradhapura"",""zh-CN"":""阿努拉德普勒区"",""tr"":""Anuradhapura Bölgesi"",""ru"":""Район Анурадхапура"",""uk"":""Район Анурадхапура"",""pl"":""Dystrykt Anuradhapura"",""hi"":""अनुराधापुरा जिला"",""ar"":""منطقة أنورادهابورا""}",2019-10-06T10:07:56,2025-12-02T17:30:38,1,Q612614
66453,Badulla,2811,8,208,LK,adm1,,,6.98020000,81.05770000,බදුල්ලා,47587,Asia/Colombo,"{""br"":""Badulla"",""ko"":""바둘라"",""pt-BR"":""Badulla"",""pt"":""Badulla"",""nl"":""Badulla"",""hr"":""Badulla"",""fa"":""بادولا"",""de"":""Badulla"",""es"":""Badulla"",""fr"":""Badulla"",""ja"":""バドゥッラ"",""it"":""Badulla"",""zh-CN"":""巴杜勒"",""tr"":""Badulla"",""ru"":""Бадулла"",""uk"":""Бадулла"",""pl"":""Badulla"",""hi"":""बैड्युला"",""ar"":""بادولا""}",2019-10-06T10:07:56,2025-12-02T14:39:31,1,Q390096
66454,Badulla District,2811,8,208,LK,district,,,6.98472000,81.05639000,බදුල්ලා දිස්ත්රික්කය,47587,Asia/Colombo,"{""br"":""Distrig Badulla"",""ko"":""바둘라 지구"",""pt-BR"":""Distrito de Badulla"",""pt"":""Distrito de Badulla"",""nl"":""Badulla-district"",""hr"":""Okrug Badulla"",""fa"":""شهرستان بادولا"",""de"":""Distrikt Badulla"",""es"":""Distrito de Badulla"",""fr"":""District de Badulla"",""ja"":""バドゥッラ地区"",""it"":""Distretto di Badulla"",""zh-CN"":""巴杜勒区"",""tr"":""Badulla Bölgesi"",""ru"":""Район Бадулла"",""uk"":""Район Бадулла"",""pl"":""Dystrykt Badulla"",""hi"":""बदुल्ला जिला"",""ar"":""منطقة بادولا""}",2019-10-06T10:07:56,2025-12-02T17:30:38,1,Q799713
66455,Battaramulla South,2802,1,208,LK,city,,,6.89640000,79.91810000,බට්ටරමුල්ල,75633,Asia/Colombo,"{""br"":""Su Battaramulla"",""ko"":""바타라물라 사우스"",""pt-BR"":""Battaramulla Sul"",""pt"":""Battaramulla Sul"",""nl"":""Battaramulla Zuid"",""hr"":""Južna Battaramulla"",""fa"":""باتارامولا جنوبی"",""de"":""Battaramulla Süd"",""es"":""Battaramulla Sur"",""fr"":""Battaramulla Sud"",""ja"":""バタラムラ・サウス"",""it"":""Battaramulla Sud"",""zh-CN"":""巴塔拉穆拉南"",""tr"":""Battaramulla Güney"",""ru"":""Баттарамулла Юг"",""uk"":""Баттарамулла Південь"",""pl"":""Battaramulla Południe"",""hi"":""बट्टारामुल्ला दक्षिण"",""ar"":""باتارامولا الجنوبية""}",2019-10-06T10:07:56,2025-12-02T14:39:31,1,Q4869689
66456,Batticaloa,2808,5,208,LK,city,,,7.71020000,81.69240000,බට්ටිකාලා,95489,Asia/Colombo,"{""br"":""Batticaloa"",""ko"":""바티칼로아"",""pt-BR"":""Batticaloa"",""pt"":""Batticaloa"",""nl"":""Batticaloa"",""hr"":""Batticaloa"",""fa"":""باتیکالوا"",""de"":""Batticaloa"",""es"":""Batticaloa"",""fr"":""Batticaloa"",""ja"":""バティカロア"",""it"":""Batticaloa"",""zh-CN"":""拜蒂克洛"",""tr"":""Batticaloa"",""ru"":""Баттикалоа"",""uk"":""Баттікалоа"",""pl"":""Batticaloa"",""hi"":""बत्तिसलोआ"",""ar"":""باتيكالوا""}",2019-10-06T10:07:56,2025-12-02T14:38:56,1,Q810963
66457,Batticaloa District,2808,5,208,LK,district,,,7.75000000,81.49970000,මඩකලපුව දිස්ත්රික්කය,515733,Asia/Colombo,"{""br"":""Distrig Batticaloa"",""ko"":""바티칼로아 지구"",""pt-BR"":""Distrito de Batticaloa"",""pt"":""Distrito de Batticaloa"",""nl"":""Batticaloa-district"",""hr"":""Okrug Batticaloa"",""fa"":""ناحیه باتیکالوا"",""de"":""Distrikt Batticaloa"",""es"":""Distrito de Batticaloa"",""fr"":""District de Batticaloa"",""ja"":""バティカロア地区"",""it"":""Distretto di Batticaloa"",""zh-CN"":""拜蒂克洛区"",""tr"":""Batticaloa Bölgesi"",""ru"":""Район Баттикалоа"",""uk"":""Район Баттікалоа"",""pl"":""Dystrykt Batticaloa"",""hi"":""बट्टिकलोआ जिला"",""ar"":""منطقة باتيكالوا""}",2019-10-06T10:07:56,2025-12-02T17:30:38,1,Q810960
66458,Bentota,2801,3,208,LK,city,,,6.42598000,79.99575000,බෙන්ටෝටා,37000,Asia/Colombo,"{""br"":""Bentota"",""ko"":""벤토타"",""pt-BR"":""Bentota"",""pt"":""Bentota"",""nl"":""Bentota"",""hr"":""Bentota"",""fa"":""بنتوتا"",""de"":""Bentota"",""es"":""Bentota"",""fr"":""Bentota"",""ja"":""ベントータ"",""it"":""Bentota"",""zh-CN"":""本托塔"",""tr"":""Bentota"",""ru"":""Бентота"",""uk"":""Бентота"",""pl"":""Bentota"",""hi"":""बेंटोटा"",""ar"":""بنتوتا""}",2019-10-06T10:07:56,2025-12-02T14:38:56,1,Q4890663
66459,Beruwala,2802,1,208,LK,city,,,6.47880000,79.98280000,බෙරුවල,34250,Asia/Colombo,"{""br"":""Beruwala"",""ko"":""베루왈라"",""pt-BR"":""Beruwala"",""pt"":""Beruwala"",""nl"":""Beruwala"",""hr"":""Beruwala"",""fa"":""بروالا"",""de"":""Beruwala"",""es"":""Beruwala"",""fr"":""Beruwala"",""ja"":""ベルワラ"",""it"":""Beruwala"",""zh-CN"":""贝鲁沃勒"",""tr"":""Beruwala"",""ru"":""Берувала"",""uk"":""Берувала"",""pl"":""Beruwala"",""hi"":""बेरुवाला"",""ar"":""بيروالا""}",2019-10-06T10:07:56,2025-12-02T14:39:31,1,Q829211
66460,Chilaw,2817,6,208,LK,city,,,7.57583000,79.79528000,චිලව්,24712,Asia/Colombo,"{""br"":""Chilaw"",""ko"":""칠라우"",""pt-BR"":""Chilaw"",""pt"":""Chilaw"",""nl"":""Chilaw"",""hr"":""Čilav"",""fa"":""چیلاو"",""de"":""Chilaw"",""es"":""Chilaw"",""fr"":""Chilaw"",""ja"":""チラウ"",""it"":""Chilaw"",""zh-CN"":""奇洛"",""tr"":""Chilaw"",""ru"":""Чилау"",""uk"":""Чілау"",""pl"":""Chilaw"",""hi"":""चिलाव"",""ar"":""تشيلاو""}",2019-10-06T10:07:56,2025-12-02T14:38:56,1,Q2495639
66461,Colombo,2802,1,208,LK,capital,,,6.93548000,79.84868000,කොළඹ,647557,Asia/Colombo,"{""br"":""Colombo"",""ko"":""콜롬보"",""pt-BR"":""Colombo"",""pt"":""Colombo"",""nl"":""Colombo"",""hr"":""Kolombo"",""fa"":""کلمبو"",""de"":""Colombo"",""es"":""Colombo"",""fr"":""Colombo"",""ja"":""コロンボ"",""it"":""Colombo"",""zh-CN"":""科伦坡"",""tr"":""Kolombo"",""ru"":""Коломбо"",""uk"":""Коломбо"",""pl"":""Colombo"",""hi"":""कोलंबो"",""ar"":""كولومبو""}",2019-10-06T10:07:56,2025-12-02T14:38:56,1,Q35381
66462,Colombo District,2802,1,208,LK,district,,,6.86640000,80.01660000,කොළඹ දිස්ත්රික්කය,2273260,Asia/Colombo,"{""br"":""Distrig Colombo"",""ko"":""콜롬보 지구"",""pt-BR"":""Distrito de Colombo"",""pt"":""Distrito de Colombo"",""nl"":""Colombo-district"",""hr"":""Okrug Colombo"",""fa"":""ناحیه کلمبو"",""de"":""Distrikt Colombo"",""es"":""Distrito de Colombo"",""fr"":""District de Colombo"",""ja"":""コロンボ地区"",""it"":""Distretto di Colombo"",""zh-CN"":""科伦坡区"",""tr"":""Colombo Bölgesi"",""ru"":""Округ Коломбо"",""uk"":""Район Коломбо"",""pl"":""Dystrykt Kolombo"",""hi"":""कोलंबो जिला"",""ar"":""منطقة كولومبو""}",2019-10-06T10:07:57,2025-12-02T17:30:38,1,Q606287
66463,Dambulla,2798,2,208,LK,city,,,7.86000000,80.65167000,දම්බුල්ලා,66716,Asia/Colombo,"{""br"":""Dambulla"",""ko"":""담불라"",""pt-BR"":""Dambulla"",""pt"":""Dambulla"",""nl"":""Dambulla"",""hr"":""Dambulla"",""fa"":""دامبولا"",""de"":""Dambulla"",""es"":""Dambulla"",""fr"":""Dambulla"",""ja"":""ダンブッラ"",""it"":""Dambulla"",""zh-CN"":""丹布勒"",""tr"":""Dambulla"",""ru"":""Дамбулла"",""uk"":""Дамбулла"",""pl"":""Dambulla"",""hi"":""दांबुला"",""ar"":""دامبولا""}",2019-10-06T10:07:57,2025-12-02T14:39:31,1,Q377343
66464,Dehiwala-Mount Lavinia,2815,11,208,LK,city,,,6.84019000,79.87116000,දෙහිවල-මවුන්ට් ලවීනියා,234559,Asia/Colombo,"{""br"":""Dehiwala-Menez Lavinia"",""ko"":""데히왈라-마운트 라비니아"",""pt-BR"":""Dehiwala-Monte Lavinia"",""pt"":""Dehiwala-Monte Lavinia"",""nl"":""Dehiwala-Mount Lavinia"",""hr"":""Dehiwala-Mount Lavinia"",""fa"":""دهیوالا-کوه لاوینیا"",""de"":""Dehiwala-Mount Lavinia"",""es"":""Dehiwala-Monte Lavinia"",""fr"":""Dehiwala-Mont Lavinia"",""ja"":""デヒワラ・マウントラビニア"",""it"":""Dehiwala-Monte Lavinia"",""zh-CN"":""代希瓦勒-拉维尼亚山"",""tr"":""Dehiwala-Mount Lavinia"",""ru"":""Дехивала-Маунт-Лавиния"",""uk"":""Дехівала-Маунт-Лавінія"",""pl"":""Dehiwala-Mount Lavinia"",""hi"":""देहिवाला-माउंट लाविनिया"",""ar"":""دهيوالا-ماونت لافينيا""}",2019-10-06T10:07:57,2025-12-02T14:38:56,1,Q24462
66465,Devinuwara,2801,3,208,LK,city,,,5.92825000,80.58880000,දේවිනිවරා,45000,Asia/Colombo,"{""br"":""Devinuwara"",""ko"":""데비누와라"",""pt-BR"":""Devinuwara"",""pt"":""Devinuwara"",""nl"":""Devinuwara"",""hr"":""Devinuwara"",""fa"":""دوینووارا"",""de"":""Devinuwara"",""es"":""Devinuwara"",""fr"":""Devinuwara"",""ja"":""デヴィヌワラ"",""it"":""Devinuwara"",""zh-CN"":""德维努瓦拉"",""tr"":""Devinuwara"",""ru"":""Девинувара"",""uk"":""Девінувара"",""pl"":""Devinuwara"",""hi"":""देविनुवारा"",""ar"":""ديفينوارا""}",2019-10-06T10:07:57,2025-12-02T14:39:31,1,Q24462
66466,Ella Town,2811,8,208,LK,city,,,6.87560000,81.04630000,එලා නගරය,5000,Asia/Colombo,"{""br"":""Kêr Ella"",""ko"":""엘라 타운"",""pt-BR"":""Cidade de Ella"",""pt"":""Cidade de Ella"",""nl"":""Ella Stad"",""hr"":""Ella Town"",""fa"":""شهر الا"",""de"":""Ella-Stadt"",""es"":""Ciudad de Ella"",""fr"":""Ville d'Ella"",""ja"":""エラタウン"",""it"":""Città di Ella"",""zh-CN"":""埃拉镇"",""tr"":""Ella Kasabası"",""ru"":""Элла Таун"",""uk"":""Елла-Таун"",""pl"":""Miasto Ella"",""hi"":""एला टाउन"",""ar"":""مدينة إيلا""}",2019-10-06T10:07:57,2025-12-02T14:39:31,1,Q24462
66467,Eravur Town,2808,5,208,LK,city,,,7.77820000,81.60380000,එරාවූර් නගරය,22982,Asia/Colombo,"{""br"":""Kêr Eravur"",""ko"":""에라부르 타운"",""pt-BR"":""Cidade de Eravur"",""pt"":""Cidade de Eravur"",""nl"":""Eravur-stad"",""hr"":""Grad Eravur"",""fa"":""شهر اراوور"",""de"":""Eravur-Stadt"",""es"":""Ciudad de Eravur"",""fr"":""Ville d'Eravur"",""ja"":""エラヴールタウン"",""it"":""Città di Eravur"",""zh-CN"":""埃拉武尔镇"",""tr"":""Eravur Kasabası"",""ru"":""Город Эравур"",""uk"":""Місто Еравур"",""pl"":""Miasto Eravur"",""hi"":""एरावुर टाउन"",""ar"":""مدينة إيرافور""}",2019-10-06T10:07:57,2025-12-02T14:39:31,1,Q24462
66468,Galle,2801,3,208,LK,adm1,,,6.04610000,80.21030000,ගාල්ල,93118,Asia/Colombo,"{""br"":""Galle"",""ko"":""갈레"",""pt-BR"":""Galle"",""pt"":""Galle"",""nl"":""Galle"",""hr"":""Galle"",""fa"":""گال"",""de"":""Galle"",""es"":""Galle"",""fr"":""Galle"",""ja"":""ガレ"",""it"":""Galle"",""zh-CN"":""加勒"",""tr"":""Galle"",""ru"":""Галле"",""uk"":""Галле"",""pl"":""Galle"",""hi"":""गाले"",""ar"":""جالي""}",2019-10-06T10:07:57,2025-12-02T14:38:56,1,Q319366
66469,Galle District,2801,3,208,LK,district,,,6.25000000,80.25000000,ගාල්ල දිස්ත්රික්කය,1058771,Asia/Colombo,"{""br"":""Distrig Galle"",""ko"":""갈레 지구"",""pt-BR"":""Distrito de Galle"",""pt"":""Distrito de Galle"",""nl"":""Galle District"",""hr"":""Okrug Galle"",""fa"":""ناحیه گال"",""de"":""Galle District"",""es"":""Distrito de Galle"",""fr"":""District de Galle"",""ja"":""ゴール地区"",""it"":""Distretto di Galle"",""zh-CN"":""加勒区"",""tr"":""Galle Bölgesi"",""ru"":""Район Галле"",""uk"":""Район Галле"",""pl"":""Dzielnica Galle"",""hi"":""गैले जिला"",""ar"":""منطقة جالي""}",2019-10-06T10:07:57,2025-12-02T17:30:38,1,Q647649
66470,Gampaha,2802,1,208,LK,city,,,7.08970000,79.99250000,ගම්පහා,9350,Asia/Colombo,"{""br"":""Gampaha"",""ko"":""감파하"",""pt-BR"":""Gampaha"",""pt"":""Gampaha"",""nl"":""Gampaha"",""hr"":""Gampaha"",""fa"":""گامپاها"",""de"":""Gampaha"",""es"":""Gampaha"",""fr"":""Gampaha"",""ja"":""ガンパハ"",""it"":""Gampaha"",""zh-CN"":""加姆珀哈"",""tr"":""Gampaha"",""ru"":""Гампаха"",""uk"":""Гампаха"",""pl"":""Gampaha"",""hi"":""गम्पाहा"",""ar"":""غامباها""}",2019-10-06T10:07:57,2025-12-02T14:39:31,1,Q2616818
66471,Gampaha District,2802,1,208,LK,district,,,7.13330000,80.00000000,ගම්පහා දිස්ත්රික්කය,9350,Asia/Colombo,"{""br"":""Distrig Gampaha"",""ko"":""감파하 지구"",""pt-BR"":""Distrito de Gampaha"",""pt"":""Distrito de Gampaha"",""nl"":""Gampaha-district"",""hr"":""Okrug Gampaha"",""fa"":""ناحیه گامپاها"",""de"":""Bezirk Gampaha"",""es"":""Distrito de Gampaha"",""fr"":""District de Gampaha"",""ja"":""ガンパハ地区"",""it"":""Distretto di Gampaha"",""zh-CN"":""加姆珀哈区"",""tr"":""Gampaha Bölgesi"",""ru"":""Район Гампаха"",""uk"":""Район Гампаха"",""pl"":""Dystrykt Gampaha"",""hi"":""गम्पाहा जिला"",""ar"":""منطقة غامباها""}",2019-10-06T10:07:57,2025-12-02T17:30:38,1,Q206344
66472,Gampola,2788,21,208,LK,city,,,7.16430000,80.56960000,ගම්පෝලා,27660,Asia/Colombo,"{""br"":""Gampola"",""ko"":""감폴라"",""pt-BR"":""Gampola"",""pt"":""Gampola"",""nl"":""Gampola"",""hr"":""Gampola"",""fa"":""گامپولا"",""de"":""Gampola"",""es"":""Gampola"",""fr"":""Gampola"",""ja"":""ガンポラ"",""it"":""Gampola"",""zh-CN"":""甘波拉"",""tr"":""Gampola"",""ru"":""Гампола"",""uk"":""Гампола"",""pl"":""Gampola"",""hi"":""गम्पोला"",""ar"":""غامبولا""}",2019-10-06T10:07:57,2025-12-02T14:38:56,1,Q8264065
66473,Hambantota,2801,3,208,LK,district,,,6.25440000,81.11110000,හම්බන්තොට දිස්ත්රික්කය,529440,Asia/Colombo,"{""br"":""Distrig Hambantota"",""ko"":""함반토타 지구"",""pt-BR"":""Distrito de Hambantota"",""pt"":""Distrito de Hambantota"",""nl"":""Hambantota District"",""hr"":""Okrug Hambantota"",""fa"":""ناحیه هامبانتوتا"",""de"":""Distrikt Hambantota"",""es"":""Distrito de Hambantota"",""fr"":""District de Hambantota"",""ja"":""ハンバントタ地区"",""it"":""Distretto di Hambantota"",""zh-CN"":""汉班托塔区"",""tr"":""Hambantota Bölgesi"",""ru"":""Район Хамбантота"",""uk"":""Район Хамбантота"",""pl"":""Dystrykt Hambantota"",""hi"":""हंबनटोटा जिला"",""ar"":""منطقة هامبانتوتا""}",2019-10-06T10:07:57,2025-12-02T17:03:53,1,Q723006
