id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
66546,Barclayville,3045,GK,123,LR,adm1,,,4.67443000,-8.23306000,Barclayville,4692,Africa/Monrovia,"{""br"":""Barclayville"",""ko"":""바클레이빌"",""pt-BR"":""Barclayville"",""pt"":""Barclayville"",""nl"":""Barclayville"",""hr"":""Barclayville"",""fa"":""بارکلیویل"",""de"":""Barclayville"",""es"":""Barclayville"",""fr"":""Barclayville"",""ja"":""バークレイビル"",""it"":""Barclayville"",""zh-CN"":""巴克莱维尔"",""tr"":""Barclayville"",""ru"":""Барклайвилл"",""uk"":""Барклейвілл"",""pl"":""Barclayville"",""hi"":""बार्कलेविल"",""ar"":""باركليفيل""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q807963
66547,Bensonville,3032,MO,123,LR,adm1,,,6.44716000,-10.61283000,Bensonville,785,Africa/Monrovia,"{""br"":""Bensonville"",""ko"":""벤슨빌"",""pt-BR"":""Bensonville"",""pt"":""Bensonville"",""nl"":""Bensonville"",""hr"":""Bensonville"",""fa"":""بنسونویل"",""de"":""Bensonville"",""es"":""Bensonville"",""fr"":""Bensonville"",""ja"":""ベンソンビル"",""it"":""Bensonville"",""zh-CN"":""本森维尔"",""tr"":""Bensonville"",""ru"":""Бенсонвилл"",""uk"":""Бенсонвілл"",""pl"":""Bensonville"",""hi"":""बेन्सनविले"",""ar"":""بنسونفيل""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q818201
66548,Bopolu,3044,GP,123,LR,adm1,,,7.06667000,-10.48750000,Bopol,4396,Africa/Monrovia,"{""br"":""Bopolu"",""ko"":""보폴루"",""pt-BR"":""Bopolu"",""pt"":""Bopolu"",""nl"":""Bopolu"",""hr"":""Bopolu"",""fa"":""بوپولو"",""de"":""Bopolu"",""es"":""Bopolu"",""fr"":""Bopolu"",""ja"":""ボポル"",""it"":""Bopolu"",""zh-CN"":""博波卢"",""tr"":""Bopolu"",""ru"":""Бополу"",""uk"":""Бополу"",""pl"":""Bopolu"",""hi"":""बोपोलू"",""ar"":""بوبولو""}",2019-10-06T10:07:58,2025-12-02T14:38:56,1,Q893242
66549,Buchanan,3040,GB,123,LR,adm1,,,5.87693000,-10.04964000,Buchanan,75854,Africa/Monrovia,"{""br"":""Buchanan"",""ko"":""뷰캐넌"",""pt-BR"":""Buchanan"",""pt"":""Buchanan"",""nl"":""Buchanan"",""hr"":""Buchanan"",""fa"":""بوکانان"",""de"":""Buchanan"",""es"":""Buchanan"",""fr"":""Buchanan"",""ja"":""ブキャナン"",""it"":""Buchanan"",""zh-CN"":""布坎南"",""tr"":""Buchanan"",""ru"":""Бьюкенен"",""uk"":""Б'юкенен"",""pl"":""Buchanan"",""hi"":""बुकानन"",""ar"":""بوكانان""}",2019-10-06T10:07:58,2025-12-02T14:38:56,1,Q269222
66550,Cestos City,3033,RI,123,LR,adm1,,,5.45683000,-9.58167000,City Baskets,3606,Africa/Monrovia,"{""br"":""Kêr Cestos"",""ko"":""세스토스 시티"",""pt-BR"":""Cidade de Cestos"",""pt"":""Cidade de Cestos"",""nl"":""Cestos Stad"",""hr"":""Grad Cestos"",""fa"":""شهر سستوس"",""de"":""Cestos Stadt"",""es"":""Ciudad de Cestos"",""fr"":""Ville de Cestos"",""ja"":""セストス市"",""it"":""Città di Cestos"",""zh-CN"":""塞斯托斯城"",""tr"":""Cestos Şehri"",""ru"":""Город Сестос"",""uk"":""Місто Сестос"",""pl"":""Miasto Cestos"",""hi"":""सेस्टोस शहर"",""ar"":""مدينة سيستوس""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q1057594
66551,Fish Town,3038,RG,123,LR,adm1,,,5.19739000,-7.87579000,Fish Town,5383,Africa/Monrovia,"{""br"":""Kêr ar Pesketa"",""ko"":""피시타운"",""pt-BR"":""Cidade dos Peixes"",""pt"":""Cidade dos Peixes"",""nl"":""Visstad"",""hr"":""Riblji grad"",""fa"":""شهر ماهی"",""de"":""Fischstadt"",""es"":""Ciudad del pescado"",""fr"":""Ville des poissons"",""ja"":""フィッシュタウン"",""it"":""Città dei pesci"",""zh-CN"":""鱼镇"",""tr"":""Balık Kasabası"",""ru"":""Рыбный городок"",""uk"":""Рибне містечко"",""pl"":""Miasto Rybne"",""hi"":""मछली शहर"",""ar"":""مدينة الأسماك""}",2019-10-06T10:07:58,2025-12-02T14:38:56,1,Q598740
66552,Ganta,3046,NI,123,LR,city,,,7.30222000,-8.53083000,Giant,13802,Africa/Monrovia,"{""br"":""Ganta"",""ko"":""간타"",""pt-BR"":""Ganta"",""pt"":""Ganta"",""nl"":""Ganta"",""hr"":""Ganta"",""fa"":""گانتا"",""de"":""Ganta"",""es"":""Ganta"",""fr"":""Ganta"",""ja"":""ガンタ"",""it"":""Ganta"",""zh-CN"":""甘塔"",""tr"":""Ganta"",""ru"":""Ганта"",""uk"":""Ганта"",""pl"":""Ganta"",""hi"":""गंता"",""ar"":""غانتا""}",2019-10-06T10:07:58,2025-12-02T14:38:56,1,Q598740
66553,Gbarnga,3034,BG,123,LR,adm1,,,6.99543000,-9.47122000,Recurring,86031,Africa/Monrovia,"{""br"":""Gbarnga"",""ko"":""그바른가"",""pt-BR"":""Gbarnga"",""pt"":""Gbarnga"",""nl"":""Gbarnga"",""hr"":""Gbarnga"",""fa"":""گبارنگا"",""de"":""Gbarnga"",""es"":""Gbarnga"",""fr"":""Gbarnga"",""ja"":""ガバンガ"",""it"":""Gbarnga"",""zh-CN"":""邦加"",""tr"":""Gbarnga"",""ru"":""Гбарнга"",""uk"":""Гбарнга"",""pl"":""Gbarnga"",""hi"":""ग्बरणगा"",""ar"":""غبارنغا""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q985291
66554,Greenville,3035,SI,123,LR,adm1,,,5.01133000,-9.03880000,Greenville,17574,Africa/Monrovia,"{""br"":""Greenville"",""ko"":""그린빌"",""pt-BR"":""Greenville"",""pt"":""Greenville"",""nl"":""Greenville"",""hr"":""Greenville"",""fa"":""گرینویل"",""de"":""Greenville"",""es"":""Greenville"",""fr"":""Greenville"",""ja"":""グリーンビル"",""it"":""Greenville"",""zh-CN"":""格林维尔"",""tr"":""Greenville"",""ru"":""Гринвилл"",""uk"":""Грінвілл"",""pl"":""Greenville"",""hi"":""Greenville"",""ar"":""جرينفيل""}",2019-10-06T10:07:58,2025-12-02T14:38:56,1,Q1022899
66555,Harper,3042,MY,123,LR,adm1,,,4.37820000,-7.71081000,Harper,35503,Africa/Monrovia,"{""br"":""Harper"",""ko"":""하퍼"",""pt-BR"":""Harper"",""pt"":""Harper"",""nl"":""Harper"",""hr"":""Harper"",""fa"":""هارپر"",""de"":""Harper"",""es"":""Harper"",""fr"":""Harper"",""ja"":""ハーパー"",""it"":""Arpista"",""zh-CN"":""哈珀"",""tr"":""Harper"",""ru"":""Харпер"",""uk"":""Харпер"",""pl"":""Harfiarka"",""hi"":""बीन बजानेवाला"",""ar"":""هاربر""}",2019-10-06T10:07:58,2025-12-02T14:38:56,1,Q1019486
