id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
66564,Butha-Buthe,3029,B,122,LS,adm1,,,-28.76659000,28.24937000,Butha-Buthe,40599,Africa/Maseru,"{""br"":""Butha-Buthe"",""ko"":""부타부테"",""pt-BR"":""Butha-Buthe"",""pt"":""Butha-Buthe"",""nl"":""Butha-Buthe"",""hr"":""Butha-Buthe"",""fa"":""بوتا-بوته"",""de"":""Butha-Buthe"",""es"":""Butha-Buthe"",""fr"":""Butha-Buthe"",""ja"":""ブタ・ブテ"",""it"":""Butha-Buthe"",""zh-CN"":""布塔-布特"",""tr"":""Butha-Buthe"",""ru"":""Бута-Буте"",""uk"":""Бута-Буте"",""pl"":""Butha-Buthe"",""hi"":""ब्यूथा-ब्युथ"",""ar"":""بوثا-بوثي""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q382249
66565,Leribe,3026,C,122,LS,city,,,-28.87185000,28.04501000,LERIBE,,Africa/Maseru,"{""br"":""Leribe"",""ko"":""레리베"",""pt-BR"":""Leribe"",""pt"":""Leribe"",""nl"":""Leribe"",""hr"":""Leribe"",""fa"":""لریبه"",""de"":""Leribe"",""es"":""Leribe"",""fr"":""Léribe"",""ja"":""レリベ"",""it"":""Leribe"",""zh-CN"":""莱里贝"",""tr"":""Leribe"",""ru"":""Лерибе"",""uk"":""Лерібе"",""pl"":""Leribe"",""hi"":""लेरिबे"",""ar"":""ليريبي""}",2019-10-06T10:07:58,2025-12-02T16:59:27,1,Q993076
66566,Mafeteng,3022,E,122,LS,adm1,,,-29.82299000,27.23744000,Mafeteng,45287,Africa/Maseru,"{""br"":""Mafeteng"",""ko"":""마페텡"",""pt-BR"":""Mafeteng"",""pt"":""Mafeteng"",""nl"":""Mafeteng"",""hr"":""Mafeteng"",""fa"":""مافتنگ"",""de"":""Mafeteng"",""es"":""Mafeteng"",""fr"":""Mafeteng"",""ja"":""マフェテング"",""it"":""Mafeteng"",""zh-CN"":""马费滕"",""tr"":""Mafeteng"",""ru"":""Мафетенг"",""uk"":""Мафетенг"",""pl"":""Mafeteng"",""hi"":""मफेतेंग"",""ar"":""مافيتنج""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q1013379
66567,Maputsoe,3026,C,122,LS,city,,,-28.88660000,27.89915000,Maputsoe,61916,Africa/Maseru,"{""br"":""Maputsoe"",""ko"":""마푸초에"",""pt-BR"":""Maputsoé"",""pt"":""Maputsoé"",""nl"":""Maputsoe"",""hr"":""Maputsoe"",""fa"":""ماپوتسو"",""de"":""Maputsoe"",""es"":""Maputsoe"",""fr"":""Maputsoe"",""ja"":""マプトソエ"",""it"":""Maputsoe"",""zh-CN"":""马普托埃"",""tr"":""Maputsoe"",""ru"":""Мапуцоэ"",""uk"":""Мапутсое"",""pl"":""Maputsoe"",""hi"":""मापुत्सोए"",""ar"":""مابوتسوي""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q1892158
66568,Maseru,3028,A,122,LS,capital,,,-29.31667000,27.48333000,Maseru,343541,Africa/Maseru,"{""br"":""Maseru"",""ko"":""마세루"",""pt-BR"":""Maseru"",""pt"":""Maseru"",""nl"":""Maseru"",""hr"":""Maseru"",""fa"":""ماسرو"",""de"":""Maseru"",""es"":""Maseru"",""fr"":""Maseru"",""ja"":""マセル"",""it"":""Maseru"",""zh-CN"":""马塞卢"",""tr"":""Maseru"",""ru"":""Масеру"",""uk"":""Масеру"",""pl"":""Maseru"",""hi"":""मासेरु"",""ar"":""ماسيرو""}",2019-10-06T10:07:58,2025-12-02T14:38:56,1,Q3909
66569,Mohale’s Hoek,3023,F,122,LS,adm1,,,-30.15137000,27.47691000,Mohale's Hoek,46593,Africa/Maseru,"{""br"":""Hoek Mohale"",""ko"":""모할레의 후크"",""pt-BR"":""Hoek de Mohale"",""pt"":""Hoek de Mohale"",""nl"":""Mohale's Hoek"",""hr"":""Mohaleov Hoek"",""fa"":""هوک موهال"",""de"":""Mohale’s Hoek"",""es"":""Hoek de Mohale"",""fr"":""Mohale's Hoek"",""ja"":""モハレズフック"",""it"":""Mohale's Hoek"",""zh-CN"":""莫哈莱斯胡克"",""tr"":""Mohale'nin Hoek'i"",""ru"":""Мохалес-Хук"",""uk"":""Мохалез Хук"",""pl"":""Mohale’s Hoek"",""hi"":""मोहाले का होक"",""ar"":""موهالي هوك""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q1818943
66570,Mokhotlong,3024,J,122,LS,adm1,,,-29.28939000,29.06751000,Mokhotlong,14461,Africa/Maseru,"{""br"":""Mokhotlong"",""ko"":""모코틀롱"",""pt-BR"":""Mokhotlong"",""pt"":""Mokhotlong"",""nl"":""Mokhotlong"",""hr"":""Mokhotlong"",""fa"":""موخوتلونگ"",""de"":""Mokhotlong"",""es"":""Mokhotlong"",""fr"":""Mokhotlong"",""ja"":""モコトロン"",""it"":""Mokhotlong"",""zh-CN"":""莫霍特隆"",""tr"":""Mokhotlong"",""ru"":""Мокхотлонг"",""uk"":""Мохотлонг"",""pl"":""Mokhotlong"",""hi"":""मोखोतलोंग"",""ar"":""موخوتلونج""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q1013428
66571,Nako,3028,A,122,LS,city,,,-29.61667000,27.76667000,Time,13146,Africa/Maseru,"{""br"":""Nako"",""ko"":""나코"",""pt-BR"":""Nako"",""pt"":""Nako"",""nl"":""Nako"",""hr"":""Nako"",""fa"":""ناکو"",""de"":""Nako"",""es"":""Nako"",""fr"":""Nako"",""ja"":""ナコ"",""it"":""Nako"",""zh-CN"":""奈子"",""tr"":""Nako"",""ru"":""Нако"",""uk"":""Нако"",""pl"":""Nako"",""hi"":""नाको"",""ar"":""ناكو""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q6739344
66572,Qacha’s Nek,3025,H,122,LS,city,,,-30.11537000,28.68936000,Let’s ruin Nek,25573,Africa/Maseru,"{""br"":""Nek Qacha"",""ko"":""카차의 넥"",""pt-BR"":""Nek de Qacha"",""pt"":""Nek de Qacha"",""nl"":""Qacha's Nek"",""hr"":""Qachin Nek"",""fa"":""قاچا نک"",""de"":""Qacha’s Nek"",""es"":""Qacha’s Nek"",""fr"":""Nek de Qacha"",""ja"":""カチャのネック"",""it"":""Il collo di Qacha"",""zh-CN"":""卡查的内克"",""tr"":""Qacha'nın Boynu"",""ru"":""Цгача Нек"",""uk"":""Кача Нек"",""pl"":""Qacha’s Nek"",""hi"":""कचा का नेक"",""ar"":""نك قاشا""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q491829
66573,Quthing,3027,G,122,LS,adm1,,,-30.40001000,27.70027000,Quthing,33910,Africa/Maseru,"{""br"":""Pezh"",""ko"":""퀘팅"",""pt-BR"":""Coisa"",""pt"":""Coisa"",""nl"":""Qthing"",""hr"":""Quthing"",""fa"":""قوثینگ"",""de"":""Quthing"",""es"":""Quthing"",""fr"":""Quthing"",""ja"":""クシング"",""it"":""Quthing"",""zh-CN"":""古廷"",""tr"":""Bir şey"",""ru"":""Кутинг"",""uk"":""Цютінг"",""pl"":""Quthing"",""hi"":""कुथिंग"",""ar"":""كوثينج""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q1003318
