id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
66576,Akademija (Kaunas),1580,15,126,LT,city,,,54.89640000,23.82411000,Akademija (Kaunas),2807,Europe/Vilnius,"{""br"":""Akademija (Kaunas)"",""ko"":""아카데미아(카우나스)"",""pt-BR"":""Academia (Kaunas)"",""pt"":""Academia (Kaunas)"",""nl"":""Akademija (Kaunas)"",""hr"":""Akademija (Kaunas)"",""fa"":""آکادمیا (کائوناس)"",""de"":""Akademija (Kaunas)"",""es"":""Academia (Kaunas)"",""fr"":""Académie (Kaunas)"",""ja"":""アカデミー（カウナス）"",""it"":""Accademia (Kaunas)"",""zh-CN"":""Akademija（考纳斯）"",""tr"":""Akademija (Kaunas)"",""ru"":""Akademija (Kaunas)"",""uk"":""Академія (Каунас)"",""pl"":""Akademija (Kowno)"",""hi"":""अकादमीजा (कौनास)"",""ar"":""أكاديمية كاوناس""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q2869148
66577,Akmenė,1609,43,126,LT,adm2,,,56.25000000,22.75000000,Akmenė,3026,Europe/Vilnius,"{""br"":""Akmenė"",""ko"":""아크메네"",""pt-BR"":""Akmenė"",""pt"":""Akmenė"",""nl"":""Akmenė"",""hr"":""Akmene"",""fa"":""آکمنه"",""de"":""Akmenė"",""es"":""Akmenė"",""fr"":""Akmenė"",""ja"":""アクメネ"",""it"":""Akmenė"",""zh-CN"":""阿克梅内"",""tr"":""Akmenė"",""ru"":""Акмяне"",""uk"":""Акмене"",""pl"":""Okmenė"",""hi"":""अक्मेने"",""ar"":""أكميني""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q27485851
66579,Aleksotas,1580,15,126,LT,section,,,54.88037000,23.90842000,Aleksotas,24270,Europe/Vilnius,"{""br"":""Aleksotas"",""ko"":""알렉소타스"",""pt-BR"":""Aleksotas"",""pt"":""Aleksotas"",""nl"":""Aleksotas"",""hr"":""Aleksotas"",""fa"":""الکسوتاس"",""de"":""Aleksotas"",""es"":""Alexotas"",""fr"":""Aleksotas"",""ja"":""アレクソタス"",""it"":""Aleksotas"",""zh-CN"":""阿列克索塔斯"",""tr"":""Aleksotas"",""ru"":""Алексотас"",""uk"":""Алексотас"",""pl"":""Aleksotas"",""hi"":""अलेक्सोटास"",""ar"":""أليكسوتاس""}",2019-10-06T10:07:58,2025-12-02T14:38:56,1,Q1023041
66581,Alytus,1605,02,126,LT,adm1,,,54.39635000,24.04142000,Alytus,51856,Europe/Vilnius,"{""br"":""Alytus"",""ko"":""알리투스"",""pt-BR"":""Alytus"",""pt"":""Alytus"",""nl"":""Alytus"",""hr"":""Alytus"",""fa"":""آلیتوس"",""de"":""Alytus"",""es"":""Alytus"",""fr"":""Alytus"",""ja"":""アリートゥス"",""it"":""Alytus"",""zh-CN"":""阿利图斯"",""tr"":""Alytus"",""ru"":""Алитус"",""uk"":""Алітус"",""pl"":""Olita"",""hi"":""एलीटस"",""ar"":""أليتوس""}",2019-10-06T10:07:58,2025-12-02T17:11:50,1,Q450625
66582,Anyksciai,1621,UT,126,LT,city,,,55.52557000,25.10264000,Anyksciai,8638,Europe/Vilnius,"{""br"":""Anyksciai"",""ko"":""아니크샤이"",""pt-BR"":""Anyksciai"",""pt"":""Anyksciai"",""nl"":""Anyksciai"",""hr"":""Anyksciai"",""fa"":""آنیکسیا"",""de"":""Anyksciai"",""es"":""Anyksciai"",""fr"":""Anyksciai"",""ja"":""アニークシチャイ"",""it"":""Anyksciai"",""zh-CN"":""阿尼克什恰伊"",""tr"":""Anyksciai"",""ru"":""Аникщяй"",""uk"":""Анікщяй"",""pl"":""Onikszty"",""hi"":""अनीक्सियाई"",""ar"":""أنيكسياي""}",2019-10-06T10:07:58,2025-12-02T14:38:56,1,Q27485494
66584,Ariogala,1580,15,126,LT,city,,,55.26200000,23.47700000,Ariogala,3653,Europe/Vilnius,"{""br"":""Ariogala"",""ko"":""아리오갈라"",""pt-BR"":""Ariogala"",""pt"":""Ariogala"",""nl"":""Ariogala"",""hr"":""Ariogala"",""fa"":""آریوگالا"",""de"":""Ariogala"",""es"":""Ariogala"",""fr"":""Ariogala"",""ja"":""アリオガラ"",""it"":""Ariogala"",""zh-CN"":""阿里奥加拉"",""tr"":""Ariogala"",""ru"":""Ариогала"",""uk"":""Аріогала"",""pl"":""Ariogala"",""hi"":""अरियोगाला"",""ar"":""أريوغالا""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q1004320
66585,Aukstadvaris,1606,57,126,LT,city,,,54.57946000,24.52683000,Šalta,861,Europe/Vilnius,"{""br"":""Aukstadvaris"",""ko"":""오크스타드바리스"",""pt-BR"":""Aukstadvaris"",""pt"":""Aukstadvaris"",""nl"":""Aukstadvaris"",""hr"":""Aukstadvaris"",""fa"":""اوکستاواریس"",""de"":""Aukstadvaris"",""es"":""Aukstadvaris"",""fr"":""Aukstadvaris"",""ja"":""オークスタドヴァリス"",""it"":""Aukstadvaris"",""zh-CN"":""奥克斯塔德瓦里斯"",""tr"":""Aukstadvaris"",""ru"":""Аукштадварис"",""uk"":""Аукстадварис"",""pl"":""Aukstadvaris"",""hi"":""ऑकस्टेडवारिस"",""ar"":""أوكستافاريس""}",2019-10-06T10:07:58,2025-12-02T14:38:56,1,Q2667459
66586,Baltoji Vokė,1606,57,126,LT,city,,,54.60002000,25.19318000,Baltoji Vokė,991,Europe/Vilnius,"{""br"":""Baltoji Vokė"",""ko"":""발토지 보케"",""pt-BR"":""Baltoji Vokė"",""pt"":""Baltoji Vokė"",""nl"":""Baltoji Vokė"",""hr"":""Baltoji Vokė"",""fa"":""بالتوجی ووکی"",""de"":""Baltoji Vokė"",""es"":""Baltoji Vokė"",""fr"":""Baltoji Vokė"",""ja"":""バルトジ・ヴォケ"",""it"":""Baltoji Vokė"",""zh-CN"":""巴尔托吉·沃克"",""tr"":""Baltoji Vokė"",""ru"":""Baltoji Vokė"",""uk"":""Балтойї Воке"",""pl"":""Biała Woka"",""hi"":""बाल्टोजी वोके"",""ar"":""بالتوجي فوكي""}",2019-10-06T10:07:58,2025-12-02T14:38:56,1,Q2667459
66587,Birzai,1614,33,126,LT,city,,,56.20000000,24.75000000,Birzai,14911,Europe/Vilnius,"{""br"":""Birzai"",""ko"":""비르자이"",""pt-BR"":""Birzai"",""pt"":""Birzai"",""nl"":""Birzai"",""hr"":""Birzai"",""fa"":""بیرزایی"",""de"":""Birzai"",""es"":""birzai"",""fr"":""Birzaï"",""ja"":""ビルザイ"",""it"":""Birzai"",""zh-CN"":""比尔扎伊"",""tr"":""Birzai"",""ru"":""Биржай"",""uk"":""Біржай"",""pl"":""Birzai"",""hi"":""बिरजई"",""ar"":""بيرزاي""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q804035
66588,Birštonas,1580,15,126,LT,city,,,54.61667000,24.03333000,Birštonas,2331,Europe/Vilnius,"{""br"":""Birštonas"",""ko"":""비르스토나스"",""pt-BR"":""Birštonas"",""pt"":""Birštonas"",""nl"":""Birštonas"",""hr"":""Birštonas"",""fa"":""بیرشتوناس"",""de"":""Birštonas"",""es"":""Birštonas"",""fr"":""Birštonas"",""ja"":""ビルシュトナス"",""it"":""Birštonas"",""zh-CN"":""比尔托纳斯"",""tr"":""Birštonas"",""ru"":""Бирштонас"",""uk"":""Бірштонас"",""pl"":""Birsztany"",""hi"":""Birstonas"",""ar"":""بيرشتوناس""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q804035
66590,Būgai,1573,TA,126,LT,city,,,55.41387000,22.60894000,Būgai,1976,Europe/Vilnius,"{""br"":""Bugai"",""ko"":""부가이"",""pt-BR"":""Bugai"",""pt"":""Bugai"",""nl"":""Būgai"",""hr"":""Būgai"",""fa"":""بوگای"",""de"":""Bugai"",""es"":""Bugai"",""fr"":""Būgai"",""ja"":""ブガイ"",""it"":""Būgai"",""zh-CN"":""布盖"",""tr"":""Bugai"",""ru"":""Бугай"",""uk"":""Бугай"",""pl"":""Būgai"",""hi"":""बुगाई"",""ar"":""بوغاي""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q763504
66591,Dainava (Kaunas),1580,15,126,LT,section,,,54.91525000,23.96831000,Dainava (Kaunas),70000,Europe/Vilnius,"{""br"":""Dainava (Kaunas)"",""ko"":""다이나바(카우나스)"",""pt-BR"":""Dainava (Kaunas)"",""pt"":""Dainava (Kaunas)"",""nl"":""Dainava (Kaunas)"",""hr"":""Dainava (Kaunas)"",""fa"":""دایناوا (کائوناس)"",""de"":""Dainava (Kaunas)"",""es"":""Dainava (Kaunas)"",""fr"":""Dainava (Kaunas)"",""ja"":""ダイナヴァ（カウナス）"",""it"":""Dainava (Kaunas)"",""zh-CN"":""戴纳瓦（考纳斯）"",""tr"":""Dainava (Kaunas)"",""ru"":""Дайнава (Каунас)"",""uk"":""Дайнава (Каунас)"",""pl"":""Dainava (Kowno)"",""hi"":""दैनावा (कौनास)"",""ar"":""داينافا (كاوناس)""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q763504
66592,Daugai,1605,02,126,LT,city,,,54.36667000,24.33333000,Daugai,1279,Europe/Vilnius,"{""br"":""Daugai"",""ko"":""다우가이"",""pt-BR"":""Daugai"",""pt"":""Daugai"",""nl"":""Daugai"",""hr"":""Daugaj"",""fa"":""داگای"",""de"":""Daugai"",""es"":""Daugai"",""fr"":""Daugai"",""ja"":""ダウガイ"",""it"":""Daugai"",""zh-CN"":""道盖"",""tr"":""Daugai"",""ru"":""Даугай"",""uk"":""Даугай"",""pl"":""Daugai"",""hi"":""दौगाई"",""ar"":""دوجاي""}",2019-10-06T10:07:58,2025-12-02T14:39:31,1,Q27485543
