id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
66868,Aglona,4483,073,120,LV,city,,,56.13274000,27.00682000,Aglona,791,Europe/Riga,"{""br"":""Aglona"",""ko"":""아글로나"",""pt-BR"":""Aglona"",""pt"":""Aglona"",""nl"":""Aglona"",""hr"":""Aglona"",""fa"":""آگلونما"",""de"":""Aglona"",""es"":""Aglona"",""fr"":""Aglona"",""ja"":""アグロナ"",""it"":""Aglona"",""zh-CN"":""阿格洛纳"",""tr"":""Aglona"",""ru"":""Аглона"",""uk"":""Аглона"",""pl"":""Agłona"",""hi"":""एग्लोना"",""ar"":""أجلونا""}",2019-10-06T10:07:59,2025-12-02T14:38:56,1,Q372999
66869,Ainaži,4418,054,120,LV,city,,,57.86348000,24.35853000,Ainaži,1278,Europe/Riga,"{""br"":""Ainaži"",""ko"":""아이나지"",""pt-BR"":""Ainaži"",""pt"":""Ainaži"",""nl"":""Ainaži"",""hr"":""Ainaži"",""fa"":""آیناژی"",""de"":""Ainaži"",""es"":""Ainaži"",""fr"":""Ainaži"",""ja"":""アイナジ"",""it"":""Ainaži"",""zh-CN"":""艾纳日"",""tr"":""Ainaži"",""ru"":""Айнажи"",""uk"":""Айнажі"",""pl"":""Ainaži"",""hi"":""ऐनाज़ी"",""ar"":""أينازي""}",2019-10-06T10:07:59,2025-12-02T14:39:31,1,Q405931
66870,Aizkraukle,4472,002,120,LV,adm1,,,56.60477000,25.25534000,Aizkraukle,6689,Europe/Riga,"{""br"":""Aizkraukle"",""ko"":""아이즈크라우클"",""pt-BR"":""Aizkraukle"",""pt"":""Aizkraukle"",""nl"":""Aizkraukle"",""hr"":""Aizkraukle"",""fa"":""آیزکراوک"",""de"":""Aizkraukle"",""es"":""Aizkraukle"",""fr"":""Aizkraukle"",""ja"":""アイズクラウクル"",""it"":""Aizkraukle"",""zh-CN"":""艾兹克劳克勒"",""tr"":""Aizkraukle"",""ru"":""Айзкраукле"",""uk"":""Айзкраукле"",""pl"":""Aizkraukle"",""hi"":""ऐज़क्राउकल"",""ar"":""آيزكراوكلي""}",2019-10-06T10:07:59,2025-12-02T14:38:56,1,Q411715
66871,Aizpute,4508,112,120,LV,adm2,,,56.72108000,21.60156000,Aizpute,8083,Europe/Riga,"{""br"":""Aizpute"",""ko"":""아이즈푸테"",""pt-BR"":""Aizpute"",""pt"":""Aizpute"",""nl"":""Aizpute"",""hr"":""Aizpute"",""fa"":""آیزپوته"",""de"":""Hasenput"",""es"":""Aizpute"",""fr"":""Aizpute"",""ja"":""アイズプテ"",""it"":""Aizpute"",""zh-CN"":""艾兹普特"",""tr"":""Aizpute"",""ru"":""Айзпуте"",""uk"":""Айзпуте"",""pl"":""Aizpute"",""hi"":""रिगा"",""ar"":""أيزبوت""}",2019-10-06T10:07:59,2025-12-02T14:39:31,1,Q411715
66872,Aknīste,4438,042,120,LV,adm2,,,56.16152000,25.74783000,Aknīste,2546,Europe/Riga,"{""br"":""Aknīste"",""ko"":""아크니스테"",""pt-BR"":""Aknīste"",""pt"":""Aknīste"",""nl"":""Aknīste"",""hr"":""Akniste"",""fa"":""آکنیست"",""de"":""Aknīste"",""es"":""Aknīste"",""fr"":""Akniste"",""ja"":""アクニステ"",""it"":""Aknīste"",""zh-CN"":""阿克尼斯特"",""tr"":""Aknīste"",""ru"":""Акнисте"",""uk"":""Акністе"",""pl"":""Aknīste"",""hi"":""अक्निस्टे"",""ar"":""أكنيستي""}",2019-10-06T10:07:59,2025-12-02T14:39:31,1,Q420333
66873,Aloja,4418,054,120,LV,city,,,57.76723000,24.87743000,Māja,4520,Europe/Riga,"{""br"":""Aloja"",""ko"":""알로하"",""pt-BR"":""Aloja"",""pt"":""Aloja"",""nl"":""Aloja"",""hr"":""Aloja"",""fa"":""آلوخا"",""de"":""Aloja"",""es"":""Aloja"",""fr"":""Aloja"",""ja"":""アロハ"",""it"":""Aloja"",""zh-CN"":""阿洛贾"",""tr"":""Aloja"",""ru"":""Алоджа"",""uk"":""Алоджа"",""pl"":""Aloja"",""hi"":""अलोजा"",""ar"":""ألوجا""}",2019-10-06T10:07:59,2025-12-02T14:39:31,1,Q659019
66874,Alsunga,4490,050,120,LV,adm2,,,56.98194000,21.55938000,Alsunga,940,Europe/Riga,"{""br"":""Alsunga"",""ko"":""알순가"",""pt-BR"":""Alsunga"",""pt"":""Alsunga"",""nl"":""Alsunga"",""hr"":""Alsunga"",""fa"":""آلسونگا"",""de"":""Alsunga"",""es"":""Alsunga"",""fr"":""Alsunga"",""ja"":""アルスンガ"",""it"":""Alsunga"",""zh-CN"":""阿尔松加"",""tr"":""Alsunga"",""ru"":""Алсунга"",""uk"":""Алсунга"",""pl"":""Alsunga"",""hi"":""अलसुंगा"",""ar"":""ألسونجا""}",2019-10-06T10:07:59,2025-12-02T14:39:31,1,Q432829
66875,Alūksne,4487,007,120,LV,adm1,,,57.42162000,27.04662000,Alūksne,6188,Europe/Riga,"{""br"":""Alūksne"",""ko"":""알룩스네"",""pt-BR"":""Alūksne"",""pt"":""Alūksne"",""nl"":""Alūksne"",""hr"":""Alūksne"",""fa"":""آلوکسنه"",""de"":""Alūksne"",""es"":""Alūksne"",""fr"":""Alūksne"",""ja"":""アルクスネ"",""it"":""Alūksne"",""zh-CN"":""阿卢克斯内"",""tr"":""Alūksne"",""ru"":""Алуксне"",""uk"":""Алуксне"",""pl"":""Alūksne"",""hi"":""अलुक्सने"",""ar"":""ألوكسني""}",2019-10-06T10:07:59,2025-12-02T14:38:56,1,Q291333
66876,Ape,4462,094,120,LV,adm2,,,57.53928000,26.69291000,Ape,773,Europe/Riga,"{""br"":""Ape"",""ko"":""원숭이"",""pt-BR"":""Macaco"",""pt"":""Macaco"",""nl"":""Aap"",""hr"":""Oponašati"",""fa"":""میمون"",""de"":""Affe"",""es"":""Mono"",""fr"":""Singe"",""ja"":""猿"",""it"":""Scimmia"",""zh-CN"":""猿"",""tr"":""Maymun"",""ru"":""Обезьяна"",""uk"":""Мавпа"",""pl"":""Małpa"",""hi"":""अनुकरण करना"",""ar"":""قرد""}",2019-10-06T10:07:59,2025-12-02T14:38:56,1,Q618119
66877,Auce,4437,026,120,LV,adm2,,,56.45981000,22.90169000,Auce,2154,Europe/Riga,"{""br"":""Auce"",""ko"":""오세"",""pt-BR"":""Auce"",""pt"":""Auce"",""nl"":""Auce"",""hr"":""Auce"",""fa"":""سس"",""de"":""Auce"",""es"":""Auce"",""fr"":""Auce"",""ja"":""オース"",""it"":""Auce"",""zh-CN"":""奥塞"",""tr"":""Auce"",""ru"":""Ауце"",""uk"":""Аусе"",""pl"":""Auce"",""hi"":""औस"",""ar"":""أوسي""}",2019-10-06T10:07:59,2025-12-02T14:38:56,1,Q758578
