id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
66993,Ajdabiya,2964,WA,124,LY,adm1,,,30.75545000,20.22625000,أجدابيا,131773,Africa/Tripoli,"{""ar"":""أجدابيا"",""br"":""Ajdabiya"",""de"":""Adschdabiya"",""es"":""Ajdabiya"",""fa"":""اجدابیا"",""fr"":""Ajdabiya"",""hi"":""अज़्दाबिया"",""hr"":""Adžabija"",""it"":""Agedabia"",""ja"":""アジュダビヤ"",""ko"":""아즈다비야"",""nl"":""Ajdabiya"",""pl"":""Adżdabija"",""pt"":""Ajdabiya"",""pt-BR"":""Ajdabiya"",""ru"":""Адждабия"",""tr"":""Ajdabiya"",""uk"":""Аждабія"",""zh-CN"":""艾季达比亚""}",2019-10-05T23:08:00,2025-12-02T14:39:31,1,Q202991
66994,Al Abyār,2968,MJ,124,LY,city,,,32.19000000,20.59653000,الأبيار,32563,Africa/Tripoli,"{""ar"":""الأبيار"",""br"":""Al Abyār"",""de"":""Al Abyār"",""es"":""Al Abyār"",""fa"":""آل ابیار"",""fr"":""Al Abyār"",""hi"":""अल अब्यार"",""hr"":""Al Abyar"",""it"":""Al Abyār"",""ja"":""アル・アビヤール"",""ko"":""알아비야르"",""nl"":""Al Abyār"",""pl"":""Al Abyār"",""pt"":""Al Abyār"",""pt-BR"":""Al Abyār"",""ru"":""Аль Абьяр"",""tr"":""Al Abyar"",""uk"":""Аль-Аб'яр"",""zh-CN"":""艾尔阿比亚尔""}",2019-10-05T23:08:00,2025-12-02T14:39:31,1,Q1050731
66995,Al Ajaylat,2962,NQ,124,LY,city,,,32.75718000,12.37633000,العجيلات,130546,Africa/Tripoli,"{""ar"":""العجيلات"",""br"":""Al Ajaylat"",""de"":""Al Ajaylat"",""es"":""Al Ajaylat"",""fa"":""العجیلات"",""fr"":""Al Ajaylat"",""hi"":""अल अजयालत"",""hr"":""Al Ajaylat"",""it"":""Al Ajaylat"",""ja"":""アル・アジャイラト"",""ko"":""알 아자일라트"",""nl"":""Al Ajaylat"",""pl"":""Al Ajaylat"",""pt"":""Al Ajaylat"",""pt-BR"":""Al Ajaylat"",""ru"":""Аль-Аджайлат"",""tr"":""Al Ajaylat"",""uk"":""Аль-Аджайлат"",""zh-CN"":""阿尔阿贾伊拉特""}",2019-10-05T23:08:00,2025-12-02T14:39:31,1,Q1050731
66996,Al Bayḑā’,2980,JA,124,LY,adm1,,,32.76272000,21.75506000,البيضاء,129439,Africa/Tripoli,"{""ar"":""البيضاء"",""br"":""Al Bayḑā’"",""de"":""Al Bayḑā’"",""es"":""Al Bayda’"",""fa"":""البیضا"",""fr"":""Al Bayḑā’"",""hi"":""अल बैदा’"",""hr"":""Al-Bayda"",""it"":""Al Bayḑā’"",""ja"":""アル・バイハー"",""ko"":""알 베이다"",""nl"":""Al Bayḑā’"",""pl"":""Al Bayḑā’"",""pt"":""Al Bayḑā’"",""pt-BR"":""Al Bayḑā’"",""ru"":""Аль-Байда"",""tr"":""Al Baydā’"",""uk"":""Аль-Байда"",""zh-CN"":""阿尔拜达’""}",2019-10-05T23:08:00,2025-12-02T14:39:31,1,Q35784
66997,Al Burayqah,2964,WA,124,LY,city,,,30.40624000,19.57386000,البريقة,31300,Africa/Tripoli,"{""ar"":""البريقة"",""br"":""Al Burayqah"",""de"":""Al Burayqah"",""es"":""Al Burayqah"",""fa"":""البریقه"",""fr"":""Al Burayqah"",""hi"":""अल बुरायका"",""hr"":""Al Burayqah"",""it"":""Al Burayqah"",""ja"":""アル・ブライカ"",""ko"":""알 부라이카"",""nl"":""Al Burayqah"",""pl"":""Al Burajka"",""pt"":""Al Burayqah"",""pt-BR"":""Al Burayqah"",""ru"":""Аль-Бурайка"",""tr"":""El Burayka"",""uk"":""Аль-Бурайка"",""zh-CN"":""布赖卡""}",2019-10-05T23:08:00,2025-12-02T14:39:31,1,Q36219
66998,Al Jadīd,2965,SB,124,LY,city,,,27.05000000,14.40000000,الجديد,126386,Africa/Tripoli,"{""ar"":""الجديد"",""br"":""Al Jadīd"",""de"":""Al Jadīd"",""es"":""Al Jadīd"",""fa"":""الجدید"",""fr"":""Al Jadīd"",""hi"":""अल जदीद"",""hr"":""Al Džadid"",""it"":""Al Jadīd"",""ja"":""アル・ジャディド"",""ko"":""알 자디드"",""nl"":""Al Jadīd"",""pl"":""Al Jadīd"",""pt"":""Al Jadīd"",""pt-BR"":""Al Jadīd"",""ru"":""Аль-Джадид"",""tr"":""El Cedid"",""uk"":""Аль-Джадід"",""zh-CN"":""贾迪德""}",2019-10-05T23:08:00,2025-12-02T14:39:31,1,Q36219
66999,Al Jawf,2972,KF,124,LY,city,,,24.19890000,23.29093000,الجوف,42079,Africa/Tripoli,"{""ar"":""الجوف"",""br"":""Al Jawf"",""de"":""Al-Dschauf"",""es"":""Al Jawf"",""fa"":""الجوف"",""fr"":""Al Jawf"",""hi"":""अल जौफ़"",""hr"":""Al Džaf"",""it"":""Al Jawf"",""ja"":""アル・ジャウフ"",""ko"":""알 자우프"",""nl"":""Al Jawf"",""pl"":""Al-Dżawf"",""pt"":""Al Jawf"",""pt-BR"":""Al Jawf"",""ru"":""Аль-Джауф"",""tr"":""El Cevf"",""uk"":""Аль-Джауф"",""zh-CN"":""焦夫""}",2019-10-05T23:08:00,2025-12-02T14:38:56,1,Q134086
67000,Al Khums,2961,MB,124,LY,adm1,,,32.64861000,14.26191000,الخمس,201943,Africa/Tripoli,"{""ar"":""الخمس"",""br"":""Al Khums"",""de"":""Al-Khums"",""es"":""Al Khums"",""fa"":""الخمس"",""fr"":""Al Khoms"",""hi"":""अल खुम्स"",""hr"":""Al Khums"",""it"":""Al Khums"",""ja"":""アル・フムス"",""ko"":""알 쿰스"",""nl"":""Al Khums"",""pl"":""Al-Chums"",""pt"":""Al Khums"",""pt-BR"":""Al Khums"",""ru"":""Аль Хумс"",""tr"":""El Hums"",""uk"":""Аль-Хумс"",""zh-CN"":""艾尔库姆斯""}",2019-10-05T23:08:00,2025-12-02T14:38:56,1,Q310381
67001,Al Marj,2968,MJ,124,LY,adm1,,,32.49257000,20.82909000,المرج,85315,Africa/Tripoli,"{""ar"":""المرج"",""br"":""Al Marj"",""de"":""Al Marj"",""es"":""Al Marj"",""fa"":""المرج"",""fr"":""Al Marj"",""hi"":""अल मरज"",""hr"":""Al Marj"",""it"":""Al Marj"",""ja"":""アル・マルジ"",""ko"":""알 마르지"",""nl"":""Al Marj"",""pl"":""Al Marj"",""pt"":""Al Marj"",""pt-BR"":""Al Marj"",""ru"":""Аль-Мардж"",""tr"":""El Merc"",""uk"":""Аль-Мардж"",""zh-CN"":""阿尔马吉""}",2019-10-05T23:08:00,2025-12-02T14:39:31,1,Q427646
67002,Al Qaţrūn,2967,MQ,124,LY,city,,,24.95139000,14.64861000,القطرون,7243,Africa/Tripoli,"{""ar"":""القطرون"",""br"":""Al Qaţrūn"",""de"":""Al Qaţrūn"",""es"":""Al Qaţrūn"",""fa"":""القطرون"",""fr"":""Al Qaţrūn"",""hi"":""अल क़तरुन"",""hr"":""Al Qatrūn"",""it"":""Al Qaţrūn"",""ja"":""アル・カトゥルン"",""ko"":""알 카트룬"",""nl"":""Al Qaţrūn"",""pl"":""Al Qaţrūn"",""pt"":""Al Qaţrūn"",""pt-BR"":""Al Qaţrūn"",""ru"":""Аль-Катрун"",""tr"":""Al Qaţrūn"",""uk"":""Аль-Катрун"",""zh-CN"":""卡塔尔伦""}",2019-10-05T23:08:00,2025-12-02T14:39:31,1,Q285287
