id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
67044,Abadou,3311,SAF,149,MA,adm3,,,31.57917000,-7.31308000,عبادو,0,Africa/Casablanca,"{""br"":""Abadou"",""ko"":""아바두"",""pt-BR"":""Abadou"",""pt"":""Abadou"",""nl"":""Abadou"",""hr"":""Abadou"",""fa"":""آبادو"",""de"":""Abadou"",""es"":""Abadou"",""fr"":""Abadou"",""ja"":""アバドゥ"",""it"":""Abadou"",""zh-CN"":""阿巴杜"",""tr"":""Abadou"",""ru"":""Абаду"",""uk"":""Абаду"",""pl"":""Abadou"",""hi"":""अबादौ"",""ar"":""عبادو""}",2019-10-06T10:08:00,2025-12-02T14:39:31,1,Q4663230
67045,Adassil,3311,SAF,149,MA,adm3,,,31.10783000,-8.49083000,أداسيل,0,Africa/Casablanca,"{""br"":""Adassil"",""ko"":""아다실"",""pt-BR"":""Adassil"",""pt"":""Adassil"",""nl"":""Adassil"",""hr"":""Adassil"",""fa"":""آداسیل"",""de"":""Adassil"",""es"":""Adassil"",""fr"":""Adassil"",""ja"":""アダシル"",""it"":""Adassil"",""zh-CN"":""阿达西尔"",""tr"":""Adassil"",""ru"":""Адассил"",""uk"":""Адассіл"",""pl"":""Adassil"",""hi"":""अदासिल"",""ar"":""أداسيل""}",2019-10-06T10:08:00,2025-12-02T14:39:31,1,Q4680871
67046,Agadir,3297,ASZ,149,MA,adm1,,,30.42018000,-9.59815000,أكادير,698310,Africa/Casablanca,"{""br"":""Agadir"",""ko"":""아가디르"",""pt-BR"":""Agadir"",""pt"":""Agadir"",""nl"":""Agadir"",""hr"":""Agadir"",""fa"":""آگادیر"",""de"":""Agadir"",""es"":""Agadir"",""fr"":""Agadir"",""ja"":""アガディール"",""it"":""Agadir"",""zh-CN"":""阿加迪尔"",""tr"":""Agadir"",""ru"":""Агадир"",""uk"":""Агадір"",""pl"":""Agadir"",""hi"":""अगाडिर"",""ar"":""أكادير""}",2019-10-06T10:08:00,2025-12-02T14:39:31,1,Q170525
67047,Agadir Melloul,3297,ASZ,149,MA,adm3,,,30.22492000,-7.79601000,أكادير ملول,0,Africa/Casablanca,"{""br"":""Agadir Melloul"",""ko"":""아가디르 멜룰"",""pt-BR"":""Agadir Melloul"",""pt"":""Agadir Melloul"",""nl"":""Agadir Melloul"",""hr"":""Agadir Melloul"",""fa"":""آگادیر ملول"",""de"":""Agadir Melloul"",""es"":""Agadir Melloul"",""fr"":""Agadir Melloul"",""ja"":""アガディール・メルルール"",""it"":""Agadir Melloul"",""zh-CN"":""阿加迪尔梅卢勒"",""tr"":""Agadir Melloul"",""ru"":""Агадир Меллул"",""uk"":""Агадір Меллул"",""pl"":""Agadir Melloul"",""hi"":""अगाडिर मेलौल"",""ar"":""أكادير ملول""}",2019-10-06T10:08:00,2025-12-02T14:39:31,1,Q4690968
67048,Agadir-Ida-ou-Tnan,3297,ASZ,149,MA,city,,,30.58333000,-9.50000000,أكادير-إيدا-أو-تانان,,Africa/Casablanca,"{""br"":""Agadir-Ida-ou-Tnan"",""ko"":""아가디르-이다-우-트난"",""pt-BR"":""Agadir-Ida-ou-Tnan"",""pt"":""Agadir-Ida-ou-Tnan"",""nl"":""Agadir-Ida-ou-Tnan"",""hr"":""Agadir-Ida-ou-Tnan"",""fa"":""آگادیر-آیدا-او-تنان"",""de"":""Agadir-Ida-ou-Tnan"",""es"":""Agadir-Ida-ou-Tnan"",""fr"":""Agadir-Ida-ou-Tnan"",""ja"":""アガディール・イダウ・トゥナン"",""it"":""Agadir-Ida-ou-Tnan"",""zh-CN"":""阿加迪尔-伊达乌特南"",""tr"":""Agadir-Ida-ou-Tnan"",""ru"":""Агадир-Ида-у-Тнан"",""uk"":""Агадір-Іда-у-Тнан"",""pl"":""Agadir-Ida-ou-Tnan"",""hi"":""अगाडिर-इडा-ओउ-तनन"",""ar"":""أكادير-إيدا-أو-تانان""}",2019-10-06T10:08:00,2025-12-02T17:11:50,1,Q4690968
67049,Agdz,3290,08,149,MA,adm3,,,30.69356000,-6.44628000,أكدز,11189,Africa/Casablanca,"{""br"":""Agdz"",""ko"":""아그즈"",""pt-BR"":""Agdz"",""pt"":""Agdz"",""nl"":""Agdz"",""hr"":""Agdž"",""fa"":""آگدز"",""de"":""Agdz"",""es"":""Agdz"",""fr"":""Agdz"",""ja"":""アグズ"",""it"":""Agdz"",""zh-CN"":""阿格兹"",""tr"":""Agdz"",""ru"":""Агдз"",""uk"":""Агдз"",""pl"":""Agdz"",""hi"":""अगद्ज़"",""ar"":""أكدز""}",2019-10-06T10:08:00,2025-12-02T14:38:56,1,Q2717415
67050,Aguelmous,3317,KHN,149,MA,adm3,,,33.16139000,-5.84626000,أغلموس,15480,Africa/Casablanca,"{""br"":""Aguelmous"",""ko"":""아겔무스"",""pt-BR"":""Aguelmous"",""pt"":""Aguelmous"",""nl"":""Aguelmous"",""hr"":""Aguelmous"",""fa"":""آگِلموس"",""de"":""Aguelmous"",""es"":""Aguelmous"",""fr"":""Aguelmous"",""ja"":""アグエルモス"",""it"":""Aguelmous"",""zh-CN"":""阿盖尔穆斯"",""tr"":""Aguelmous"",""ru"":""Агельмус"",""uk"":""Агельмус"",""pl"":""Aguelmous"",""hi"":""अगुएल्मौस"",""ar"":""أغلموس""}",2019-10-06T10:08:00,2025-12-02T14:39:31,1,Q2827329
67051,Ahfir,3271,02,149,MA,adm3,,,34.95368000,-2.10027000,أحفير,21435,Africa/Casablanca,"{""br"":""Ahfir"",""ko"":""아흐피르"",""pt-BR"":""Ahfir"",""pt"":""Ahfir"",""nl"":""Ahfir"",""hr"":""Ahfir"",""fa"":""آفیر"",""de"":""Ahfir"",""es"":""Ahfir"",""fr"":""Ahfir"",""ja"":""アフフィル"",""it"":""Ahfir"",""zh-CN"":""阿菲尔"",""tr"":""Ahfir"",""ru"":""Ахфир"",""uk"":""Ахфір"",""pl"":""Ahfir"",""hi"":""आहफ़िर"",""ar"":""أحفير""}",2019-10-06T10:08:00,2025-12-02T14:39:31,1,Q2544620
67052,Akhfennir,3298,11,149,MA,city,,,28.09455000,-12.05157000,أخفنير,1583,Africa/Casablanca,"{""br"":""Akhfennir"",""ko"":""아크페니르"",""pt-BR"":""Akhfennir"",""pt"":""Akhfennir"",""nl"":""Akhfennir"",""hr"":""Akhfennir"",""fa"":""آخفنیر"",""de"":""Achfennir"",""es"":""Akhfennir"",""fr"":""Akhfennir"",""ja"":""アフフェンニル"",""it"":""Akhfennir"",""zh-CN"":""阿赫芬尼尔"",""tr"":""Ahfennir"",""ru"":""Ахфеннир"",""uk"":""Ахфеннір"",""pl"":""Achfennir"",""hi"":""अखफेनिर"",""ar"":""أخفنير""}",2019-10-06T10:08:00,2025-12-02T14:39:31,1,Q2544620
67053,Aknoul,3313,03,149,MA,adm3,,,34.65371000,-3.86754000,أكنول,4410,Africa/Casablanca,"{""br"":""Aknoul"",""ko"":""아크놀"",""pt-BR"":""Aknoul"",""pt"":""Aknoul"",""nl"":""Aknoul"",""hr"":""Aknoul"",""fa"":""آکنول"",""de"":""Aknoul"",""es"":""Aknoul"",""fr"":""Aknoul"",""ja"":""アクヌール"",""it"":""Aknoul"",""zh-CN"":""阿克努尔"",""tr"":""Aknoul"",""ru"":""Акуль"",""uk"":""Акнул"",""pl"":""Aknoul"",""hi"":""अकनौल"",""ar"":""أكنول""}",2019-10-06T10:08:00,2025-12-02T14:38:56,1,Q603331
