id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
160046,Fontvieille,5668,FO,145,MC,section,,,43.72944444,7.41500000,Fontvieille,5117,Europe/Monaco,"{""ar"":""فونتفيي"",""de"":""Fontvieille"",""es"":""Fontvieille"",""fr"":""Fontvieille"",""hi"":""फोंटवीले"",""it"":""Fontvieille"",""ja"":""フォンヴィエイユ"",""ko"":""퐁비에유"",""nl"":""Fontvieille"",""pl"":""Fontvieille"",""pt"":""Fontvieille"",""ru"":""Фонвьей"",""tr"":""Fontvieille"",""uk"":""Фонв'єй"",""zh-CN"":""丰特维耶"",""br"":""Fontvieille"",""pt-BR"":""Fontvieille"",""hr"":""Fontvieille"",""fa"":""فونتویل""}",2025-11-15T10:07:24,2025-12-02T14:39:31,1,Q55098
160047,Jardin Exotique,5669,JE,145,MC,section,,,43.73138889,7.41388889,Jardin Exotique,5117,Europe/Monaco,"{""ar"":""الحديقة الغريبة"",""de"":""Jardin Exotique"",""es"":""Jardín Exótico"",""fr"":""Jardin Exotique"",""hi"":""जार्डिन एक्सोटिक"",""it"":""Giardino Esotico"",""ja"":""エキゾチック・ガーデン"",""ko"":""자르댕 엑조티크"",""nl"":""Jardin Exotique"",""pl"":""Jardin Exotique"",""pt"":""Jardin Exotique"",""ru"":""Экзотический сад"",""tr"":""Jardin Exotique"",""uk"":""Екзотичний сад"",""zh-CN"":""异国花园"",""br"":""Jardin Exotique"",""pt-BR"":""Jardim Exótico"",""hr"":""Egzotični vrt"",""fa"":""جاردین اگزوتیک""}",2025-11-15T10:07:24,2025-12-02T14:39:31,1,Q19286504
160048,La Colle,4917,CL,145,MC,section,,,43.73274650,7.41372760,La Colle,5117,Europe/Monaco,"{""ar"":""لا كول"",""br"":""La Colle"",""de"":""La Colle"",""es"":""La Colle"",""fa"":""لا کول"",""fr"":""La Colle"",""hi"":""ला कोले"",""hr"":""La Colle"",""it"":""La Colle"",""ja"":""ラ・コレ"",""ko"":""라 콜레"",""nl"":""La Colle"",""pl"":""La Colle"",""pt"":""La Colle"",""pt-BR"":""La Colle"",""ru"":""Ла Колле"",""tr"":""La Colle"",""uk"":""Ла-Коль"",""zh-CN"":""拉科尔""}",2025-11-15T10:07:24,2025-12-02T14:39:31,1,Q55102
160049,La Condamine,4918,CO,145,MC,section,,,43.73506650,7.41990600,La Condamine,12167,Europe/Monaco,"{""ar"":""لا كوندامين"",""br"":""La Condamine"",""de"":""La Condamine"",""es"":""La Condamine"",""fa"":""لا کاندامین"",""fr"":""La Condamine"",""hi"":""ला कोंडामाइन"",""hr"":""La Condamine"",""it"":""La Condamine"",""ja"":""ラ・コンダミーヌ"",""ko"":""라 콘다민"",""nl"":""La Condamine"",""pl"":""La Condamine"",""pt"":""La Condamine"",""pt-BR"":""La Condamine"",""ru"":""Ла-Кондамин"",""tr"":""La Condamine"",""uk"":""Ла-Кондамін"",""zh-CN"":""拉孔达明""}",2025-11-15T10:07:24,2025-12-02T14:39:31,1,Q55095
160050,La Gare,5670,GA,145,MC,section,,,43.73190000,7.41680000,La Gare,3000,Europe/Monaco,"{""ar"":""لا غار"",""de"":""La Gare"",""es"":""La Gare"",""fr"":""La Gare"",""hi"":""ला गारे"",""it"":""La Gare"",""ja"":""ラ・ガール"",""ko"":""라 가르"",""nl"":""La Gare"",""pl"":""La Gare"",""pt"":""La Gare"",""ru"":""Ла-Гар"",""tr"":""La Gare"",""uk"":""Ла-Гар"",""zh-CN"":""拉加尔"",""br"":""La Gare"",""pt-BR"":""La Gare"",""hr"":""Kolodvor"",""fa"":""لا گار""}",2025-11-15T10:07:24,2025-12-02T14:39:31,1,
160051,La Source,5671,SO,145,MC,section,,,43.73650000,7.41950000,La Source,,Europe/Monaco,"{""ar"":""لا سورس"",""de"":""La Source"",""es"":""La Source"",""fr"":""La Source"",""hi"":""ला सोर्स"",""it"":""La Source"",""ja"":""ラ・スルス"",""ko"":""라 수르스"",""nl"":""La Source"",""pl"":""La Source"",""pt"":""La Source"",""ru"":""Ла-Сурс"",""tr"":""La Source"",""uk"":""Ла-Сурс"",""zh-CN"":""拉苏尔斯"",""br"":""La Source"",""pt-BR"":""A Fonte"",""hr"":""Izvor"",""fa"":""منبع لا""}",2025-11-15T10:07:24,2025-12-02T17:11:50,1,
160052,Larvotto,5672,LA,145,MC,section,,,43.74666667,7.43333333,Larvotto,2026,Europe/Monaco,"{""ar"":""لارفوتو"",""de"":""Larvotto"",""es"":""Larvotto"",""fr"":""Le Larvotto"",""hi"":""लार्वोटो"",""it"":""Larvotto"",""ja"":""ラルヴォット"",""ko"":""라르보토"",""nl"":""Larvotto"",""pl"":""Larvotto"",""pt"":""Larvotto"",""ru"":""Ларвотто"",""tr"":""Larvotto"",""uk"":""Ларвотто"",""zh-CN"":""拉尔沃托"",""br"":""Larvotto"",""pt-BR"":""Larvotto"",""hr"":""Larvotto"",""fa"":""لاروتو""}",2025-11-15T10:07:24,2025-12-02T14:39:31,1,Q55088
160053,Malbousquet,5673,MA,145,MC,section,,,43.73450000,7.42150000,Malbousquet,,Europe/Monaco,"{""ar"":""مالبوسكيه"",""de"":""Malbousquet"",""es"":""Malbousquet"",""fr"":""Malbousquet"",""hi"":""माल्बूस्के"",""it"":""Malbousquet"",""ja"":""マルブスケ"",""ko"":""말부스케"",""nl"":""Malbousquet"",""pl"":""Malbousquet"",""pt"":""Malbousquet"",""ru"":""Мальбуске"",""tr"":""Malbousquet"",""uk"":""Мальбуске"",""zh-CN"":""马尔布斯凯"",""br"":""Malbousquet"",""pt-BR"":""Malbousquet"",""hr"":""Malbousquet"",""fa"":""مالبوسکه""}",2025-11-15T10:07:24,2025-12-02T17:11:50,1,
160054,Monaco-Ville,5674,MO,145,MC,section,,,43.73110000,7.42000000,Monaco-Ville,1064,Europe/Monaco,"{""ar"":""موناكو فيل"",""de"":""Monaco-Ville"",""es"":""Mónaco-Ville"",""fr"":""Monaco-Ville"",""hi"":""मोनाको-विल"",""it"":""Monaco-Ville"",""ja"":""モナコ・ヴィル"",""ko"":""모나코빌"",""nl"":""Monaco-Ville"",""pl"":""Monaco-Ville"",""pt"":""Mônaco-Ville"",""ru"":""Монако-Виль"",""tr"":""Monaco-Ville"",""uk"":""Монако-Віль"",""zh-CN"":""摩纳哥城"",""br"":""Monaco-Ville"",""pt-BR"":""Mônaco-Ville"",""hr"":""Monaco-Ville"",""fa"":""موناکو-ویل""}",2025-11-15T10:07:24,2025-12-02T14:39:31,1,Q55103
160055,Moneghetti,4919,MG,145,MC,section,,,43.73649270,7.41533830,Mongotti,3131,Europe/Monaco,"{""ar"":""مونيجيتي"",""br"":""Moneghetti"",""de"":""Moneghetti"",""es"":""Moneghetti"",""fa"":""مونِگِتی"",""fr"":""Moneghetti"",""hi"":""मोनेघेटी"",""hr"":""Moneghetti"",""it"":""Moneghetti"",""ja"":""モネゲッティ"",""ko"":""모네게티"",""nl"":""Moneghetti"",""pl"":""Moneghetti"",""pt"":""Moneghetti"",""pt-BR"":""Moneghetti"",""ru"":""Монегетти"",""tr"":""Moneghetti"",""uk"":""Монегетті"",""zh-CN"":""莫内盖蒂""}",2025-11-15T10:07:24,2025-12-02T14:38:56,1,Q55108
