id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
67271,Anenii Noi,4368,AN,144,MD,adm1,,,46.87839000,29.23483000,Anenii Noi,8933,Europe/Chisinau,"{""ar"":""أنيني نوي"",""br"":""Anenii Noi"",""de"":""Anenii Noi"",""es"":""Anenii Noi"",""fa"":""آننی نوی"",""fr"":""Anenii Noi"",""hi"":""अनेनी नोई"",""hr"":""Novi Anenii"",""it"":""Anenii Noi"",""ja"":""アネニイ・ノイ"",""ko"":""아네니 노이"",""nl"":""Anenii Noi"",""pl"":""Anenii Noi"",""pt"":""Anenii Noi"",""pt-BR"":""Anenii Noi"",""ru"":""Анений Ной"",""tr"":""Anenii Noi"",""uk"":""Аненій Ной"",""zh-CN"":""阿内尼·诺伊""}",2019-10-05T23:08:02,2025-12-02T14:38:56,1,Q529282
67272,Basarabeasca,4379,BS,144,MD,adm1,,,46.33170000,28.96365000,Basarabeasca,6291,Europe/Chisinau,"{""ar"":""باسارابسكا"",""br"":""Basarabeasca"",""de"":""Basarabeasca"",""es"":""Basarabeasca"",""fa"":""باسارابیاسکا"",""fr"":""Basarabeasca"",""hi"":""बसाराबेस्का"",""hr"":""Basarabeasca"",""it"":""Basarabeasca"",""ja"":""バサラベアスカ"",""ko"":""바사라베아스카"",""nl"":""Basarabeasca"",""pl"":""Basarabeasca"",""pt"":""Basarabeasca"",""pt-BR"":""Basarabeasca"",""ru"":""Басарабяска"",""tr"":""Basarabeasca"",""uk"":""Басарабяска"",""zh-CN"":""巴萨拉贝亚斯卡""}",2019-10-05T23:08:02,2025-12-02T17:11:50,1,Q809787
67273,Bender,4362,BD,144,MD,adm1,,,46.83156000,29.47769000,Bender,110175,Europe/Chisinau,"{""ar"":""بندر"",""br"":""Bender"",""de"":""Bender"",""es"":""Juerga"",""fa"":""بندر"",""fr"":""Cintreuse"",""hi"":""कोलाहलपूर्ण"",""hr"":""Bender"",""it"":""Bender"",""ja"":""ベンダー"",""ko"":""다리"",""nl"":""Bender"",""pl"":""Giętarka"",""pt"":""Dobrador"",""pt-BR"":""Dobrador"",""ru"":""Бендер"",""tr"":""Bender"",""uk"":""Бендер"",""zh-CN"":""本德""}",2019-10-05T23:08:02,2025-12-02T14:39:31,1,Q192176
67274,Bilicenii Vechi,4364,SI,144,MD,city,,,47.65580000,28.04734000,Bilicenii Vechi,15479,Europe/Chisinau,"{""ar"":""بيليتشيني فيكي"",""br"":""Bilicenii Vechi"",""de"":""Bilicenii Vechi"",""es"":""Bilicenii Vechi"",""fa"":""بیلیچنی وچی"",""fr"":""Bilicenii Vechi"",""hi"":""बिलिसेनी वेची"",""hr"":""Bilicenii Vechi"",""it"":""Bilicenii Vechi"",""ja"":""ビリセニイ・ヴェキ"",""ko"":""빌리세니 베키"",""nl"":""Bilicenii Vechi"",""pl"":""Bilicenii Vechi"",""pt"":""Bilicenii Vechi"",""pt-BR"":""Bilicenii Vechi"",""ru"":""Биличений Вечи"",""tr"":""Bilicenii Vechi"",""uk"":""Білічені Вечі"",""zh-CN"":""比利切尼·维奇""}",2019-10-05T23:08:02,2025-12-02T14:38:56,1,Q2448288
67275,Biruinţa,4364,SI,144,MD,city,,,47.81353000,28.07004000,Biruinţa,4700,Europe/Chisinau,"{""ar"":""بيروينتا"",""br"":""Biruinţa"",""de"":""Biruinţa"",""es"":""Biruinţa"",""fa"":""بیروینتس"",""fr"":""Biruinţa"",""hi"":""बिरुइन्टा"",""hr"":""Biruinţa"",""it"":""Biruinţa"",""ja"":""ビルインツァ"",""ko"":""비루인타"",""nl"":""Biruinţa"",""pl"":""Biruinţa"",""pt"":""Biruinţa"",""pt-BR"":""Biruinţa"",""ru"":""Бируинца"",""tr"":""Biruinţa"",""uk"":""Біруїнца"",""zh-CN"":""比鲁因察""}",2019-10-05T23:08:02,2025-12-02T14:39:31,1,Q2626898
67276,Briceni,4384,DO,144,MD,city,,,48.35628000,27.70293000,Briceni,14132,Europe/Chisinau,"{""ar"":""بريسيني"",""br"":""Briceni"",""de"":""Briceni"",""es"":""Briceni"",""fa"":""بریسنی"",""fr"":""Briceni"",""hi"":""ब्रिसेनी"",""hr"":""Briceni"",""it"":""Briceni"",""ja"":""ブリチェニ"",""ko"":""브리체니"",""nl"":""Briceni"",""pl"":""Briceni"",""pt"":""Briceni"",""pt-BR"":""Briceni"",""ru"":""Бричаны"",""tr"":""Briceni"",""uk"":""Бричені"",""zh-CN"":""布里切尼""}",2019-10-05T23:08:02,2025-12-02T14:39:31,1,Q2438836
67278,Bucovăţ,4377,ST,144,MD,city,,,47.19064000,28.45802000,Bucovăţ,1600,Europe/Chisinau,"{""ar"":""بوكوفاتش"",""br"":""Bucovăţ"",""de"":""Bucovăţ"",""es"":""Bucovăţ"",""fa"":""بوکووچ"",""fr"":""Bucovăţ"",""hi"":""बुकोव्त"",""hr"":""Bucovăţ"",""it"":""Bucovăţ"",""ja"":""ブコヴァツ"",""ko"":""부코브어트"",""nl"":""Bucovăţ"",""pl"":""Bucovăţ"",""pt"":""Bucovăţ"",""pt-BR"":""Bucovăţ"",""ru"":""Быковэц"",""tr"":""Bucovăţ"",""uk"":""Буковац"",""zh-CN"":""布乔瓦特""}",2019-10-05T23:08:02,2025-12-02T14:39:31,1,Q9042414
67279,Bugeac,4385,GA,144,MD,city,,,46.36554000,28.66250000,Bugeac,1800,Europe/Chisinau,"{""ar"":""بوغياك"",""br"":""Bugeac"",""de"":""Bugeac"",""es"":""Bugeac"",""fa"":""بوگیاک"",""fr"":""Bugeac"",""hi"":""बुगेक"",""hr"":""Bugeac"",""it"":""Bugeac"",""ja"":""ビュジャック"",""ko"":""부가크"",""nl"":""Bugeac"",""pl"":""Bugeac"",""pt"":""Bugeac"",""pt-BR"":""Bugeac"",""ru"":""Буджак"",""tr"":""Bugeac"",""uk"":""Бюжак"",""zh-CN"":""比雅克""}",2019-10-05T23:08:02,2025-12-02T14:39:31,1,Q2639058
67280,Bălţi,4393,BA,144,MD,adm1,,,47.76314000,27.92932000,Bălţi,125000,Europe/Chisinau,"{""ar"":""بالتي"",""br"":""Bălţi"",""de"":""Bălţi"",""es"":""Balti"",""fa"":""بالتی"",""fr"":""Bălţi"",""hi"":""बाल्टी"",""hr"":""Balti"",""it"":""Bălţi"",""ja"":""バルツィ"",""ko"":""벌티"",""nl"":""Bălţi"",""pl"":""Bielce"",""pt"":""Bălţi"",""pt-BR"":""Bălţi"",""ru"":""Бельцы"",""tr"":""Bălţi"",""uk"":""Бєльці"",""zh-CN"":""巴勒蒂""}",2019-10-05T23:08:02,2025-12-02T14:39:31,1,Q2639058
67281,Cahul,4391,CA,144,MD,adm1,,,45.90425000,28.19929000,Cahul,22223,Europe/Chisinau,"{""ar"":""كاهول"",""br"":""Cahul"",""de"":""Cahul"",""es"":""Cahul"",""fa"":""کاهول"",""fr"":""Cahul"",""hi"":""काहुल"",""hr"":""Cahul"",""it"":""Cahul"",""ja"":""カフル"",""ko"":""카훌"",""nl"":""Cahul"",""pl"":""Cahul"",""pt"":""Cahul"",""pt-BR"":""Cahul"",""ru"":""Кагул"",""tr"":""Cahul"",""uk"":""Кагул"",""zh-CN"":""卡胡尔""}",2019-10-05T23:08:02,2025-12-02T17:11:50,1,Q503469
