id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
67343,Andrijevica,23,01,147,ME,adm1,,,42.73389000,19.79194000,Андријевица,1048,Europe/Podgorica,"{""ar"":""أندرييفيكا"",""br"":""Andrijevica"",""de"":""Andrijevica"",""es"":""Andrijevica"",""fa"":""آندریویچا"",""fr"":""Andrijevica"",""hi"":""एंड्रीजेविका"",""hr"":""Andrijevica"",""it"":""Andrijevica"",""ja"":""アンドリジェヴィツァ"",""ko"":""안드리예비차"",""nl"":""Andrijevica"",""pl"":""Andrijevica"",""pt"":""Andrijevica"",""pt-BR"":""Andrijevica"",""ru"":""Андриевица"",""tr"":""Andrijevica"",""uk"":""Андрієвиця"",""zh-CN"":""安德里耶维察""}",2019-10-05T23:08:02,2025-12-02T14:38:56,1,Q1982983
67344,Bar,13,02,147,ME,adm1,,,42.09306000,19.10028000,Бара,17727,Europe/Podgorica,"{""ar"":""حاجِز"",""br"":""Tavarn"",""de"":""Bar"",""es"":""Bar"",""fa"":""بار"",""fr"":""Bar"",""hi"":""छड़"",""hr"":""Bar"",""it"":""Sbarra"",""ja"":""バー"",""ko"":""술집"",""nl"":""Bar"",""pl"":""Bar"",""pt"":""Bar"",""pt-BR"":""Bar"",""ru"":""Бар"",""tr"":""Çubuk"",""uk"":""Бар"",""zh-CN"":""酒吧""}",2019-10-05T23:08:02,2025-12-02T14:39:31,1,Q115276
67345,Berane,21,03,147,ME,adm1,,,42.84250000,19.87333000,Беране,11073,Europe/Podgorica,"{""ar"":""بيران"",""br"":""Berane"",""de"":""Berane"",""es"":""Berane"",""fa"":""برانه"",""fr"":""Berane"",""hi"":""बेराने"",""hr"":""Berane"",""it"":""Berane"",""ja"":""ベラネ"",""ko"":""베라네"",""nl"":""Berane"",""pl"":""Berane"",""pt"":""Berane"",""pt-BR"":""Berane"",""ru"":""Беране"",""tr"":""Berane"",""uk"":""Беране"",""zh-CN"":""贝拉内""}",2019-10-05T23:08:02,2025-12-02T14:38:56,1,Q115276
67346,Bijelo Polje,25,04,147,ME,adm1,,,43.03834000,19.74758000,Бело поље,15400,Europe/Podgorica,"{""ar"":""بييلو بوليي"",""br"":""Bijelo Polje"",""de"":""Bijelo Polje"",""es"":""Bijelo Polje"",""fa"":""بیجلو پولیه"",""fr"":""Bijelo Polje"",""hi"":""बिजेलो पोल्जे"",""hr"":""Bijelo Polje"",""it"":""Bijelo Polje"",""ja"":""ビェロ・ポリェ"",""ko"":""비옐로 폴제"",""nl"":""Bijelo Polje"",""pl"":""Bijelo Polje"",""pt"":""Bijelo Polje"",""pt-BR"":""Bijelo Polje"",""ru"":""Биело Поле"",""tr"":""Bijelo Polje"",""uk"":""Бієло-Поле"",""zh-CN"":""比耶洛波列""}",2019-10-05T23:08:02,2025-12-02T14:39:31,1,Q115276
67347,Budva,30,05,147,ME,adm1,,,42.28639000,18.84000000,Будва,18000,Europe/Podgorica,"{""ar"":""بودفا"",""br"":""Budva"",""de"":""Budva"",""es"":""Budva"",""fa"":""بودوا"",""fr"":""Budva"",""hi"":""बुडवा"",""hr"":""Budva"",""it"":""Budva"",""ja"":""ブドヴァ"",""ko"":""부드바"",""nl"":""Budva"",""pl"":""Budva"",""pt"":""Budva"",""pt-BR"":""Budva"",""ru"":""Будва"",""tr"":""Budva"",""uk"":""Будва"",""zh-CN"":""布德瓦""}",2019-10-05T23:08:02,2025-12-02T14:39:31,1,Q115276
67348,Cetinje,28,06,147,ME,adm1,,,42.39063000,18.91417000,Цетиње,13991,Europe/Podgorica,"{""ar"":""سيتينيي"",""br"":""Cetinje"",""de"":""Cetinje"",""es"":""Cetinje"",""fa"":""ستینجه"",""fr"":""Cetinje"",""hi"":""सेटिंजे"",""hr"":""Cetinje"",""it"":""Cettigne"",""ja"":""ツェティニェ"",""ko"":""체티네"",""nl"":""Cetinje"",""pl"":""Cetynia"",""pt"":""Cetinje"",""pt-BR"":""Cetinje"",""ru"":""Цетине"",""tr"":""Çetinje"",""uk"":""Цетіньє"",""zh-CN"":""采蒂涅""}",2019-10-05T23:08:02,2025-12-02T14:38:56,1,Q115276
67349,Danilovgrad,14,07,147,ME,adm1,,,42.55384000,19.14608000,Даниловград,5156,Europe/Podgorica,"{""ar"":""دانيلوفغراد"",""br"":""Danilovgrad"",""de"":""Danilovgrad"",""es"":""Danilovgrad"",""fa"":""دانیلوفگراد"",""fr"":""Danilovgrad"",""hi"":""डैनिलोव्ग्रैड"",""hr"":""Danilovgrad"",""it"":""Danilovgrad"",""ja"":""ダニロヴグラード"",""ko"":""다닐로브그라드"",""nl"":""Danilovgrad"",""pl"":""Danilovgrad"",""pt"":""Danilovgrad"",""pt-BR"":""Danilovgrad"",""ru"":""Даниловград"",""tr"":""Danilovgrad"",""uk"":""Даниловград"",""zh-CN"":""达尼洛夫格勒""}",2019-10-05T23:08:02,2025-12-02T14:38:56,1,Q115276
67350,Dobrota,26,10,147,ME,locality,,,42.45417000,18.76833000,Доброта,5435,Europe/Podgorica,"{""ar"":""دوبروتا"",""br"":""Dobrota"",""de"":""Dobrota"",""es"":""Dobrota"",""fa"":""دوبروتا"",""fr"":""Dobrota"",""hi"":""डोब्रोटा"",""hr"":""Dobrota"",""it"":""Dobrota"",""ja"":""ドブロタ"",""ko"":""도브로타"",""nl"":""Dobrota"",""pl"":""Dobrota"",""pt"":""Dobrota"",""pt-BR"":""Dobrota"",""ru"":""Доброта"",""tr"":""Dobrota"",""uk"":""Доброта"",""zh-CN"":""多布罗塔""}",2019-10-05T23:08:02,2025-12-02T14:39:31,1,Q1008132
67351,Golubovci,5684,25,147,ME,city,,,42.36667000,19.23333000,Голубовци,3110,Europe/Podgorica,"{""es"":""Golubovci"",""fr"":""Golubovci"",""it"":""Golubovci"",""ja"":""ゴルボヴツィ"",""ko"":""골루보브치"",""pl"":""Golubovci"",""ru"":""Голубовцы"",""tr"":""Golubovci"",""uk"":""Голубовці"",""br"":""Golubovci"",""pt-BR"":""Golubovci"",""pt"":""Golubovci"",""nl"":""Golubovci"",""hr"":""Golubovci"",""fa"":""گولوبوفچی"",""de"":""Golubovci"",""zh-CN"":""戈卢博夫齐"",""hi"":""गोलुबोवसी"",""ar"":""غولوبوفتشي""}",2025-11-15T10:27:33,2025-12-02T17:11:50,1,Q983622
67352,Goričani,27,16,147,ME,city,,,42.33222000,19.21194000,Горизијци,1205,Europe/Podgorica,"{""ar"":""جوريتشاني"",""br"":""Goričani"",""de"":""Goričani"",""es"":""Goričani"",""fa"":""گوریچانی"",""fr"":""Goričani"",""hi"":""गोरिकानी"",""hr"":""Goričani"",""it"":""Goričani"",""ja"":""ゴリチャニ"",""ko"":""고리차니"",""nl"":""Goričani"",""pl"":""Goričani"",""pt"":""Goričani"",""pt-BR"":""Goričani"",""ru"":""Горичани"",""tr"":""Goričani"",""uk"":""Горічані"",""zh-CN"":""戈里查尼""}",2019-10-05T23:08:02,2025-12-02T14:38:56,1,Q1190698
67353,Gusinje,24,22,147,ME,adm1,,,42.56194000,19.83389000,Густиње,1673,Europe/Podgorica,"{""ar"":""جوسيني"",""br"":""Gusinje"",""de"":""Gusinje"",""es"":""Gusinje"",""fa"":""گوسینجه"",""fr"":""Gusinje"",""hi"":""गुसिंजे"",""hr"":""Gusinje"",""it"":""Gusinje"",""ja"":""グシンジェ"",""ko"":""구신제"",""nl"":""Gusinje"",""pl"":""Gusinje"",""pt"":""Gusinje"",""pt-BR"":""Gusinje"",""ru"":""Гусинье"",""tr"":""Gusinje"",""uk"":""Гусіньє"",""zh-CN"":""古辛耶""}",2019-10-05T23:08:02,2025-12-02T14:38:56,1,Q1555366
67354,Kolašin,31,09,147,ME,adm1,,,42.82229000,19.51653000,Колашин,2989,Europe/Podgorica,"{""ar"":""كولاسين"",""br"":""Kolašin"",""de"":""Kolašin"",""es"":""Colašin"",""fa"":""کولاشین"",""fr"":""Kolašin"",""hi"":""कोलासिन"",""hr"":""Kolašin"",""it"":""Kolašin"",""ja"":""コラシン"",""ko"":""콜라신"",""nl"":""Kolašin"",""pl"":""Kolašin"",""pt"":""Kolašin"",""pt-BR"":""Kolašin"",""ru"":""Колашин"",""tr"":""Kolaşin"",""uk"":""Колашин"",""zh-CN"":""科拉欣""}",2019-10-05T23:08:02,2025-12-02T14:39:31,1,Q498895
67355,Kotor,26,10,147,ME,adm1,,,42.42067000,18.76825000,Котор,5345,Europe/Podgorica,"{""ar"":""كوتور"",""br"":""Kotor"",""de"":""Kotor"",""es"":""Kotor"",""fa"":""کوتور"",""fr"":""Kotor"",""hi"":""कोटर"",""hr"":""Kotor"",""it"":""Cattaro"",""ja"":""コトル"",""ko"":""코토르"",""nl"":""Kotor"",""pl"":""Kotor"",""pt"":""Kotor"",""pt-BR"":""Kotor"",""ru"":""Котор"",""tr"":""Kotor"",""uk"":""Котор"",""zh-CN"":""科托尔""}",2019-10-05T23:08:02,2025-12-02T14:39:31,1,Q171080
67356,Mataguži,5683,24,147,ME,city,,,42.35000000,19.41667000,Матагужи,1132,Europe/Podgorica,"{""fr"":""Mataguži"",""pl"":""Mataguži"",""br"":""Mataguži"",""ko"":""마타구지"",""pt-BR"":""Mataguži"",""pt"":""Mataguži"",""nl"":""Mataguži"",""hr"":""Mataguži"",""fa"":""ماتاگوژی"",""de"":""Mataguži"",""es"":""Mataguži"",""ja"":""マタグジ"",""it"":""Mataguži"",""zh-CN"":""马塔古日"",""tr"":""Mataguži"",""ru"":""Матагужи"",""uk"":""Матагужі"",""hi"":""माटागुज़ी"",""ar"":""ماتاغوزي""}",2025-11-15T10:27:33,2025-12-02T16:59:27,1,Q2908906
67357,Mojanovići,27,16,147,ME,city,,,42.34167000,19.22139000,Мојановић,1800,Europe/Podgorica,"{""ar"":""مويانوفيتشي"",""br"":""Mojanovići"",""de"":""Mojanovići"",""es"":""Mojanovići"",""fa"":""موجانوویچ"",""fr"":""Mojanovići"",""hi"":""मोजानोवीसी"",""hr"":""Mojanovići"",""it"":""Mojanovići"",""ja"":""モヤノヴィッチ"",""ko"":""모자노비치"",""nl"":""Mojanovići"",""pl"":""Mojanovići"",""pt"":""Mojanovići"",""pt-BR"":""Mojanovići"",""ru"":""Мояновичи"",""tr"":""Mojanovići"",""uk"":""Мояновічі"",""zh-CN"":""莫亚诺维奇""}",2019-10-05T23:08:02,2025-12-02T14:38:56,1,Q3182910
67358,Mojkovac,22,11,147,ME,adm1,,,42.96044000,19.58330000,Мојковац,3590,Europe/Podgorica,"{""ar"":""مويكوفاتش"",""br"":""Mojkovac"",""de"":""Mojkovac"",""es"":""Mojkovac"",""fa"":""موجکوواتس"",""fr"":""Mojkovac"",""hi"":""मोजकोवाक"",""hr"":""Mojkovac"",""it"":""Mojkovac"",""ja"":""モイコヴァツ"",""ko"":""모이코바츠"",""nl"":""Mojkovac"",""pl"":""Mojkovac"",""pt"":""Mojkovac"",""pt-BR"":""Mojkovac"",""ru"":""Мойковац"",""tr"":""Mojkovac"",""uk"":""Мойковац"",""zh-CN"":""莫伊科瓦茨""}",2019-10-05T23:08:02,2025-12-02T14:38:56,1,Q3182910
67359,Nikšić,17,12,147,ME,adm1,,,42.77310000,18.94446000,Никшић,58212,Europe/Podgorica,"{""ar"":""نيكشيتش"",""br"":""Nikšić"",""de"":""Nikšić"",""es"":""Nikšić"",""fa"":""نیکشیچ"",""fr"":""Nikšić"",""hi"":""निकसीक"",""hr"":""Nikšić"",""it"":""Nikšić"",""ja"":""ニクシッチ"",""ko"":""닉시치"",""nl"":""Nikšić"",""pl"":""Nikšić"",""pt"":""Nikšić"",""pt-BR"":""Nikšić"",""ru"":""Никшич"",""tr"":""Nikšić"",""uk"":""Нікшич"",""zh-CN"":""尼克希奇""}",2019-10-05T23:08:02,2025-12-02T14:38:56,1,Q3182910
67360,Petrovac na Moru,30,05,147,ME,city,,,42.20556000,18.94250000,Петровац на мору,1485,Europe/Podgorica,"{""ar"":""Petrovac na Moru"",""br"":""Petrovac na Moru"",""de"":""Petrovac na Moru"",""es"":""Petrovac na Moru"",""fa"":""پتروواتس در مورو"",""fr"":""Petrovac na Moru"",""hi"":""पेट्रोवाक ना मोरू"",""hr"":""Petrovac na Moru"",""it"":""Petrovac na Moru"",""ja"":""ペトロヴァツ・ナ・モル"",""ko"":""페트로바츠 나 모루"",""nl"":""Petrovac na Moru"",""pl"":""Petrovac na Moru"",""pt"":""Petrovac na Moru"",""pt-BR"":""Petrovac na Moru"",""ru"":""Петровац на Мору"",""tr"":""Petrovac na Moru"",""uk"":""Петровац-на-Мору"",""zh-CN"":""佩特罗瓦茨纳莫鲁""}",2019-10-05T23:08:02,2025-12-02T14:38:56,1,Q990088
67361,Plav,19,13,147,ME,adm1,,,42.59694000,19.94556000,Игра,3615,Europe/Podgorica,"{""ar"":""بلاف"",""br"":""Plav"",""de"":""Plav"",""es"":""Plav"",""fa"":""پلاو"",""fr"":""Plav"",""hi"":""प्लाव"",""hr"":""Plav"",""it"":""Plav"",""ja"":""プラヴ"",""ko"":""플라브"",""nl"":""Plav"",""pl"":""Plav"",""pt"":""Plav"",""pt-BR"":""Plav"",""ru"":""Плав"",""tr"":""Plav"",""uk"":""Плав"",""zh-CN"":""普拉夫""}",2019-10-05T23:08:02,2025-12-02T14:39:31,1,Q211195
