id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
160070,Ailinglaplap,5643,ALL,137,MH,adm1,,,7.50000000,168.73333333,Ailinglaplap,,Pacific/Kwajalein,"{""de"":""Ailinglaplap"",""es"":""Ailinglaplap"",""fr"":""Ailinglaplap"",""id"":""Atol Ailinglaplap"",""it"":""Ailinglaplap"",""ja"":""アイリングラップ環礁"",""ko"":""아일링글라플라프 환초"",""pl"":""Ailinglapalap"",""pt"":""Ailinglaplap"",""ru"":""Аилинглапалап"",""vi"":""Đảo san hô vòng Ailinglaplap"",""zh"":""艾林拉帕拉普环礁"",""br"":""Ilinglaplap"",""pt-BR"":""Ailinglaplap"",""nl"":""Ailinglaplap"",""hr"":""Ailinglaplap"",""fa"":""آیلینگ‌لاپ‌لاپ"",""zh-CN"":""生病的拉普拉普"",""tr"":""Ailinglaplap"",""uk"":""Айлінглаплеп"",""hi"":""ailinglaplap"",""ar"":""أيلينجلابلاب""}",2025-11-15T07:36:12,2025-12-02T17:11:50,1,Q405165
160071,Ailuk,5644,ALK,137,MH,adm1,,,10.31666667,169.93333333,Ailuk,,Pacific/Kwajalein,"{""de"":""Ailuk"",""es"":""Ailuk"",""fr"":""Ailuk"",""id"":""Atol Ailuk"",""it"":""Ailuk"",""ja"":""アイルック環礁"",""ko"":""아일루크 환초"",""pl"":""Ailuk"",""pt"":""Ailuk"",""ru"":""Аилук"",""vi"":""Đảo san hô vòng Ailuk"",""zh"":""艾盧克環礁"",""br"":""Ailuk"",""pt-BR"":""Ailuk"",""nl"":""Ailuk"",""hr"":""Ailuk"",""fa"":""آیلوک"",""zh-CN"":""艾鲁克"",""tr"":""Ailuk"",""uk"":""Айлук"",""hi"":""ऍइलुक"",""ar"":""أيلوك""}",2025-11-15T07:36:12,2025-12-02T17:11:50,1,Q405378
160072,Arno,5645,ARN,137,MH,city,,,7.08333333,171.70000000,Arno,,Pacific/Kwajalein,"{""ar"":""نهر أرنو"",""de"":""Arno (Tyrrhenisches Meer)"",""es"":""Arno"",""fr"":""Arno (fleuve)"",""id"":""Arno"",""it"":""Arno"",""ja"":""アルノ川"",""ko"":""아르노강"",""nl"":""Arno (rivier)"",""pl"":""Arno (rzeka)"",""pt"":""Rio Arno"",""ru"":""Арно (река)"",""tr"":""Arno"",""uk"":""Арно"",""zh"":""阿爾諾河"",""br"":""Arno"",""pt-BR"":""Arno"",""hr"":""Arno"",""fa"":""آرنو"",""zh-CN"":""阿诺"",""hi"":""आर्नो""}",2025-11-15T07:36:12,2025-12-02T16:59:27,1,Q694057
160073,Aur,5646,AUR,137,MH,adm1,,,8.20000000,171.10000000,Aur,,Pacific/Kwajalein,"{""de"":""AUR"",""es"":""AUR (desambiguación)"",""fr"":""AUR"",""id"":""Aur"",""it"":""Aur"",""ja"":""AUR"",""ko"":""AUR"",""nl"":""Aur"",""pl"":""AUR"",""br"":""Aur"",""pt-BR"":""Aur"",""pt"":""Aur"",""hr"":""Aur"",""fa"":""اور"",""zh-CN"":""奥尔"",""tr"":""Aur"",""ru"":""Аур"",""uk"":""Аур"",""hi"":""मैं और"",""ar"":""أور""}",2025-11-15T07:36:12,2025-12-02T17:11:50,1,Q260549
160074,Bikini,5647,KIL,137,MH,city,,,11.60000000,165.40000000,Bikini,,Pacific/Kwajalein,"{""ar"":""بكيني"",""bn"":""বিকিনি"",""de"":""Bikini"",""es"":""Bikini"",""fr"":""Bikini (vêtement)"",""hi"":""बिकनी"",""id"":""Bikini"",""it"":""Bikini"",""ja"":""ビキニ (水着)"",""ko"":""비키니"",""nl"":""Bikini (kleding)"",""pl"":""Bikini"",""pt"":""Biquíni"",""ru"":""Бикини"",""tr"":""Bikini"",""uk"":""Бікіні"",""vi"":""Bikini"",""zh"":""比基尼"",""br"":""Bikini"",""pt-BR"":""Bikini"",""hr"":""Bikini"",""fa"":""بیکینی"",""zh-CN"":""比基尼""}",2025-11-15T07:36:12,2025-12-02T16:59:27,1,Q152225
160075,Delap-Uliga-Djarrit,5656,MAJ,137,MH,capital,,,7.08333333,171.38333333,Delap-Uliga-Djarrit,25400,Pacific/Majuro,"{""de"":""Delap-Uliga-Darrit"",""fr"":""Delap-Uliga-Darrit"",""it"":""Delap-Uliga-Djarrit"",""pl"":""Delap-Uliga-Djarrit"",""zh"":""德拉普-乌里加-贾里特"",""br"":""Delap-Uliga-Djarrit"",""ko"":""델랍-울리가-자리트"",""pt-BR"":""Delap-Uliga-Djarrit"",""pt"":""Delap-Uliga-Djarrit"",""nl"":""Delap-Uliga-Djarrit"",""hr"":""Delap-Uliga-Djarrit"",""fa"":""دلاپ-اولیگا-جاریت"",""es"":""Delap-Uliga-Djarrit"",""ja"":""デラップ・ウリガ・ジャリット"",""zh-CN"":""德拉普-乌利加-贾里特"",""tr"":""Delap-Uliga-Djarrit"",""ru"":""Делап-Улига-Джаррит"",""uk"":""Делап-Уліга-Джарріт"",""hi"":""डेलाप-उलिगा-दजारिट"",""ar"":""ديلاب-أوليغا-جاريت""}",2025-11-15T07:36:12,2025-12-02T14:39:55,1,Q12919
160076,Ebeye,5652,KWA,137,MH,city,,,41.08110000,-111.92000000,Ebeye,,Pacific/Kwajalein,"{""de"":""Ebeye"",""fr"":""Ebeye"",""pl"":""Ebeye"",""uk"":""Ібай"",""zh"":""埃贝耶岛"",""br"":""Ebeye"",""ko"":""에베이"",""pt-BR"":""Ebeye"",""pt"":""Ebeye"",""nl"":""Ebeye"",""hr"":""Ebeye"",""fa"":""ای‌بی"",""es"":""Ebeye"",""ja"":""エバイ"",""it"":""Ebeye"",""zh-CN"":""埃贝耶"",""tr"":""Ebeye"",""ru"":""Эбей"",""hi"":""एबेये"",""ar"":""إيباي""}",2025-11-15T07:36:12,2025-12-02T16:59:27,1,Q1277921
160077,Ebon,5648,EBO,137,MH,adm1,,,4.63333333,168.71666667,Ebon,,Pacific/Kwajalein,"{""de"":""Ebon"",""id"":""Ebon"",""br"":""Ebon"",""ko"":""에본"",""pt-BR"":""Ébano"",""pt"":""Ébano"",""nl"":""Ebon"",""hr"":""Ebenovina"",""fa"":""ایبون"",""es"":""De ébano"",""fr"":""Ébène"",""ja"":""エボン"",""it"":""Ebano"",""zh-CN"":""乌木"",""tr"":""Abanoz"",""ru"":""Эбонит"",""uk"":""Ебон"",""pl"":""Heban"",""hi"":""आबनूसी"",""ar"":""أبنوسي""}",2025-11-15T07:36:12,2025-12-02T17:11:50,1,Q152754
160078,Enewetak,5649,ENI,137,MH,adm1,,,11.50000000,162.33333333,Enewetak,,Pacific/Kwajalein,"{""ar"":""آتول إنيويتوك"",""de"":""Eniwetok"",""es"":""Enewetak"",""fr"":""Eniwetok"",""id"":""Atol Enewetak"",""it"":""Enewetak"",""ja"":""エニウェトク環礁"",""ko"":""에네웨타크 환초"",""nl"":""Enewetak"",""pl"":""Enewetak"",""pt"":""Enewetak"",""ru"":""Эниветок"",""tr"":""Enewetak Mercan Adaları"",""uk"":""Еніветок"",""vi"":""Đảo san hô vòng Enewetak"",""zh"":""埃內韋塔克環礁"",""br"":""Enewetak"",""pt-BR"":""Enewetak"",""hr"":""Enewetak"",""fa"":""انوتک"",""zh-CN"":""埃内韦塔克"",""hi"":""एनेवेटक""}",2025-11-15T07:36:12,2025-12-02T17:11:50,1,Q649190
160079,Jabat,5650,JAB,137,MH,adm1,,,7.75000000,168.96666667,Jabat,112,Pacific/Kwajalein,"{""de"":""Jabwot"",""es"":""Jabat"",""fr"":""Jabat"",""id"":""Pulau Jabat"",""it"":""Jabat"",""ja"":""ジャボット島"",""ko"":""자바트섬"",""pl"":""Jabwot"",""ru"":""Джабат"",""zh"":""賈布沃特島"",""br"":""Jabat"",""pt-BR"":""Jabat"",""pt"":""Jabat"",""nl"":""Jabat"",""hr"":""Džabat"",""fa"":""جبات"",""zh-CN"":""贾巴特"",""tr"":""Jabat"",""uk"":""Джабат"",""hi"":""जबात"",""ar"":""جابات""}",2025-11-15T07:36:12,2025-12-02T14:39:31,1,Q697805
