id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
67386,Batinci,711,813,129,MK,city,,,41.91909000,21.47978000,Батинци,3239,Europe/Skopje,"{""ar"":""باتينجي"",""br"":""Batinci"",""de"":""Batinci"",""es"":""Batinci"",""fa"":""باتینجی"",""fr"":""Batinci"",""hi"":""बतिंसी"",""hr"":""Batinci"",""it"":""Batinci"",""ja"":""バティンチ"",""ko"":""바틴치"",""nl"":""Batinci"",""pl"":""Batinci"",""pt"":""Batinci"",""pt-BR"":""Batinci"",""ru"":""Батинци"",""tr"":""Batıncı"",""uk"":""Батинці"",""zh-CN"":""巴廷哲""}",2019-10-05T23:08:03,2025-12-02T14:39:31,1,Q2891397
67387,Bedinje,683,703,129,MK,section,,,42.14167000,21.69639000,Бедиње,2256,Europe/Skopje,"{""ar"":""بيدينجي"",""br"":""Bedinje"",""de"":""Bedinje"",""es"":""Bedinje"",""fa"":""بدینجه"",""fr"":""Bedinje"",""hi"":""बेदिंजे"",""hr"":""Bedinje"",""it"":""Bedinje"",""ja"":""ベディニェ"",""ko"":""베디네"",""nl"":""Bedinje"",""pl"":""Bedinje"",""pt"":""Bedinje"",""pt-BR"":""Bedinje"",""ru"":""Бединдже"",""tr"":""Bedinje"",""uk"":""Бедінже"",""zh-CN"":""贝迪涅""}",2019-10-05T23:08:03,2025-12-02T14:39:31,1,Q2929743
67388,Belčišta,645,304,129,MK,adm1,,,41.30278000,20.83028000,Белчишта,2804,Europe/Skopje,"{""ar"":""بيلتشيستا"",""br"":""Belčišta"",""de"":""Belčišta"",""es"":""Belčišta"",""fa"":""بلچیستا"",""fr"":""Belčišta"",""hi"":""बेल्चिस्ता"",""hr"":""Belčišta"",""it"":""Belčišta"",""ja"":""ベルチスタ"",""ko"":""벨치스타"",""nl"":""Belčišta"",""pl"":""Belčišta"",""pt"":""Belčišta"",""pt-BR"":""Belčišta"",""ru"":""Белчишта"",""tr"":""Belčišta"",""uk"":""Белчішта"",""zh-CN"":""贝尔奇什塔""}",2019-10-05T23:08:03,2025-12-02T14:39:31,1,Q2895145
67389,Beranci,653,506,129,MK,city,,,41.15969000,21.35963000,Беранци,1264,Europe/Skopje,"{""ar"":""بيرانشي"",""br"":""Beranci"",""de"":""Beranci"",""es"":""Beranci"",""fa"":""برانچي"",""fr"":""Beranci"",""hi"":""बेरान्सी"",""hr"":""Beranci"",""it"":""Beranci"",""ja"":""ベランチ"",""ko"":""베란치"",""nl"":""Beranci"",""pl"":""Beranci"",""pt"":""Beranci"",""pt-BR"":""Beranci"",""ru"":""Беранчи"",""tr"":""Beranci"",""uk"":""Беранчі"",""zh-CN"":""贝兰奇""}",2019-10-05T23:08:03,2025-12-02T14:39:31,1,Q2896871
67390,Berovo,716,201,129,MK,adm1,,,41.70306000,22.85778000,Берово,13847,Europe/Skopje,"{""ar"":""بيروفو"",""br"":""Berovo"",""de"":""Berovo"",""es"":""Berovo"",""fa"":""برووو"",""fr"":""Berovo"",""hi"":""बेरोवो"",""hr"":""Berovo"",""it"":""Berovo"",""ja"":""ベロヴォ"",""ko"":""베로보"",""nl"":""Berovo"",""pl"":""Berowo"",""pt"":""Berovo"",""pt-BR"":""Berovo"",""ru"":""Берово"",""tr"":""Berovo"",""uk"":""Берово"",""zh-CN"":""贝罗沃""}",2019-10-05T23:08:03,2025-12-02T14:39:31,1,Q827047
67391,Bistrica,679,501,129,MK,city,,,40.97892000,21.36580000,Бистрица,4798,Europe/Skopje,"{""ar"":""بيستريكا"",""br"":""Bistrica"",""de"":""Bistrica"",""es"":""Bistrica"",""fa"":""بیستریکا"",""fr"":""Bistrica"",""hi"":""बिस्ट्रिका"",""hr"":""Bistrica"",""it"":""Bistrica"",""ja"":""ビストリツァ"",""ko"":""비스트리차"",""nl"":""Bistrica"",""pl"":""Bystrzyca"",""pt"":""Bistrica"",""pt-BR"":""Bistrica"",""ru"":""Быстрица"",""tr"":""Bistrica"",""uk"":""Бистриця"",""zh-CN"":""比斯特里察""}",2019-10-05T23:08:03,2025-12-02T14:39:31,1,Q804083
67392,Bitola,679,501,129,MK,adm1,,,41.03143000,21.33474000,Битола,69287,Europe/Skopje,"{""ar"":""بيتولا"",""br"":""Bitola"",""de"":""Bitola"",""es"":""Bitola"",""fa"":""بیتولا"",""fr"":""Bitola"",""hi"":""बिटोला"",""hr"":""Bitola"",""it"":""Bitola"",""ja"":""ビトラ"",""ko"":""비톨라"",""nl"":""Bitola"",""pl"":""Bitola"",""pt"":""Bitola"",""pt-BR"":""Bitola"",""ru"":""Битола"",""tr"":""Manastır"",""uk"":""Бітола"",""zh-CN"":""比托拉""}",2019-10-05T23:08:03,2025-12-02T14:38:56,1,Q157246
67393,Blatec,672,202,129,MK,city,,,41.83668000,22.57909000,Блатек,2024,Europe/Skopje,"{""ar"":""بلاتيك"",""br"":""Blatec"",""de"":""Blatec"",""es"":""Blatec"",""fa"":""بلاتک"",""fr"":""Blatec"",""hi"":""ब्लैटेक"",""hr"":""Blatec"",""it"":""Blatec"",""ja"":""ブラテック"",""ko"":""블라텍"",""nl"":""Blatec"",""pl"":""Blatec"",""pt"":""Blatec"",""pt-BR"":""Blatec"",""ru"":""Блатец"",""tr"":""Blatec"",""uk"":""Блатец"",""zh-CN"":""布拉泰克""}",2019-10-05T23:08:03,2025-12-02T14:39:31,1,Q20933280
67394,Bogdanci,649,401,129,MK,adm1,,,41.20306000,22.57556000,Богданци,8636,Europe/Skopje,"{""ar"":""بوغدانشي"",""br"":""Bogdanci"",""de"":""Bogdanci"",""es"":""Bogdanci"",""fa"":""بوگدانچی"",""fr"":""Bogdanci"",""hi"":""बोग्दांसी"",""hr"":""Bogdanci"",""it"":""Bogdanci"",""ja"":""ボグダンチ"",""ko"":""보그단치"",""nl"":""Bogdanci"",""pl"":""Bogdanci"",""pt"":""Bogdanci"",""pt-BR"":""Bogdanci"",""ru"":""Богданци"",""tr"":""Bogdanci"",""uk"":""Богданці"",""zh-CN"":""博格丹哲""}",2019-10-05T23:08:03,2025-12-02T14:39:31,1,Q751948
67395,Bogomila,676,109,129,MK,city,,,41.59306000,21.47167000,Богомила,1223,Europe/Skopje,"{""ar"":""بوغوميلا"",""br"":""Bogomila"",""de"":""Bogomila"",""es"":""Bogomila"",""fa"":""بوگومیلا"",""fr"":""Bogomila"",""hi"":""बोगोमिला"",""hr"":""Bogomila"",""it"":""Bogomila"",""ja"":""ボゴミラ"",""ko"":""보고밀라"",""nl"":""Bogomila"",""pl"":""Bogomiła"",""pt"":""Bogomila"",""pt-BR"":""Bogomila"",""ru"":""Богомила"",""tr"":""Bogomila"",""uk"":""Богомила"",""zh-CN"":""博格米拉""}",2019-10-05T23:08:03,2025-12-02T14:39:31,1,Q890640
