id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
67583,Abeïbara,257,8,134,ML,adm2,,,19.11667000,1.75000000,Abeïbara,0,Africa/Bamako,"{""br"":""Abeïbara"",""ko"":""아베이바라"",""pt-BR"":""Abeïbara"",""pt"":""Abeïbara"",""nl"":""Abeïbara"",""hr"":""Abeïbara"",""fa"":""آبیبارا"",""de"":""Abeïbara"",""es"":""Abeibara"",""fr"":""Abeïbara"",""ja"":""アベイバラ"",""it"":""Abeïbara"",""zh-CN"":""阿部原"",""tr"":""Abeïbara"",""ru"":""Абейбара"",""uk"":""Абейбара"",""pl"":""Abeïbara"",""hi"":""अबेइबारा"",""ar"":""أبيبارا""}",2019-10-06T10:08:04,2025-12-02T14:39:31,1,Q1813226
67584,Ansongo,258,7,134,ML,adm2,,,15.65970000,0.50220000,Ansongo,3000,Africa/Bamako,"{""br"":""Ansongo"",""ko"":""앤송고"",""pt-BR"":""Ansongo"",""pt"":""Ansongo"",""nl"":""Ansongo"",""hr"":""Ansongo"",""fa"":""آنسونگو"",""de"":""Ansongo"",""es"":""Ansongo"",""fr"":""Ansongo"",""ja"":""アンソンゴ"",""it"":""Ansongo"",""zh-CN"":""安松戈"",""tr"":""Ansongo"",""ru"":""Ансонго"",""uk"":""Ансонго"",""pl"":""Ansongo"",""hi"":""अंसोंगो"",""ar"":""أنسونجو""}",2019-10-06T10:08:04,2025-12-02T14:39:31,1,Q2620152
67585,Araouane,248,6,134,ML,city,,,18.90476000,-3.52649000,Araouane,4026,Africa/Bamako,"{""br"":""Araouane"",""ko"":""아라우안"",""pt-BR"":""Araouane"",""pt"":""Araouane"",""nl"":""Araouane"",""hr"":""Araouane"",""fa"":""عرعونه"",""de"":""Araouane"",""es"":""Araouane"",""fr"":""Araouane"",""ja"":""アラウアン"",""it"":""Araouane"",""zh-CN"":""阿拉万"",""tr"":""Araouane"",""ru"":""Арауан"",""uk"":""Арауан"",""pl"":""Araouane"",""hi"":""अरौआने"",""ar"":""أروان""}",2019-10-06T10:08:04,2025-12-02T14:38:56,1,Q626121
67586,Bafoulabé,252,1,134,ML,adm2,,,13.80650000,-10.83210000,Bafoulabé,26823,Africa/Bamako,"{""br"":""Bafoulabé"",""ko"":""바풀라베"",""pt-BR"":""Bafoulabé"",""pt"":""Bafoulabé"",""nl"":""Bafoulabé"",""hr"":""Bafoulabé"",""fa"":""بافولابه"",""de"":""Bafoulabé"",""es"":""Bafoulabé"",""fr"":""Bafoulabé"",""ja"":""バフーラベ"",""it"":""Bafoulabé"",""zh-CN"":""巴富拉贝"",""tr"":""Bafoulabé"",""ru"":""Бафулабе"",""uk"":""Бафулабе"",""pl"":""Bafoulabé"",""hi"":""बाफौलाबे"",""ar"":""بافولابي""}",2019-10-06T10:08:04,2025-12-02T14:38:56,1,Q799794
67587,Bamako,253,BKO,134,ML,capital,,,12.65000000,-8.00000000,Bamako,4227569,Africa/Bamako,"{""br"":""Bamako"",""ko"":""바마코"",""pt-BR"":""Bamaco"",""pt"":""Bamaco"",""nl"":""Bamako"",""hr"":""Bamako"",""fa"":""باماکو"",""de"":""Bamako"",""es"":""Bamako"",""fr"":""Bamako"",""ja"":""バマコ"",""it"":""Bamako"",""zh-CN"":""巴马科"",""tr"":""Bamako"",""ru"":""Бамако"",""uk"":""Бамако"",""pl"":""Bamako"",""hi"":""बमाको"",""ar"":""باماكو""}",2019-10-06T10:08:04,2025-12-02T17:11:50,1,Q799794
67588,Banamba,250,2,134,ML,adm2,,,13.54773000,-7.44808000,Ils ont un numéro,30591,Africa/Bamako,"{""br"":""Banamba"",""ko"":""바남바"",""pt-BR"":""Banamba"",""pt"":""Banamba"",""nl"":""Banamba"",""hr"":""Banamba"",""fa"":""بانامبا"",""de"":""Banamba"",""es"":""Banamba"",""fr"":""Banamba"",""ja"":""バナンバ"",""it"":""Banamba"",""zh-CN"":""巴南巴"",""tr"":""Banamba"",""ru"":""Банамба"",""uk"":""Банамба"",""pl"":""Banamba"",""hi"":""बनम्बा"",""ar"":""بانامبا""}",2019-10-06T10:08:04,2025-12-02T14:38:56,1,Q572737
67589,Bandiagara,255,5,134,ML,city,,,14.35005000,-3.61038000,Bandiagara,25564,Africa/Bamako,"{""br"":""Bandiagara"",""ko"":""반디아가라"",""pt-BR"":""Bandiagara"",""pt"":""Bandiagara"",""nl"":""Bandiagara"",""hr"":""Bandiagara"",""fa"":""باندیاگارا"",""de"":""Bandiagara"",""es"":""Bandiagara"",""fr"":""Bandiagara"",""ja"":""バンディアガラ"",""it"":""Bandiagara"",""zh-CN"":""邦贾加拉"",""tr"":""Bandiagara"",""ru"":""Бандиагара"",""uk"":""Бандіагара"",""pl"":""Bandiagara"",""hi"":""बंदियागरा"",""ar"":""باندياجارا""}",2019-10-06T10:08:04,2025-12-02T14:38:56,1,Q538753
67590,Baroueli,249,4,134,ML,city,,,13.07489000,-6.57171000,Baroueli,0,Africa/Bamako,"{""br"":""Baroueli"",""ko"":""바루엘리"",""pt-BR"":""Baroueli"",""pt"":""Baroueli"",""nl"":""Baroueli"",""hr"":""Baroueli"",""fa"":""باروئلی"",""de"":""Baroueli"",""es"":""Baroueli"",""fr"":""Barouéli"",""ja"":""バロウエリ"",""it"":""Baroueli"",""zh-CN"":""巴鲁埃利"",""tr"":""Baroueli"",""ru"":""Баруэли"",""uk"":""Баруелі"",""pl"":""Baroueli"",""hi"":""बारूएली"",""ar"":""بارويلي""}",2019-10-06T10:08:04,2025-12-02T16:59:27,1,Q538753
67591,Bougouni,254,3,134,ML,city,,,11.41769000,-7.48323000,Bougouni,90234,Africa/Bamako,"{""br"":""Bougouni"",""ko"":""부구니"",""pt-BR"":""Bougouni"",""pt"":""Bougouni"",""nl"":""Bougouni"",""hr"":""Bougouni"",""fa"":""بوگونی"",""de"":""Bougouni"",""es"":""Bougouni"",""fr"":""Bougouni"",""ja"":""ブグニ"",""it"":""Bougouni"",""zh-CN"":""布古尼"",""tr"":""Bougouni"",""ru"":""Бугуни"",""uk"":""Бугуні"",""pl"":""Bougouni"",""hi"":""बौगौनी"",""ar"":""بوغوني""}",2019-10-06T10:08:04,2025-12-02T14:38:56,1,Q848574
67592,Cercle de Bourem,258,7,134,ML,city,,,17.71192000,-0.34284000,Cercle de Bourem,,Africa/Bamako,"{""br"":""Kelc'h ar Bourem"",""ko"":""세르클 드 부렘"",""pt-BR"":""Círculo de Bourem"",""pt"":""Círculo de Bourem"",""nl"":""Cercle de Bourem"",""hr"":""Bouremov krug"",""fa"":""سیرکل دو بورم"",""de"":""Cercle de Bourem"",""es"":""Círculo de Bourem"",""fr"":""Cercle de Bourem"",""ja"":""サークル・ド・ブレム"",""it"":""Circolo di Bourem"",""zh-CN"":""布雷姆环"",""tr"":""Bourem Çevresi"",""ru"":""Серкль де Бурем"",""uk"":""Серкл де Бурем"",""pl"":""Cercle de Bourem"",""hi"":""सर्कल डे बौरेम"",""ar"":""دائرة بوريم""}",2019-10-06T10:08:04,2025-12-02T16:59:27,1,Q474936
67593,Cercle de Goundam,248,6,134,ML,city,,,18.60035000,-4.99306000,Goundam Circle,,Africa/Bamako,"{""br"":""Kelc'h ar Goundam"",""ko"":""세르클 드 구나담"",""pt-BR"":""Cercle de Goundam"",""pt"":""Cercle de Goundam"",""nl"":""Cercle de Goundam"",""hr"":""Krug Goundam"",""fa"":""سیرکل دو گوندام"",""de"":""Cercle de Goundam"",""es"":""Círculo de Goundam"",""fr"":""Cercle de Goundam"",""ja"":""サークル・ド・グンダム"",""it"":""Circolo di Goundam"",""zh-CN"":""贡达姆环"",""tr"":""Goundam Çemberi"",""ru"":""Серкль де Гундам"",""uk"":""Серкл де Гундам"",""pl"":""Cercle de Goundam"",""hi"":""सर्कल डी गौंडम"",""ar"":""دائرة غوندام""}",2019-10-06T10:08:04,2025-12-02T16:59:27,1,Q1499253
67594,Cercle de San,249,4,134,ML,city,,,13.17895000,-5.01617000,Cerle de San,,Africa/Bamako,"{""br"":""Kelc'h San"",""ko"":""세르클레 데 산"",""pt-BR"":""Cercle de San"",""pt"":""Cercle de San"",""nl"":""Cercle de San"",""hr"":""Krug Svetog"",""fa"":""دایره سن"",""de"":""Cercle de San"",""es"":""Círculo de San"",""fr"":""Cercle de San"",""ja"":""サークル・ド・サン"",""it"":""Circolo di San"",""zh-CN"":""圣环"",""tr"":""San Çevresi"",""ru"":""Серкль де Сан"",""uk"":""Серкл де Сан"",""pl"":""Cercle de San"",""hi"":""सर्कल डे सैन"",""ar"":""دائرة سان""}",2019-10-06T10:08:04,2025-12-02T16:59:27,1,Q1902391
67595,Cercle d’Abeïbara,257,8,134,ML,city,,,19.48878000,2.20025000,Cercle d’Abeïbara,,Africa/Bamako,"{""br"":""Kelc'h Abeïbara"",""ko"":""세르클 다베이바라"",""pt-BR"":""Cercle d'Abeïbara"",""pt"":""Cercle d'Abeïbara"",""nl"":""Cercle d'Abeïbara"",""hr"":""Krug Abeïbara"",""fa"":""دایره آبیبارا"",""de"":""Cercle d’Abeïbara"",""es"":""Círculo de Abeïbara"",""fr"":""Cercle d’Abeïbara"",""ja"":""アベイバラサークル"",""it"":""Circolo di Abeïbara"",""zh-CN"":""Cercle d’Abeïbara"",""tr"":""Cercle d’Abeïbara"",""ru"":""Серкль д’Абейбара"",""uk"":""Серкл д'Абейбара"",""pl"":""Cercle d’Abeïbara"",""hi"":""सर्कल डी’अबेइबारा"",""ar"":""دائرة أبيبارا""}",2019-10-06T10:08:04,2025-12-02T16:59:27,1,Q319858
67596,Dire,248,6,134,ML,city,,,16.28017000,-3.31302000,Terrible,0,Africa/Bamako,"{""br"":""Dire"",""ko"":""무서운"",""pt-BR"":""Terrível"",""pt"":""Terrível"",""nl"":""Vreselijk"",""hr"":""Strašan"",""fa"":""دیر"",""de"":""Schrecklich"",""es"":""Terrible"",""fr"":""Terrible"",""ja"":""ダイレ"",""it"":""Terribile"",""zh-CN"":""夜魇"",""tr"":""Korkunç"",""ru"":""Dire"",""uk"":""Дире"",""pl"":""Straszny"",""hi"":""भयानक"",""ar"":""رهيب""}",2019-10-06T10:08:04,2025-12-02T16:59:27,1,Q319858
67598,Djénné,255,5,134,ML,city,,,13.90608000,-4.55332000,Djéné,40489,Africa/Bamako,"{""br"":""Djénné"",""ko"":""제네"",""pt-BR"":""Djénné"",""pt"":""Djénné"",""nl"":""Djénné"",""hr"":""Djenné"",""fa"":""جنه"",""de"":""Djénné"",""es"":""Djénné"",""fr"":""Djénné"",""ja"":""ジェンネ"",""it"":""Djénné"",""zh-CN"":""杰内"",""tr"":""Cin"",""ru"":""Дженне"",""uk"":""Дженне"",""pl"":""Djénné"",""hi"":""Djenné"",""ar"":""جينيه""}",2019-10-06T10:08:04,2025-12-02T14:38:56,1,Q213507
67599,Douentza,255,5,134,ML,adm2,,,15.00155000,-2.94978000,Duentza,37002,Africa/Bamako,"{""br"":""Douenta"",""ko"":""두엔차"",""pt-BR"":""Douentza"",""pt"":""Douentza"",""nl"":""Douentza"",""hr"":""Douentza"",""fa"":""دونتزا"",""de"":""Douentza"",""es"":""Douentza"",""fr"":""Douentza"",""ja"":""ドゥエンツァ"",""it"":""Douentza"",""zh-CN"":""杜恩扎"",""tr"":""Douentza"",""ru"":""Дуэнца"",""uk"":""Дуенца"",""pl"":""Douentza"",""hi"":""डौएंट्ज़ा"",""ar"":""دوينتزا""}",2019-10-06T10:08:04,2025-12-02T14:38:56,1,Q2358526
67600,Douentza Cercle,255,5,134,ML,city,,,15.06947000,-2.40875000,Douentza Cerchle,247794,Africa/Bamako,"{""br"":""Kelc'h Douentza"",""ko"":""두엔차 세르클"",""pt-BR"":""Círculo de Douentza"",""pt"":""Círculo de Douentza"",""nl"":""Douentza Cercle"",""hr"":""Douentza Circle"",""fa"":""دایره دونتزا"",""de"":""Douentza-Kreis"",""es"":""Círculo de Douentza"",""fr"":""Cercle de Douentza"",""ja"":""ドゥエンツァ・サークル"",""it"":""Douentza Cercle"",""zh-CN"":""杜恩扎·塞克莱"",""tr"":""Douentza Çemberi"",""ru"":""Дуэнца Серкл"",""uk"":""Серкл Дуенца"",""pl"":""Douentza Cercle"",""hi"":""डौएंट्ज़ा सर्कल"",""ar"":""دائرة دوينتزا""}",2019-10-06T10:08:04,2025-12-02T16:59:27,1,Q940936
