id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
67631,Bago,2141,02,151,MM,adm1,,,17.33521000,96.48135000,ပဲခူး,284179,Asia/Yangon,"{""br"":""Bago"",""ko"":""바고"",""pt-BR"":""Bago"",""pt"":""Bago"",""nl"":""Bago"",""hr"":""Bago"",""fa"":""باگو"",""de"":""Bago"",""es"":""Bago"",""fr"":""Bago"",""ja"":""バゴー"",""it"":""Bago"",""zh-CN"":""巴戈"",""tr"":""Bago"",""ru"":""Баго"",""uk"":""Баго"",""pl"":""Bago"",""hi"":""बैगो"",""ar"":""باغو""}",2019-10-06T10:08:04,2025-12-02T14:38:56,1,Q800122
67632,Bhamo,2143,11,151,MM,city,,,24.25256000,97.23357000,ဗန်းမော်,47920,Asia/Yangon,"{""br"":""Bhamo"",""ko"":""바모"",""pt-BR"":""Bhamo"",""pt"":""Bhamo"",""nl"":""Bhamo"",""hr"":""Bhamo"",""fa"":""بهامو"",""de"":""Bhamo"",""es"":""Bhamo"",""fr"":""Bhamo"",""ja"":""バモ"",""it"":""Bhamo"",""zh-CN"":""巴莫"",""tr"":""Bhamo"",""ru"":""Бхамо"",""uk"":""Бхамо"",""pl"":""Bhamo"",""hi"":""भामो"",""ar"":""بهامو""}",2019-10-06T10:08:04,2025-12-02T14:38:56,1,Q854791
67633,Bogale,2142,07,151,MM,city,,,16.29415000,95.39742000,ဘိုကလေး,68938,Asia/Yangon,"{""br"":""Bogale"",""ko"":""보갈레"",""pt-BR"":""Bogale"",""pt"":""Bogale"",""nl"":""Bogale"",""hr"":""Bogale"",""fa"":""بوگال"",""de"":""Bogale"",""es"":""Bogale"",""fr"":""Bogale"",""ja"":""ボガレ"",""it"":""Bogale"",""zh-CN"":""博加莱"",""tr"":""Bogale"",""ru"":""Богале"",""uk"":""Богале"",""pl"":""Bogale"",""hi"":""बोगले"",""ar"":""بوغالي""}",2019-10-06T10:08:04,2025-12-02T14:38:56,1,Q3358197
67634,Chauk,2136,03,151,MM,city,,,20.89921000,94.81784000,ချောက်,90870,Asia/Yangon,"{""br"":""Chauk"",""ko"":""차우크"",""pt-BR"":""Chauk"",""pt"":""Chauk"",""nl"":""Chauk"",""hr"":""Čauk"",""fa"":""چاک"",""de"":""Chauk"",""es"":""Chauk"",""fr"":""Chauk"",""ja"":""チャウク"",""it"":""Chauk"",""zh-CN"":""乔克"",""tr"":""Chauk"",""ru"":""Чаук"",""uk"":""Чаук"",""pl"":""Chauk"",""hi"":""चौक"",""ar"":""تشوك""}",2019-10-06T10:08:04,2025-12-02T14:38:56,1,Q2746921
67635,Dawei,2140,05,151,MM,adm1,,,14.08230000,98.19151000,ထားဝယ်,146964,Asia/Yangon,"{""br"":""Dawei"",""ko"":""다웨이"",""pt-BR"":""Dawei"",""pt"":""Dawei"",""nl"":""Dawei"",""hr"":""Dawei"",""fa"":""داوی"",""de"":""Dawei"",""es"":""Dawei"",""fr"":""Dawei"",""ja"":""ダウェイ"",""it"":""Dawei"",""zh-CN"":""大伟"",""tr"":""Dawei"",""ru"":""Давэй"",""uk"":""Давей"",""pl"":""Dawei"",""hi"":""दावेई"",""ar"":""داوي""}",2019-10-06T10:08:04,2025-12-02T14:38:56,1,Q1018167
67636,Dellok,2133,13,151,MM,city,,,16.04072000,97.91773000,Dellok,2000,Asia/Yangon,"{""br"":""Dellok"",""ko"":""델록"",""pt-BR"":""Dellok"",""pt"":""Dellok"",""nl"":""Dellok"",""hr"":""Dellok"",""fa"":""دلوک"",""de"":""Dellok"",""es"":""Dellok"",""fr"":""Dellok"",""ja"":""デロック"",""it"":""Dellok"",""zh-CN"":""德洛克"",""tr"":""Dellok"",""ru"":""Деллок"",""uk"":""Деллок"",""pl"":""Dellok"",""hi"":""डेलोक"",""ar"":""ديلوك""}",2019-10-06T10:08:04,2025-12-02T14:39:31,1,Q1018167
67637,Falam,2137,14,151,MM,city,,,22.91335000,93.67779000,ဖလမ်း,5404,Asia/Yangon,"{""br"":""Falam"",""ko"":""팔람"",""pt-BR"":""Falam"",""pt"":""Falam"",""nl"":""Falam"",""hr"":""Falam"",""fa"":""فلام"",""de"":""Falam"",""es"":""Falam"",""fr"":""Falam"",""ja"":""ファラム"",""it"":""Falam"",""zh-CN"":""法兰"",""tr"":""Falam"",""ru"":""Фалам"",""uk"":""Фалам"",""pl"":""Falam"",""hi"":""फलाम"",""ar"":""فلام""}",2019-10-06T10:08:04,2025-12-02T14:38:56,1,Q1208756
67638,Hakha,2137,14,151,MM,adm1,,,22.64452000,93.61076000,ဟားခါး,20000,Asia/Yangon,"{""br"":""Hakha"",""ko"":""하카"",""pt-BR"":""Hakha"",""pt"":""Hakha"",""nl"":""Hakha"",""hr"":""Hakha"",""fa"":""هاخا"",""de"":""Hakha"",""es"":""Hakha"",""fr"":""Hakha"",""ja"":""ハカ"",""it"":""Hakha"",""zh-CN"":""哈卡"",""tr"":""Hakha"",""ru"":""Хакха"",""uk"":""Хакха"",""pl"":""Hakha"",""hi"":""हखा"",""ar"":""هاكا""}",2019-10-06T10:08:04,2025-12-02T14:38:56,1,Q1208756
67639,Hinthada,2142,07,151,MM,city,,,17.64944000,95.45705000,ဟင်္သာတ,134947,Asia/Yangon,"{""br"":""Hinthada"",""ko"":""힌타다"",""pt-BR"":""Hinthada"",""pt"":""Hinthada"",""nl"":""Hinthada"",""hr"":""Hintada"",""fa"":""هینتادا"",""de"":""Hinthada"",""es"":""Hinthada"",""fr"":""Hinthada"",""ja"":""ヒンタダ"",""it"":""Hinthada"",""zh-CN"":""欣达"",""tr"":""Hinthada"",""ru"":""Хинтада"",""uk"":""Хінтада"",""pl"":""Hinthada"",""hi"":""हिंथदा"",""ar"":""هينتادا""}",2019-10-06T10:08:04,2025-12-02T14:38:56,1,Q1185131
67640,Hpa-An,2133,13,151,MM,adm1,,,16.88953000,97.63482000,ဘားအံ,50000,Asia/Yangon,"{""br"":""Hpa-An"",""ko"":""파안"",""pt-BR"":""Hpa-An"",""pt"":""Hpa-An"",""nl"":""Hpa-An"",""hr"":""Hpa-An"",""fa"":""اچ‌پی‌ای-آن"",""de"":""Hpa-An"",""es"":""Hpa-An"",""fr"":""Hpa-An"",""ja"":""パアン"",""it"":""Hpa-An"",""zh-CN"":""帕安"",""tr"":""Hpa-An"",""ru"":""Хпа-Ан"",""uk"":""Хпа-Ан"",""pl"":""Hpa-An"",""hi"":""HPa-एक"",""ar"":""هبا-آن""}",2019-10-06T10:08:04,2025-12-02T14:39:31,1,Q1209404
