id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
67705,Altai,1972,065,146,MN,adm1,,,46.37222000,96.25833000,Алтай,17617,Asia/Hovd,"{""br"":""Altai"",""ko"":""알타이"",""pt-BR"":""Altai"",""pt"":""Altai"",""nl"":""Altaj"",""hr"":""Altaj"",""fa"":""آلتایی"",""de"":""Altai"",""es"":""Altai"",""fr"":""Altaï"",""ja"":""アルタイ"",""it"":""Altai"",""zh-CN"":""阿尔泰"",""tr"":""Altay"",""ru"":""Алтай"",""uk"":""Алтай"",""pl"":""Ałtaj"",""hi"":""अल्ताई"",""ar"":""ألتاي""}",2019-10-06T10:08:05,2025-12-02T14:39:55,1,Q433861
67706,Altay,1969,071,146,MN,adm2,,,48.29359000,89.51488000,Алтай,0,Asia/Hovd,"{""br"":""Altay"",""ko"":""알타이"",""pt-BR"":""Altai"",""pt"":""Altai"",""nl"":""Altaj"",""hr"":""Altaj"",""fa"":""آلتای"",""de"":""Altay"",""es"":""Altay"",""fr"":""Altaï"",""ja"":""アルタイ"",""it"":""Altai"",""zh-CN"":""阿勒泰"",""tr"":""Altay"",""ru"":""Алтай"",""uk"":""Алтай"",""pl"":""Ałtaj"",""hi"":""अल्ते"",""ar"":""ألتاي""}",2019-10-06T10:08:05,2025-12-02T14:39:55,1,Q2593952
67707,Arvayheer,1965,055,146,MN,adm1,,,46.26389000,102.77500000,Арвайхээр,29420,Asia/Ulaanbaatar,"{""br"":""Arvayheer"",""ko"":""아르바이히르"",""pt-BR"":""Arvayheer"",""pt"":""Arvayheer"",""nl"":""Arvayheer"",""hr"":""Arvayheer"",""fa"":""ارویهیر"",""de"":""Arvayheer"",""es"":""Arvayheer"",""fr"":""Arvayheer"",""ja"":""アルヴァイヒール"",""it"":""Arvayheer"",""zh-CN"":""阿尔瓦希尔"",""tr"":""Arvayheer"",""ru"":""Арвайхир"",""uk"":""Арвайхер"",""pl"":""Arvayheer"",""hi"":""अरवायहीर"",""ar"":""أرفايهير""}",2019-10-06T10:08:05,2025-12-02T14:39:55,1,Q717684
67708,Baruun-Urt,1977,051,146,MN,adm1,,,46.68056000,113.27917000,Баруун-Урт,18190,Asia/Ulaanbaatar,"{""br"":""Baruun-Urt"",""ko"":""바룬-우르트"",""pt-BR"":""Baruun-Urt"",""pt"":""Baruun-Urt"",""nl"":""Baruun-Urt"",""hr"":""Baruun-Urt"",""fa"":""بارون-یورت"",""de"":""Baruun-Urt"",""es"":""Baruun-Urt"",""fr"":""Baruun-Urt"",""ja"":""バルウン・ウルト"",""it"":""Baruun-Urt"",""zh-CN"":""巴伦-乌尔特"",""tr"":""Baruun-Urt"",""ru"":""Баруун-Урт"",""uk"":""Баруун-Урт"",""pl"":""Baruun-Urt"",""hi"":""बरून-उर्त"",""ar"":""بارون-أورت""}",2019-10-06T10:08:05,2025-12-02T14:39:55,1,Q809657
67709,Bayanhongor,1976,069,146,MN,adm1,,,46.19444000,100.71806000,Баянхонгор,30931,Asia/Ulaanbaatar,"{""br"":""Bayanhongor"",""ko"":""바얀홍고르"",""pt-BR"":""Bayanhongor"",""pt"":""Bayanhongor"",""nl"":""Bayanhongor"",""hr"":""Bayanhongor"",""fa"":""بایان‌هونگور"",""de"":""Bayanhongor"",""es"":""Bayanhongor"",""fr"":""Bayanhongor"",""ja"":""バヤンホンゴル"",""it"":""Bayanhongor"",""zh-CN"":""巴彦洪戈尔"",""tr"":""Bayanhongor"",""ru"":""Баянхонгор"",""uk"":""Баянхонгор"",""pl"":""Bayanhongor"",""hi"":""बयन्होंगोर"",""ar"":""بايانهونغور""}",2019-10-06T10:08:05,2025-12-02T14:39:55,1,Q804117
67710,Bulgan,1961,067,146,MN,adm1,,,48.81250000,103.53472000,Булган,17348,Asia/Ulaanbaatar,"{""br"":""Bulgan"",""ko"":""불간"",""pt-BR"":""Bulgan"",""pt"":""Bulgan"",""nl"":""Bulgan"",""hr"":""Bulgan"",""fa"":""بولگان"",""de"":""Bulgan"",""es"":""Bulgan"",""fr"":""Bulgan"",""ja"":""ブルガン"",""it"":""Bulgan"",""zh-CN"":""布尔干"",""tr"":""Bulgar"",""ru"":""Булган"",""uk"":""Булган"",""pl"":""Bulgan"",""hi"":""बुल्गन"",""ar"":""البلجان""}",2019-10-06T10:08:05,2025-12-02T14:39:55,1,Q945055
67711,Choibalsan,1963,061,146,MN,adm1,,,48.07257000,114.53264000,Чойбалсан,38150,Asia/Ulaanbaatar,"{""br"":""Choibalsan"",""ko"":""초이발산"",""pt-BR"":""Choibalsan"",""pt"":""Choibalsan"",""nl"":""Tsjoibalsan"",""hr"":""Čojbalsan"",""fa"":""چویبالسان"",""de"":""Tschoibalsan"",""es"":""Choibalsan"",""fr"":""Choibalsan"",""ja"":""チョイバルサン"",""it"":""Choibalsan"",""zh-CN"":""乔巴山"",""tr"":""Çoybalsan"",""ru"":""Чойбалсан"",""uk"":""Чойбалсан"",""pl"":""Czojbalsan"",""hi"":""चोइबालसन"",""ar"":""تشويبالسان""}",2019-10-06T10:08:05,2025-12-02T14:39:55,1,Q318245
67712,Choyr,1978,064,146,MN,adm1,,,46.36111000,108.36111000,Чойр,10434,Asia/Ulaanbaatar,"{""br"":""Laz-kanañ"",""ko"":""합창단"",""pt-BR"":""Coro"",""pt"":""Coro"",""nl"":""Choyr"",""hr"":""Choyr"",""fa"":""گروه کر"",""de"":""Choyr"",""es"":""Choir"",""fr"":""Choyr"",""ja"":""チョイア"",""it"":""Choyr"",""zh-CN"":""乔伊尔"",""tr"":""Çoyr"",""ru"":""Чойр"",""uk"":""Чойр"",""pl"":""Choyr"",""hi"":""चोयर"",""ar"":""جوقة""}",2019-10-06T10:08:05,2025-12-02T14:39:55,1,Q642346
67713,Dalandzadgad,1967,053,146,MN,adm1,,,43.57083000,104.42500000,Даландзадгад,24863,Asia/Ulaanbaatar,"{""br"":""Dalandzadgad"",""ko"":""달란자드가드"",""pt-BR"":""Dalandzadgad"",""pt"":""Dalandzadgad"",""nl"":""Dalandzadgad"",""hr"":""Dalandzadgad"",""fa"":""دالندزادگاد"",""de"":""Dalandzadgad"",""es"":""Dalandzadgad"",""fr"":""Dalandzadgad"",""ja"":""ダランザドガド"",""it"":""Dalandzadgad"",""zh-CN"":""达兰扎德加德"",""tr"":""Dalandzadgad"",""ru"":""Даландзадгад"",""uk"":""Даландзадгад"",""pl"":""Dalandzadgad"",""hi"":""डालंडज़ादगाद"",""ar"":""دالاندزادجاد""}",2019-10-06T10:08:05,2025-12-02T14:39:55,1,Q822808
67714,Darhan,1962,037,146,MN,adm1,,,49.48667000,105.92278000,Дархан,83883,Asia/Ulaanbaatar,"{""br"":""Darhan"",""ko"":""다르한"",""pt-BR"":""Darhan"",""pt"":""Darhan"",""nl"":""Darhan"",""hr"":""Darhan"",""fa"":""دارمان"",""de"":""Darhan"",""es"":""Darhan"",""fr"":""Darhan"",""ja"":""ダルハン"",""it"":""Darhan"",""zh-CN"":""达尔汗"",""tr"":""Darhan"",""ru"":""Дархан"",""uk"":""Дархан"",""pl"":""Darhan"",""hi"":""डर्हन"",""ar"":""دارهان""}",2019-10-06T10:08:05,2025-12-02T14:39:55,1,Q235571
