id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
154980,Fort-de-France,5398,01,138,MQ,capital,,,14.64924180,-61.10984450,Fort-de-France,,America/Martinique,"{""br"":""Kreñvlec'h Bro-C'hall"",""ko"":""포르드프랑스"",""pt-BR"":""Forte-de-França"",""pt"":""Forte-de-França"",""nl"":""Fort-de-France"",""hr"":""Fort-de-France"",""fa"":""فورت-دو-فرانس"",""de"":""Fort-de-France"",""es"":""Fort-de-France"",""fr"":""Fort-de-France"",""ja"":""フォール・ド・フランス"",""it"":""Fort-de-France"",""zh-CN"":""法兰西堡"",""tr"":""Fort-de-France"",""ru"":""Фор-де-Франс"",""uk"":""Форт-де-Франс"",""pl"":""Fort-de-France"",""hi"":""फोर्ट-डे-फ्रांस"",""ar"":""فورت دو فرانس""}",2025-03-30T02:49:53,2025-12-02T17:11:50,1,Q81621
154981,Le Lamentin,5398,01,138,MQ,city,,,14.62308620,-61.03347490,Le Lamentin,,America/Martinique,"{""br"":""Le Lamentin"",""ko"":""르 라멘틴"",""pt-BR"":""O Lamentin"",""pt"":""O Lamentin"",""nl"":""Le Lamentin"",""hr"":""Le Lamentin"",""fa"":""لو لامنتن"",""de"":""Le Lamentin"",""es"":""El Lamentin"",""fr"":""Le Lamentin"",""ja"":""ル・ラメンタン"",""it"":""Le Lamentin"",""zh-CN"":""拉芒坦"",""tr"":""Le Lamentin"",""ru"":""Ле Ламантен"",""uk"":""Ле Ламентен"",""pl"":""Lamentin"",""hi"":""ले लामेंटिन"",""ar"":""لو لامنتين""}",2025-03-30T02:49:53,2025-12-02T17:11:50,1,Q947069
154982,Saint-Joseph,5398,01,138,MQ,city,,,14.68353400,-61.08186620,Saint-joseph,,America/Martinique,"{""br"":""Sant-Jozef"",""ko"":""성 요셉"",""pt-BR"":""São José"",""pt"":""São José"",""nl"":""Sint-Jozef"",""hr"":""Sveti Josip"",""fa"":""سنت جوزف"",""de"":""Saint-Joseph"",""es"":""San José"",""fr"":""Saint-Joseph"",""ja"":""聖ヨセフ"",""it"":""San Giuseppe"",""zh-CN"":""圣约瑟夫"",""tr"":""Aziz Joseph"",""ru"":""Сен-Жозеф"",""uk"":""Сен-Жозеф"",""pl"":""Święty Józef"",""hi"":""सेंट जोसेफ"",""ar"":""القديس يوسف""}",2025-03-30T02:49:53,2025-12-02T17:11:50,1,Q918737
154983,Schœlcher,5398,01,138,MQ,adm4,,,14.65179970,-61.14128670,Schœlcher,,America/Martinique,"{""br"":""Schœlcher"",""ko"":""숄셰르"",""pt-BR"":""Schoelcher"",""pt"":""Schoelcher"",""nl"":""Schœlcher"",""hr"":""Schœlcher"",""fa"":""شولشر"",""de"":""Schœlcher"",""es"":""Schoelcher"",""fr"":""Schœlcher"",""ja"":""シェルチャー"",""it"":""Schœlcher"",""zh-CN"":""舍尔谢尔"",""tr"":""Okul"",""ru"":""Шельхер"",""uk"":""Шельхер"",""pl"":""Schœlcher"",""hi"":""Schoelcher"",""ar"":""شولشر""}",2025-03-30T02:49:53,2025-12-02T17:11:50,1,Q617806
154984,L'Ajoupa-Bouillon,5399,02,138,MQ,city,,,14.81597180,-61.17170630,L'Ajoupa-Bouillon,,America/Martinique,"{""br"":""L'Ajoupa-Bouillon"",""ko"":""라주파-부용"",""pt-BR"":""Caldo de Ajoupa"",""pt"":""Caldo de Ajoupa"",""nl"":""L'Ajoupa-Bouillon"",""hr"":""L'Ajoupa-Bouillon"",""fa"":""لاژوپا-بویون"",""de"":""L'Ajoupa-Bouillon"",""es"":""L'Ajoupa-Bouillon"",""fr"":""L'Ajoupa-Bouillon"",""ja"":""ラジュパ・ブイヨン"",""it"":""L'Ajoupa-Bouillon"",""zh-CN"":""拉茹帕-布永"",""tr"":""L'Ajoupa-Bulyon"",""ru"":""Л'Ажупа-Буйон"",""uk"":""Л'Ажупа-Буйон"",""pl"":""L'Ajoupa-Bouillon"",""hi"":""एल'अजोपा-बौइलन"",""ar"":""لاجوبا بويون""}",2025-03-30T02:55:03,2025-12-02T17:11:50,1,Q1234080
154985,Basse-Pointe,5399,02,138,MQ,city,,,14.84097080,-61.16485230,Basse-Pointe,,America/Martinique,"{""br"":""Basse-Pointe"",""ko"":""바스 푸앵트"",""pt-BR"":""Basse-Pointe"",""pt"":""Basse-Pointe"",""nl"":""Basse-Pointe"",""hr"":""Basse-Pointe"",""fa"":""باس-پوینت"",""de"":""Basse-Pointe"",""es"":""Punta baja"",""fr"":""Basse-Pointe"",""ja"":""バス・ポイント"",""it"":""Basse-Pointe"",""zh-CN"":""巴塞角"",""tr"":""Basse-Pointe"",""ru"":""Бас-Пуэнт"",""uk"":""Бас-Пуент"",""pl"":""Basse-Pointe"",""hi"":""बासे-पॉइंट"",""ar"":""باس بوانت""}",2025-03-30T02:55:03,2025-12-02T17:11:50,1,Q1648481
154986,Grand'Rivière,5399,02,138,MQ,city,,,14.84696630,-61.20427640,Grand'Rivière,,America/Martinique,"{""br"":""Stêr Veur"",""ko"":""그랑리비에르"",""pt-BR"":""Grande Rio"",""pt"":""Grande Rio"",""nl"":""Grand'Rivière"",""hr"":""Grand'Rivière"",""fa"":""گراند ریویر"",""de"":""Grand'Rivière"",""es"":""Grand'Rivière"",""fr"":""Grand'Rivière"",""ja"":""グランドリヴィエール"",""it"":""Grand'Rivière"",""zh-CN"":""大里维埃"",""tr"":""Grand'Rivière"",""ru"":""Гранд-Ривьер"",""uk"":""Гранд'Рів'єр"",""pl"":""Grand'Rivière"",""hi"":""ग्रैंड'रिविएर"",""ar"":""جراند ريفيير""}",2025-03-30T02:55:03,2025-12-02T17:11:50,1,Q1650045
154987,Gros-Morne,5399,02,138,MQ,adm4,,,14.70841840,-61.11271220,Mameau brutal,,America/Martinique,"{""br"":""Gros-Morne"",""ko"":""그로스-모른"",""pt-BR"":""Gros-Morne"",""pt"":""Gros-Morne"",""nl"":""Gros-Morne"",""hr"":""Gros-Morne"",""fa"":""گروس-مورن"",""de"":""Gros-Morne"",""es"":""Gros-Morne"",""fr"":""Gros-Morne"",""ja"":""グロス・モーン"",""it"":""Gros-Morne"",""zh-CN"":""格罗莫讷"",""tr"":""Gros-Morne"",""ru"":""Грос-Морн"",""uk"":""Грос-Морн"",""pl"":""Gros-Morne"",""hi"":""ग्रोस-मोर्ने"",""ar"":""جروس مورن""}",2025-03-30T02:55:03,2025-12-02T17:11:50,1,Q1778192
154988,Le Lorrain,5399,02,138,MQ,city,,,14.79952560,-61.11513740,Le Lorrain,1815,America/Martinique,"{""br"":""Al Loren"",""ko"":""르 로랭"",""pt-BR"":""Le Lorrain"",""pt"":""Le Lorrain"",""nl"":""De Lorrain"",""hr"":""Le Lorrain"",""fa"":""لو لورین"",""de"":""Le Lorrain"",""es"":""Le Lorrain"",""fr"":""Le Lorrain"",""ja"":""ル・ロラン"",""it"":""Le Lorrain"",""zh-CN"":""勒洛兰"",""tr"":""Le Lorrain"",""ru"":""Ле Лоррен"",""uk"":""Ле Лоррен"",""pl"":""Lotaryngia"",""hi"":""ले लोरेन"",""ar"":""لورين""}",2025-03-30T02:55:03,2025-12-02T14:39:31,1,Q595351
154989,Macouba,5399,02,138,MQ,city,,,14.84743860,-61.16709460,Macouba,,America/Martinique,"{""br"":""Macouba"",""ko"":""마쿠바"",""pt-BR"":""Macouba"",""pt"":""Macouba"",""nl"":""Macouba"",""hr"":""Macouba"",""fa"":""ماکوبا"",""de"":""Macouba"",""es"":""Macouba"",""fr"":""Macouba"",""ja"":""マクバ"",""it"":""Macouba"",""zh-CN"":""马库巴"",""tr"":""Macouba"",""ru"":""Макуба"",""uk"":""Макуба"",""pl"":""Macouba"",""hi"":""मकोबा"",""ar"":""ماكوبا""}",2025-03-30T02:55:03,2025-12-02T17:11:50,1,Q545210
