id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
67743,Aioun,3351,02,139,MR,city,,,16.66140000,-9.61490000,عيون,,Africa/Nouakchott,"{""br"":""Aioun"",""ko"":""아이운"",""pt-BR"":""Aioun"",""pt"":""Aioun"",""nl"":""Aioun"",""hr"":""Aioun"",""fa"":""ایون"",""de"":""Aioun"",""es"":""Aioun"",""fr"":""Aïoun"",""ja"":""アイウン"",""it"":""Aioun"",""zh-CN"":""艾翁"",""tr"":""Aioun"",""ru"":""Аюн"",""uk"":""Айон"",""pl"":""Aioun"",""hi"":""ऐउन"",""ar"":""عيون""}",2019-10-06T10:08:05,2025-12-02T16:59:27,1,Q175596
67744,Akjoujt,3342,12,139,MR,adm1,,,19.74657000,-14.38531000,أكجوجت,18138,Africa/Nouakchott,"{""br"":""Akjoujt"",""ko"":""악주트"",""pt-BR"":""Akjoujt"",""pt"":""Akjoujt"",""nl"":""Akjoujt"",""hr"":""Akjoujt"",""fa"":""آکجوجت"",""de"":""Akjoujt"",""es"":""Akjoujt"",""fr"":""Akjoujt"",""ja"":""アクジョウト"",""it"":""Akjoujt"",""zh-CN"":""阿克朱伊特"",""tr"":""Akjoujt"",""ru"":""Акжужт"",""uk"":""Акжуйт"",""pl"":""Akdżudżt"",""hi"":""अकजौज्त"",""ar"":""أكجوجت""}",2019-10-06T10:08:05,2025-12-02T14:38:56,1,Q175596
67745,Aleg,3339,05,139,MR,adm1,,,17.05314000,-13.91312000,أليج,19183,Africa/Nouakchott,"{""br"":""Aleg"",""ko"":""알레그"",""pt-BR"":""Aleg"",""pt"":""Aleg"",""nl"":""Aleg"",""hr"":""Aleg"",""fa"":""آلگ"",""de"":""Aleg"",""es"":""Aleg"",""fr"":""Aleg"",""ja"":""アレグ"",""it"":""Aleg"",""zh-CN"":""阿莱格"",""tr"":""Aleg"",""ru"":""Алег"",""uk"":""Алег"",""pl"":""Aleg"",""hi"":""एक पांव"",""ar"":""أليج""}",2019-10-06T10:08:05,2025-12-02T14:39:31,1,Q175596
67746,Atar,3344,07,139,MR,adm1,,,20.51770000,-13.04857000,أتار,35170,Africa/Nouakchott,"{""br"":""Atar"",""ko"":""아타르"",""pt-BR"":""Atar"",""pt"":""Atar"",""nl"":""Atar"",""hr"":""Atar"",""fa"":""عطار"",""de"":""Atar"",""es"":""Atar"",""fr"":""Atar"",""ja"":""アタール"",""it"":""Atar"",""zh-CN"":""阿塔尔"",""tr"":""Atar"",""ru"":""Атар"",""uk"":""Атар"",""pl"":""Atar"",""hi"":""अतर"",""ar"":""أتار""}",2019-10-06T10:08:05,2025-12-02T14:38:56,1,Q735645
67747,Barkéwol,3349,03,139,MR,city,,,16.64039000,-12.49849000,باركيول,3622,Africa/Nouakchott,"{""br"":""Barkéwol"",""ko"":""바르케볼"",""pt-BR"":""Barkéwol"",""pt"":""Barkéwol"",""nl"":""Barkéwol"",""hr"":""Barkéwol"",""fa"":""بارکول"",""de"":""Barkéwol"",""es"":""Barkéwol"",""fr"":""Barkéwol"",""ja"":""バルケウォル"",""it"":""Barkéwol"",""zh-CN"":""巴克沃尔"",""tr"":""Barkéwol"",""ru"":""Баркеволь"",""uk"":""Баркевол"",""pl"":""Barkéwol"",""hi"":""बार्केवोल"",""ar"":""باركيول""}",2019-10-06T10:08:05,2025-12-02T14:39:31,1,Q735645
67748,Chingueṭṭi,3344,07,139,MR,city,,,20.46300000,-12.36200000,شنقيط,4711,Africa/Nouakchott,"{""br"":""Chingueṭṭi"",""ko"":""칭게티"",""pt-BR"":""Chingueṭṭi"",""pt"":""Chingueṭṭi"",""nl"":""Chingueṭṭi"",""hr"":""Činguṭṭi"",""fa"":""چینگوتی"",""de"":""Chingueṭṭi"",""es"":""Chingueti"",""fr"":""Chingueṭṭi"",""ja"":""チンゲティ"",""it"":""Chingueṭṭi"",""zh-CN"":""钦格蒂"",""tr"":""Çingueṭṭi"",""ru"":""Чингетти"",""uk"":""Чінгетті"",""pl"":""Chingueṭṭi"",""hi"":""Chinguetti"",""ar"":""شنقيط""}",2019-10-06T10:08:05,2025-12-02T14:39:31,1,Q312357
67749,Kaédi,3341,04,139,MR,adm1,,,16.15027000,-13.50370000,كادي,56283,Africa/Nouakchott,"{""br"":""Kaédi"",""ko"":""카에디"",""pt-BR"":""Kaédi"",""pt"":""Kaédi"",""nl"":""Kaédi"",""hr"":""Kaédi"",""fa"":""کائدی"",""de"":""Kaédi"",""es"":""Kaédi"",""fr"":""Kaédi"",""ja"":""カエディ"",""it"":""Kaédi"",""zh-CN"":""卡埃迪"",""tr"":""Kaedi"",""ru"":""Каэди"",""uk"":""Каеді"",""pl"":""Kaédi"",""hi"":""काएदी"",""ar"":""كادي""}",2019-10-06T10:08:05,2025-12-02T14:38:56,1,Q312357
67750,Kiffa,3349,03,139,MR,adm1,,,16.62073000,-11.40208000,كيفة,62051,Africa/Nouakchott,"{""br"":""Kiffa"",""ko"":""키파"",""pt-BR"":""Kiffa"",""pt"":""Kiffa"",""nl"":""Kiffa"",""hr"":""Kiffa"",""fa"":""کیفا"",""de"":""Kiffa"",""es"":""Kiffa"",""fr"":""Kiffa"",""ja"":""キファ"",""it"":""Kiffa"",""zh-CN"":""基法"",""tr"":""Kiffa"",""ru"":""Киффа"",""uk"":""Кіффа"",""pl"":""Kifa"",""hi"":""किफ़ा"",""ar"":""كيفة""}",2019-10-06T10:08:05,2025-12-02T14:39:31,1,Q492778
67751,Nouadhibou,3346,08,139,MR,adm1,,,20.94188000,-17.03842000,نواذيبو,173525,Africa/Nouakchott,"{""br"":""Nouadhibou"",""ko"":""누아디부"",""pt-BR"":""Nouadhibou"",""pt"":""Nouadhibou"",""nl"":""Nouadhibou"",""hr"":""Nouadhibou"",""fa"":""نوادیبو"",""de"":""Nouadhibou"",""es"":""Nuadibú"",""fr"":""Nouadhibou"",""ja"":""ヌアディブ"",""it"":""Nouadhibou"",""zh-CN"":""努瓦迪布"",""tr"":""Nouadhibou"",""ru"":""Нуадибу"",""uk"":""Нуадібу"",""pl"":""Nawazibu"",""hi"":""नौआदीबौ"",""ar"":""نواذيبو""}",2019-10-06T10:08:05,2025-12-02T14:38:56,1,Q184184
67752,Néma,3338,01,139,MR,adm1,,,16.61702000,-7.25649000,نيما,60000,Africa/Nouakchott,"{""br"":""Néma"",""ko"":""네마"",""pt-BR"":""Nema"",""pt"":""Nema"",""nl"":""Néma"",""hr"":""Néma"",""fa"":""نما"",""de"":""Néma"",""es"":""Néma"",""fr"":""Néma"",""ja"":""ネマ"",""it"":""Néma"",""zh-CN"":""内玛"",""tr"":""Nema"",""ru"":""Нема"",""uk"":""Нема"",""pl"":""Néma"",""hi"":""नेमा"",""ar"":""نيما""}",2019-10-06T10:08:05,2025-12-02T14:39:31,1,Q184184
67753,Rosso,3348,06,139,MR,adm1,,,16.51378000,-15.80503000,روسو,15870,Africa/Nouakchott,"{""br"":""Rosso"",""ko"":""로소"",""pt-BR"":""Rosso"",""pt"":""Rosso"",""nl"":""Rood"",""hr"":""Rosso"",""fa"":""روسو"",""de"":""Rosso"",""es"":""Rojo"",""fr"":""Rouge"",""ja"":""ロッソ"",""it"":""Rosso"",""zh-CN"":""罗索"",""tr"":""Kızıl"",""ru"":""Россо"",""uk"":""Россо"",""pl"":""Rosso"",""hi"":""रोसो"",""ar"":""روسو""}",2019-10-06T10:08:05,2025-12-02T14:39:31,1,Q861580
67754,Sélibaby,3350,10,139,MR,adm1,,,15.15846000,-12.18430000,سيليبابي,32653,Africa/Nouakchott,"{""br"":""Sélibaby"",""ko"":""셀리바비"",""pt-BR"":""Sélibaby"",""pt"":""Sélibaby"",""nl"":""Sélibaby"",""hr"":""Sélibaby"",""fa"":""سلیبابی"",""de"":""Sélibaby"",""es"":""Sélibaby"",""fr"":""Sélibaby"",""ja"":""セリベイビー"",""it"":""Sélibaby"",""zh-CN"":""塞利巴比"",""tr"":""Sélibaby"",""ru"":""Селибаби"",""uk"":""Селібабі"",""pl"":""Sélibaby"",""hi"":""सेलीबेबी"",""ar"":""سيليبابي""}",2019-10-06T10:08:05,2025-12-02T14:38:56,1,Q861580
67755,Tékane,3348,06,139,MR,city,,,16.60175000,-15.34866000,تيكاني,22041,Africa/Nouakchott,"{""br"":""Tékane"",""ko"":""테카네"",""pt-BR"":""Tékane"",""pt"":""Tékane"",""nl"":""Tékane"",""hr"":""Tekane"",""fa"":""تکان"",""de"":""Tékane"",""es"":""Tékane"",""fr"":""Tékane"",""ja"":""テカネ"",""it"":""Tékane"",""zh-CN"":""特卡内"",""tr"":""Tekane"",""ru"":""Текан"",""uk"":""Текан"",""pl"":""Tékane"",""hi"":""टेकाने"",""ar"":""تيكاني""}",2019-10-06T10:08:05,2025-12-02T14:38:56,1,Q861580
67756,Zouerate,3340,11,139,MR,adm1,,,22.73542000,-12.47134000,الزويرات,55183,Africa/Nouakchott,"{""br"":""Zouerate"",""ko"":""주에라테"",""pt-BR"":""Zouerate"",""pt"":""Zouerate"",""nl"":""Zouerate"",""hr"":""Zouerate"",""fa"":""زورات"",""de"":""Zouerate"",""es"":""Zouerate"",""fr"":""Zouerate"",""ja"":""ズエラテ"",""it"":""Zouerato"",""zh-CN"":""祖埃拉特"",""tr"":""Zouerate"",""ru"":""Зуэрат"",""uk"":""Зуерате"",""pl"":""Zouerate"",""hi"":""ज़ौएरेट"",""ar"":""الزويرات""}",2019-10-06T10:08:05,2025-12-02T14:39:31,1,Q227072
