id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
67758,Attard,110,01,135,MT,adm1,,,35.88972000,14.44250000,Attard,12268,Europe/Malta,"{""ar"":""أتارد"",""br"":""Attard"",""de"":""Attard"",""es"":""Attard"",""fa"":""آتارد"",""fr"":""Attard"",""hi"":""अटार्ड"",""hr"":""Attard"",""it"":""Attard"",""ja"":""アタード"",""ko"":""아타드"",""nl"":""Attard"",""pl"":""Attard"",""pt"":""Attard"",""pt-BR"":""Attard"",""ru"":""Аттард"",""tr"":""Attard"",""uk"":""Аттард"",""zh-CN"":""阿塔德""}",2019-10-05T23:08:05,2025-12-02T14:38:56,1,Q44557
67759,Balzan,108,02,135,MT,adm1,,,35.90028000,14.45500000,Balzan,3958,Europe/Malta,"{""ar"":""بلزان"",""br"":""Balzan"",""de"":""Balzan"",""es"":""Balzan"",""fa"":""بالزان"",""fr"":""Balzan"",""hi"":""बाल्ज़न"",""hr"":""Balzan"",""it"":""Balzan"",""ja"":""バルザン"",""ko"":""발잔"",""nl"":""Balzan"",""pl"":""Balzan"",""pt"":""Balzã"",""pt-BR"":""Balzã"",""ru"":""Бальзан"",""tr"":""Balzan"",""uk"":""Бальзан"",""zh-CN"":""巴尔赞""}",2019-10-05T23:08:05,2025-12-02T14:38:56,1,Q789794
67760,Birkirkara,97,04,135,MT,adm1,,,35.89722000,14.46111000,Birkirkara,24356,Europe/Malta,"{""ar"":""بيركيركارا"",""br"":""Birkirkara"",""de"":""Birkirkara"",""es"":""Birkirkara"",""fa"":""بیرکیرکارا"",""fr"":""Birkirkara"",""hi"":""बिर्किर्करा"",""hr"":""Birkirkara"",""it"":""Birkirkara"",""ja"":""ビルキルカラ"",""ko"":""비르키르카라"",""nl"":""Birkirkara"",""pl"":""Birkirkara"",""pt"":""Birkirkara"",""pt-BR"":""Birkirkara"",""ru"":""Биркиркара"",""tr"":""Birkirkara"",""uk"":""Біркіркара"",""zh-CN"":""比尔基卡拉""}",2019-10-05T23:08:05,2025-12-02T14:38:56,1,Q39583
67761,Birżebbuġa,88,05,135,MT,adm1,,,35.82583000,14.52694000,Birżebbuġa,12915,Europe/Malta,"{""ar"":""بيرزيبوغا"",""br"":""Birżebbuġa"",""de"":""Birżebbuġa"",""es"":""Birżebbuġa"",""fa"":""بیرژبوغا"",""fr"":""Birżebbuġa"",""hi"":""बर्ज़ेबुगा"",""hr"":""Birzebbuġa"",""it"":""Birżebbuġa"",""ja"":""ビルゼブジャ"",""ko"":""비르제부가"",""nl"":""Birżebbuġa"",""pl"":""Birżebbuġa"",""pt"":""Birżebbuġa"",""pt-BR"":""Birżebbuġa"",""ru"":""Бирзеббуджа"",""tr"":""Birżebbuġa"",""uk"":""Біржеббуджа"",""zh-CN"":""比尔热布贾""}",2019-10-05T23:08:05,2025-12-02T14:39:31,1,Q258028
67762,Cospicua,138,06,135,MT,adm1,,,35.88556000,14.52750000,Evidenti,6096,Europe/Malta,"{""ar"":""كوسبيكوا"",""br"":""Cospicua"",""de"":""Cospicua"",""es"":""Cospicua"",""fa"":""کاسپیکوا"",""fr"":""Cospicua"",""hi"":""कोस्पिकुआ"",""hr"":""Cospicua"",""it"":""Cospicua"",""ja"":""コスピクア"",""ko"":""코스피쿠아"",""nl"":""Cospicua"",""pl"":""Cospicua"",""pt"":""Cospicua"",""pt-BR"":""Cospicua"",""ru"":""Коспикуа"",""tr"":""Cospicua"",""uk"":""Коспікуа"",""zh-CN"":""科斯皮夸""}",2019-10-05T23:08:05,2025-12-02T14:39:31,1,Q757225
67763,Dingli,117,07,135,MT,adm1,,,35.86139000,14.38222000,Dingli,3608,Europe/Malta,"{""ar"":""دينجلي"",""br"":""Dingli"",""de"":""Dingli"",""es"":""Dingli"",""fa"":""دینگلی"",""fr"":""Dingli"",""hi"":""डिंग्ली"",""hr"":""Dingli"",""it"":""Dingli"",""ja"":""ディングリ"",""ko"":""딩리"",""nl"":""Dingli"",""pl"":""Dingli"",""pt"":""Dingli"",""pt-BR"":""Dingli"",""ru"":""Дингли"",""tr"":""Dingli"",""uk"":""Дінглі"",""zh-CN"":""鼎力""}",2019-10-05T23:08:05,2025-12-02T14:38:56,1,Q905641
67764,Fgura,129,08,135,MT,city,,,35.87028000,14.51333000,Fgura,13066,Europe/Malta,"{""ar"":""فغورا"",""br"":""Fgura"",""de"":""Fgura"",""es"":""Figura"",""fa"":""فگورا"",""fr"":""Fgura"",""hi"":""फ़्गुरा"",""hr"":""Fgura"",""it"":""Figura"",""ja"":""Fgura"",""ko"":""푸구라"",""nl"":""Figuur"",""pl"":""Fgura"",""pt"":""Fgura"",""pt-BR"":""Fgura"",""ru"":""Фгура"",""tr"":""Şekil"",""uk"":""Фгура"",""zh-CN"":""弗古拉""}",2019-10-05T23:08:05,2025-12-02T14:38:56,1,Q44388
67765,Floriana,84,09,135,MT,adm1,,,35.89583000,14.50833000,Floriana,2205,Europe/Malta,"{""ar"":""فلوريانا"",""br"":""Floriana"",""de"":""Floriana"",""es"":""Floriana"",""fa"":""فلوریانا"",""fr"":""Floriana"",""hi"":""फ्लोरिआना"",""hr"":""Florijana"",""it"":""Floriana"",""ja"":""フロリアナ"",""ko"":""플로리아나"",""nl"":""Floriana"",""pl"":""Floriana"",""pt"":""Floriana"",""pt-BR"":""Floriana"",""ru"":""Флориана"",""tr"":""Floriana"",""uk"":""Флоріана"",""zh-CN"":""弗洛里亚娜""}",2019-10-05T23:08:05,2025-12-02T14:38:56,1,Q832807
67766,Fontana,134,10,135,MT,adm1,,,36.03750000,14.23611000,Fontana,922,Europe/Malta,"{""ar"":""فونتانا"",""br"":""Fontana"",""de"":""Fontana"",""es"":""Fontana"",""fa"":""فونتانا"",""fr"":""Fontaine"",""hi"":""फॉन्टाना"",""hr"":""Fontana"",""it"":""Fontana"",""ja"":""フォンタナ"",""ko"":""폰타나"",""nl"":""Fontana"",""pl"":""Fontana"",""pt"":""Fontana"",""pt-BR"":""Fontana"",""ru"":""Фонтана"",""tr"":""Çeşme"",""uk"":""Фонтана"",""zh-CN"":""丰塔纳""}",2019-10-05T23:08:05,2025-12-02T14:38:56,1,Q20924972
67767,Gudja,106,16,135,MT,adm1,,,35.84917000,14.50306000,Gudja,2997,Europe/Malta,"{""ar"":""جودجا"",""br"":""Gudja"",""de"":""Gudja"",""es"":""Gudja"",""fa"":""گودجا"",""fr"":""Gudja"",""hi"":""गुड्जा"",""hr"":""Gudža"",""it"":""Gudja"",""ja"":""グジャ"",""ko"":""구자"",""nl"":""Gudja"",""pl"":""Gudja"",""pt"":""Gudja"",""pt-BR"":""Gudja"",""ru"":""Гуджа"",""tr"":""Gudja"",""uk"":""Гуджа"",""zh-CN"":""古贾""}",2019-10-05T23:08:05,2025-12-02T17:11:50,1,Q1018153
