id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
67826,Albion,3259,BL,140,MU,city,,,-20.20814000,57.40766000,Albion,3254,Indian/Mauritius,"{""br"":""Albion"",""ko"":""앨비온"",""pt-BR"":""Albion"",""pt"":""Albion"",""nl"":""Albion"",""hr"":""Albion"",""fa"":""آلبیون"",""de"":""Albion"",""es"":""Albión"",""fr"":""Albion"",""ja"":""アルビオン"",""it"":""Albione"",""zh-CN"":""阿尔比恩"",""tr"":""Albion"",""ru"":""Альбион"",""uk"":""Альбіон"",""pl"":""Albion"",""hi"":""एल्बियन"",""ar"":""ألبيون""}",2019-10-06T10:08:25,2025-12-02T14:38:56,1,Q27764445
67827,Amaury,3261,RR,140,MU,city,,,-20.13083000,57.65917000,Amaury,2960,Indian/Mauritius,"{""br"":""Amaury"",""ko"":""아마우리"",""pt-BR"":""Amaury"",""pt"":""Amaury"",""nl"":""Amaury"",""hr"":""Amaury"",""fa"":""آموری"",""de"":""Amaury"",""es"":""Amaury"",""fr"":""Amaury"",""ja"":""アマウリー"",""it"":""Amaury"",""zh-CN"":""阿毛里"",""tr"":""Amaury"",""ru"":""Амори"",""uk"":""Аморі"",""pl"":""Amaury"",""hi"":""अमाउरी"",""ar"":""أموري""}",2019-10-06T10:08:25,2025-12-02T14:38:56,1,Q27764414
67828,Arsenal,3250,PA,140,MU,city,,,-20.10556000,57.53528000,Arsenal,2937,Indian/Mauritius,"{""br"":""Arsenal"",""ko"":""병기고"",""pt-BR"":""Arsenal"",""pt"":""Arsenal"",""nl"":""Arsenaal"",""hr"":""Arsenal"",""fa"":""آرسنال"",""de"":""Arsenal"",""es"":""Arsenal"",""fr"":""Arsenal"",""ja"":""アーセナル"",""it"":""Arsenale"",""zh-CN"":""兵工厂"",""tr"":""Cephanelik"",""ru"":""Арсенал"",""uk"":""Арсенал"",""pl"":""Arsenał"",""hi"":""शस्त्रागार"",""ar"":""أرسنال""}",2019-10-06T10:08:25,2025-12-02T14:38:56,1,Q24044132
67829,Baie aux Huîtres,3249,RO,140,MU,city,,,-19.69444000,63.40833000,Oyster bay,2500,Indian/Mauritius,"{""br"":""Ganedigezh an dud"",""ko"":""Baie aux Huîtres"",""pt-BR"":""Baie aux Huîtres"",""pt"":""Baie aux Huîtres"",""nl"":""Baie aux Huîtres"",""hr"":""Baie aux Huîtres"",""fa"":""خلیج او هیترس"",""de"":""Baie aux Huîtres"",""es"":""Baie aux Huîtres"",""fr"":""Baie aux Huîtres"",""ja"":""Baie aux Huîtres"",""it"":""Baie aux Huîtres"",""zh-CN"":""Baie aux Huîtres"",""tr"":""Baie aux Huîtres"",""ru"":""Baie aux Huîtres"",""uk"":""Бей-о-Юітр"",""pl"":""Baie aux Huîtres"",""hi"":""बैए ऑक्स ह्यूट्रेस"",""ar"":""Baie aux Huîtres""}",2019-10-06T10:08:25,2025-12-02T14:38:56,1,Q2879542
67830,Bambous,3259,BL,140,MU,city,,,-20.25667000,57.40611000,Bamboos,15345,Indian/Mauritius,"{""br"":""Bambous"",""ko"":""밤부스"",""pt-BR"":""Bambu"",""pt"":""Bambu"",""nl"":""Bamboe"",""hr"":""Bambus"",""fa"":""بامبو"",""de"":""Bambus"",""es"":""Bambú"",""fr"":""Bambous"",""ja"":""竹"",""it"":""Bambù"",""zh-CN"":""竹子"",""tr"":""Bambu"",""ru"":""Бамбук"",""uk"":""Бамбук"",""pl"":""Bambusowy"",""hi"":""बाँस"",""ar"":""الخيزران""}",2019-10-06T10:08:25,2025-12-02T14:38:56,1,Q431990
67831,Bambous Virieux,3264,GP,140,MU,city,,,-20.34278000,57.75750000,Virgic bamboos,1540,Indian/Mauritius,"{""br"":""Bambous Virieux"",""ko"":""밤부스 비리외"",""pt-BR"":""Bambous Virieux"",""pt"":""Bambous Virieux"",""nl"":""Bamboe Virieux"",""hr"":""Bambous Virieux"",""fa"":""بامبو ویریوکس"",""de"":""Bambous Virieux"",""es"":""Bambú Virieux"",""fr"":""Bambous Virieux"",""ja"":""バンブー・ヴィリュー"",""it"":""Bambous Virieux"",""zh-CN"":""竹子维里厄"",""tr"":""Bambu Virieux"",""ru"":""Бамбук Вирьё"",""uk"":""Бамбус Вір'є"",""pl"":""Bambus Virieux"",""hi"":""बाम्बस विरिएक्स"",""ar"":""بامبوس فيريو""}",2019-10-06T10:08:25,2025-12-02T14:38:56,1,Q27764389
67832,Beau Bassin-Rose Hill,3263,PW,140,MU,adm1,,,-20.23325000,57.46609000,Beautiful Hill Rose Basin,111355,Indian/Mauritius,"{""br"":""Beau Bassin-Rose Hill"",""ko"":""보 바신-로즈 힐"",""pt-BR"":""Beau Bassin-Rose Hill"",""pt"":""Beau Bassin-Rose Hill"",""nl"":""Beau Bassin-Rose Hill"",""hr"":""Beau Bassin-Rose Hill"",""fa"":""بو بسین-رز هیل"",""de"":""Beau Bassin-Rose Hill"",""es"":""Beau Bassin-Rose Hill"",""fr"":""Beau Bassin-Rose Hill"",""ja"":""ボー・バッサン・ローズ・ヒル"",""it"":""Beau Bassin-Rose Hill"",""zh-CN"":""博巴辛-玫瑰山"",""tr"":""Beau Bassin-Rose Hill"",""ru"":""Бо-Бассен-Роз-Хилл"",""uk"":""Бо Бассін-Роуз Гілл"",""pl"":""Beau Bassin-Rose Hill"",""hi"":""ब्यू बेसिन-रोज़ हिल"",""ar"":""بو باسين-روز هيل""}",2019-10-06T10:08:25,2025-12-02T14:38:56,1,Q813337
67833,Beau Vallon,3264,GP,140,MU,city,,,-20.41889000,57.69528000,Beautiful valley,1000,Indian/Mauritius,"{""br"":""Beau Vallon"",""ko"":""보 발롱"",""pt-BR"":""Beau Vallon"",""pt"":""Beau Vallon"",""nl"":""Beau Vallon"",""hr"":""Beau Vallon"",""fa"":""بو والون"",""de"":""Beau Vallon"",""es"":""Beau Vallon"",""fr"":""Beau Vallon"",""ja"":""ボー・ヴァロン"",""it"":""Beau Vallon"",""zh-CN"":""博瓦隆"",""tr"":""Beau Vallon"",""ru"":""Бо Валлон"",""uk"":""Бо-Валлон"",""pl"":""Beau Vallon"",""hi"":""ब्यू वैलोन"",""ar"":""بو فالون""}",2019-10-06T10:08:25,2025-12-02T14:39:31,1,Q813347
67834,Bel Air Rivière Sèche,3254,FL,140,MU,city,,,-20.25777000,57.74976000,Bel Air Rivière Dry,18036,Indian/Mauritius,"{""br"":""Bel Air Rivière Sèche"",""ko"":""벨 에어 리비에르 세셰"",""pt-BR"":""Bel Air Rivière Sèche"",""pt"":""Bel Air Rivière Sèche"",""nl"":""Bel Air Rivière Sèche"",""hr"":""Bel Air Rivière Sèche"",""fa"":""بل ایر ریویر سش"",""de"":""Bel Air Rivière Sèche"",""es"":""Bel Air Rivière Sèche"",""fr"":""Bel Air Rivière Sèche"",""ja"":""ベルエア リヴィエール セッシュ"",""it"":""Bel Air Rivière Sèche"",""zh-CN"":""贝莱尔里维埃雷塞什"",""tr"":""Bel Air Rivière Sèche"",""ru"":""Bel Air Rivière Sèche"",""uk"":""Бель-Ейр Рів'єр-Сеш"",""pl"":""Bel Air Rivière Sèche"",""hi"":""बेल एयर रिविएर सेचे"",""ar"":""بيل إير ريفيير سيش""}",2019-10-06T10:08:25,2025-12-02T14:38:56,1,Q4881723
67835,Bois des Amourettes,3264,GP,140,MU,city,,,-20.36306000,57.73111000,Lovers,1986,Indian/Mauritius,"{""br"":""Bois an Amourettes"",""ko"":""부아 데 아모레트"",""pt-BR"":""Bois des Amourettes"",""pt"":""Bois des Amourettes"",""nl"":""Bos van Amourettes"",""hr"":""Šuma ljubitelja"",""fa"":""جنگل‌های آمورِت"",""de"":""Bois des Amourettes"",""es"":""Bosque de los Amourettes"",""fr"":""Bois des Amourettes"",""ja"":""ボワ・デ・ザムレット"",""it"":""Bois des Amourettes"",""zh-CN"":""恋人森林"",""tr"":""Amourettes Ormanı"",""ru"":""Bois des Amourettes"",""uk"":""Буа-де-Амуретс"",""pl"":""Bois des Amourettes"",""hi"":""बोइस डेस अमोरेट्स"",""ar"":""غابة الأموريت""}",2019-10-06T10:08:25,2025-12-02T14:38:56,1,Q27763578
67836,Bon Accueil,3254,FL,140,MU,city,,,-20.17083000,57.65639000,Welcome,2912,Indian/Mauritius,"{""br"":""Bon Accueil"",""ko"":""본 아큐에일"",""pt-BR"":""Bom Início"",""pt"":""Bom Início"",""nl"":""Goede thuis"",""hr"":""Dobar dom"",""fa"":""خوش حساب"",""de"":""Guten Tag"",""es"":""Buen inicio"",""fr"":""Bon Accueil"",""ja"":""ボン・アキュイユ"",""it"":""Buon Accueil"",""zh-CN"":""好阿库埃伊"",""tr"":""Bon Accueil"",""ru"":""Bon Accueil"",""uk"":""Добрий дім"",""pl"":""Bon Accueil"",""hi"":""बॉन होम्स"",""ar"":""أهلا وسهلا بك""}",2019-10-06T10:08:25,2025-12-02T14:39:31,1,Q27763580
67837,Brisée Verdière,3254,FL,140,MU,city,,,-20.16389000,57.64667000,Broken Verdière,7696,Indian/Mauritius,"{""br"":""Brisée Verdière"",""ko"":""브리제 베르디에르"",""pt-BR"":""Brisée Verdière"",""pt"":""Brisée Verdière"",""nl"":""Brisée Verdière"",""hr"":""Brisée Verdière"",""fa"":""بریسی وردیه"",""de"":""Brisée Verdière"",""es"":""Brisée Verdière"",""fr"":""Brisée Verdière"",""ja"":""ブリゼ・ヴェルディエール"",""it"":""Brisée Verdière"",""zh-CN"":""布里塞·韦尔迪埃"",""tr"":""Brisée Verdière"",""ru"":""Бризе Вердьер"",""uk"":""Брізе Вердьєр"",""pl"":""Brisée Verdière"",""hi"":""ब्रिसी वर्डिएरे"",""ar"":""بريسي فيرديير""}",2019-10-06T10:08:25,2025-12-02T14:38:56,1,Q25406451
67838,Calebasses,3250,PA,140,MU,city,,,-20.11167000,57.55389000,Calabashes,4816,Indian/Mauritius,"{""br"":""Kalebasoù"",""ko"":""칼레바스"",""pt-BR"":""Calebasses"",""pt"":""Calebasses"",""nl"":""Kalebassen"",""hr"":""Kalebasi"",""fa"":""کالباس‌ها"",""de"":""Kalebasse"",""es"":""Calabazas"",""fr"":""Calebasses"",""ja"":""カレバス"",""it"":""Calebasses"",""zh-CN"":""卡莱巴斯"",""tr"":""Kalebaslar"",""ru"":""Калебасы"",""uk"":""Калебаси"",""pl"":""Calebasses"",""hi"":""कैलेबेस"",""ar"":""كاليباس""}",2019-10-06T10:08:25,2025-12-02T14:38:56,1,Q27764358
67839,Camp Diable,3257,SA,140,MU,city,,,-20.46278000,57.57889000,Devil camp,5082,Indian/Mauritius,"{""br"":""Kamp Diable"",""ko"":""캠프 디아블"",""pt-BR"":""Acampamento Diable"",""pt"":""Acampamento Diable"",""nl"":""Kamp Diable"",""hr"":""Kamp Diable"",""fa"":""کمپ دیابل"",""de"":""Camp Diable"",""es"":""Campamento Diablo"",""fr"":""Camp du Diable"",""ja"":""キャンプ・ディアブル"",""it"":""Campo Diable"",""zh-CN"":""魔鬼营"",""tr"":""Kamp Şeytanı"",""ru"":""Лагерь Дьявола"",""uk"":""Табір Діабл"",""pl"":""Obóz Diable"",""hi"":""कैंप डायबल"",""ar"":""معسكر ديابل""}",2019-10-06T10:08:25,2025-12-02T14:38:56,1,Q27763595
67840,Camp Ithier,3254,FL,140,MU,city,,,-20.21583000,57.74556000,Camp Ithier,4401,Indian/Mauritius,"{""br"":""Kamp Ithier"",""ko"":""캠프 이티어"",""pt-BR"":""Acampamento Ithier"",""pt"":""Acampamento Ithier"",""nl"":""Kamp Ithier"",""hr"":""Kamp Ithier"",""fa"":""کمپ ایتیر"",""de"":""Lager Ithier"",""es"":""Campamento Ithier"",""fr"":""Camp Ithier"",""ja"":""キャンプ・イティエ"",""it"":""Campo Ithier"",""zh-CN"":""伊蒂尔营地"",""tr"":""Kamp Ithier"",""ru"":""Лагерь Итьер"",""uk"":""Табір Ітьєр"",""pl"":""Obóz Ithier"",""hi"":""कैंप इथियर"",""ar"":""معسكر إيثير""}",2019-10-06T10:08:25,2025-12-02T14:38:56,1,Q27764406
67841,Camp Thorel,3253,MO,140,MU,city,,,-20.21472000,57.61611000,Camp Thorel,2299,Indian/Mauritius,"{""br"":""Kamp Thorel"",""ko"":""캠프 토렐"",""pt-BR"":""Acampamento Thorel"",""pt"":""Acampamento Thorel"",""nl"":""Kamp Thorel"",""hr"":""Kamp Thorel"",""fa"":""کمپ تورل"",""de"":""Lager Thorel"",""es"":""Campamento Thorel"",""fr"":""Camp Thorel"",""ja"":""キャンプ・ソレル"",""it"":""Campo Thorel"",""zh-CN"":""索雷尔营"",""tr"":""Thorel Kampı"",""ru"":""Лагерь Торел"",""uk"":""Табір Торел"",""pl"":""Obóz Thorel"",""hi"":""कैंप थोरेल"",""ar"":""معسكر ثوريل""}",2019-10-06T10:08:25,2025-12-02T14:38:56,1,Q27763596
67842,Camp de Masque,3254,FL,140,MU,city,,,-20.23694000,57.66333000,Mask camp,2721,Indian/Mauritius,"{""br"":""Kamp ar Mask"",""ko"":""캠프 드 마스크"",""pt-BR"":""Acampamento de Máscaras"",""pt"":""Acampamento de Máscaras"",""nl"":""Camp de Masque"",""hr"":""Kamp maski"",""fa"":""کمپ دو ماسک"",""de"":""Camp de Masque"",""es"":""Campamento de máscaras"",""fr"":""Camp de Masque"",""ja"":""キャンプ・デ・マスク"",""it"":""Campo di Maschera"",""zh-CN"":""假面营"",""tr"":""Maske Kampı"",""ru"":""Лагерь Маск"",""uk"":""Табір масок"",""pl"":""Obóz Masque"",""hi"":""कैंप डे मास्क"",""ar"":""معسكر القناع""}",2019-10-06T10:08:25,2025-12-02T17:11:50,1,Q27763594
67843,Cap Malheureux,3261,RR,140,MU,city,,,-19.98417000,57.61417000,Unhappy,5070,Indian/Mauritius,"{""br"":""Cap Malheureux"",""ko"":""캡 말뢰르"",""pt-BR"":""Cabo Malheureux"",""pt"":""Cabo Malheureux"",""nl"":""Kaap Malheureux"",""hr"":""Cap Malheureux"",""fa"":""کلاه مالهورو"",""de"":""Cap Malheureux"",""es"":""Cabo Malheureux"",""fr"":""Cap Malheureux"",""ja"":""キャップ・マルルー"",""it"":""Cap Malheureux"",""zh-CN"":""马勒勒角"",""tr"":""Cap Malheureux"",""ru"":""Кап Малёрё"",""uk"":""Кап Малере"",""pl"":""Przylądek Malheureux"",""hi"":""कैप माल्हेरेक्स"",""ar"":""كاب مالهيورو""}",2019-10-06T10:08:25,2025-12-02T14:38:56,1,Q130238
67844,Cargados Carajos,3251,CC,140,MU,adm1,,,-16.60329000,59.65851000,Loaded caragos,63,Indian/Mauritius,"{""br"":""Cargados Carajos"",""ko"":""카르가도스 카라호스"",""pt-BR"":""Cargados Carajos"",""pt"":""Cargados Carajos"",""nl"":""Cargados Carajos"",""hr"":""Cargados Carajos"",""fa"":""کارگادوس کاراخوس"",""de"":""Cargados Carajos"",""es"":""Cargados Carajos"",""fr"":""Cargados Carajos"",""ja"":""カルガドス・カラホス"",""it"":""Cargados Carajos"",""zh-CN"":""卡拉霍斯船"",""tr"":""Cargados Carajos"",""ru"":""Каргадос Карахос"",""uk"":""Каргадос Карахос"",""pl"":""Cargados Carajos"",""hi"":""कार्गाडोस कैराजोस"",""ar"":""كارغادوس كاراخوس""}",2019-10-06T10:08:25,2025-12-02T14:38:56,1,Q130238
67845,Cascavelle,3259,BL,140,MU,city,,,-20.28694000,57.40722000,Cascavelle,2613,Indian/Mauritius,"{""br"":""Cascavelle"",""ko"":""카스카벨"",""pt-BR"":""Cascavel"",""pt"":""Cascavel"",""nl"":""Cascavelle"",""hr"":""Cascavelle"",""fa"":""کاسکاول"",""de"":""Cascavelle"",""es"":""Cascavelle"",""fr"":""Cascavelle"",""ja"":""カスカヴェル"",""it"":""Cascavelle"",""zh-CN"":""卡斯卡维尔"",""tr"":""Cascavelle"",""ru"":""Каскавель"",""uk"":""Каскавелле"",""pl"":""Cascavelle"",""hi"":""कास्कावेले"",""ar"":""كاسكافيل""}",2019-10-06T10:08:25,2025-12-02T14:38:56,1,Q27763604
67846,Centre de Flacq,3254,FL,140,MU,adm1,,,-20.18972000,57.71444000,Flacq center,15791,Indian/Mauritius,"{""br"":""Kreizenn Flacq"",""ko"":""센터 드 플라크"",""pt-BR"":""Centro de Flacq"",""pt"":""Centro de Flacq"",""nl"":""Centrum van Flacq"",""hr"":""Centar Flacqa"",""fa"":""مرکز فلاک"",""de"":""Zentrum von Flacq"",""es"":""Centro de Flacq"",""fr"":""Centre de Flacq"",""ja"":""フラックセンター"",""it"":""Centro di Flacq"",""zh-CN"":""弗拉克中心"",""tr"":""Flacq Merkezi"",""ru"":""Центр Флакка"",""uk"":""Центр Флака"",""pl"":""Centrum Flacq"",""hi"":""सेंटर डे फ्लैक"",""ar"":""مركز فلاك""}",2019-10-06T10:08:25,2025-12-02T14:38:56,1,Q1054191
67847,Chamouny,3257,SA,140,MU,city,,,-20.48222000,57.46611000,Crani,4913,Indian/Mauritius,"{""br"":""Chamouny"",""ko"":""샤무니"",""pt-BR"":""Chamouny"",""pt"":""Chamouny"",""nl"":""Chamouny"",""hr"":""Chamouny"",""fa"":""شامونی"",""de"":""Chamouny"",""es"":""Chamouny"",""fr"":""Chamouny"",""ja"":""シャムニー"",""it"":""Chamouny"",""zh-CN"":""夏蒙尼"",""tr"":""Şamuan"",""ru"":""Шамуни"",""uk"":""Шамуні"",""pl"":""Chamouny"",""hi"":""चामौनी"",""ar"":""شاموني""}",2019-10-06T10:08:25,2025-12-02T14:38:56,1,Q27763611
