id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
67923,Dhidhdhoo,2586,07,133,MV,adm1,,,6.88744000,73.11402000,މޮޑެއާ,3039,Indian/Maldives,"{""ar"":""ديهدهو"",""br"":""Dhidhdhoo"",""de"":""Dhidhdhoo"",""es"":""Dhidhdhoo"",""fa"":""دهیدهو"",""fr"":""Dhidhdhoo"",""hi"":""धिधधू"",""hr"":""Dhidhdhoo"",""it"":""Dhidhdhoo"",""ja"":""ディドゥ"",""ko"":""디드두"",""nl"":""Dhidhdhoo"",""pl"":""Dhidhdhoo"",""pt"":""Dhidhdhoo"",""pt-BR"":""Dhidhdhoo"",""ru"":""Дхиддху"",""tr"":""Dhidhdhoo"",""uk"":""Дідхду"",""zh-CN"":""迪德胡""}",2019-10-05T23:08:25,2025-12-02T14:39:31,1,Q641130
67924,Felidhoo,2584,04,133,MV,adm1,,,3.47182000,73.54699000,ފެލިދޫ,541,Indian/Maldives,"{""ar"":""فيليدو"",""br"":""Felidhoo"",""de"":""Felidhoo"",""es"":""Felidhoo"",""fa"":""فلیدهو"",""fr"":""Felidhoo"",""hi"":""फेलिडू"",""hr"":""Felidhoo"",""it"":""Felidhoo"",""ja"":""フェリドゥ"",""ko"":""펠리두"",""nl"":""Felidhoo"",""pl"":""Felidhoo"",""pt"":""Felidhoo"",""pt-BR"":""Felidhoo"",""ru"":""Фелидху"",""tr"":""Felidhoo"",""uk"":""Фелідху"",""zh-CN"":""费利杜""}",2019-10-05T23:08:25,2025-12-02T14:39:31,1,Q4043243
67925,Fonadhoo,2601,05,133,MV,adm1,,,1.83243000,73.50257000,ފޯއެނޫއޯ,1773,Indian/Maldives,"{""ar"":""فونادهو"",""br"":""Fonadhoo"",""de"":""Fonadhoo"",""es"":""Fonadhoo"",""fa"":""فونادو"",""fr"":""Fonadhoo"",""hi"":""फोनाधू"",""hr"":""Fonadhoo"",""it"":""Fonadhoo"",""ja"":""フォナドゥ"",""ko"":""포나두"",""nl"":""Fonadhoo"",""pl"":""Fonadhoo"",""pt"":""Fonadhoo"",""pt-BR"":""Fonadhoo"",""ru"":""Фонду"",""tr"":""Fonadhoo"",""uk"":""Фонадху"",""zh-CN"":""福纳杜""}",2019-10-05T23:08:25,2025-12-02T14:39:31,1,Q4043243
67926,Funadhoo,2585,24,133,MV,adm1,,,6.15091000,73.29013000,ފުނަދުދޫ,2900,Indian/Maldives,"{""ar"":""فونادهو"",""br"":""Funadhoo"",""de"":""Funadhoo"",""es"":""Funadhoo"",""fa"":""فونادهو"",""fr"":""Funadhoo"",""hi"":""फुनाद्हू"",""hr"":""Funadhoo"",""it"":""Funadhoo"",""ja"":""フナドゥー"",""ko"":""푸나두"",""nl"":""Funadhoo"",""pl"":""Funadhoo"",""pt"":""Funadhoo"",""pt-BR"":""Funadhoo"",""ru"":""Фунадху"",""tr"":""Funadhoo"",""uk"":""Фунадху"",""zh-CN"":""富纳杜""}",2019-10-05T23:08:25,2025-12-02T14:39:31,1,Q4175766
67927,Fuvahmulah,2595,29,133,MV,adm1,,,-0.29878000,73.42403000,ފުވައްމުލައް,11140,Indian/Maldives,"{""ar"":""فوفامولاه"",""br"":""Fuvahmulah"",""de"":""Fuvahmulah"",""es"":""Fuvahmulah"",""fa"":""فواحموله"",""fr"":""Fuvahmulah"",""hi"":""फ़ुवाहमुला"",""hr"":""Fuvahmulah"",""it"":""Fuvahmulah"",""ja"":""フヴァフムラ"",""ko"":""푸바물라"",""nl"":""Fuvahmulah"",""pl"":""Fuvammulah"",""pt"":""Fuvahmulah"",""pt-BR"":""Fuvahmulah"",""ru"":""Фувахмулах"",""tr"":""Fuvahmulah"",""uk"":""Фувахмула"",""zh-CN"":""富瓦穆拉""}",2019-10-05T23:08:25,2025-12-02T14:39:31,1,Q2060910
67928,Guraidhoo,2596,26,133,MV,city,,,3.90045000,73.46623000,ގުރައިދުދޫ,1800,Indian/Maldives,"{""ar"":""غوريدهو"",""br"":""Guraidhoo"",""de"":""Guraidhoo"",""es"":""Guraidhoo"",""fa"":""گورایدهو"",""fr"":""Guraidhoo"",""hi"":""गुरैधू"",""hr"":""Guraidhoo"",""it"":""Guraidhoo"",""ja"":""グライドゥ"",""ko"":""구라이두"",""nl"":""Guraidhoo"",""pl"":""Guraidhoo"",""pt"":""Guraidhoo"",""pt-BR"":""Guraidhoo"",""ru"":""Гурайдо"",""tr"":""Guraidhoo"",""uk"":""Гурайду"",""zh-CN"":""古拉德胡""}",2019-10-05T23:08:25,2025-12-02T14:39:31,1,Q2060910
67929,Hithadhoo,2594,01,133,MV,adm1,,,-0.60000000,73.08333000,ހިޓާއޫއޫ,9927,Indian/Maldives,"{""ar"":""هيثادهو"",""br"":""Hithadhoo"",""de"":""Hithadhoo"",""es"":""Hithadhoo"",""fa"":""هیتادو"",""fr"":""Hithadhoo"",""hi"":""हितधू"",""hr"":""Hithadhoo"",""it"":""Hithadhoo"",""ja"":""ヒタドゥー"",""ko"":""히타두"",""nl"":""Hithadhoo"",""pl"":""Hithadhoo"",""pt"":""Hithadhoo"",""pt-BR"":""Hithadhoo"",""ru"":""Хитадху"",""tr"":""Hithadhoo"",""uk"":""Хітадху"",""zh-CN"":""希塔杜""}",2019-10-05T23:08:25,2025-12-02T14:39:31,1,Q2060910
67930,Hulhumale,2596,26,133,MV,city,,,4.21169000,73.54008000,ހުލްހޫމަލޭ,5000,Indian/Maldives,"{""ar"":""هولهومالي"",""br"":""Hulhumale"",""de"":""Hulhumale"",""es"":""Hulhumale"",""fa"":""هولهوماله"",""fr"":""Hulhumalé"",""hi"":""हुलहुमाले"",""hr"":""Hulhumale"",""it"":""Hulhumale"",""ja"":""フルフマレ"",""ko"":""훌루말레"",""nl"":""Hulhumale"",""pl"":""Hulhumale"",""pt"":""Hulhumale"",""pt-BR"":""Hulhumale"",""ru"":""Хулхумале"",""tr"":""Hulhumale"",""uk"":""Хулхумале"",""zh-CN"":""胡鲁马累""}",2019-10-05T23:08:25,2025-12-02T14:39:31,1,Q1636296
67931,Kudahuvadhoo,2590,17,133,MV,adm1,,,2.67075000,72.89437000,ކުޑަހުވައްދޫ,1562,Indian/Maldives,"{""ar"":""كوداهوفادهو"",""br"":""Kudahuvadhoo"",""de"":""Kudahuvadhoo"",""es"":""Kudahuvadhoo"",""fa"":""کوداهوادو"",""fr"":""Kudahuvadhoo"",""hi"":""Kudahuvadhoo"",""hr"":""Kudahuvadhoo"",""it"":""Kudahuvadhoo"",""ja"":""クダフヴァドゥ"",""ko"":""쿠다후바두"",""nl"":""Kudahuvadhoo"",""pl"":""Kudahuvadhoo"",""pt"":""Kudahuvadhoo"",""pt-BR"":""Kudahuvadhoo"",""ru"":""Кудахувадху"",""tr"":""Kudahuvadhoo"",""uk"":""Кудахувадху"",""zh-CN"":""库达胡瓦杜""}",2019-10-05T23:08:25,2025-12-02T14:39:31,1,Q2339256
67932,Kulhudhuffushi,2597,23,133,MV,adm1,,,6.62207000,73.06998000,ކުލް.,9500,Indian/Maldives,"{""ar"":""كولهودوفوشي"",""br"":""Kulhudhuffushi"",""de"":""Kulhudhuffushi"",""es"":""Kulhudhuffushi"",""fa"":""کولهودوفوشی"",""fr"":""Kulhudhuffushi"",""hi"":""कुलहुधुफ़ुशी"",""hr"":""Kulhudhuffushi"",""it"":""Kulhudhuffushi"",""ja"":""クルフドゥフシ"",""ko"":""쿨후두푸시"",""nl"":""Kulhudhuffushi"",""pl"":""Kulhudhuffushi"",""pt"":""Kulhudhuffushi"",""pt-BR"":""Kulhudhuffushi"",""ru"":""Кулхудхуффуши"",""tr"":""Kulhudhuffushi"",""uk"":""Кулхудуффуші"",""zh-CN"":""库尔胡杜夫西""}",2019-10-05T23:08:25,2025-12-02T14:39:31,1,Q3185775
