id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
76409,Alor Gajah,1941,04,132,MY,city,,,2.38040000,102.20890000,Alor Gajah,20163,Asia/Kuala_Lumpur,"{""br"":""Alor Gajah"",""ko"":""알로르 가자"",""pt-BR"":""Alor Gajah"",""pt"":""Alor Gajah"",""nl"":""Alor Gajah"",""hr"":""Alor Gajah"",""fa"":""آلور گاجه"",""de"":""Alor Gajah"",""es"":""Alor Gajah"",""fr"":""Alor Gajah"",""ja"":""アロール・ガジャ"",""it"":""Alor Gajah"",""zh-CN"":""亚罗牙也"",""tr"":""Alor Gajah"",""ru"":""Алор Гаджа"",""uk"":""Алор Гаджах"",""pl"":""Alor Gajah"",""hi"":""अलोर गजह"",""ar"":""ألور جاجاه""}",2019-10-06T10:10:34,2025-12-02T14:38:56,1,Q2251607
76410,Alor Setar,1947,02,132,MY,adm1,,,6.12104000,100.36014000,Alor Setar,417800,Asia/Kuala_Lumpur,"{""br"":""Alor Setar"",""ko"":""알로르 세타르"",""pt-BR"":""Alor Setar"",""pt"":""Alor Setar"",""nl"":""Alor Setar"",""hr"":""Alor Setar"",""fa"":""سه تار آلور"",""de"":""Alor Setar"",""es"":""Alor Setar"",""fr"":""Alor Setar"",""ja"":""アロールスター"",""it"":""Alor Setar"",""zh-CN"":""亚罗士打"",""tr"":""Alor Setar"",""ru"":""Алор Сетар"",""uk"":""Алор Сетар"",""pl"":""Alor Setar"",""hi"":""अलोर सेटर"",""ar"":""ألور سيتار""}",2019-10-06T10:10:34,2025-12-02T14:39:31,1,Q474868
76411,Ampang,1944,10,132,MY,city,,,3.15000000,101.76667000,Ampang,126285,Asia/Kuala_Lumpur,"{""br"":""Ampang"",""ko"":""암팡"",""pt-BR"":""Ampang"",""pt"":""Ampang"",""nl"":""Ampang"",""hr"":""Ampang"",""fa"":""آمپانگ"",""de"":""Ampang"",""es"":""Ampang"",""fr"":""Ampang"",""ja"":""アンパン"",""it"":""Ampang"",""zh-CN"":""安邦"",""tr"":""Ampang"",""ru"":""Ампанг"",""uk"":""Ампанг"",""pl"":""Ampang"",""hi"":""अम्पांग"",""ar"":""أمبانج""}",2019-10-06T10:10:34,2025-12-02T14:39:31,1,Q474868
76412,Ayer Hangat,1947,02,132,MY,city,,,6.42062000,99.82199000,Ayer Hangat,10000,Asia/Kuala_Lumpur,"{""br"":""Ayer Hangat"",""ko"":""아이르 항갓"",""pt-BR"":""Ayer Hangat"",""pt"":""Ayer Hangat"",""nl"":""Ayer Hangat"",""hr"":""Ayer Hangat"",""fa"":""آیر هانگت"",""de"":""Ayer Hangat"",""es"":""Ayer Hangat"",""fr"":""Ayer Hangat"",""ja"":""アイヤー・ハンガット"",""it"":""Ayer Hangat"",""zh-CN"":""亚逸杭加"",""tr"":""Ayer Hangat"",""ru"":""Айер Хангат"",""uk"":""Айєр Хангат"",""pl"":""Ayer Hangat"",""hi"":""आयर हंगत"",""ar"":""آير هانجات""}",2019-10-06T10:10:34,2025-12-02T14:38:56,1,Q474868
76413,Bagan Pulau Ketam,1944,10,132,MY,city,,,3.01667000,101.26667000,Bagan Pulau Ketam,2000,Asia/Kuala_Lumpur,"{""br"":""Bagan Pulau Ketam"",""ko"":""바간 풀라우 케탐"",""pt-BR"":""Bagan Pulau Ketam"",""pt"":""Bagan Pulau Ketam"",""nl"":""Bagan Pulau Ketam"",""hr"":""Bagan Pulau Ketam"",""fa"":""باگان پولائو کتام"",""de"":""Bagan Pulau Ketam"",""es"":""Bagan Pulau Ketam"",""fr"":""Bagan Pulau Ketam"",""ja"":""バガン プラウ ケタム"",""it"":""Bagan Pulau Ketam"",""zh-CN"":""巴眼吉胆岛"",""tr"":""Bagan Pulau Ketam"",""ru"":""Bagan Pulau Ketam"",""uk"":""Баган Пулау Кетам"",""pl"":""Bagan Pulau Ketam"",""hi"":""बागान पुलाऊ केतम"",""ar"":""باغان بولاو كيتام""}",2019-10-06T10:10:34,2025-12-02T14:38:56,1,Q474868
76414,Bagan Serai,1943,08,132,MY,city,,,5.01080000,100.54101000,Bagan Serai,20476,Asia/Kuala_Lumpur,"{""br"":""Bagan Serai"",""ko"":""바간 세라이"",""pt-BR"":""Bagan Serai"",""pt"":""Bagan Serai"",""nl"":""Bagan Serai"",""hr"":""Bagan Serai"",""fa"":""سرای باگان"",""de"":""Bagan Serai"",""es"":""Serai de Bagan"",""fr"":""Bagan Serai"",""ja"":""バガンセライ"",""it"":""Bagan Serai"",""zh-CN"":""巴眼士乃"",""tr"":""Bagan Sarayı"",""ru"":""Баган Серай"",""uk"":""Баган Серай"",""pl"":""Bagan Serai"",""hi"":""बागान सेराई"",""ar"":""باغان سيراي""}",2019-10-06T10:10:34,2025-12-02T14:38:56,1,Q474868
76415,Bahau,1948,05,132,MY,city,,,2.80790000,102.40490000,Bahau,31273,Asia/Kuala_Lumpur,"{""br"":""Bahau"",""ko"":""바하우"",""pt-BR"":""Bahau"",""pt"":""Bahau"",""nl"":""Bahau"",""hr"":""Bahau"",""fa"":""بهائو"",""de"":""Bahau"",""es"":""Bahau"",""fr"":""Bahau"",""ja"":""バハウ"",""it"":""Bahau"",""zh-CN"":""马口"",""tr"":""Bahau"",""ru"":""Бахау"",""uk"":""Бахау"",""pl"":""Bahau"",""hi"":""बहाउ"",""ar"":""بهاو""}",2019-10-06T10:10:34,2025-12-02T14:38:56,1,Q2246812
76416,Bakri,1950,01,132,MY,city,,,2.04410000,102.65270000,Bakri,30280,Asia/Kuala_Lumpur,"{""br"":""Bakri"",""ko"":""바크리"",""pt-BR"":""Bakri"",""pt"":""Bakri"",""nl"":""Bakri"",""hr"":""Bakri"",""fa"":""بکری"",""de"":""Bakri"",""es"":""Bakri"",""fr"":""Bakri"",""ja"":""バクリ"",""it"":""Bakri"",""zh-CN"":""巴克里"",""tr"":""Bakri"",""ru"":""Бакри"",""uk"":""Бакрі"",""pl"":""Bakri"",""hi"":""बाकरी"",""ar"":""بكري""}",2019-10-06T10:10:34,2025-12-02T14:39:31,1,Q2251637
76417,Bandar Labuan,1936,12,132,MY,city,,,5.28883000,115.26924000,Bandar Labuan,54752,Asia/Kuching,"{""br"":""Bandar Labuan"",""ko"":""반다르 라부안"",""pt-BR"":""Bandar Labuan"",""pt"":""Bandar Labuan"",""nl"":""Bandar Labuan"",""hr"":""Bandar Labuan"",""fa"":""بندر لابوان"",""de"":""Bandar Labuan"",""es"":""Bandar Labuan"",""fr"":""Bandar Labuan"",""ja"":""バンダル・ラブアン"",""it"":""Bandar Labuan"",""zh-CN"":""班达尔纳闽"",""tr"":""Bandar Labuan"",""ru"":""Бандар-Лабуан"",""uk"":""Бандар Лабуан"",""pl"":""Bandar Labuan"",""hi"":""बंदर लाबुआन"",""ar"":""بندر لابوان""}",2019-10-06T10:10:34,2025-12-02T14:39:55,1,Q2251637
76418,Banting,1944,10,132,MY,city,,,2.81360000,101.50185000,Banting,48240,Asia/Kuala_Lumpur,"{""br"":""Kantañ"",""ko"":""들소"",""pt-BR"":""Banting"",""pt"":""Banting"",""nl"":""Banting"",""hr"":""Šegačenje"",""fa"":""بانتینگ"",""de"":""Banting"",""es"":""Banting"",""fr"":""Banting"",""ja"":""バンティング"",""it"":""Banting"",""zh-CN"":""班廷"",""tr"":""Bantlama"",""ru"":""Бантинг"",""uk"":""Бантінг"",""pl"":""Kuracja odtłuszczająca"",""hi"":""बैंटिंग"",""ar"":""بانتينغ""}",2019-10-06T10:10:34,2025-12-02T14:38:56,1,Q1106689
76419,Batang Berjuntai,1944,10,132,MY,city,,,3.38333000,101.41667000,Batang Berjuntai,20001,Asia/Kuala_Lumpur,"{""br"":""Batang Berjuntai"",""ko"":""바탕 베르준타이"",""pt-BR"":""Batang Berjuntai"",""pt"":""Batang Berjuntai"",""nl"":""Batang Berjuntai"",""hr"":""Batang Berjuntai"",""fa"":""باتانگ برجونتای"",""de"":""Batang Berjuntai"",""es"":""Batang Berjuntai"",""fr"":""Batang Berjuntai"",""ja"":""バタン・ベルジュンタイ"",""it"":""Batang Berjuntai"",""zh-CN"":""巴当贝尔戎泰"",""tr"":""Batang Berjuntai"",""ru"":""Батанг Берджунтай"",""uk"":""Батанг Берджунтай"",""pl"":""Batang Berjuntai"",""hi"":""बटांग बेरजुंताई"",""ar"":""باتانج بيرجونتاي""}",2019-10-06T10:10:35,2025-12-02T14:39:31,1,Q1106689
76420,Batu Arang,1944,10,132,MY,city,,,3.31667000,101.46667000,Batu Arang,22579,Asia/Kuala_Lumpur,"{""br"":""Batu Arang"",""ko"":""바투 아랑"",""pt-BR"":""Batu Arang"",""pt"":""Batu Arang"",""nl"":""Batu Arang"",""hr"":""Batu Arang"",""fa"":""باتو آرانگ"",""de"":""Batu Arang"",""es"":""Batu Arang"",""fr"":""Batu Arang"",""ja"":""バトゥ・アラン"",""it"":""Batu Arang"",""zh-CN"":""巴都阿朗"",""tr"":""Batu Arang"",""ru"":""Бату Аранг"",""uk"":""Бату Аранг"",""pl"":""Batu Arang"",""hi"":""बाटू आरंग"",""ar"":""باتو أرانج""}",2019-10-06T10:10:35,2025-12-02T14:38:56,1,Q2155680
76421,Batu Berendam,1941,04,132,MY,city,,,2.24870000,102.24600000,Batu Berendam,25028,Asia/Kuala_Lumpur,"{""br"":""Batu Berendam"",""ko"":""바투 베렌담"",""pt-BR"":""Batu Berendam"",""pt"":""Batu Berendam"",""nl"":""Batu Berendam"",""hr"":""Batu Berendam"",""fa"":""باتو برندام"",""de"":""Batu Berendam"",""es"":""Batu Berendam"",""fr"":""Batu Berendam"",""ja"":""バトゥ・ベレンダム"",""it"":""Batu Berendam"",""zh-CN"":""巴都伯伦丹"",""tr"":""Batu Berendam"",""ru"":""Бату Берендам"",""uk"":""Бату Берендам"",""pl"":""Batu Berendam"",""hi"":""बाटू बेरेंडम"",""ar"":""باتو بيريندام""}",2019-10-06T10:10:35,2025-12-02T14:38:56,1,Q2621054
76422,Batu Feringgi,1939,07,132,MY,city,,,5.47090000,100.24529000,Batu Feringgi,20000,Asia/Kuala_Lumpur,"{""br"":""Batu Feringgi"",""ko"":""바투 페링기"",""pt-BR"":""Batu Feringgi"",""pt"":""Batu Feringgi"",""nl"":""Batu Feringgi"",""hr"":""Batu Feringgi"",""fa"":""باتو فرینگی"",""de"":""Batu Feringgi"",""es"":""Batu Feringgi"",""fr"":""Batu Feringgi"",""ja"":""バトゥ・フェリンギ"",""it"":""Batu Feringgi"",""zh-CN"":""峇都丁宜"",""tr"":""Batu Feringgi"",""ru"":""Бату Феринги"",""uk"":""Бату Ферінггі"",""pl"":""Batu Feringgi"",""hi"":""बाटू फेरिंग्गी"",""ar"":""باتو فيرينجي""}",2019-10-06T10:10:35,2025-12-02T14:39:31,1,Q4873309
76423,Batu Gajah,1943,08,132,MY,city,,,4.46916000,101.04107000,Batu Gajah,46183,Asia/Kuala_Lumpur,"{""br"":""Batu Gajah"",""ko"":""바투 가자"",""pt-BR"":""Batu Gajah"",""pt"":""Batu Gajah"",""nl"":""Batu Gajah"",""hr"":""Batu Gajah"",""fa"":""باتو گاجا"",""de"":""Batu Gajah"",""es"":""Batu Gajah"",""fr"":""Batu Gajah"",""ja"":""バトゥ・ガジャ"",""it"":""Batu Gajah"",""zh-CN"":""华都牙也"",""tr"":""Batu Gajah"",""ru"":""Бату Гаджа"",""uk"":""Бату-Ґаджах"",""pl"":""Batu Gajah"",""hi"":""बटू गजह"",""ar"":""باتو غاجاه""}",2019-10-06T10:10:35,2025-12-02T14:38:56,1,Q1917064
76424,Batu Pahat,1950,01,132,MY,city,,,1.85480000,102.93250000,Batu Pahat,140000,Asia/Kuala_Lumpur,"{""br"":""Batu Pahat"",""ko"":""바투 파핫"",""pt-BR"":""Batu Pahat"",""pt"":""Batu Pahat"",""nl"":""Batu Pahat"",""hr"":""Batu Pahat"",""fa"":""باتو پاهات"",""de"":""Batu Pahat"",""es"":""Batu Pahat"",""fr"":""Batu Pahat"",""ja"":""バトゥ・パハット"",""it"":""Batu Pahat"",""zh-CN"":""峇株巴辖"",""tr"":""Batu Pahat"",""ru"":""Бату Пахат"",""uk"":""Бату Пахат"",""pl"":""Batu Pahat"",""hi"":""बटू पहाट"",""ar"":""باتو باهات""}",2019-10-06T10:10:35,2025-12-02T14:38:56,1,Q2891912
76425,Beaufort,1936,12,132,MY,city,,,5.34730000,115.74550000,Beaufort,15855,Asia/Kuching,"{""br"":""Beaufort"",""ko"":""보퍼트"",""pt-BR"":""Beaufort"",""pt"":""Beaufort"",""nl"":""Beaufort"",""hr"":""Beaufort"",""fa"":""بوفورت"",""de"":""Beaufort"",""es"":""Beaufort"",""fr"":""Beaufort"",""ja"":""ボーフォート"",""it"":""Beaufort"",""zh-CN"":""博福特"",""tr"":""Beaufort"",""ru"":""Бофорт"",""uk"":""Бофорт"",""pl"":""Beaufort"",""hi"":""ब्यूफोर्ट"",""ar"":""بوفورت""}",2019-10-06T10:10:35,2025-12-02T14:39:55,1,Q2891912
