id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
76588,Alto Molócuè,3328,Q,150,MZ,city,,,-15.64932000,37.66384000,Alto Molócuè,278064,Africa/Maputo,"{""br"":""Alto Molócuè"",""ko"":""알토 몰로쿠에"",""pt-BR"":""Alto Molócuè"",""pt"":""Alto Molócuè"",""nl"":""Alto Molócuè"",""hr"":""Alto Molócuè"",""fa"":""آلتو مولوکوه"",""de"":""Alto Molócuè"",""es"":""Alto Molócué"",""fr"":""Alto Molócuè"",""ja"":""アルト・モロクエ"",""it"":""Alto Molócuè"",""zh-CN"":""阿尔托莫洛库埃"",""tr"":""Alto Molócuè"",""ru"":""Альто Молокуэ"",""uk"":""Альто-Молокуе"",""pl"":""Alto Molócuè"",""hi"":""ऑल्टो मोलोकुए"",""ar"":""ألتو مولوكوي""}",2019-10-06T10:10:39,2025-12-02T17:11:50,1,Q4736799
76589,António Enes,3336,N,150,MZ,city,,,-16.23250000,39.90861000,António Enes,,Africa/Maputo,"{""br"":""António Enes"",""ko"":""안토니오 에네스"",""pt-BR"":""António Enes"",""pt"":""António Enes"",""nl"":""António Enes"",""hr"":""António Enes"",""fa"":""آنتونیو انس"",""de"":""António Enes"",""es"":""Antonio Enes"",""fr"":""António Enes"",""ja"":""アントニオ・エネス"",""it"":""Antonio Enes"",""zh-CN"":""安东尼奥·埃内斯"",""tr"":""António Enes"",""ru"":""Антонио Энес"",""uk"":""Антоніо Енес"",""pl"":""António Enes"",""hi"":""एंटोनियो एनेस"",""ar"":""أنطونيو إينيس""}",2019-10-06T10:10:39,2025-12-02T16:59:27,1,Q541656
76590,Beira,3331,S,150,MZ,adm1,,,-19.84361000,34.83889000,Beira,687764,Africa/Maputo,"{""br"":""Beira"",""ko"":""베이라"",""pt-BR"":""Beira"",""pt"":""Beira"",""nl"":""Beira"",""hr"":""Beira"",""fa"":""بیرا"",""de"":""Beira"",""es"":""Beira"",""fr"":""Beira"",""ja"":""ベイラ"",""it"":""Beira"",""zh-CN"":""贝拉"",""tr"":""Beira"",""ru"":""Бейра"",""uk"":""Бейра"",""pl"":""Beira"",""hi"":""बेइरा"",""ar"":""بيرا""}",2019-10-06T10:10:39,2025-12-02T14:39:31,1,Q211563
76591,Boane,3332,L,150,MZ,district,,,-26.02900000,32.38900000,Distrito de Boane,263601,Africa/Maputo,"{""br"":""Distrig Boane"",""ko"":""보안 지구"",""pt-BR"":""Distrito de Boane"",""pt"":""Distrito de Boane"",""nl"":""Boane District"",""hr"":""Okrug Boane"",""fa"":""ناحیه بوانه"",""de"":""Boane-Distrikt"",""es"":""Distrito de Boane"",""fr"":""District de Boane"",""ja"":""ボアン地区"",""it"":""Distretto di Boane"",""zh-CN"":""博阿内区"",""tr"":""Boane Bölgesi"",""ru"":""Район Боан"",""uk"":""Район Боан"",""pl"":""Dzielnica Boane"",""hi"":""बोएन जिला"",""ar"":""منطقة بوان""}",2019-10-06T10:10:39,2025-12-02T17:03:53,1,Q887507
76592,Chibuto,3329,G,150,MZ,city,,,-24.68667000,33.53056000,Chutono,73393,Africa/Maputo,"{""br"":""Chibuto"",""ko"":""치부토"",""pt-BR"":""Chibuto"",""pt"":""Chibuto"",""nl"":""Chibuto"",""hr"":""Chibuto"",""fa"":""چیبوتو"",""de"":""Chibuto"",""es"":""Chibuto"",""fr"":""Chibuto"",""ja"":""ちぶと"",""it"":""Chibuto"",""zh-CN"":""希布托"",""tr"":""Chibuto"",""ru"":""Чибуто"",""uk"":""Чібуто"",""pl"":""Chibuto"",""hi"":""चिबुतो"",""ar"":""تشيبوتو""}",2019-10-06T10:10:39,2025-12-02T14:39:31,1,Q1011972
76593,Chimoio,3337,B,150,MZ,adm1,,,-19.11639000,33.48333000,Chimoio,422046,Africa/Maputo,"{""br"":""Chimoio"",""ko"":""치모이오"",""pt-BR"":""Chimoio"",""pt"":""Chimoio"",""nl"":""Chimoio"",""hr"":""Chimoio"",""fa"":""چیمویو"",""de"":""Chimoio"",""es"":""Chimoio"",""fr"":""Chimoio"",""ja"":""チモイオ"",""it"":""Chimoio"",""zh-CN"":""希莫尤"",""tr"":""Chimoio"",""ru"":""Чимойо"",""uk"":""Чімойо"",""pl"":""Chimoio"",""hi"":""चिमोइओ"",""ar"":""شيمويو""}",2019-10-06T10:10:39,2025-12-02T14:39:31,1,Q638509
76594,Chinde,3328,Q,150,MZ,city,,,-18.58111000,36.45861000,Antide,16500,Africa/Maputo,"{""br"":""Chinde"",""ko"":""친데"",""pt-BR"":""Chinde"",""pt"":""Chinde"",""nl"":""Chinde"",""hr"":""Činde"",""fa"":""چینده"",""de"":""Chinde"",""es"":""Chinde"",""fr"":""Chinde"",""ja"":""チンデ"",""it"":""Chinde"",""zh-CN"":""钦德"",""tr"":""Çinde"",""ru"":""Чинде"",""uk"":""Чінде"",""pl"":""Chinde"",""hi"":""चिंदे"",""ar"":""تشيندي""}",2019-10-06T10:10:39,2025-12-02T14:38:56,1,Q2261361
76595,Chiure,3327,P,150,MZ,city,,,-13.46665000,39.70317000,Chiurere,37871,Africa/Maputo,"{""br"":""Chiure"",""ko"":""치우레"",""pt-BR"":""Chiure"",""pt"":""Chiure"",""nl"":""Chiure"",""hr"":""Chiure"",""fa"":""چیوره"",""de"":""Chiure"",""es"":""Chiure"",""fr"":""Chiure"",""ja"":""チウレ"",""it"":""Chiure"",""zh-CN"":""基乌雷"",""tr"":""Şiure"",""ru"":""Чиуре"",""uk"":""К'юре"",""pl"":""Chiure"",""hi"":""चिउरे"",""ar"":""شيور""}",2019-10-06T10:10:39,2025-12-02T16:59:27,1,Q2640763
76596,Chokwé,3329,G,150,MZ,adm2,,,-24.53333000,32.98333000,Chokwé,63695,Africa/Maputo,"{""br"":""Chokwé"",""ko"":""초크웨"",""pt-BR"":""Chokwé"",""pt"":""Chokwé"",""nl"":""Chokwé"",""hr"":""Čokvé"",""fa"":""چوکوهی"",""de"":""Chokwé"",""es"":""Chokwé"",""fr"":""Chokwé"",""ja"":""チョクウェ"",""it"":""Chokwé"",""zh-CN"":""乔奎"",""tr"":""Çokva"",""ru"":""Чокве"",""uk"":""Чокве"",""pl"":""Chokwé"",""hi"":""चोकवे"",""ar"":""تشوكوي""}",2019-10-06T10:10:39,2025-12-02T14:38:56,1,Q1022170
76597,Concelho de Matola,3332,L,150,MZ,city,,,-25.83472000,32.49516000,Concelho de Matola,,Africa/Maputo,"{""br"":""Kuzulier Matola"",""ko"":""콘셀류 데 마톨라"",""pt-BR"":""Concelho de Matola"",""pt"":""Concelho de Matola"",""nl"":""Concelho de Matola"",""hr"":""Concelho de Matola"",""fa"":""کونسلهو د ماتولا"",""de"":""Concelho de Matola"",""es"":""Concelho de Matola"",""fr"":""Conseil de Matola"",""ja"":""コンセリョ・デ・マトラ"",""it"":""Concelho de Matola"",""zh-CN"":""马托拉委员会"",""tr"":""Matola Konseyi"",""ru"":""Concelho de Matola"",""uk"":""Консельо-де-Матола"",""pl"":""Concelho de Matola"",""hi"":""कॉन्सेल्हो डी माटोला"",""ar"":""كونسيلهو دي ماتولا""}",2019-10-06T10:10:39,2025-12-02T16:59:27,1,Q109949
