id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
76626,Arandis,43,ER,152,NA,city,,,-22.41667000,14.96667000,Arandis,5726,Africa/Windhoek,"{""br"":""Arandis"",""ko"":""아란디스"",""pt-BR"":""Arandis"",""pt"":""Arandis"",""nl"":""Arandis"",""hr"":""Arandis"",""fa"":""آراندیس"",""de"":""Arandis"",""es"":""Arandis"",""fr"":""Arandis"",""ja"":""アランディス"",""it"":""Arandis"",""zh-CN"":""阿兰迪斯"",""tr"":""Arandis"",""ru"":""Арандис"",""uk"":""Арандіс"",""pl"":""Arandis"",""hi"":""अरंडिस"",""ar"":""أرانديس""}",2019-10-06T10:10:39,2025-12-02T17:11:50,1,Q438851
76627,Aranos,38,HA,152,NA,city,,,-24.13333000,19.11667000,Aranos,4365,Africa/Windhoek,"{""br"":""Aranos"",""ko"":""아라노스"",""pt-BR"":""Aranos"",""pt"":""Aranos"",""nl"":""Aranos"",""hr"":""Aranos"",""fa"":""آرانوس"",""de"":""Aranos"",""es"":""Aranos"",""fr"":""Aranos"",""ja"":""アラノス"",""it"":""Aranos"",""zh-CN"":""阿拉诺斯"",""tr"":""Aranos"",""ru"":""Аранос"",""uk"":""Аранос"",""pl"":""Aranos"",""hi"":""अरानोस"",""ar"":""أرانوس""}",2019-10-06T10:10:39,2025-12-02T14:39:31,1,Q626040
76628,Bagani,47,CA,152,NA,city,,,-18.11065000,21.61645000,Bagani,2000,Africa/Windhoek,"{""br"":""Bagani"",""ko"":""바가니"",""pt-BR"":""Bagani"",""pt"":""Bagani"",""nl"":""Bagani"",""hr"":""Bagani"",""fa"":""باگانی"",""de"":""Bagani"",""es"":""Bagani"",""fr"":""Bagani"",""ja"":""バガニ"",""it"":""Bagani"",""zh-CN"":""巴加尼"",""tr"":""Bagani"",""ru"":""Багани"",""uk"":""Багані"",""pl"":""Bagani"",""hi"":""बागानी"",""ar"":""باجاني""}",2019-10-06T10:10:39,2025-12-02T14:38:56,1,Q799830
76629,Bethanie,45,KA,152,NA,city,,,-26.48333000,17.15000000,Bethanie,3900,Africa/Windhoek,"{""br"":""Bethanie"",""ko"":""베다니"",""pt-BR"":""Bethanie"",""pt"":""Bethanie"",""nl"":""Bethanië"",""hr"":""Bethanie"",""fa"":""بتانی"",""de"":""Bethanie"",""es"":""Bethanie"",""fr"":""Béthanie"",""ja"":""ベサニー"",""it"":""Betania"",""zh-CN"":""贝瑟妮"",""tr"":""Bethanie"",""ru"":""Бетани"",""uk"":""Бетані"",""pl"":""Bethanie"",""hi"":""बेथानी"",""ar"":""بيثاني""}",2019-10-06T10:10:39,2025-12-02T17:11:50,1,Q251677
76630,Epupa Constituency,34,KU,152,NA,city,,,-17.00388000,13.24825000,Epupa Constituency,12816,Africa/Windhoek,"{""br"":""Dilennadegoù Epupa"",""ko"":""에푸파 선거구"",""pt-BR"":""Círculo eleitoral de Epupa"",""pt"":""Círculo eleitoral de Epupa"",""nl"":""Kiesdistrict Epupa"",""hr"":""Izborna jedinica Epupa"",""fa"":""حوزه انتخابیه اپوپا"",""de"":""Wahlkreis Epupa"",""es"":""Distrito electoral de Epupa"",""fr"":""Circonscription d'Epupa"",""ja"":""エプパ選挙区"",""it"":""Circoscrizione di Epupa"",""zh-CN"":""埃普帕选区"",""tr"":""Epupa Seçim Bölgesi"",""ru"":""Избирательный округ Эпупа"",""uk"":""Виборчий округ Епупа"",""pl"":""Okręg wyborczy Epupa"",""hi"":""एपुपा निर्वाचन क्षेत्र"",""ar"":""دائرة إيبوبا""}",2019-10-06T10:10:39,2025-12-02T16:59:27,1,Q1026511
76631,Gobabis,41,OH,152,NA,adm1,,,-22.45000000,18.96667000,Gobabis,33404,Africa/Windhoek,"{""br"":""Gobabis"",""ko"":""고바비스"",""pt-BR"":""Gobabis"",""pt"":""Gobabis"",""nl"":""Gobabis"",""hr"":""Gobabis"",""fa"":""گوبابی‌ها"",""de"":""Gobabis"",""es"":""Gobabis"",""fr"":""Gobabis"",""ja"":""ゴバビス"",""it"":""Gobabis"",""zh-CN"":""戈巴比斯"",""tr"":""Gobabis"",""ru"":""Гобабис"",""uk"":""Гобабіс"",""pl"":""Gobabis"",""hi"":""गोबाबिस"",""ar"":""جوبابيس""}",2019-10-06T10:10:39,2025-12-02T17:11:50,1,Q1000609
76632,Grootfontein,46,OD,152,NA,city,,,-19.56667000,18.11667000,Grootfontein,26839,Africa/Windhoek,"{""br"":""Grootfontein"",""ko"":""그루트폰테인"",""pt-BR"":""Grootfontein"",""pt"":""Grootfontein"",""nl"":""Grootfontein"",""hr"":""Grootfontein"",""fa"":""گروتفونتین"",""de"":""Grootfontein"",""es"":""Grootfontein"",""fr"":""Grootfontein"",""ja"":""グルートフォンテイン"",""it"":""Grootfontein"",""zh-CN"":""格鲁特方丹"",""tr"":""Grootfontein"",""ru"":""Гроотфонтейн"",""uk"":""Грутфонтейн"",""pl"":""Grootfontein"",""hi"":""ग्रूटफोंटेन"",""ar"":""غروتفونتين""}",2019-10-06T10:10:39,2025-12-02T17:11:50,1,Q986336
76633,Hentiesbaai,43,ER,152,NA,city,,,-22.11667000,14.28333000,Henties Bay,5594,Africa/Windhoek,"{""br"":""Hentiesbaai"",""ko"":""헨티스바이"",""pt-BR"":""Hentiesbaai"",""pt"":""Hentiesbaai"",""nl"":""Hentiesbaai"",""hr"":""Hentiesbaai"",""fa"":""هنتی‌سبای"",""de"":""Hentiesbaai"",""es"":""Hentiesbaai"",""fr"":""Hentiesbaai"",""ja"":""ヘンティエスバイ"",""it"":""Hentiesbaai"",""zh-CN"":""亨蒂斯湾"",""tr"":""Hentiesbay"",""ru"":""Хентис-Бей"",""uk"":""Хентісбаай"",""pl"":""Hentiesbaai"",""hi"":""हेन्टीसबाई"",""ar"":""هينتيسباي""}",2019-10-06T10:10:39,2025-12-02T14:39:31,1,Q1013389
76634,Hoachanas,38,HA,152,NA,city,,,-23.91667000,18.05000000,Hoachanas,3000,Africa/Windhoek,"{""br"":""Hoachanas"",""ko"":""호아차나스"",""pt-BR"":""Hoachanas"",""pt"":""Hoachanas"",""nl"":""Hoachanas"",""hr"":""Hoachane"",""fa"":""هوآکاناس"",""de"":""Hoachanas"",""es"":""Hoachanas"",""fr"":""Hoachanas"",""ja"":""ホアチャナス"",""it"":""Hoachanas"",""zh-CN"":""霍阿查纳斯"",""tr"":""Hoachanalar"",""ru"":""Хоачанас"",""uk"":""Хоачанас"",""pl"":""Hoachanas"",""hi"":""होआचनास"",""ar"":""هوتشاناس""}",2019-10-06T10:10:39,2025-12-02T14:38:56,1,Q1621498
76635,Karasburg,45,KA,152,NA,city,,,-28.01667000,18.75000000,Karasburg,6621,Africa/Windhoek,"{""br"":""Karasbourg"",""ko"":""카라스버그"",""pt-BR"":""Karasburg"",""pt"":""Karasburg"",""nl"":""Karasburg"",""hr"":""Karasburg"",""fa"":""کاراسبورگ"",""de"":""Karasburg"",""es"":""Karasburg"",""fr"":""Karasburg"",""ja"":""カラスバーグ"",""it"":""Karasburg"",""zh-CN"":""卡拉斯堡"",""tr"":""Karasburg"",""ru"":""Карасбург"",""uk"":""Карасбург"",""pl"":""Karasburg"",""hi"":""करासबर्ग"",""ar"":""كاراسبورغ""}",2019-10-06T10:10:39,2025-12-02T14:38:56,1,Q1003328
