id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
153630,Nouméa,5225,01,157,NC,section,,,-22.27580000,166.45800000,Nouméa,2730,Pacific/Noumea,"{""br"":""Nouméa"",""ko"":""누메아"",""pt-BR"":""Nouméa"",""pt"":""Nouméa"",""nl"":""Nouméa"",""hr"":""Noumea"",""fa"":""نومئا"",""de"":""Nouméa"",""es"":""Numea"",""fr"":""Nouméa"",""ja"":""ヌメア"",""it"":""Nouméa"",""zh-CN"":""努美阿"",""tr"":""Nouméa"",""ru"":""Нумеа"",""uk"":""Нумеа"",""pl"":""Numea"",""hi"":""नौमिया"",""ar"":""نوميا""}",2023-09-06T22:25:00,2025-12-02T14:39:31,1,Q9733
153631,Le Mont-Dore,5225,01,157,NC,section,,,-22.21570000,166.46650000,Le Mont-Dore,3951,Pacific/Noumea,"{""br"":""Le Menez-Dore"",""ko"":""르 몽도르"",""pt-BR"":""O Mont-Dore"",""pt"":""O Mont-Dore"",""nl"":""Le Mont-Dore"",""hr"":""Le Mont-Dore"",""fa"":""لو مونت-دور"",""de"":""Le Mont-Dore"",""es"":""Le Mont-Dore"",""fr"":""Le Mont-Dore"",""ja"":""ル・モンドール"",""it"":""Le Mont-Dore"",""zh-CN"":""勒蒙多尔"",""tr"":""Le Mont-Dore"",""ru"":""Ле Мон-Дор"",""uk"":""Ле Мон-Дор"",""pl"":""Le Mont-Dore"",""hi"":""ले मोंट-डोर"",""ar"":""لو مونت دوري""}",2023-09-06T22:25:00,2025-12-02T14:39:31,1,Q9732
153632,Dumbéa,5225,01,157,NC,city,,,-22.15000000,166.45000000,Muet,,Pacific/Noumea,"{""br"":""Dumbéa"",""ko"":""덤베아"",""pt-BR"":""Dumbéa"",""pt"":""Dumbéa"",""nl"":""Dumbéa"",""hr"":""Dumbéa"",""fa"":""دامبئا"",""de"":""Dumbéa"",""es"":""Dumbéa"",""fr"":""Dumbéa"",""ja"":""ダンベア"",""it"":""Dumbéa"",""zh-CN"":""丹贝阿"",""tr"":""Dumbéa"",""ru"":""Думбеа"",""uk"":""Думбеа"",""pl"":""Dumbéa"",""hi"":""डंबिया"",""ar"":""دمبيا""}",2023-09-06T22:25:00,2025-12-02T17:11:50,1,Q597896
153633,Païta,5225,01,157,NC,city,,,-22.13370000,166.35050000,Païta,,Pacific/Noumea,"{""br"":""Païta"",""ko"":""파이타"",""pt-BR"":""Païta"",""pt"":""Païta"",""nl"":""Païta"",""hr"":""Paita"",""fa"":""پایتا"",""de"":""Païta"",""es"":""Paita"",""fr"":""Païta"",""ja"":""パイタ"",""it"":""Païta"",""zh-CN"":""帕伊塔"",""tr"":""Paita"",""ru"":""Паита"",""uk"":""Паїта"",""pl"":""Païta"",""hi"":""Paita"",""ar"":""بايتا""}",2023-09-06T22:25:00,2025-12-02T17:11:50,1,Q9737
153634,Bourail,5225,01,157,NC,city,,,-21.57010000,165.48040000,Bourail,,Pacific/Noumea,"{""br"":""Bourail"",""ko"":""부라이"",""pt-BR"":""Bourail"",""pt"":""Bourail"",""nl"":""Bourail"",""hr"":""Bourail"",""fa"":""بوریل"",""de"":""Bourail"",""es"":""Bourail"",""fr"":""Bourail"",""ja"":""ブーライユ"",""it"":""Bourail"",""zh-CN"":""布拉伊"",""tr"":""Bourail"",""ru"":""Бурай"",""uk"":""Бурай"",""pl"":""Bourail"",""hi"":""बौरेल"",""ar"":""بوريل""}",2023-09-06T22:25:00,2025-12-02T17:11:50,1,Q9709
153635,Koné,5226,02,157,NC,adm1,,,-21.05900000,164.85180000,Koné,,Pacific/Noumea,"{""br"":""Koné"",""ko"":""코네"",""pt-BR"":""Koné"",""pt"":""Koné"",""nl"":""Koné"",""hr"":""Koné"",""fa"":""کونه"",""de"":""Koné"",""es"":""Koné"",""fr"":""Koné"",""ja"":""コネ"",""it"":""Koné"",""zh-CN"":""科内"",""tr"":""Koné"",""ru"":""Коне"",""uk"":""Коне"",""pl"":""Koné"",""hi"":""कोने"",""ar"":""كوني""}",2023-09-06T22:25:00,2025-12-02T17:11:50,1,Q9721
153636,Poindimié,5226,02,157,NC,city,,,-20.94960000,165.32930000,Poindié,5006,Pacific/Noumea,"{""br"":""Poindimié"",""ko"":""포인디미에"",""pt-BR"":""Poindimié"",""pt"":""Poindimié"",""nl"":""Poindimié"",""hr"":""Poindimié"",""fa"":""پوندیمیه"",""de"":""Poindimié"",""es"":""Poindimié"",""fr"":""Poindimié"",""ja"":""ポアンディミエ"",""it"":""Poindimié"",""zh-CN"":""普安迪米耶"",""tr"":""Poindimie"",""ru"":""Пуандимье"",""uk"":""Пуандім'є"",""pl"":""Poindimié"",""hi"":""पॉइंडिमिए"",""ar"":""بوينديمي""}",2023-09-06T22:25:00,2025-12-02T14:39:31,1,Q9740
153637,Houaïlou,5226,02,157,NC,city,,,-21.29090000,165.62170000,Houaïlou,,Pacific/Noumea,"{""br"":""Houaïlou"",""ko"":""우아이루"",""pt-BR"":""Houaïlou"",""pt"":""Houaïlou"",""nl"":""Houaïlou"",""hr"":""Houaïlou"",""fa"":""هوآیلو"",""de"":""Houaïlou"",""es"":""Houaïlou"",""fr"":""Houaïlou"",""ja"":""フアイルー"",""it"":""Houaïlou"",""zh-CN"":""胡埃卢"",""tr"":""Houaïlou"",""ru"":""Хуайлу"",""uk"":""Уайлу"",""pl"":""Houaïlou"",""hi"":""होउआइलौ"",""ar"":""هوايلو""}",2023-09-06T22:25:00,2025-12-02T17:11:50,1,Q9716
153638,Lifou,5227,03,157,NC,city,,,-20.96670000,167.23330000,Lifou,,Pacific/Noumea,"{""br"":""Lifou"",""ko"":""리푸"",""pt-BR"":""Lifou"",""pt"":""Lifou"",""nl"":""Lifou"",""hr"":""Lifou"",""fa"":""لیفو"",""de"":""Lifou"",""es"":""Lifou"",""fr"":""Lifou"",""ja"":""リフー"",""it"":""Lifou"",""zh-CN"":""利富岛"",""tr"":""Lifou"",""ru"":""Лифу"",""uk"":""Ліфу"",""pl"":""Lifu"",""hi"":""लिफौ"",""ar"":""ليفو""}",2023-09-06T22:25:00,2025-12-02T16:59:27,1,Q9728
153639,Maré,5227,03,157,NC,city,,,-21.51670000,167.98330000,Marée,,Pacific/Noumea,"{""br"":""Maré"",""ko"":""바다"",""pt-BR"":""Égua"",""pt"":""Égua"",""nl"":""Merrie"",""hr"":""Maré"",""fa"":""مار"",""de"":""Stute"",""es"":""Yegua"",""fr"":""Jument"",""ja"":""マレ"",""it"":""Mare"",""zh-CN"":""马雷"",""tr"":""Kısrak"",""ru"":""Маре"",""uk"":""Маре"",""pl"":""Klacz"",""hi"":""घोड़ी"",""ar"":""فرس""}",2023-09-06T22:25:00,2025-12-02T16:59:27,1,Q9729
