id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
76674,Abalak,73,5,160,NE,city,,,15.41618000,6.16975000,Garantie,74719,Africa/Niamey,"{""ar"":""أبالاك"",""br"":""Abalak"",""de"":""Abalak"",""es"":""Abalak"",""fa"":""آبالق"",""fr"":""Abalak"",""hi"":""अबलाक"",""hr"":""Abalak"",""it"":""Abalak"",""ja"":""アバラク"",""ko"":""아발락"",""nl"":""Abalak"",""pl"":""Abalak"",""pt"":""Abalak"",""pt-BR"":""Abalak"",""ru"":""Абалак"",""tr"":""Abalak"",""uk"":""Абалак"",""zh-CN"":""阿巴拉克""}",2019-10-05T23:10:39,2025-12-02T16:59:27,1,Q305217
76675,Agadez,71,1,160,NE,adm1,,,16.97333000,7.99111000,Agadez,149549,Africa/Niamey,"{""ar"":""أغاديز"",""br"":""Agadez"",""de"":""Agadez"",""es"":""Agadez"",""fa"":""آگادز"",""fr"":""Agadez"",""hi"":""अगदेस"",""hr"":""Agadez"",""it"":""Agadez"",""ja"":""アガデス"",""ko"":""아가데즈"",""nl"":""Agadez"",""pl"":""Agadez"",""pt"":""Agadez"",""pt-BR"":""Agadez"",""ru"":""Агадес"",""tr"":""Agadez"",""uk"":""Агадес"",""zh-CN"":""阿加德兹""}",2019-10-05T23:10:39,2025-12-02T14:39:31,1,Q320049
76676,Aguié,70,4,160,NE,adm2,,,13.50601000,7.77863000,Aguié,23545,Africa/Niamey,"{""ar"":""أغوي"",""br"":""Aguié"",""de"":""Aguié"",""es"":""Aguié"",""fa"":""آگوئیه"",""fr"":""Aguié"",""hi"":""अगुइए"",""hr"":""Aguié"",""it"":""Aguié"",""ja"":""アギエ"",""ko"":""아기에"",""nl"":""Aguié"",""pl"":""Aguié"",""pt"":""Aguié"",""pt-BR"":""Aguié"",""ru"":""Агие"",""tr"":""Aguié"",""uk"":""Агіє"",""zh-CN"":""阿吉埃""}",2019-10-05T23:10:39,2025-12-02T14:39:31,1,Q320049
76677,Alaghsas,71,1,160,NE,city,,,17.01870000,8.01680000,Allaghsas,88561,Africa/Niamey,"{""ar"":""ألاغساس"",""br"":""Alaghsas"",""de"":""Alaghsas"",""es"":""Alaghsas"",""fa"":""الاغساس"",""fr"":""Alaghsas"",""hi"":""अलाघसस"",""hr"":""Alaghsas"",""it"":""Alaghsas"",""ja"":""アラグサス"",""ko"":""알라그사스"",""nl"":""Alaghsa's"",""pl"":""Alaghsas"",""pt"":""Alaghsas"",""pt-BR"":""Alaghsas"",""ru"":""Алагсас"",""tr"":""Alaghsas"",""uk"":""Алагсас"",""zh-CN"":""阿拉格萨斯""}",2019-10-05T23:10:39,2025-12-02T14:39:31,1,Q320049
76678,Arlit,71,1,160,NE,city,,,18.83409000,7.43327000,Arlit,78651,Africa/Niamey,"{""ar"":""أرليت"",""br"":""Arlit"",""de"":""Arlit"",""es"":""Arlit"",""fa"":""آرلیت"",""fr"":""Arlit"",""hi"":""अर्लिट"",""hr"":""Arlit"",""it"":""Arlit"",""ja"":""アルリット"",""ko"":""아를리트"",""nl"":""Arlit"",""pl"":""Arlit"",""pt"":""Arlit"",""pt-BR"":""Arlit"",""ru"":""Арлит"",""tr"":""Arlit"",""uk"":""Арліт"",""zh-CN"":""阿尔利特""}",2019-10-05T23:10:39,2025-12-02T16:59:27,1,Q675798
76679,Ayorou,67,6,160,NE,city,,,14.73075000,0.91739000,Ayorou,26290,Africa/Niamey,"{""ar"":""أيورو"",""br"":""Ayorou"",""de"":""Ayorou"",""es"":""Ayorou"",""fa"":""آیورو"",""fr"":""Ayorou"",""hi"":""अयोरू"",""hr"":""Ayorou"",""it"":""Ayorou"",""ja"":""アヨルー"",""ko"":""아요루"",""nl"":""Ayorou"",""pl"":""Ayorou"",""pt"":""Ayorou"",""pt-BR"":""Ayorou"",""ru"":""Айору"",""tr"":""Ayorou"",""uk"":""Айороу"",""zh-CN"":""阿约鲁""}",2019-10-05T23:10:39,2025-12-02T14:39:31,1,Q675798
76680,Balleyara,67,6,160,NE,city,,,13.72848000,2.87503000,Balleyara,16063,Africa/Niamey,"{""ar"":""باليارا"",""br"":""Balleyara"",""de"":""Balleyara"",""es"":""Balleyara"",""fa"":""بالیارا"",""fr"":""Balleyara"",""hi"":""बल्लेयारा"",""hr"":""Balleyara"",""it"":""Balleyara"",""ja"":""バレヤラ"",""ko"":""발레야라"",""nl"":""Balleyara"",""pl"":""Balleyara"",""pt"":""Balleyara"",""pt-BR"":""Balleyara"",""ru"":""Баллеяра"",""tr"":""Balleyara"",""uk"":""Баллеяра"",""zh-CN"":""巴莱亚拉""}",2019-10-05T23:10:39,2025-12-02T16:59:27,1,Q15713669
76681,Bilma,71,1,160,NE,adm2,,,18.68532000,12.91643000,Audacieux,5435,Africa/Niamey,"{""ar"":""بيلما"",""br"":""Bilma"",""de"":""Bilma"",""es"":""Bilma"",""fa"":""بیلما"",""fr"":""Bilma"",""hi"":""बिलमा"",""hr"":""Bilma"",""it"":""Bilma"",""ja"":""ビルマ"",""ko"":""빌마"",""nl"":""Bilma"",""pl"":""Bilma"",""pt"":""Bilma"",""pt-BR"":""Bilma"",""ru"":""Бильма"",""tr"":""Bilma"",""uk"":""Більма"",""zh-CN"":""比尔玛""}",2019-10-05T23:10:39,2025-12-02T14:39:31,1,Q15713669
76682,Birni N Konni,73,5,160,NE,city,,,13.79599000,5.25026000,Un dépôt de n,85494,Africa/Niamey,"{""ar"":""بيرني ن كوني"",""br"":""Birni N Konni"",""de"":""Birni N Konni"",""es"":""Birni N. Konni"",""fa"":""بیرنی ان کونی"",""fr"":""Birni N Konni"",""hi"":""बिरनी एन कोन्नी"",""hr"":""Birni N. Konni"",""it"":""Birni N Konni"",""ja"":""ビルニ・N・コニ"",""ko"":""버니 앤 코니"",""nl"":""Birni N Konni"",""pl"":""Birni N Konni"",""pt"":""Birni N Konni"",""pt-BR"":""Birni N Konni"",""ru"":""Бирни Н. Конни"",""tr"":""Birni N Konni"",""uk"":""Бірні Н. Конні"",""zh-CN"":""比尔尼·N·科尼""}",2019-10-05T23:10:39,2025-12-02T14:39:31,1,Q15713669
76683,Boboye Department,68,3,160,NE,adm2,,,13.08167000,2.91083000,Département de Boboye,19529,Africa/Niamey,"{""ar"":""قسم بوبوي"",""br"":""Departamant Boboye"",""de"":""Boboye-Abteilung"",""es"":""Departamento de Boboye"",""fa"":""بخش بوبویه"",""fr"":""Département de Boboye"",""hi"":""बोबोये विभाग"",""hr"":""Odjel Boboye"",""it"":""Dipartimento di Boboye"",""ja"":""ボボエ県"",""ko"":""보보예 부서"",""nl"":""Afdeling Boboye"",""pl"":""Departament Boboye"",""pt"":""Departamento de Boboye"",""pt-BR"":""Departamento de Boboye"",""ru"":""Департамент Бобойе"",""tr"":""Boboye Bölümü"",""uk"":""Департамент Бобой"",""zh-CN"":""博博耶省""}",2019-10-05T23:10:39,2025-12-02T14:39:31,1,Q888839
