id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
76744,Aba,303,AB,161,NG,adm2,,,5.10658000,7.36667000,Aba,1160000,Africa/Lagos,"{""ar"":""أبا"",""br"":""Aba"",""de"":""Aba"",""es"":""Aba"",""fa"":""آبا"",""fr"":""Aba"",""hi"":""आबा"",""hr"":""Aba"",""it"":""Aba"",""ja"":""アバ"",""ko"":""아바"",""nl"":""Aba"",""pl"":""Aba"",""pt"":""Aba"",""pt-BR"":""Aba"",""ru"":""Аба"",""tr"":""Aba"",""uk"":""Аба"",""zh-CN"":""阿坝""}",2019-10-05T23:10:40,2025-12-02T14:38:56,1,Q202162
76745,Abakaliki,311,EB,161,NG,adm1,,,6.32485000,8.11368000,Abakali,149683,Africa/Lagos,"{""ar"":""أباكاليكي"",""br"":""Abakaliki"",""de"":""Abakaliki"",""es"":""Abakaliki"",""fa"":""آباکالیکی"",""fr"":""Abakaliki"",""hi"":""अबाकालिकी"",""hr"":""Abakaliki"",""it"":""Abakaliki"",""ja"":""アバカリキ"",""ko"":""아바칼리키"",""nl"":""Abakaliki"",""pl"":""Abakaliki"",""pt"":""Abakaliki"",""pt-BR"":""Abakaliki"",""ru"":""Абакалики"",""tr"":""Abakaliki"",""uk"":""Абакалікі"",""zh-CN"":""阿巴卡利基""}",2019-10-05T23:10:40,2025-12-02T14:38:56,1,Q202162
76746,Abeokuta,323,OG,161,NG,adm1,,,7.15571000,3.34509000,Abeokuta,888924,Africa/Lagos,"{""ar"":""أبيوكوتا"",""br"":""Abeokuta"",""de"":""Abeokuta"",""es"":""Abeokuta"",""fa"":""آبئوکوتا"",""fr"":""Abeokuta"",""hi"":""लागोस"",""hr"":""Abeokuta"",""it"":""Abeokuta"",""ja"":""アベオクタ"",""ko"":""아베오쿠타"",""nl"":""Abeokuta"",""pl"":""Abeokuta"",""pt"":""Abeokuta"",""pt-BR"":""Abeokuta"",""ru"":""Абеокута"",""tr"":""Abeokuta"",""uk"":""Абеокута"",""zh-CN"":""阿贝奥库塔""}",2019-10-05T23:10:40,2025-12-02T14:38:56,1,Q206484
76747,Abocho,298,KO,161,NG,city,,,7.56770000,6.98630000,Abocho,6801,Africa/Lagos,"{""ar"":""أبوتشو"",""br"":""Abocho"",""de"":""Abocho"",""es"":""Abocho"",""fa"":""آبوچو"",""fr"":""Abocho"",""hi"":""अबोचो"",""hr"":""Abocho"",""it"":""Abocho"",""ja"":""アボチョ"",""ko"":""아보초"",""nl"":""Abocho"",""pl"":""Abocho"",""pt"":""Abocho"",""pt-BR"":""Abocho"",""ru"":""Абочо"",""tr"":""Abocho"",""uk"":""Абочо"",""zh-CN"":""阿博乔""}",2019-10-05T23:10:40,2025-12-02T14:38:56,1,Q206484
76748,Abraka,316,DE,161,NG,city,,,5.79023000,6.10473000,Abraka,6940,Africa/Lagos,"{""ar"":""أبراكا"",""br"":""Abraka"",""de"":""Abraka"",""es"":""Abraka"",""fa"":""آبراکا"",""fr"":""Abraka"",""hi"":""अब्राका"",""hr"":""Abraka"",""it"":""Abraka"",""ja"":""アブラカ"",""ko"":""아브라카"",""nl"":""Abraka"",""pl"":""Abrakada"",""pt"":""Abraka"",""pt-BR"":""Abraka"",""ru"":""Абрака"",""tr"":""Abraka"",""uk"":""Абрака"",""zh-CN"":""阿布拉卡""}",2019-10-05T23:10:40,2025-12-02T14:38:56,1,Q13479516
76749,Abuja,293,FC,161,NG,capital,,,9.05785000,7.49508000,Abuja,2690000,Africa/Lagos,"{""ar"":""أبوجا"",""br"":""Abuja"",""de"":""Abuja"",""es"":""Abuya"",""fa"":""آبوجا"",""fr"":""Abuja"",""hi"":""अबुजा"",""hr"":""Abuja"",""it"":""Abuja"",""ja"":""アブジャ"",""ko"":""아부자"",""nl"":""Abuja"",""pl"":""Abudża"",""pt"":""Abuja"",""pt-BR"":""Abuja"",""ru"":""Абуджа"",""tr"":""Abuja"",""uk"":""Абуджа"",""zh-CN"":""阿布贾""}",2019-10-05T23:10:40,2025-12-02T14:39:31,1,Q3787
76750,Adani,289,EN,161,NG,city,,,6.73971000,7.01117000,Adani,6161,Africa/Lagos,"{""ar"":""أداني"",""br"":""Adani"",""de"":""Adani"",""es"":""Adani"",""fa"":""آدانی"",""fr"":""Adani"",""hi"":""अदानी"",""hr"":""Adani"",""it"":""Adani"",""ja"":""アダニ"",""ko"":""아다니"",""nl"":""Adani"",""pl"":""Adani"",""pt"":""Adani"",""pt-BR"":""Adani"",""ru"":""Адани"",""tr"":""Adani"",""uk"":""Адані"",""zh-CN"":""阿达尼""}",2019-10-05T23:10:40,2025-12-02T14:38:56,1,Q3787
76751,Ado Odo,323,OG,161,NG,city,,,6.60000000,2.93333000,Adage,15442,Africa/Lagos,"{""ar"":""ادو اودو"",""br"":""Ado Odo"",""de"":""Ado Odo"",""es"":""Ado-Odo"",""fa"":""آدو اودو"",""fr"":""Ado Odo"",""hi"":""अडो ओडो"",""hr"":""Ado Odo"",""it"":""Ado Odo"",""ja"":""アドオド"",""ko"":""아도 오도"",""nl"":""Ado Odo"",""pl"":""Ado Odo"",""pt"":""Ado Odo"",""pt-BR"":""Ado Odo"",""ru"":""Адо Одо"",""tr"":""Ado Odo"",""uk"":""Адо Одо"",""zh-CN"":""阿多·奥多""}",2019-10-05T23:10:40,2025-12-02T14:38:56,1,Q3787
76752,Ado-Ekiti,309,EK,161,NG,adm1,,,7.62329000,5.22087000,Ado-ekiti,435000,Africa/Lagos,"{""ar"":""أدو-إيكيتي"",""br"":""Ado-Ekiti"",""de"":""Ado-Ekiti"",""es"":""Ado-Ekiti"",""fa"":""آدو-اکیتی"",""fr"":""Ado-Ekiti"",""hi"":""Ado-एकीटी"",""hr"":""Ado-Ekiti"",""it"":""Ado-Ekiti"",""ja"":""アド・エキティ"",""ko"":""아도-에키티"",""nl"":""Ado-Ekiti"",""pl"":""Ado-Ekiti"",""pt"":""Ado-Ekiti"",""pt-BR"":""Ado-Ekiti"",""ru"":""Адо-Экити"",""tr"":""Ado-Ekiti"",""uk"":""Адо-Екіті"",""zh-CN"":""阿多埃基蒂""}",2019-10-05T23:10:40,2025-12-02T14:39:31,1,Q359955
76753,Adoru,298,KO,161,NG,city,,,6.97694000,7.16262000,Worship,8203,Africa/Lagos,"{""ar"":""أدورو"",""br"":""Adoru"",""de"":""Adoru"",""es"":""Adoru"",""fa"":""آدورو"",""fr"":""Adoru"",""hi"":""अडोरू"",""hr"":""Adoru"",""it"":""Adoru"",""ja"":""アドル"",""ko"":""아도루"",""nl"":""Aanbid"",""pl"":""Adoru"",""pt"":""Adoru"",""pt-BR"":""Adoru"",""ru"":""Адору"",""tr"":""Adoru"",""uk"":""Адору"",""zh-CN"":""阿多鲁""}",2019-10-05T23:10:40,2025-12-02T14:38:56,1,Q359955
