id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
77154,Achuapa,944,LE,159,NI,adm2,,,13.05370000,-86.59004000,Achuapa,3299,America/Managua,"{""br"":""Achuapa"",""ko"":""아추아파"",""pt-BR"":""Achuapa"",""pt"":""Achuapa"",""nl"":""Achuapa"",""hr"":""Achuapa"",""fa"":""آچوآپا"",""de"":""Achuapa"",""es"":""Achuapa"",""fr"":""Achuapa"",""ja"":""アチュアパ"",""it"":""Achuapa"",""zh-CN"":""阿丘帕"",""tr"":""Achuapa"",""ru"":""Ачуапа"",""uk"":""Ачуапа"",""pl"":""Achuapa"",""hi"":""अचुआपा"",""ar"":""أتشوابا""}",2019-10-06T10:11:40,2025-12-02T14:39:31,1,Q8075286
77155,Acoyapa,940,CO,159,NI,adm2,,,11.97028000,-85.17113000,Acoyapa,10536,America/Managua,"{""br"":""Acoyapa"",""ko"":""아코야파"",""pt-BR"":""Acoyapa"",""pt"":""Acoyapa"",""nl"":""Acoyapa"",""hr"":""Acoyapa"",""fa"":""آکویاپا"",""de"":""Acoyapa"",""es"":""Acoyapa"",""fr"":""Acoyapa"",""ja"":""アコヤパ"",""it"":""Acoyapa"",""zh-CN"":""阿科亚帕"",""tr"":""Acoyapa"",""ru"":""Акойяпа"",""uk"":""Акояпа"",""pl"":""Acoyapa"",""hi"":""अकोयापा"",""ar"":""أكويا""}",2019-10-06T10:11:40,2025-12-02T14:38:56,1,Q1186803
77156,Altagracia,942,RI,159,NI,city,,,11.56615000,-85.57840000,Altagracia,2771,America/Managua,"{""br"":""Altagracia"",""ko"":""알타그라시아"",""pt-BR"":""Altagracia"",""pt"":""Altagracia"",""nl"":""Altagracia"",""hr"":""Altagracia"",""fa"":""آلتاگراسیا"",""de"":""Altagracia"",""es"":""Altagracia"",""fr"":""Altagracia"",""ja"":""アルタグラシア"",""it"":""Altagracia"",""zh-CN"":""阿尔塔格拉西亚"",""tr"":""Altagracia"",""ru"":""Альтаграсия"",""uk"":""Альтаграсія"",""pl"":""Altagracia"",""hi"":""अल्ताग्रेसिया"",""ar"":""ألتاجراسيا""}",2019-10-06T10:11:40,2025-12-02T14:39:31,1,Q1186803
77157,Belén,942,RI,159,NI,adm2,,,11.50299000,-85.88935000,Belén,5415,America/Managua,"{""br"":""Belén"",""ko"":""벨렌"",""pt-BR"":""Belém"",""pt"":""Belém"",""nl"":""Belén"",""hr"":""Belén"",""fa"":""بلن"",""de"":""Belén"",""es"":""Belén"",""fr"":""Belén"",""ja"":""ベレン"",""it"":""Belén"",""zh-CN"":""贝伦"",""tr"":""Belén"",""ru"":""Белен"",""uk"":""Белен"",""pl"":""Belén"",""hi"":""बेलें"",""ar"":""بيلين""}",2019-10-06T10:11:40,2025-12-02T14:38:56,1,Q1647916
77158,Bluefields,952,AS,159,NI,adm1,,,12.01366000,-83.76353000,Bluefields,44373,America/Managua,"{""br"":""Maezioù glas"",""ko"":""블루필즈"",""pt-BR"":""Campos Azuis"",""pt"":""Campos Azuis"",""nl"":""Blauwe velden"",""hr"":""Plava polja"",""fa"":""بلوفیلدز"",""de"":""Bluefields"",""es"":""Bluefields"",""fr"":""Bluefields"",""ja"":""ブルーフィールズ"",""it"":""Campi blu"",""zh-CN"":""布卢菲尔兹"",""tr"":""Mavi alanlar"",""ru"":""Блуфилдс"",""uk"":""Блуфілдс"",""pl"":""Bluefields"",""hi"":""ब्लूफील्ड्स"",""ar"":""بلوفيلدز""}",2019-10-06T10:11:40,2025-12-02T14:38:56,1,Q885996
77159,Boaco,946,BO,159,NI,adm1,,,12.47224000,-85.65860000,Reno,29046,America/Managua,"{""br"":""Boaco"",""ko"":""보아코"",""pt-BR"":""Boaco"",""pt"":""Boaco"",""nl"":""Boaco"",""hr"":""Boaco"",""fa"":""بوآکو"",""de"":""Boaco"",""es"":""Boaco"",""fr"":""Boaco"",""ja"":""ボアコ"",""it"":""Boaco"",""zh-CN"":""博阿科"",""tr"":""Boaco"",""ru"":""Боако"",""uk"":""Боако"",""pl"":""Boaco"",""hi"":""बोअको"",""ar"":""بواكو""}",2019-10-06T10:11:40,2025-12-02T14:38:56,1,Q887488
77160,Bocana de Paiwas,952,AS,159,NI,adm2,,,12.78571000,-85.12269000,Bocana de Paiwas,7872,America/Managua,"{""br"":""Bocana de Paiwas"",""ko"":""보카나 데 파이와스"",""pt-BR"":""Bocana de Paiwas"",""pt"":""Bocana de Paiwas"",""nl"":""Bocana de Paiwas"",""hr"":""Bocaña de Paiwas"",""fa"":""بوکانا دِ پایواس"",""de"":""Bocana de Paiwas"",""es"":""Bocana de Paiwas"",""fr"":""Bocana de Paiwas"",""ja"":""ボカナ・デ・パイワス"",""it"":""Bocana de Paiwas"",""zh-CN"":""派瓦斯海滩"",""tr"":""Bocana de Paiwas"",""ru"":""Бокана де Паивас"",""uk"":""Бокана-де-Пайвас"",""pl"":""Bocana de Paiwas"",""hi"":""बोकाना डे पाइवास"",""ar"":""بوكانا دي بايواس""}",2019-10-06T10:11:40,2025-12-02T14:39:31,1,Q691374
77161,Bonanza,951,AN,159,NI,adm2,,,14.02885000,-84.59103000,Ciego,6315,America/Managua,"{""br"":""Bonanza"",""ko"":""대성공"",""pt-BR"":""Bonança"",""pt"":""Bonança"",""nl"":""Bonanza"",""hr"":""Bonanza"",""fa"":""بونانزا"",""de"":""Goldgrube"",""es"":""Bonanza"",""fr"":""Aubaine"",""ja"":""ボナンザ"",""it"":""Bonanza"",""zh-CN"":""富矿"",""tr"":""Bonanza"",""ru"":""Бонанза"",""uk"":""Бонанза"",""pl"":""Szczęście"",""hi"":""उपहार"",""ar"":""بونانزا""}",2019-10-06T10:11:40,2025-12-02T14:38:56,1,Q892092
77162,Buenos Aires,942,RI,159,NI,adm2,,,11.46916000,-85.81661000,Buenos Aires,1692,America/Managua,"{""br"":""Buenos Aires"",""ko"":""부에노스 아이레스"",""pt-BR"":""Buenos Aires"",""pt"":""Buenos Aires"",""nl"":""Buenos Aires"",""hr"":""Buenos Aires"",""fa"":""بوئنوس آیرس"",""de"":""Buenos Aires"",""es"":""Buenos Aires"",""fr"":""Buenos Aires"",""ja"":""ブエノスアイレス"",""it"":""Buenos Aires"",""zh-CN"":""布宜诺斯艾利斯"",""tr"":""Buenos Aires"",""ru"":""Буэнос-Айрес"",""uk"":""Буенос-Айрес"",""pl"":""Buenos Aires"",""hi"":""ब्यूनस आयर्स"",""ar"":""بوينس آيرس""}",2019-10-06T10:11:40,2025-12-02T14:38:56,1,Q1648230
77163,Camoapa,946,BO,159,NI,adm2,,,12.38383000,-85.51277000,Camoapa,16653,America/Managua,"{""br"":""Camoapa"",""ko"":""카모아파"",""pt-BR"":""Camoapa"",""pt"":""Camoapa"",""nl"":""Camoapa"",""hr"":""Camoapa"",""fa"":""کامواپا"",""de"":""Camoapa"",""es"":""Camoapa"",""fr"":""Camoapa"",""ja"":""カモアパ"",""it"":""Camoapa"",""zh-CN"":""卡莫阿帕"",""tr"":""Camoapa"",""ru"":""Камоапа"",""uk"":""Камоапа"",""pl"":""Kamoapa"",""hi"":""कैमोपा"",""ar"":""كاموابا""}",2019-10-06T10:11:40,2025-12-02T14:38:56,1,Q2605022
