id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
77297,'s Gravenmoer,2623,NB,156,NL,city,,,51.65594000,4.94076000,'s gravenmoer,2315,Europe/Amsterdam,"{""br"":""'s Gravenmoer"",""ko"":""'s Gravenmoer"",""pt-BR"":""Gravenmoer de 's"",""pt"":""Gravenmoer de 's"",""nl"":""'s Gravenmoer"",""hr"":""Gravenmoer"",""fa"":""گراونمور"",""de"":""'s Gravenmoer"",""es"":""Gravenmoer"",""fr"":""'s Gravenmoer"",""ja"":""のグラーヴェンモア"",""it"":""Gravenmoer di 's"",""zh-CN"":""的格雷文莫尔"",""tr"":""'nin Gravenmoer'ı"",""ru"":""Гравенмур"",""uk"":""Гравенмор"",""pl"":""Gravenmoer"",""hi"":""ग्रेवेनमोर"",""ar"":""جرافنموير""}",2019-10-06T10:11:41,2025-12-02T14:38:56,1,Q131883
77298,'s-Gravenland,2614,ZH,156,NL,section,,,51.92336000,4.55315000,'s-Gravenland,10000,Europe/Amsterdam,"{""br"":""'s-Gravenland"",""ko"":""'s-Gravenland"",""pt-BR"":""'s-Gravenland"",""pt"":""'s-Gravenland"",""nl"":""'s-Gravenland"",""hr"":""'s-Gravenland"",""fa"":""گراونلند"",""de"":""'s-Gravenland"",""es"":""'s-Gravenland"",""fr"":""'s-Gravenland"",""ja"":""'s-Gravenland"",""it"":""'s-Gravenland"",""zh-CN"":""斯格拉文兰"",""tr"":""'s-Mezarlık"",""ru"":""'s-Gravenland"",""uk"":""'с-Грейвенленд"",""pl"":""'s-Gravenland"",""hi"":""'s-ग्रेवेनलैंड"",""ar"":""'s-Gravenland""}",2019-10-06T10:11:41,2025-12-02T14:38:56,1,Q2517974
77299,'s-Gravenzande,2614,ZH,156,NL,city,,,52.00167000,4.16528000,'s-Gravenzande,19173,Europe/Amsterdam,"{""br"":""'s-Gravenzande"",""ko"":""'s-Gravenzande"",""pt-BR"":""'s-Gravenzande"",""pt"":""'s-Gravenzande"",""nl"":""'s-Gravenzande"",""hr"":""'s-Gravenzande"",""fa"":""گراون‌تانده"",""de"":""'s-Gravenzande"",""es"":""'s-Gravenzande"",""fr"":""'s-Gravenzande"",""ja"":""'s-Gravenzande"",""it"":""'s-Gravenzande"",""zh-CN"":""斯格拉芬赞德"",""tr"":""'s-Gravenzande"",""ru"":""'s-Gravenzande"",""uk"":""'с-Ґравензанде"",""pl"":""'s-Gravenzande"",""hi"":""'s-ग्रेवेनज़ांडे"",""ar"":""'s-Gravenzande""}",2019-10-06T10:11:41,2025-12-02T14:38:56,1,Q425786
77300,'s-Heerenberg,2611,GE,156,NL,city,,,51.87670000,6.25877000,'s-Heerenberg,4720,Europe/Amsterdam,"{""br"":""'s-Heerenberg"",""ko"":""'s-Heerenberg"",""pt-BR"":""'s-Heerenberg"",""pt"":""'s-Heerenberg"",""nl"":""'s-Heerenberg"",""hr"":""'s-Heerenberg"",""fa"":""هیرنبرگ"",""de"":""'s-Heerenberg"",""es"":""'s-Heerenberg"",""fr"":""'s-Heerenberg"",""ja"":""ヘーレンベルク"",""it"":""'s-Heerenberg"",""zh-CN"":""希伦贝格"",""tr"":""'s-Heerenberg"",""ru"":""'с-Хееренберг"",""uk"":""'с-Херенберг"",""pl"":""'s-Heerenberg"",""hi"":""'s-हीरेनबर्ग"",""ar"":""'س-هيرينبيرج""}",2019-10-06T10:11:41,2025-12-02T14:38:56,1,Q425810
77301,'s-Hertogenbosch,2623,NB,156,NL,adm1,,,51.69917000,5.30417000,'s-Hertogenbosch,155490,Europe/Amsterdam,"{""br"":""'s-Hertogenbosch"",""ko"":""스헤르토겐보스"",""pt-BR"":""'s-Hertogenbosch"",""pt"":""'s-Hertogenbosch"",""nl"":""'s-Hertogenbosch"",""hr"":""'s-Hertogenbosch"",""fa"":""سرتوخنبوش"",""de"":""'s-Hertogenbosch"",""es"":""'s-Hertogenbosch"",""fr"":""Bois-le-Duc"",""ja"":""スヘルトーヘンボス"",""it"":""'s-Hertogenbosch"",""zh-CN"":""斯海尔托亨博斯"",""tr"":""'s-Hertogenbosch"",""ru"":""Хертогенбос"",""uk"":""'с-Гертогенбос"",""pl"":""'s-Hertogenbosch"",""hi"":""'s-हर्टोजेनबोश"",""ar"":""'س-هيرتوجنبوش""}",2019-10-06T10:11:41,2025-12-02T14:38:56,1,Q2766547
77302,'t Hofke,2623,NB,156,NL,section,,,51.44943000,5.51926000,'T HOFKE,3475,Europe/Amsterdam,"{""br"":""'t Hofke"",""ko"":""'t 호프케"",""pt-BR"":""'t Hofke"",""pt"":""'t Hofke"",""nl"":""'t Hofke"",""hr"":""'t Hofke"",""fa"":""هافکه"",""de"":""'t Hofke"",""es"":""'t Hofke"",""fr"":""'t Hofke"",""ja"":""ホフケ"",""it"":""'t Hofke"",""zh-CN"":""特霍夫克"",""tr"":""'t Hofke"",""ru"":""'т Хофке"",""uk"":""'т Хофке"",""pl"":""'t Hofke"",""hi"":""'टी हॉफके"",""ar"":""'ت هوفكه""}",2019-10-06T10:11:41,2025-12-02T14:38:56,1,Q2766547
77303,'t Zand,2612,NH,156,NL,city,,,52.83667000,4.75556000,'T Zand,2485,Europe/Amsterdam,"{""br"":""'t Zand"",""ko"":""'t Zand"",""pt-BR"":""'t Zand"",""pt"":""'t Zand"",""nl"":""'t Zand"",""hr"":""'t Zand"",""fa"":""زند"",""de"":""'t Zand"",""es"":""'t Zand"",""fr"":""'t Zand"",""ja"":""'t Zand"",""it"":""'t Zand"",""zh-CN"":""'t Zand"",""tr"":""'t Zand"",""ru"":""'т Занд"",""uk"":""'т Занд"",""pl"":""'t Zand"",""hi"":""'टी ज़ैंड"",""ar"":""'ت زاند""}",2019-10-06T10:11:41,2025-12-02T14:39:31,1,Q2766547
77304,Aagtekerke,2620,ZE,156,NL,city,,,51.54667000,3.50972000,Aagtekerke,1480,Europe/Amsterdam,"{""br"":""Aagtekerke"",""ko"":""아그테케르케"",""pt-BR"":""Aagtekerke"",""pt"":""Aagtekerke"",""nl"":""Aagtekerke"",""hr"":""Aagtekerke"",""fa"":""آگتکرکه"",""de"":""Aagtekerke"",""es"":""Aagtekerke"",""fr"":""Aagtekerke"",""ja"":""アグテ教会"",""it"":""Aagtekerke"",""zh-CN"":""阿格特克尔克"",""tr"":""Aagtekerke"",""ru"":""Аагтекерке"",""uk"":""Аагтекерке"",""pl"":""Aagtekerke"",""hi"":""आग्तेकेरके"",""ar"":""آغتيكيركي""}",2019-10-06T10:11:41,2025-12-02T14:38:56,1,Q300808
77305,Aalburg,2623,NB,156,NL,city,,,51.75482000,5.13156000,Aalburg,6588,Europe/Amsterdam,"{""br"":""Aalburg"",""ko"":""알부르크"",""pt-BR"":""Aalburg"",""pt"":""Aalburg"",""nl"":""Aalburg"",""hr"":""Aalburg"",""fa"":""آلبورگ"",""de"":""Aalburg"",""es"":""Aalburg"",""fr"":""Aalburg"",""ja"":""オールブルグ"",""it"":""Aalburg"",""zh-CN"":""奥尔堡"",""tr"":""Aalburg"",""ru"":""Аальбург"",""uk"":""Ольбург"",""pl"":""Aalburg"",""hi"":""आलबर्ग"",""ar"":""ألبورغ""}",2019-10-06T10:11:41,2025-12-02T14:39:31,1,Q3111055
77306,Aalden,2613,DR,156,NL,city,,,52.79000000,6.71806000,Aalden,1625,Europe/Amsterdam,"{""br"":""Aalden"",""ko"":""알덴"",""pt-BR"":""Aalden"",""pt"":""Aalden"",""nl"":""Aalden"",""hr"":""Aalden"",""fa"":""آلدن"",""de"":""Aalden"",""es"":""Aalden"",""fr"":""Aalden"",""ja"":""アールデン"",""it"":""Aalden"",""zh-CN"":""阿尔登"",""tr"":""Aalden"",""ru"":""Аалден"",""uk"":""Аалден"",""pl"":""Aalden"",""hi"":""आल्डेन"",""ar"":""ألدن""}",2019-10-06T10:11:41,2025-12-02T14:38:56,1,Q2432807
