id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
79037,Agdenes,1006,50,165,NO,city,,,63.50575000,9.82623000,Agdenes,,Europe/Oslo,"{""br"":""Agdenes"",""ko"":""아그데네스"",""pt-BR"":""Agdenes"",""pt"":""Agdenes"",""nl"":""Agdenes"",""hr"":""Agdenes"",""fa"":""آگدنس"",""de"":""Agdenes"",""es"":""Agdenes"",""fr"":""Agdènes"",""ja"":""アグデネス"",""it"":""Agdenes"",""zh-CN"":""阿格德内斯"",""tr"":""Agdenes"",""ru"":""Агденес"",""uk"":""Агденес"",""pl"":""Agdenes"",""hi"":""एग्डेनेस"",""ar"":""أجدينس""}",2019-10-06T10:12:04,2025-12-02T16:59:27,1,Q392093
79038,Alstahaug,1025,18,165,NO,city,,,65.97556000,12.56836000,Alstahaug,7465,Europe/Oslo,"{""br"":""Alstahaug"",""ko"":""알스타하우그"",""pt-BR"":""Alstahaug"",""pt"":""Alstahaug"",""nl"":""Alstahaug"",""hr"":""Alstahaug"",""fa"":""آلستاهاوگ"",""de"":""Alstahaug"",""es"":""Alstahaug"",""fr"":""Alstahaug"",""ja"":""アルスタハウグ"",""it"":""Alstahaug"",""zh-CN"":""阿尔斯塔海于格"",""tr"":""Alstahaug"",""ru"":""Альстахауг"",""uk"":""Альстахауг"",""pl"":""Alstahaug"",""hi"":""आल्स्टाहॉग"",""ar"":""ألستاهوج""}",2019-10-06T10:12:04,2025-12-02T16:59:27,1,Q217808
79039,Alta,1015,56,165,NO,city,,,69.97675000,23.29634000,Alta,21877,Europe/Oslo,"{""br"":""Alta"",""ko"":""알타"",""pt-BR"":""Alta"",""pt"":""Alta"",""nl"":""Alta"",""hr"":""Alta"",""fa"":""آلتا"",""de"":""Alta"",""es"":""Alta"",""fr"":""Haute"",""ja"":""アルタ"",""it"":""Alta"",""zh-CN"":""阿尔塔"",""tr"":""Yüksek"",""ru"":""Альта"",""uk"":""Альта"",""pl"":""Alta"",""hi"":""अल्टा"",""ar"":""ألتا""}",2019-10-06T10:12:04,2025-12-02T16:59:27,1,Q6535
79040,Alvdal,1009,34,165,NO,adm2,,,62.10854000,10.63483000,Alvdal,2509,Europe/Oslo,"{""br"":""Alvdal"",""ko"":""알브달"",""pt-BR"":""Alvdal"",""pt"":""Alvdal"",""nl"":""Alvdal"",""hr"":""Alvdal"",""fa"":""آلودال"",""de"":""Alvdal"",""es"":""Alvdal"",""fr"":""Alvdal"",""ja"":""アルヴダル"",""it"":""Alvdal"",""zh-CN"":""阿尔夫达尔"",""tr"":""Alvdal"",""ru"":""Альвдал"",""uk"":""Альвдал"",""pl"":""Alvdal"",""hi"":""अल्वडाल"",""ar"":""ألفدال""}",2019-10-06T10:12:04,2025-12-02T17:11:50,1,Q48723
79041,Andenes,1025,18,165,NO,adm2,,,69.31428000,16.11939000,Annen,2499,Europe/Oslo,"{""br"":""Andenoù"",""ko"":""안데네스"",""pt-BR"":""Andenes"",""pt"":""Andenes"",""nl"":""Andenes"",""hr"":""Andenes"",""fa"":""آندن‌ها"",""de"":""Andenes"",""es"":""Andenes"",""fr"":""Andènes"",""ja"":""アンデネス"",""it"":""Andenes"",""zh-CN"":""安德内斯"",""tr"":""Andenes"",""ru"":""Анденес"",""uk"":""Анденес"",""pl"":""Andenes"",""hi"":""एंडीन्स"",""ar"":""أندينيس""}",2019-10-06T10:12:04,2025-12-02T14:38:56,1,Q167305
79042,Andøy,1025,18,165,NO,city,,,69.08033000,15.77637000,Andøy,4542,Europe/Oslo,"{""br"":""Andøy"",""ko"":""안도이"",""pt-BR"":""Andøy"",""pt"":""Andøy"",""nl"":""Andøy"",""hr"":""Andøy"",""fa"":""آندوی"",""de"":""Andøy"",""es"":""Andøy"",""fr"":""Andøy"",""ja"":""アンドイ"",""it"":""Andøy"",""zh-CN"":""安德于"",""tr"":""Andøy"",""ru"":""Андёй"",""uk"":""Андей"",""pl"":""Andøy"",""hi"":""एंडोय"",""ar"":""أندوي""}",2019-10-06T10:12:04,2025-12-02T16:59:27,1,Q113710
79043,Aremark,5450,31,165,NO,city,,,59.22198000,11.69582000,Aremark,1346,Europe/Oslo,"{""br"":""Merkañ"",""ko"":""아레마크"",""pt-BR"":""Aremark"",""pt"":""Aremark"",""nl"":""Aremark"",""hr"":""Aremark"",""fa"":""آرمارک"",""de"":""Aremark"",""es"":""Una nota"",""fr"":""Remarque"",""ja"":""アレマーク"",""it"":""Aremark"",""zh-CN"":""阿雷马克"",""tr"":""Aremark"",""ru"":""Аремарк"",""uk"":""Аремарк"",""pl"":""Aremark"",""hi"":""अरेमार्क"",""ar"":""أريمارك""}",2019-10-06T10:12:04,2025-12-02T16:59:27,1,Q48393
79044,Ask,5448,32,165,NO,adm2,,,60.07131000,11.03620000,Spørre,6890,Europe/Oslo,"{""br"":""Goulenn"",""ko"":""묻다"",""pt-BR"":""Perguntar"",""pt"":""Perguntar"",""nl"":""Vragen"",""hr"":""Pitajte"",""fa"":""بپرسید"",""de"":""Fragen"",""es"":""Preguntar"",""fr"":""Demander"",""ja"":""聞く"",""it"":""Chiedere"",""zh-CN"":""问"",""tr"":""Sormak"",""ru"":""Просить"",""uk"":""Запитайте"",""pl"":""Zapytać"",""hi"":""पूछना"",""ar"":""بسأل""}",2019-10-06T10:12:04,2025-12-02T14:39:31,1,Q3366918
79045,Asker,5448,32,165,NO,adm2,,,59.83734000,10.43595000,Asker,61906,Europe/Oslo,"{""br"":""Goulennerien"",""ko"":""애스커"",""pt-BR"":""Perguntador"",""pt"":""Perguntador"",""nl"":""Vraagsteller"",""hr"":""Postavljač pitanja"",""fa"":""پرسکر"",""de"":""Fragesteller"",""es"":""Preguntador"",""fr"":""Demandeur"",""ja"":""アスカー"",""it"":""Chi chiede"",""zh-CN"":""阿斯克"",""tr"":""Asker"",""ru"":""Аскер"",""uk"":""Аскера"",""pl"":""Pytający"",""hi"":""प्रश्नकर्ता"",""ar"":""السائل""}",2019-10-06T10:12:04,2025-12-02T14:38:56,1,Q56869
79046,Askim,5450,31,165,NO,adm2,,,59.58464000,11.16084000,Askim,15368,Europe/Oslo,"{""br"":""Askim"",""ko"":""아스킴"",""pt-BR"":""Askim"",""pt"":""Askim"",""nl"":""Askim"",""hr"":""Askim"",""fa"":""آسکیم"",""de"":""Askim"",""es"":""Askim"",""fr"":""Askim"",""ja"":""アスキム"",""it"":""Askim"",""zh-CN"":""阿什姆"",""tr"":""Askim"",""ru"":""Аским"",""uk"":""Аскім"",""pl"":""Askim"",""hi"":""अस्किम"",""ar"":""أسكيم""}",2019-10-06T10:12:04,2025-12-02T17:11:50,1,Q109469
79047,Askvoll,1018,46,165,NO,adm2,,,61.34850000,5.05318000,Askvoll,2930,Europe/Oslo,"{""br"":""Goulenn"",""ko"":""아스볼"",""pt-BR"":""Askvoll"",""pt"":""Askvoll"",""nl"":""Askvoll"",""hr"":""Askvoll"",""fa"":""آسکول"",""de"":""Askvoll"",""es"":""Askvoll"",""fr"":""Askvoll"",""ja"":""アスクヴォル"",""it"":""Askvoll"",""zh-CN"":""阿斯克沃尔"",""tr"":""Askvoll"",""ru"":""Аскволл"",""uk"":""Аскволл"",""pl"":""Askvoll"",""hi"":""आस्कवॉल"",""ar"":""أسكفول""}",2019-10-06T10:12:04,2025-12-02T17:11:50,1,Q504817
