id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
79705,Bhaktapur,2073,P3,154,NP,district,,,27.67743440,85.40386700,भक्तपुर,81748,Asia/Kathmandu,"{""br"":""Bhaktapur"",""ko"":""박타푸르"",""pt-BR"":""Bhaktapur"",""pt"":""Bhaktapur"",""nl"":""Bhaktapur"",""hr"":""Bhaktapur"",""fa"":""بختاپور"",""de"":""Bhaktapur"",""es"":""Bhaktapur"",""fr"":""Bhaktapur"",""ja"":""バクタプル"",""it"":""Bhaktapur"",""zh-CN"":""巴克塔普尔"",""tr"":""Bhaktapur"",""ru"":""Бхактапур"",""uk"":""Бхактапур"",""pl"":""Bhaktapur"",""hi"":""भक्तापुर"",""ar"":""بهاكتابور""}",2019-10-06T10:12:14,2025-12-02T15:23:25,1,Q28451
79706,Baglung,2069,P4,154,NP,district,,,28.27711640,83.54353530,बाग्लु,23296,Asia/Kathmandu,"{""br"":""Baglung"",""ko"":""바글룽"",""pt-BR"":""Baglung"",""pt"":""Baglung"",""nl"":""Baglung"",""hr"":""Baglung"",""fa"":""باگلونگ"",""de"":""Baglung"",""es"":""Baglung"",""fr"":""Baglung"",""ja"":""バグルン"",""it"":""Baglung"",""zh-CN"":""巴格隆"",""tr"":""Baglung"",""ru"":""Баглунг"",""uk"":""Баглунг"",""pl"":""Baglung"",""hi"":""बागलुंग"",""ar"":""باجلونج""}",2019-10-06T10:12:14,2025-12-02T15:23:25,1,Q28162
79707,Chitwan,2073,P3,154,NP,district,,,27.61953620,84.02793400,चितवन,719859,Asia/Kathmandu,"{""br"":""Chitwan"",""ko"":""치트완"",""pt-BR"":""Chitwan"",""pt"":""Chitwan"",""nl"":""Chitwan"",""hr"":""Čitvan"",""fa"":""چیتوان"",""de"":""Chitwan"",""es"":""Chitwan"",""fr"":""Chitwan"",""ja"":""チトワン"",""it"":""Chitwan"",""zh-CN"":""奇特旺"",""tr"":""Çitvan"",""ru"":""Читван"",""uk"":""Чітван"",""pl"":""Chitwan"",""hi"":""चितवन"",""ar"":""تشيتوان""}",2019-10-06T10:12:15,2025-12-02T15:23:25,1,Q28583
79708,Arghakhanchi,2067,P5,154,NP,district,,,27.93234540,82.70966110,अर्घाखाँची,,Asia/Kathmandu,"{""br"":""Arghakhanchi"",""ko"":""아르가칸치"",""pt-BR"":""Arghakhanchi"",""pt"":""Arghakhanchi"",""nl"":""Arghakhanchi"",""hr"":""Arghakhanchi"",""fa"":""ارغاخانچی"",""de"":""Arghakhanchi"",""es"":""Arghakhanchi"",""fr"":""Arghakhanchi"",""ja"":""アルガカンチ"",""it"":""Arghakhanchi"",""zh-CN"":""阿尔加汉奇"",""tr"":""Arghakhanchi"",""ru"":""Аргаханчи"",""uk"":""Аргаханчі"",""pl"":""Arghakhanchi"",""hi"":""अर्घाखांची"",""ar"":""أرغاخانجي""}",2019-10-06T10:12:15,2025-12-02T15:23:25,1,Q28432
79709,Gorkha,2069,P4,154,NP,district,,,28.27346270,84.14877700,गोरखा,0,Asia/Kathmandu,"{""br"":""Gorkha"",""ko"":""고르카"",""pt-BR"":""Gorkha"",""pt"":""Gorkha"",""nl"":""Gorkha"",""hr"":""Gorka"",""fa"":""گورخا"",""de"":""Gorkha"",""es"":""Gorkha"",""fr"":""Gorkha"",""ja"":""ゴルカ"",""it"":""Gorkha"",""zh-CN"":""廓尔喀"",""tr"":""Gorkha"",""ru"":""Горкха"",""uk"":""Горкха"",""pl"":""Gorkha"",""hi"":""गोरखा"",""ar"":""غوركا""}",2019-10-06T10:12:15,2025-12-02T15:23:25,1,Q28476
79710,Bhojpur,2066,P1,154,NP,district,,,27.16432030,86.97399080,भोजपुर,2640,Asia/Kathmandu,"{""br"":""Bhojpur"",""ko"":""보즈푸르"",""pt-BR"":""Bhojpur"",""pt"":""Bhojpur"",""nl"":""Bhojpur"",""hr"":""Bhojpur"",""fa"":""بوجپور"",""de"":""Bhojpur"",""es"":""Bhojpur"",""fr"":""Bhojpur"",""ja"":""ボジプル"",""it"":""Bhojpur"",""zh-CN"":""博杰普尔"",""tr"":""Bhojpur"",""ru"":""Бходжпур"",""uk"":""Бходжпур"",""pl"":""Bhojpur"",""hi"":""भोजपुर"",""ar"":""بهوجبور""}",2019-10-06T10:12:15,2025-12-02T15:23:25,1,Q2284812
79711,Kaski,2069,P4,154,NP,district,,,28.34572360,83.65987310,हेलमेट,,Asia/Kathmandu,"{""br"":""Kaski"",""ko"":""카스키"",""pt-BR"":""Kaski"",""pt"":""Kaski"",""nl"":""Kaski"",""hr"":""Kaski"",""fa"":""کاسکی"",""de"":""Kaski"",""es"":""Kaski"",""fr"":""Kaski"",""ja"":""カスキ"",""it"":""Kaski"",""zh-CN"":""卡斯基"",""tr"":""Kaski"",""ru"":""Каски"",""uk"":""Каскі"",""pl"":""Kaski"",""hi"":""कास्की"",""ar"":""كاسكي""}",2019-10-06T10:12:15,2025-12-02T15:23:25,1,Q28436
79712,Dhankuta,2066,P1,154,NP,district,,,26.98445610,87.24311290,धनकुटा,26440,Asia/Kathmandu,"{""br"":""Dhankuta"",""ko"":""단쿠타"",""pt-BR"":""Dhankuta"",""pt"":""Dhankuta"",""nl"":""Dhankuta"",""hr"":""Dhankuta"",""fa"":""دهنکوتا"",""de"":""Dhankuta"",""es"":""Dhankuta"",""fr"":""Dhankuta"",""ja"":""ダンクタ"",""it"":""Dhankuta"",""zh-CN"":""丹库塔"",""tr"":""Dhankuta"",""ru"":""Дханкута"",""uk"":""Дханкута"",""pl"":""Dhankuta"",""hi"":""धनकुटा"",""ar"":""دانكوتا""}",2019-10-06T10:12:15,2025-12-02T15:23:25,1,Q28081
79713,Dhading,2073,P3,154,NP,district,,,28.00725840,84.28464170,धादिज,325710,Asia/Kathmandu,"{""br"":""Dhading"",""ko"":""다딩"",""pt-BR"":""Dhading"",""pt"":""Dhading"",""nl"":""Dhading"",""hr"":""Dhading"",""fa"":""دادینگ"",""de"":""Dhading"",""es"":""Dhading"",""fr"":""Dhading"",""ja"":""ダディン"",""it"":""Dhading"",""zh-CN"":""达丁"",""tr"":""Dhading"",""ru"":""Дхадинг"",""uk"":""Дхадінг"",""pl"":""Dhading"",""hi"":""Dhading"",""ar"":""دهادينغ""}",2019-10-06T10:12:15,2025-12-02T15:23:25,1,Q28454
79714,Banke,2067,P5,154,NP,district,,,28.09593710,81.51662830,बैंकहरु,603194,Asia/Kathmandu,"{""br"":""Banke"",""ko"":""뱅크"",""pt-BR"":""Banco"",""pt"":""Banco"",""nl"":""Banke"",""hr"":""Banke"",""fa"":""بانکه"",""de"":""Banke"",""es"":""Banco"",""fr"":""Banque"",""ja"":""バンク"",""it"":""Banke"",""zh-CN"":""班克"",""tr"":""Banka"",""ru"":""Банке"",""uk"":""Банке"",""pl"":""Banke"",""hi"":""बनके"",""ar"":""بانكي""}",2019-10-06T10:12:15,2025-12-02T15:23:25,1,Q28447
