id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
79768,Ahipara,4059,NTL,158,NZ,city,,,-35.16667000,173.16667000,Crisis,1390,Pacific/Auckland,"{""br"":""Ahipara"",""ko"":""아히파라"",""pt-BR"":""Ahipara"",""pt"":""Ahipara"",""nl"":""Ahipara"",""hr"":""Ahipara"",""fa"":""آهیپارا"",""de"":""Ahipara"",""es"":""Ahipara"",""fr"":""Ahipara"",""ja"":""アヒパラ"",""it"":""Ahipara"",""zh-CN"":""阿希帕拉"",""tr"":""Ahipara"",""ru"":""Ахипара"",""uk"":""Ахіпара"",""pl"":""Ahipara"",""hi"":""अहिपारा"",""ar"":""أهيبارا""}",2019-10-06T10:12:15,2025-12-02T17:11:50,1,Q400269
79769,Amberley,4066,CAN,158,NZ,city,,,-43.15589000,172.72975000,Amberley,2270,Pacific/Auckland,"{""br"":""Amberley"",""ko"":""앰버리"",""pt-BR"":""Amberley"",""pt"":""Amberley"",""nl"":""Amberley"",""hr"":""Amberley"",""fa"":""امبرلی"",""de"":""Amberley"",""es"":""Amberley"",""fr"":""Amberley"",""ja"":""アンバーリー"",""it"":""Amberley"",""zh-CN"":""安伯利"",""tr"":""Amberley"",""ru"":""Эмберли"",""uk"":""Амберлі"",""pl"":""Amberley"",""hi"":""एम्बरली"",""ar"":""أمبرلي""}",2019-10-06T10:12:15,2025-12-02T14:38:56,1,Q457210
79770,Arrowtown,4062,OTA,158,NZ,city,,,-44.93837000,168.81007000,Arrowtown,2151,Pacific/Auckland,"{""br"":""Arrowtown"",""ko"":""애로우타운"",""pt-BR"":""Arrowtown"",""pt"":""Arrowtown"",""nl"":""Pijlstad"",""hr"":""Arrowtown"",""fa"":""آروتاون"",""de"":""Arrowtown"",""es"":""Arrowtown"",""fr"":""Arrowtown"",""ja"":""アロータウン"",""it"":""Arrowtown"",""zh-CN"":""箭镇"",""tr"":""Arrowtown"",""ru"":""Эрроутаун"",""uk"":""Ерроутаун"",""pl"":""Arrowtown"",""hi"":""एरोटाउन"",""ar"":""أروتاون""}",2019-10-06T10:12:15,2025-12-02T14:39:31,1,Q703016
79771,Ashburton,4066,CAN,158,NZ,city,,,-43.89834000,171.73011000,Ashburton,20200,Pacific/Auckland,"{""br"":""Ashburton"",""ko"":""애쉬버튼"",""pt-BR"":""Ashburton"",""pt"":""Ashburton"",""nl"":""Ashburton"",""hr"":""Ashburton"",""fa"":""اشبرتون"",""de"":""Ashburton"",""es"":""Ashburton"",""fr"":""Ashburton"",""ja"":""アシュバートン"",""it"":""Ashburton"",""zh-CN"":""阿什伯顿"",""tr"":""Ashburton"",""ru"":""Эшбертон"",""uk"":""Ашбертон"",""pl"":""Ashburton"",""hi"":""एशबर्टन"",""ar"":""أشبورتون""}",2019-10-06T10:12:15,2025-12-02T14:38:56,1,Q724923
79772,Ashburton District,4066,CAN,158,NZ,district,,,-43.90000000,171.75000000,Ashburton District,2910,Pacific/Auckland,"{""br"":""Distrig Ashburton"",""ko"":""애쉬버튼 지구"",""pt-BR"":""Distrito de Ashburton"",""pt"":""Distrito de Ashburton"",""nl"":""Ashburton District"",""hr"":""Okrug Ashburton"",""fa"":""ناحیه اشبرتون"",""de"":""Ashburton District"",""es"":""Distrito de Ashburton"",""fr"":""District d'Ashburton"",""ja"":""アシュバートン地区"",""it"":""Distretto di Ashburton"",""zh-CN"":""阿什伯顿区"",""tr"":""Ashburton Bölgesi"",""ru"":""Район Эшбертон"",""uk"":""Район Ашбертон"",""pl"":""Dzielnica Ashburton"",""hi"":""एशबर्टन जिला"",""ar"":""منطقة أشبورتون""}",2019-10-06T10:12:15,2025-12-02T17:30:38,1,Q15784197
79773,Auckland,4072,AUK,158,NZ,adm1,,,-36.84853000,174.76349000,Auckland,1530500,Pacific/Auckland,"{""br"":""Auckland"",""ko"":""오클랜드"",""pt-BR"":""Auckland"",""pt"":""Auckland"",""nl"":""Auckland"",""hr"":""Auckland"",""fa"":""آوکلند"",""de"":""Auckland"",""es"":""Auckland"",""fr"":""Auckland"",""ja"":""オークランド"",""it"":""Auckland"",""zh-CN"":""奥克兰"",""tr"":""Auckland"",""ru"":""Окленд"",""uk"":""Окленд"",""pl"":""Okland"",""hi"":""ऑकलैंड"",""ar"":""أوكلاند""}",2019-10-06T10:12:15,2025-12-02T14:38:56,1,Q15784197
79774,Balclutha,4062,OTA,158,NZ,city,,,-46.23389000,169.75000000,Balclutha,4230,Pacific/Auckland,"{""br"":""Balclutha"",""ko"":""발클루타"",""pt-BR"":""Balclutha"",""pt"":""Balclutha"",""nl"":""Balclutha"",""hr"":""Balclutha"",""fa"":""بالکلوتا"",""de"":""Balclutha"",""es"":""Balclutha"",""fr"":""Balclutha"",""ja"":""バルクルーサ"",""it"":""Balclutha"",""zh-CN"":""巴尔克卢萨"",""tr"":""Balclutha"",""ru"":""Балклута"",""uk"":""Балклута"",""pl"":""Balclutha"",""hi"":""बालक्लुथा"",""ar"":""بالكلوثا""}",2019-10-06T10:12:15,2025-12-02T14:38:56,1,Q804717
79775,Blenheim,4063,MBH,158,NZ,adm1,,,-41.51603000,173.95280000,Blenheim,28200,Pacific/Auckland,"{""br"":""Blenheim"",""ko"":""황금빛 사과"",""pt-BR"":""Blenheim"",""pt"":""Blenheim"",""nl"":""Blenheim"",""hr"":""Blenheim"",""fa"":""بلنهایم"",""de"":""Blenheim"",""es"":""Blenheim"",""fr"":""Blenheim"",""ja"":""ブレナム"",""it"":""Blenheim"",""zh-CN"":""布伦海姆"",""tr"":""Blenheim"",""ru"":""Бленхейм"",""uk"":""Бленгейм"",""pl"":""Blenheim"",""hi"":""ब्लेंहिएम"",""ar"":""بلينهايم""}",2019-10-06T10:12:15,2025-12-02T14:38:56,1,Q883831
79776,Bluff,4071,STL,158,NZ,city,,,-46.60000000,168.33333000,Bluff,1850,Pacific/Auckland,"{""br"":""Bluff"",""ko"":""절벽"",""pt-BR"":""Blefe"",""pt"":""Blefe"",""nl"":""Bluffen"",""hr"":""Blef"",""fa"":""بلوف"",""de"":""Bluff"",""es"":""Bluff"",""fr"":""Bluffer"",""ja"":""ブラフ"",""it"":""Bluff"",""zh-CN"":""虚张声势"",""tr"":""Blöf"",""ru"":""Блеф"",""uk"":""Блеф"",""pl"":""Urwisko"",""hi"":""धोखा"",""ar"":""خدعة""}",2019-10-06T10:12:15,2025-12-02T14:38:56,1,Q152028
79777,Brightwater,4073,TAS,158,NZ,city,,,-41.38333000,173.11667000,Brightwater,2250,Pacific/Auckland,"{""br"":""Brightwater"",""ko"":""브라이트워터"",""pt-BR"":""Água Brilhante"",""pt"":""Água Brilhante"",""nl"":""Helder water"",""hr"":""Brightwater"",""fa"":""برایت‌واتر"",""de"":""Brightwater"",""es"":""Agua brillante"",""fr"":""Brightwater"",""ja"":""ブライトウォーター"",""it"":""Acqua brillante"",""zh-CN"":""布莱特沃特"",""tr"":""Brightwater"",""ru"":""Брайтвотер"",""uk"":""Брайтвотер"",""pl"":""Brightwater"",""hi"":""ब्राइटवाटर"",""ar"":""برايت ووتر""}",2019-10-06T10:12:15,2025-12-02T14:38:56,1,Q915930
79778,Brooklyn,4065,WGN,158,NZ,city,,,-41.30586000,174.76257000,Brooklyn,3855,Pacific/Auckland,"{""br"":""Brooklyn"",""ko"":""브루클린"",""pt-BR"":""Brooklyn"",""pt"":""Brooklyn"",""nl"":""Brooklyn"",""hr"":""Brooklyn"",""fa"":""بروکلین"",""de"":""Brooklyn"",""es"":""Brooklyn"",""fr"":""Brooklyn"",""ja"":""ブルックリン"",""it"":""Brooklyn"",""zh-CN"":""布鲁克林"",""tr"":""Brooklyn"",""ru"":""Бруклин"",""uk"":""Бруклін"",""pl"":""Brooklyn"",""hi"":""ब्रुकलीन"",""ar"":""بروكلين""}",2019-10-06T10:12:15,2025-12-02T14:39:31,1,Q4974716
79779,Bulls,4060,MWT,158,NZ,city,,,-40.17487000,175.38463000,Bulls,2150,Pacific/Auckland,"{""br"":""Ejened"",""ko"":""황소들"",""pt-BR"":""Touros"",""pt"":""Touros"",""nl"":""Stieren"",""hr"":""Bikovi"",""fa"":""گاو نرها"",""de"":""Bullen"",""es"":""Toros"",""fr"":""Taureaux"",""ja"":""ブルズ"",""it"":""Tori"",""zh-CN"":""公牛队"",""tr"":""Boğalar"",""ru"":""Быки"",""uk"":""Бики"",""pl"":""Byki"",""hi"":""बुल्स"",""ar"":""الثيران""}",2019-10-06T10:12:15,2025-12-02T14:38:56,1,Q834869
79780,Burnham,4066,CAN,158,NZ,city,,,-43.61667000,172.31667000,Burnham,1290,Pacific/Auckland,"{""br"":""Burnham"",""ko"":""번햄"",""pt-BR"":""Burnham"",""pt"":""Burnham"",""nl"":""Burnham"",""hr"":""Burnham"",""fa"":""برنهام"",""de"":""Burnham"",""es"":""Burnham"",""fr"":""Burnham"",""ja"":""バーナム"",""it"":""Burnham"",""zh-CN"":""伯纳姆"",""tr"":""Burnham"",""ru"":""Бернхэм"",""uk"":""Бернем"",""pl"":""Burnham"",""hi"":""बर्नहैम"",""ar"":""بيرنهام""}",2019-10-06T10:12:15,2025-12-02T14:38:56,1,Q137105
79781,Cambridge,4061,WKO,158,NZ,city,,,-37.87822000,175.44020000,Cambridge,15192,Pacific/Auckland,"{""br"":""Kembre"",""ko"":""케임브리지"",""pt-BR"":""Cambridge"",""pt"":""Cambridge"",""nl"":""Cambridge"",""hr"":""Cambridge"",""fa"":""کمبریج"",""de"":""Cambridge"",""es"":""Cambridge"",""fr"":""Cambridge"",""ja"":""ケンブリッジ"",""it"":""Cambridge"",""zh-CN"":""剑桥"",""tr"":""Cambridge"",""ru"":""Кембридж"",""uk"":""Кембридж"",""pl"":""Cambridge"",""hi"":""कैंब्रिज"",""ar"":""كامبريدج""}",2019-10-06T10:12:15,2025-12-02T14:39:31,1,Q1028261
79782,Castlepoint,4065,WGN,158,NZ,city,,,-40.90000000,176.21667000,Castlepoint,1686,Pacific/Auckland,"{""br"":""Castlepoint"",""ko"":""캐슬포인트"",""pt-BR"":""Castlepoint"",""pt"":""Castlepoint"",""nl"":""Kasteelpunt"",""hr"":""Castlepoint"",""fa"":""کسل‌پوینت"",""de"":""Burgpunkt"",""es"":""Punto del castillo"",""fr"":""Castlepoint"",""ja"":""キャッスルポイント"",""it"":""Castlepoint"",""zh-CN"":""卡斯尔波因特"",""tr"":""Kale noktası"",""ru"":""Каслпойнт"",""uk"":""Каслпойнт"",""pl"":""Castlepoint"",""hi"":""कैसलपॉइंट"",""ar"":""كاسل بوينت""}",2019-10-06T10:12:15,2025-12-02T14:39:31,1,Q5050567
79783,Christchurch,4066,CAN,158,NZ,adm1,,,-43.53333000,172.63333000,Christchurch,383200,Pacific/Auckland,"{""br"":""Christchurch"",""ko"":""크라이스트처치"",""pt-BR"":""Christchurch"",""pt"":""Christchurch"",""nl"":""Christchurch"",""hr"":""Christchurch"",""fa"":""کرایست‌چرچ"",""de"":""Christchurch"",""es"":""Christchurch"",""fr"":""Christchurch"",""ja"":""クライストチャーチ"",""it"":""Christchurch"",""zh-CN"":""基督城"",""tr"":""Christchurch"",""ru"":""Крайстчерч"",""uk"":""Крайстчерч"",""pl"":""Christchurch"",""hi"":""क्राइस्टचर्च"",""ar"":""كرايستشيرش""}",2019-10-06T10:12:16,2025-12-02T14:38:56,1,Q79990
79785,Clutha,4062,OTA,158,NZ,district,,,-46.03883000,169.60617000,Clutha District,17700,Pacific/Auckland,"{""br"":""Distrig Clutha"",""ko"":""클루타 지구"",""pt-BR"":""Distrito de Clutha"",""pt"":""Distrito de Clutha"",""nl"":""Clutha-district"",""hr"":""Okrug Cultha"",""fa"":""ناحیه کلوتا"",""de"":""Clutha-Bezirk"",""es"":""Distrito de Clutha"",""fr"":""District de Clutha"",""ja"":""クルーサ地区"",""it"":""Distretto di Clutha"",""zh-CN"":""克鲁萨区"",""tr"":""Clutha Bölgesi"",""ru"":""Район Клута"",""uk"":""Район Клута"",""pl"":""Dystrykt Clutha"",""hi"":""क्लुथा जिला"",""ar"":""منطقة كلوثا""}",2019-10-06T10:12:16,2025-12-02T17:03:53,1,Q1103566
79786,Coromandel,4061,WKO,158,NZ,city,,,-36.76110000,175.49634000,Coromandel,1860,Pacific/Auckland,"{""br"":""Koromandel"",""ko"":""코로만델"",""pt-BR"":""Coromandel"",""pt"":""Coromandel"",""nl"":""Coromandel"",""hr"":""Koromandel"",""fa"":""کوروماندل"",""de"":""Coromandel"",""es"":""Coromandel"",""fr"":""Coromandel"",""ja"":""コロマンデル"",""it"":""Coromandel"",""zh-CN"":""科罗曼德"",""tr"":""Koromandel"",""ru"":""Коромандель"",""uk"":""Коромандель"",""pl"":""Koromandel"",""hi"":""COROMANDEL"",""ar"":""كورومانديل""}",2019-10-06T10:12:16,2025-12-02T14:38:56,1,Q1134464
79787,Cromwell,4062,OTA,158,NZ,city,,,-45.03837000,169.20008000,Cromwell,5160,Pacific/Auckland,"{""br"":""Cromwell"",""ko"":""크롬웰"",""pt-BR"":""Cromwell"",""pt"":""Cromwell"",""nl"":""Cromwell"",""hr"":""Cromwell"",""fa"":""کرامول"",""de"":""Cromwell"",""es"":""Cromwell"",""fr"":""Cromwell"",""ja"":""クロムウェル"",""it"":""Cromwell"",""zh-CN"":""克伦威尔"",""tr"":""Cromwell"",""ru"":""Кромвель"",""uk"":""Кромвель"",""pl"":""Cromwell"",""hi"":""क्रॉमवेल"",""ar"":""كرومويل""}",2019-10-06T10:12:16,2025-12-02T14:39:31,1,Q973355
79788,Darfield,4066,CAN,158,NZ,city,,,-43.48333000,172.11667000,Darfield,2960,Pacific/Auckland,"{""br"":""Darfield"",""ko"":""다필드"",""pt-BR"":""Darfield"",""pt"":""Darfield"",""nl"":""Darfield"",""hr"":""Darfield"",""fa"":""دارفیلد"",""de"":""Darfield"",""es"":""Darfield"",""fr"":""Darfield"",""ja"":""ダーフィールド"",""it"":""Darfield"",""zh-CN"":""达菲尔德"",""tr"":""Darfield"",""ru"":""Дарфилд"",""uk"":""Дарфілд"",""pl"":""Darfield"",""hi"":""डारफील्ड"",""ar"":""دارفيلد""}",2019-10-06T10:12:16,2025-12-02T14:38:56,1,Q1165830
79789,Dargaville,4059,NTL,158,NZ,city,,,-35.93333000,173.88333000,Dargaville,5130,Pacific/Auckland,"{""br"":""Dargaville"",""ko"":""다가빌"",""pt-BR"":""Dargaville"",""pt"":""Dargaville"",""nl"":""Dargaville"",""hr"":""Dargaville"",""fa"":""دارگاویل"",""de"":""Dargaville"",""es"":""Dargaville"",""fr"":""Dargaville"",""ja"":""ダーガビル"",""it"":""Dargaville"",""zh-CN"":""达格维尔"",""tr"":""Dargaville"",""ru"":""Даргавилль"",""uk"":""Даргавіль"",""pl"":""Dargaville"",""hi"":""डार्गाविल"",""ar"":""دارجافيل""}",2019-10-06T10:12:16,2025-12-02T14:39:31,1,Q1165830
79790,Dunedin,4062,OTA,158,NZ,adm1,,,-45.87416000,170.50361000,Dunedin,106200,Pacific/Auckland,"{""br"":""Dinedin"",""ko"":""더니든"",""pt-BR"":""Dunedin"",""pt"":""Dunedin"",""nl"":""Dunedin"",""hr"":""Dunedin"",""fa"":""داندین"",""de"":""Dunedin"",""es"":""Dunedin"",""fr"":""Dunedin"",""ja"":""ダニーデン"",""it"":""Dunedin"",""zh-CN"":""达尼丁"",""tr"":""Dunedin"",""ru"":""Данидин"",""uk"":""Данідін"",""pl"":""Dunedin"",""hi"":""डुनेडिन"",""ar"":""دنيدن""}",2019-10-06T10:12:16,2025-12-02T14:38:56,1,Q1165830
79791,Edgecumbe,4074,BOP,158,NZ,city,,,-37.98333000,176.83333000,Edgecumbe,1790,Pacific/Auckland,"{""br"":""Edgecumbe"",""ko"":""에지컴비"",""pt-BR"":""Edgecumbe"",""pt"":""Edgecumbe"",""nl"":""Edgecumbe"",""hr"":""Edgecumbe"",""fa"":""اجکامب"",""de"":""Edgecumbe"",""es"":""Edgecumbe"",""fr"":""Edgecumbe"",""ja"":""エッジカム"",""it"":""Edgecumbe"",""zh-CN"":""埃奇坎比"",""tr"":""Edgecumbe"",""ru"":""Эджкумб"",""uk"":""Еджкумб"",""pl"":""Edgecumbe"",""hi"":""एजकुम्बे"",""ar"":""إيدجكومب""}",2019-10-06T10:12:16,2025-12-02T14:38:56,1,Q151981
