id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
79926,Adam,3058,DA,166,OM,city,,,22.37934000,57.52718000,آدم,17283,Asia/Muscat,"{""ar"":""آدم"",""br"":""Adam"",""de"":""Adam"",""es"":""Adán"",""fa"":""آدم"",""fr"":""Adam"",""hi"":""एडम"",""hr"":""Adam"",""it"":""Adamo"",""ja"":""アダム"",""ko"":""아담"",""nl"":""Adam"",""pl"":""Adam"",""pt"":""Adão"",""pt-BR"":""Adão"",""ru"":""Адам"",""tr"":""Adem"",""uk"":""Адам"",""zh-CN"":""亚当""}",2019-10-05T23:12:17,2025-12-02T14:38:56,1,Q8032610
79927,Al Buraymī,3059,BU,166,OM,adm1,,,24.25088000,55.79312000,إلى بورايمي,73670,Asia/Muscat,"{""ar"":""البريمي"",""br"":""Al Buraymī"",""de"":""Al Buraymī"",""es"":""Al Buraymi"",""fa"":""البریمی"",""fr"":""Al Buraymi"",""hi"":""अल बुरायम"",""hr"":""Al-Buraymi"",""it"":""Al Buraymī"",""ja"":""アル・ブライミ"",""ko"":""알 부라이미"",""nl"":""Al Buraymī"",""pl"":""Al Buraymi"",""pt"":""Al Buraymī"",""pt-BR"":""Al Buraymī"",""ru"":""Аль-Бурайми"",""tr"":""El Buraymi"",""uk"":""Аль-Бураймі"",""zh-CN"":""布赖米""}",2019-10-05T23:12:17,2025-12-02T14:39:31,1,Q8032610
79928,Al Khābūrah,3048,BS,166,OM,city,,,23.97144000,57.09313000,Al Khābūrah,50223,Asia/Muscat,"{""ar"":""الخابورة"",""br"":""Al Khābūrah"",""de"":""Al-Khabura"",""es"":""Al Khabūrah"",""fa"":""الخابوره"",""fr"":""Al Khābūrah"",""hi"":""अल ख़ाबुराह"",""hr"":""Al Khaburah"",""it"":""Al Khābūrah"",""ja"":""アル・カブーラ"",""ko"":""알 카부라"",""nl"":""Al Khābūrah"",""pl"":""Al Khābūrah"",""pt"":""Al Khabūrah"",""pt-BR"":""Al Khabūrah"",""ru"":""Аль-Хабура"",""tr"":""El-Habura"",""uk"":""Аль-Хабура"",""zh-CN"":""阿尔哈布拉""}",2019-10-05T23:12:17,2025-12-02T14:39:31,1,Q8032610
79929,As Suwayq,3048,BS,166,OM,city,,,23.84944000,57.43861000,كما Suwayq,107143,Asia/Muscat,"{""ar"":""السويق"",""br"":""Evel Suwayq"",""de"":""As Suwayq"",""es"":""Como Suwayq"",""fa"":""به عنوان سویق"",""fr"":""Comme Suwayq"",""hi"":""अस सुवेक"",""hr"":""Kao Suwayq"",""it"":""Come Suwayq"",""ja"":""スワイク"",""ko"":""수와이크처럼"",""nl"":""Als Suwayq"",""pl"":""Jako Suwayq"",""pt"":""Como Suwayq"",""pt-BR"":""Como Suwayq"",""ru"":""Ас Сувейк"",""tr"":""Suwayq olarak"",""uk"":""Як Сувайк"",""zh-CN"":""苏韦格""}",2019-10-05T23:12:17,2025-12-02T14:39:31,1,Q8032610
79930,Bahlā’,3058,DA,166,OM,city,,,22.97886000,57.30470000,البكل,54338,Asia/Muscat,"{""ar"":""بهلا"",""br"":""Bahlā'"",""de"":""Bahlā’"",""es"":""Bahlā’"",""fa"":""بهلاء"",""fr"":""Bahlā’"",""hi"":""बहला"",""hr"":""Bahla"",""it"":""Bahlā’"",""ja"":""バハラ"",""ko"":""바흘라"",""nl"":""Bahlā’"",""pl"":""Bahlā’"",""pt"":""Bahla'"",""pt-BR"":""Bahla'"",""ru"":""Бахла’"",""tr"":""Behlā’"",""uk"":""Бахла"",""zh-CN"":""巴赫拉’""}",2019-10-05T23:12:17,2025-12-02T14:39:31,1,Q49345172
79931,Barkā’,3049,BJ,166,OM,section,,,23.67872000,57.88605000,في باركا,81647,Asia/Muscat,"{""ar"":""بركاء"",""br"":""Barkā’"",""de"":""Barkā’"",""es"":""Barkā’"",""fa"":""بارکا"",""fr"":""Barka’"",""hi"":""बरका"",""hr"":""Barka"",""it"":""Barkā’"",""ja"":""バルカー"",""ko"":""바르카"",""nl"":""Barkā’"",""pl"":""Barka’"",""pt"":""Barka'"",""pt-BR"":""Barka'"",""ru"":""Барка’"",""tr"":""Barkā’"",""uk"":""Барка"",""zh-CN"":""巴尔卡’""}",2019-10-05T23:12:17,2025-12-02T14:39:31,1,Q49345172
79932,Bawshar,3055,MA,166,OM,city,,,23.57769000,58.39982000,حزام,402023,Asia/Muscat,"{""ar"":""بوشر"",""br"":""Bawshar"",""de"":""Bawschar"",""es"":""Bawshar"",""fa"":""بوشر"",""fr"":""Bawshar"",""hi"":""बावशर"",""hr"":""Bawshar"",""it"":""Bawshar"",""ja"":""バウシャール"",""ko"":""바우샤르"",""nl"":""Bawshar"",""pl"":""Bawshar"",""pt"":""Bawshar"",""pt-BR"":""Bawshar"",""ru"":""Бавшар"",""tr"":""Bawshar"",""uk"":""Бавшар"",""zh-CN"":""巴乌沙尔""}",2019-10-05T23:12:17,2025-12-02T14:38:56,1,Q2892151
79933,Bayt al ‘Awābī,3049,BJ,166,OM,section,,,23.30324000,57.52459000,Bayt al ‘Awābī,10711,Asia/Muscat,"{""ar"":""بيت العوابي"",""br"":""Bayt al ‘Awābī"",""de"":""Bayt al ‘Awābī"",""es"":""Bayt al ‘Awābī"",""fa"":""بیت العوابی"",""fr"":""Bayt al ‘Awābī"",""hi"":""बैत अल अवाबी"",""hr"":""Bejt al-Avabi"",""it"":""Bayt al ‘Awābī"",""ja"":""バイト・アル・アワビー"",""ko"":""바이트 알 아와비"",""nl"":""Bayt al ‘Awābī"",""pl"":""Bayt al ‘Awābī"",""pt"":""Bayt al ‘Awābī"",""pt-BR"":""Bayt al ‘Awābī"",""ru"":""Байт аль ‘Аваби"",""tr"":""Beyt al ‘Awābī"",""uk"":""Байт аль-Авабі"",""zh-CN"":""Bayt al ‘Awābī""}",2019-10-05T23:12:17,2025-12-02T14:38:56,1,Q2892151
79934,Bidbid,3058,DA,166,OM,city,,,23.40787000,58.12830000,bidbid,21188,Asia/Muscat,"{""ar"":""بدبد"",""br"":""Kinnig"",""de"":""Gebot"",""es"":""Ofertar ofertar"",""fa"":""بیدبید"",""fr"":""Offre d'achat"",""hi"":""बिडबिड"",""hr"":""Bidbid"",""it"":""Offerta offerta"",""ja"":""ビビッド"",""ko"":""입찰"",""nl"":""Biedenbieden"",""pl"":""Bidbid"",""pt"":""Lance lance"",""pt-BR"":""Lance lance"",""ru"":""Бидбид"",""tr"":""Teklif"",""uk"":""Ставка"",""zh-CN"":""出价出价""}",2019-10-05T23:12:17,2025-12-02T14:38:56,1,Q2892151
79935,Dib Dibba,3052,MU,166,OM,city,,,26.19778000,56.25778000,العودة,5000,Asia/Muscat,"{""ar"":""ديب دبا"",""br"":""Dib Dibba"",""de"":""Dib Dibba"",""es"":""Dib Dibba"",""fa"":""دیب دیبا"",""fr"":""Dib Dibba"",""hi"":""डिब डिब्बा"",""hr"":""Dib Dibba"",""it"":""Dib Dibba"",""ja"":""ディブ・ディバ"",""ko"":""디브 디바"",""nl"":""Dib Dibba"",""pl"":""Dib Dibba"",""pt"":""Dib Dibba"",""pt-BR"":""Dib Dibba"",""ru"":""Диб Дибба"",""tr"":""Dib Dibba"",""uk"":""Діб Дібба"",""zh-CN"":""迪布·迪巴""}",2019-10-05T23:12:17,2025-12-02T14:38:56,1,Q2892151
