id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
79954,Achutupo,1388,KY,170,PA,city,,,9.19827000,-77.98729000,Achutupo,1753,America/Panama,"{""ar"":""أتشوتوبو"",""br"":""Achutupo"",""de"":""Achutupo"",""es"":""Achutupo"",""fa"":""آچوتوپو"",""fr"":""Achutupo"",""hi"":""अचुतुपो"",""hr"":""Achutupo"",""it"":""Achutupo"",""ja"":""アチュトゥポ"",""ko"":""아추투포"",""nl"":""Achutupo"",""pl"":""Achutupo"",""pt"":""Achutupo"",""pt-BR"":""Achutupo"",""ru"":""Ачутупо"",""tr"":""Achutupo"",""uk"":""Ачутупо"",""zh-CN"":""阿楚图波""}",2019-10-05T23:12:17,2025-12-02T14:38:56,1,Q1956983
79955,Agua Buena,1390,7,170,PA,adm3,,,7.83465000,-80.39405000,Agua Buena,1012,America/Panama,"{""ar"":""أغوا بوينا"",""br"":""Agua Buena"",""de"":""Agua Buena"",""es"":""Agua Buena"",""fa"":""آگوا بوئنا"",""fr"":""Agua Buena"",""hi"":""अगुआ बुएना"",""hr"":""Agua Buena"",""it"":""Acqua Buona"",""ja"":""アグア・ブエナ"",""ko"":""아과 부에나"",""nl"":""Goed water"",""pl"":""Woda Buena"",""pt"":""Água Buena"",""pt-BR"":""Água Buena"",""ru"":""Агуа Буэна"",""tr"":""Agua Buena"",""uk"":""Агуа-Буена"",""zh-CN"":""阿瓜布埃纳""}",2019-10-05T23:12:17,2025-12-02T14:38:56,1,Q1956983
79956,Aguadulce,1387,2,170,PA,adm2,,,8.24183000,-80.54609000,Aguadulce,8501,America/Panama,"{""ar"":""أجوادولسي"",""br"":""Aguadulce"",""de"":""Aguadulce"",""es"":""Aguadulce"",""fa"":""آگوادولس"",""fr"":""Aguadulce"",""hi"":""अगुआडुल्से"",""hr"":""Aguadulce"",""it"":""Aguadulce"",""ja"":""アグアドゥルセ"",""ko"":""아과둘세"",""nl"":""Aguadulce"",""pl"":""Aguadulce"",""pt"":""Aguadulce"",""pt-BR"":""Aguadulce"",""ru"":""Агуадульсе"",""tr"":""Aguadulce"",""uk"":""Агуадульсе"",""zh-CN"":""阿瓜杜尔塞""}",2019-10-05T23:12:17,2025-12-02T14:39:31,1,Q1956983
79957,Aguas Blancas,1387,2,170,PA,city,,,8.50351000,-80.31169000,Aguas Blancas,1053,America/Panama,"{""ar"":""أغواس بلانكاس"",""br"":""Aguas Blancas"",""de"":""Aguas Blancas"",""es"":""Aguas Blancas"",""fa"":""آگواس بلانکاس"",""fr"":""Aguas Blancas"",""hi"":""अगुआस ब्लैंकास"",""hr"":""Aguas Blancas"",""it"":""Aguas Blancas"",""ja"":""アグアスブランカス"",""ko"":""아과스 블랑카스"",""nl"":""Watervallen"",""pl"":""Białe wody"",""pt"":""Águas Brancas"",""pt-BR"":""Águas Brancas"",""ru"":""Агуас Бланкас"",""tr"":""Beyaz Aguas"",""uk"":""Агуас Бланкас"",""zh-CN"":""阿瓜斯布兰卡斯""}",2019-10-05T23:12:17,2025-12-02T14:39:31,1,Q1956983
79958,Ailigandí,1388,KY,170,PA,city,,,9.22810000,-78.02778000,Alexandí,1652,America/Panama,"{""ar"":""أيليجاندي"",""br"":""Ailigandí"",""de"":""Ailigandí"",""es"":""Ailigandí"",""fa"":""آیلیگاندی"",""fr"":""Ailigandí"",""hi"":""ऐलिगंडी"",""hr"":""Ailigandí"",""it"":""Ailigandí"",""ja"":""アイリガンディ"",""ko"":""아이리간디"",""nl"":""Ailigandí"",""pl"":""Ailigandi"",""pt"":""Ailigandí"",""pt-BR"":""Ailigandí"",""ru"":""Айлиганди"",""tr"":""Ailigandi"",""uk"":""Айліганді"",""zh-CN"":""艾利甘迪""}",2019-10-05T23:12:17,2025-12-02T14:39:31,1,Q1956983
79959,Alanje,1397,4,170,PA,adm2,,,8.39791000,-82.55947000,Celoso,1373,America/Panama,"{""ar"":""ألانجي"",""br"":""Alanje"",""de"":""Alanje"",""es"":""Alanje"",""fa"":""آلانژه"",""fr"":""Alanje"",""hi"":""अलांजे"",""hr"":""Alanje"",""it"":""Alanje"",""ja"":""アランジェ"",""ko"":""알란제"",""nl"":""Alanje"",""pl"":""Alanje"",""pt"":""Alanje"",""pt-BR"":""Alanje"",""ru"":""Аланже"",""tr"":""Alanje"",""uk"":""Аланже"",""zh-CN"":""阿兰杰""}",2019-10-05T23:12:17,2025-12-02T14:39:31,1,Q1956983
79960,Alcalde Díaz,1395,8,170,PA,adm3,,,9.12016000,-79.55641000,Alcalde Díaz,20285,America/Panama,"{""ar"":""العمدة دياز"",""br"":""Alcalde Díaz"",""de"":""Alcalde Díaz"",""es"":""Alcalde Díaz"",""fa"":""آلکالده دیاز"",""fr"":""Maire Díaz"",""hi"":""अल्काल्डे डियाज़"",""hr"":""Alcalde Díaz"",""it"":""Alcalde Díaz"",""ja"":""市長ディアス"",""ko"":""알칼데 디아스"",""nl"":""Alcalde Díaz"",""pl"":""Alcalde Díaz"",""pt"":""Alcalde Díaz"",""pt-BR"":""Alcalde Díaz"",""ru"":""Алькальде Диас"",""tr"":""Belediye Başkanı Diaz"",""uk"":""Алькальде Діас"",""zh-CN"":""阿尔卡尔德·迪亚兹""}",2019-10-05T23:12:17,2025-12-02T14:38:56,1,Q1956983
79961,Algarrobos Arriba,1397,4,170,PA,city,,,8.51550000,-82.42263000,Algarrobos Arriba,,America/Panama,"{""ar"":""ألغاروبوس أريبا"",""br"":""Algarrobos Arriba"",""de"":""Algarrobos Arriba"",""es"":""Algarrobos Arriba"",""fa"":""آلگاروبوس آریبا"",""fr"":""Algarrobos Arriba"",""hi"":""अल्गारोबोस अरीबा"",""hr"":""Algarrobos Arriba"",""it"":""Algarrobos Arriba"",""ja"":""アルガロボス・アリバ"",""ko"":""알가로보스 아리바"",""nl"":""Algarrobos Arriba"",""pl"":""Algarrobos Arriba"",""pt"":""Algarrobos Arriba"",""pt-BR"":""Algarrobos Arriba"",""ru"":""Альгарробос Арриба"",""tr"":""Algarrobos Arriba"",""uk"":""Альгарробос Арріба"",""zh-CN"":""阿尔加罗沃斯·阿里巴""}",2019-10-05T23:12:17,2025-12-02T17:11:50,1,Q1956983
79962,Almirante,1393,1,170,PA,city,,,9.30091000,-82.40180000,Almirante,8744,America/Panama,"{""ar"":""ألميرانتي"",""br"":""Almirante"",""de"":""Almirante"",""es"":""Almirante"",""fa"":""آلمیرانته"",""fr"":""Almirante"",""hi"":""अलमिरांटे"",""hr"":""Almirante"",""it"":""Almirante"",""ja"":""アルミランテ"",""ko"":""알미란테"",""nl"":""Almirante"",""pl"":""Almirante"",""pt"":""Almirante"",""pt-BR"":""Almirante"",""ru"":""Альмиранте"",""tr"":""Almirante"",""uk"":""Альміранте"",""zh-CN"":""海军上将""}",2019-10-05T23:12:17,2025-12-02T14:38:56,1,Q1956983
79963,Alto Boquete,1397,4,170,PA,adm3,,,8.73458000,-82.43213000,Alto Boquete,4746,America/Panama,"{""ar"":""ألتو بوكيتي"",""br"":""Alto Boquete"",""de"":""Alto Boquete"",""es"":""Alto Boquete"",""fa"":""آلتو بوکت"",""fr"":""Alto Boquete"",""hi"":""ऑल्टो बोक्वेट"",""hr"":""Alto Boquete"",""it"":""Alto Boquete"",""ja"":""アルトボケテ"",""ko"":""알토 보케테"",""nl"":""Alto Boquete"",""pl"":""Górny Boquete"",""pt"":""Alto Boquete"",""pt-BR"":""Alto Boquete"",""ru"":""Альто Бокете"",""tr"":""Alto Boquete"",""uk"":""Альто-Бокете"",""zh-CN"":""阿尔托博克特""}",2019-10-05T23:12:17,2025-12-02T14:39:31,1,Q1956983
79964,Alto de Jesús,1392,9,170,PA,adm3,,,8.26152000,-81.48412000,Alto de Jesús,361,America/Panama,"{""ar"":""ألتو دي خيسوس"",""br"":""Alto de Jesus"",""de"":""Alto de Jesús"",""es"":""Alto de Jesús"",""fa"":""آلتو د خسوس"",""fr"":""Alto de Jesús"",""hi"":""ऑल्टो डी जेसुस"",""hr"":""Alto de Jesús"",""it"":""Alto de Jesús"",""ja"":""アルト・デ・ヘスス"",""ko"":""알토 데 예수스"",""nl"":""Alto de Jesús"",""pl"":""Góra Jezusa"",""pt"":""Alto de Jesus"",""pt-BR"":""Alto de Jesus"",""ru"":""Альто де Хесус"",""tr"":""Alto de Jesús"",""uk"":""Альто-де-Хесус"",""zh-CN"":""阿尔托·德·赫苏斯""}",2019-10-05T23:12:17,2025-12-02T14:39:31,1,Q1956983
79965,Alto de La Estancia,1387,2,170,PA,city,,,8.58792000,-80.18443000,Alto de La Estancia,1081,America/Panama,"{""ar"":""ألتو دي لا إستانسيا"",""br"":""Alto de La Estancia"",""de"":""Alto de La Estancia"",""es"":""Alto de La Estancia"",""fa"":""آلتو د لا استانسیا"",""fr"":""Alto de La Estancia"",""hi"":""ऑल्टो डे ला एस्टानिया"",""hr"":""Alto de La Estancia"",""it"":""Alto de La Estancia"",""ja"":""アルト・デ・ラ・エスタンシア"",""ko"":""알토 데 라 에스탄시아"",""nl"":""Alto de La Estancia"",""pl"":""Alto de La Estancia"",""pt"":""Alto de La Estância"",""pt-BR"":""Alto de La Estância"",""ru"":""Альто-де-ла-Эстансия"",""tr"":""Alto de La Estancia"",""uk"":""Альто-де-ла-Естансія"",""zh-CN"":""阿尔托·德拉埃斯坦西亚""}",2019-10-05T23:12:17,2025-12-02T14:38:56,1,Q1956983
79966,Alto del Espino,1394,10,170,PA,adm3,,,8.84213000,-79.84551000,Alto del Espino,2422,America/Panama,"{""ar"":""ألتو ديل إسبينو"",""br"":""Alto del Espino"",""de"":""Alto del Espino"",""es"":""Alto del Espino"",""fa"":""آلتو دل اسپینو"",""fr"":""Alto del Espino"",""hi"":""ऑल्टो डेल एस्पिनो"",""hr"":""Alto del Espino"",""it"":""Alto del Espino"",""ja"":""アルト・デル・エスピノ"",""ko"":""알토 델 에스피노"",""nl"":""Alto del Espino"",""pl"":""Alto del Espino"",""pt"":""Alto del Espino"",""pt-BR"":""Alto del Espino"",""ru"":""Альто-дель-Эспино"",""tr"":""Alto del Espino"",""uk"":""Альто-дель-Еспіно"",""zh-CN"":""阿尔托德尔埃斯皮诺""}",2019-10-05T23:12:17,2025-12-02T14:39:31,1,Q1956983
79967,Altos de San Francisco,1394,10,170,PA,section,,,8.86167000,-79.79000000,Altos de San Francisco,8189,America/Panama,"{""ar"":""ألتوس دي سان فرانسيسكو"",""br"":""Altos de San Francisco"",""de"":""Altos de San Francisco"",""es"":""Altos de San Francisco"",""fa"":""آلتوس د سانفرانسیسکو"",""fr"":""Hauts de San Francisco"",""hi"":""अल्टोस डी सैन फ्रांसिस्को"",""hr"":""Altos de San Francisco"",""it"":""Altos de San Francisco"",""ja"":""アルトス・デ・サンフランシスコ"",""ko"":""알토스 데 산 프란시스코"",""nl"":""Alten van San Francisco"",""pl"":""Altos de San Francisco"",""pt"":""Altos de São Francisco"",""pt-BR"":""Altos de São Francisco"",""ru"":""Альтос-де-Сан-Франциско"",""tr"":""San Francisco'nun Altos'u"",""uk"":""Альтос-де-Сан-Франциско"",""zh-CN"":""圣弗朗西斯科山""}",2019-10-05T23:12:17,2025-12-02T14:39:31,1,Q1956983
79968,Ancón,1395,8,170,PA,city,,,8.96015000,-79.55140000,Ancón,20706,America/Panama,"{""ar"":""أنكون"",""br"":""Ancón"",""de"":""Ancón"",""es"":""Ancón"",""fa"":""آنکون"",""fr"":""Ancón"",""hi"":""एंकॉन"",""hr"":""Ancón"",""it"":""Ancona"",""ja"":""アンコン"",""ko"":""안콘"",""nl"":""Ancón"",""pl"":""Ancón"",""pt"":""Ancón"",""pt-BR"":""Ancón"",""ru"":""Анкон"",""tr"":""Ancon"",""uk"":""Анкон"",""zh-CN"":""安孔""}",2019-10-05T23:12:17,2025-12-02T14:38:56,1,Q1956983
79969,Antón,1387,2,170,PA,adm2,,,8.39733000,-80.26063000,Hormiga,6851,America/Panama,"{""ar"":""أنطون"",""br"":""Antón"",""de"":""Anton"",""es"":""Antón"",""fa"":""آنتون"",""fr"":""Antón"",""hi"":""एंटोन"",""hr"":""Anton"",""it"":""Antón"",""ja"":""アントン"",""ko"":""안톤"",""nl"":""Antón"",""pl"":""Anton"",""pt"":""Antón"",""pt-BR"":""Antón"",""ru"":""Антон"",""tr"":""Anton"",""uk"":""Антон"",""zh-CN"":""安东""}",2019-10-05T23:12:18,2025-12-02T14:39:31,1,Q1956983
