id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
80554,Abancay,3699,APU,173,PE,adm1,,,-13.63389000,-72.88139000,Abancay,72277,America/Lima,"{""ar"":""أبانكاي"",""br"":""Dilezel"",""de"":""Abancay"",""es"":""Abancay"",""fa"":""آبانکای"",""fr"":""Abancay"",""hi"":""अबानके"",""hr"":""Abancay"",""it"":""Abancay"",""ja"":""アバンカイ"",""ko"":""아방카이"",""nl"":""Abancay"",""pl"":""Abancay"",""pt"":""Abancay"",""pt-BR"":""Abancay"",""ru"":""Абанкай"",""tr"":""Abancay"",""uk"":""Абанкай"",""zh-CN"":""阿班凯""}",2019-10-05T23:12:21,2025-12-02T14:38:56,1,Q215238
80555,Acarí,3681,ARE,173,PE,city,,,-15.42393000,-74.61361000,Acarí,4445,America/Lima,"{""ar"":""أكاري"",""br"":""Acarí"",""de"":""Acarí"",""es"":""Acarí"",""fa"":""آکاری"",""fr"":""Acarí"",""hi"":""अकारी"",""hr"":""Acarí"",""it"":""Acari"",""ja"":""アカリ"",""ko"":""아카리"",""nl"":""Acarí"",""pl"":""Acarí"",""pt"":""Acari"",""pt-BR"":""Acari"",""ru"":""Акари"",""tr"":""Acarí"",""uk"":""Акарі"",""zh-CN"":""阿卡里""}",2019-10-05T23:12:21,2025-12-02T14:38:56,1,Q25247498
80556,Acolla,3693,JUN,173,PE,adm3,,,-11.73193000,-75.54634000,Acolla,6077,America/Lima,"{""ar"":""أكولا"",""br"":""Acolla"",""de"":""Acolla"",""es"":""Acolla"",""fa"":""آکولا"",""fr"":""Acolla"",""hi"":""अकोला"",""hr"":""Akola"",""it"":""Acolla"",""ja"":""アコラ"",""ko"":""아콜라"",""nl"":""Acolla"",""pl"":""Acolla"",""pt"":""Acolla"",""pt-BR"":""Acolla"",""ru"":""Аколла"",""tr"":""Akolla"",""uk"":""Аколла"",""zh-CN"":""阿科拉""}",2019-10-05T23:12:21,2025-12-02T14:38:56,1,Q25247498
80557,Aguas Verdes,3689,TUM,173,PE,adm3,,,-3.48139000,-80.24500000,Aguas Verdes,9106,America/Lima,"{""ar"":""أغواس فيرديس"",""br"":""Aguas Verdes"",""de"":""Aguas Verdes"",""es"":""Aguas Verdes"",""fa"":""آگواس وردس"",""fr"":""Eaux Vertes"",""hi"":""अगुआस वर्डेस"",""hr"":""Aguas Verdes"",""it"":""Aguas Verdes"",""ja"":""アグアス・ベルデス"",""ko"":""아과스 베르데스"",""nl"":""Groene wateren"",""pl"":""Zielone wody"",""pt"":""Águas Verdes"",""pt-BR"":""Águas Verdes"",""ru"":""Агуас Вердес"",""tr"":""Aguas Verdes"",""uk"":""Агуас-Вердес"",""zh-CN"":""阿瓜斯维德斯""}",2019-10-05T23:12:21,2025-12-02T14:39:31,1,Q5660311
80558,Ambo,3687,HUC,173,PE,adm3,,,-10.13083000,-76.20472000,Ambos,6865,America/Lima,"{""ar"":""أمبو"",""br"":""Ambo"",""de"":""Ambo"",""es"":""Ambón"",""fa"":""آمبو"",""fr"":""Ambon"",""hi"":""अम्बो"",""hr"":""Ambo"",""it"":""Ambo"",""ja"":""アンボ"",""ko"":""암보"",""nl"":""Ambo"",""pl"":""Ambona"",""pt"":""Ambão"",""pt-BR"":""Ambão"",""ru"":""Амбо"",""tr"":""Ambo"",""uk"":""Амбо"",""zh-CN"":""安博""}",2019-10-05T23:12:21,2025-12-02T14:38:56,1,Q3317423
80559,Andahuaylas,3699,APU,173,PE,adm3,,,-13.65556000,-73.38722000,Andahuaylas,17444,America/Lima,"{""ar"":""أنداهوايلاس"",""br"":""Andahuaylas"",""de"":""Andahuaylas"",""es"":""Andahuaylas"",""fa"":""آنداهوایلاس"",""fr"":""Andahuaylas"",""hi"":""Andahuaylas"",""hr"":""Andahuaylas"",""it"":""Andahuaylas"",""ja"":""アンダワイラス"",""ko"":""안다우아일라스"",""nl"":""Andahuaylas"",""pl"":""Andahuaylas"",""pt"":""Andahuaylas"",""pt-BR"":""Andahuaylas"",""ru"":""Андауайлас"",""tr"":""Andahuaylalar"",""uk"":""Андауайлас"",""zh-CN"":""安达韦拉斯""}",2019-10-05T23:12:21,2025-12-02T14:38:56,1,Q489660
80560,Anta,3691,CUS,173,PE,adm3,,,-13.47056000,-72.14833000,Anta,5859,America/Lima,"{""ar"":""أنتا"",""br"":""Anta"",""de"":""Anta"",""es"":""Anta"",""fa"":""آنتا"",""fr"":""Anta"",""hi"":""अन्ता"",""hr"":""Anta"",""it"":""Anta"",""ja"":""アンタ"",""ko"":""안타"",""nl"":""Anta"",""pl"":""Anta"",""pt"":""Anta"",""pt-BR"":""Anta"",""ru"":""Анта"",""tr"":""Anta"",""uk"":""Анта"",""zh-CN"":""安踏""}",2019-10-05T23:12:21,2025-12-02T14:38:56,1,Q3348268
80561,Arequipa,3681,ARE,173,PE,adm1,,,-16.39889000,-71.53500000,Arequipa,1008290,America/Lima,"{""ar"":""أريكيبا"",""br"":""Arequipa"",""de"":""Arequipa"",""es"":""Arequipa"",""fa"":""آرکیپا"",""fr"":""Arequipa"",""hi"":""अरेक्विपा"",""hr"":""Arequipa"",""it"":""Arequipa"",""ja"":""アレキパ"",""ko"":""아레키파"",""nl"":""Arequipa"",""pl"":""Arequipa"",""pt"":""Arequipa"",""pt-BR"":""Arequipa"",""ru"":""Арекипа"",""tr"":""Arequipa"",""uk"":""Арекіпа"",""zh-CN"":""阿雷基帕""}",2019-10-05T23:12:21,2025-12-02T14:38:56,1,Q159273
80562,Ascope,3683,LAL,173,PE,adm3,,,-7.71444000,-79.10778000,Ascopio,14015,America/Lima,"{""ar"":""أسكوب"",""br"":""Ascope"",""de"":""Ascope"",""es"":""Ascopio"",""fa"":""آسکوپ"",""fr"":""Ascope"",""hi"":""एस्कोप"",""hr"":""Askop"",""it"":""Ascope"",""ja"":""アスコープ"",""ko"":""아스코프"",""nl"":""Ascoop"",""pl"":""Zakres"",""pt"":""Ascope"",""pt-BR"":""Ascope"",""ru"":""Аскоп"",""tr"":""Kapsam"",""uk"":""Аскоп"",""zh-CN"":""阿斯科普""}",2019-10-05T23:12:21,2025-12-02T14:38:56,1,Q3344017
80563,Asentamiento Humano Nicolas de Pierola,3695,LIM,173,PE,city,,,-11.93573000,-76.70611000,Asentamiento Humano Nicolas de Pierola,5800,America/Lima,"{""ar"":""Asentamiento Humano نيكولاس دي بييرولا"",""br"":""Asentamiento Humano Nicolas de Pierola"",""de"":""Asentamiento Humano Nicolas de Pierola"",""es"":""Asentamiento Humano Nicolás de Piérola"",""fa"":""Asentamiento Humano Nicolas de Pierola"",""fr"":""Asentamiento Humano Nicolas de Pierola"",""hi"":""एसेन्टामिएंटो ह्यूमनो निकोलस डी पिएरोला"",""hr"":""Asentamiento Humano Nicolas de Pierola"",""it"":""Asentamiento Humano Nicolas de Pierola"",""ja"":""アセンタミエント ヒューマーノ ニコラス デ ピエロラ"",""ko"":""아센타미엔토 우마노 니콜라스 데 피에롤라"",""nl"":""Asentamiento Humano Nicolas de Pierola"",""pl"":""Asentamiento Humano Nicolas de Pierola"",""pt"":""Asentamiento Humano Nicolás de Pierola"",""pt-BR"":""Asentamiento Humano Nicolás de Pierola"",""ru"":""Asentamiento Humano Николя де Пьерола"",""tr"":""Asentamiento Humano Nicolas de Pierola"",""uk"":""Asentamiento Humano Nicolas de Pierola"",""zh-CN"":""尼古拉斯·德·皮罗拉的人性生活""}",2019-10-05T23:12:21,2025-12-02T14:39:31,1,Q3344017
