id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
154867,Raivavae,5369,01,77,PF,city,,,-23.86946330,-147.73244720,Raivavae,,Pacific/Gambier,"{""br"":""Raivavae"",""ko"":""라이바바에"",""pt-BR"":""Raivavae"",""pt"":""Raivavae"",""nl"":""Raivavae"",""hr"":""Raivavae"",""fa"":""رایواوا"",""de"":""Raivavae"",""es"":""Raivavae"",""fr"":""Raivavae"",""ja"":""ライヴァヴァエ"",""it"":""Raivavae"",""zh-CN"":""赖瓦瓦埃"",""tr"":""Raivavae"",""ru"":""Раиваваэ"",""uk"":""Райвавае"",""pl"":""Raivavae"",""hi"":""रायवावे"",""ar"":""رايفافاي""}",2025-03-29T03:13:31,2025-12-02T16:59:27,1,Q339304
154868,Rapa,5369,01,77,PF,city,,,-27.60822390,-144.38427770,Rapa,,Pacific/Gambier,"{""br"":""Rapa"",""ko"":""라파"",""pt-BR"":""Rapa"",""pt"":""Rapa"",""nl"":""Rapa"",""hr"":""Rapa"",""fa"":""راپا"",""de"":""Rapa"",""es"":""Rapa"",""fr"":""Rapa"",""ja"":""ラパ"",""it"":""Rapa"",""zh-CN"":""拉帕"",""tr"":""Rapa"",""ru"":""Рапа"",""uk"":""Рапа"",""pl"":""Rapa"",""hi"":""रापा"",""ar"":""رابا""}",2025-03-29T03:15:24,2025-12-02T16:59:27,1,Q1585976
154869,Rimatara,5369,01,77,PF,city,,,-22.64382540,-152.83120520,Rimatara,,Pacific/Gambier,"{""br"":""Rimatara"",""ko"":""리마타라"",""pt-BR"":""Rimatara"",""pt"":""Rimatara"",""nl"":""Rimatara"",""hr"":""Rimatara"",""fa"":""ریماتارا"",""de"":""Rimatara"",""es"":""Rimatara"",""fr"":""Rimatara"",""ja"":""リマタラ"",""it"":""Rimatara"",""zh-CN"":""里马塔拉"",""tr"":""Rimatara"",""ru"":""Риматара"",""uk"":""Ріматара"",""pl"":""Rimatara"",""hi"":""रिमतारा"",""ar"":""ريماتارا""}",2025-03-29T03:17:24,2025-12-02T16:59:27,1,Q1585987
154870,Rurutu,5369,01,77,PF,city,,,-22.46958690,-151.39113710,Boue,,Pacific/Gambier,"{""br"":""Rurutu"",""ko"":""루루투"",""pt-BR"":""Rurutu"",""pt"":""Rurutu"",""nl"":""Rurutu"",""hr"":""Rurutu"",""fa"":""روروتو"",""de"":""Rurutu"",""es"":""Rurutu"",""fr"":""Rurutu"",""ja"":""ルルツ"",""it"":""Rurutu"",""zh-CN"":""鲁鲁图"",""tr"":""Rurutu"",""ru"":""Руруту"",""uk"":""Руруту"",""pl"":""Rurutu"",""hi"":""रुरुतु"",""ar"":""روروتو""}",2025-03-29T03:17:24,2025-12-02T17:11:50,1,Q1585966
154871,Tubuai,5369,01,77,PF,city,,,-23.36850430,-149.54496480,Tube,,Pacific/Gambier,"{""br"":""Tubuai"",""ko"":""투부아이"",""pt-BR"":""Tubuai"",""pt"":""Tubuai"",""nl"":""Tubuai"",""hr"":""Tubuai"",""fa"":""توبوای"",""de"":""Tubuai"",""es"":""Tubuai"",""fr"":""Tubuai"",""ja"":""トゥブアイ"",""it"":""Tubuai"",""zh-CN"":""图布艾"",""tr"":""Tubuai"",""ru"":""Тубуаи"",""uk"":""Тубуай"",""pl"":""Tubuai"",""hi"":""तुबुआई"",""ar"":""توبواي""}",2025-03-29T03:17:24,2025-12-02T16:59:27,1,Q598544
154872,Bora-Bora,5370,02,77,PF,city,,,-16.39169250,-151.93003350,Bora-bora,,Pacific/Gambier,"{""br"":""Bora-Bora"",""ko"":""보라보라"",""pt-BR"":""Bora-Bora"",""pt"":""Bora-Bora"",""nl"":""Bora-Bora"",""hr"":""Bora-Bora"",""fa"":""بورا-بورا"",""de"":""Bora Bora"",""es"":""Bora Bora"",""fr"":""Bora-Bora"",""ja"":""ボラボラ島"",""it"":""Bora Bora"",""zh-CN"":""波拉波拉岛"",""tr"":""Bora-Bora"",""ru"":""Бора-Бора"",""uk"":""Бора-Бора"",""pl"":""Bora-Bora"",""hi"":""बोरा-बोरा"",""ar"":""بورا بورا""}",2025-03-29T03:24:16,2025-12-02T16:59:27,1,Q602937
154873,Huahine,5370,02,77,PF,city,,,-16.75212330,-151.07889500,Huahine,,Pacific/Gambier,"{""br"":""Huahine"",""ko"":""후아힌"",""pt-BR"":""Huahine"",""pt"":""Huahine"",""nl"":""Huahine"",""hr"":""Huahine"",""fa"":""هواهین"",""de"":""Huahine"",""es"":""Huahine"",""fr"":""Huahine"",""ja"":""フアヒネ"",""it"":""Huahine"",""zh-CN"":""胡阿希内岛"",""tr"":""Huahine"",""ru"":""Хуахине"",""uk"":""Хуахіне"",""pl"":""Huahine"",""hi"":""हुआहिने"",""ar"":""هواهين""}",2025-03-29T03:24:16,2025-12-02T17:11:50,1,Q968977
154874,Maupiti,5370,02,77,PF,city,,,-16.31438490,-154.79908630,Pente,,Pacific/Gambier,"{""br"":""Maupiti"",""ko"":""마우피티"",""pt-BR"":""Maupiti"",""pt"":""Maupiti"",""nl"":""Maupiti"",""hr"":""Maupiti"",""fa"":""ماوپیتی"",""de"":""Maupiti"",""es"":""Maupiti"",""fr"":""Maupiti"",""ja"":""マウピティ"",""it"":""Maupiti"",""zh-CN"":""莫皮提岛"",""tr"":""Maupiti"",""ru"":""Маупити"",""uk"":""Маупіті"",""pl"":""Maupiti"",""hi"":""मौपिति"",""ar"":""ماوبيتي""}",2025-03-29T03:24:16,2025-12-02T16:59:27,1,Q1911201
154875,Tahaa,5370,02,77,PF,city,,,-16.61957120,-151.57215390,Tahaahaa,,Pacific/Gambier,"{""br"":""Tahaa"",""ko"":""타하"",""pt-BR"":""Tahaa"",""pt"":""Tahaa"",""nl"":""Tahaa"",""hr"":""Tahaa"",""fa"":""طه"",""de"":""Tahaa"",""es"":""Tahaa"",""fr"":""Tahaa"",""ja"":""タハア"",""it"":""Tahaa"",""zh-CN"":""塔哈"",""tr"":""Tahaa"",""ru"":""Тахаа"",""uk"":""Тахаа"",""pl"":""Tahaa"",""hi"":""ताहा"",""ar"":""طه""}",2025-03-29T03:24:16,2025-12-02T16:59:27,1,Q926768
154876,Taputapuatea,5370,02,77,PF,city,,,-16.82062470,-151.47741330,Taputaga,782,Pacific/Tahiti,"{""br"":""Taputapuatea"",""ko"":""타푸타푸아테아"",""pt-BR"":""Taputapuatea"",""pt"":""Taputapuatea"",""nl"":""Taputapuatea"",""hr"":""Taputapuatea"",""fa"":""تاپوتاپوآتئا"",""de"":""Taputapuatea"",""es"":""Taputapuatea"",""fr"":""Taputapuatea"",""ja"":""タプタプアテア"",""it"":""Taputapuatea"",""zh-CN"":""塔普塔普阿特亚"",""tr"":""Taputapuatea"",""ru"":""Тапутапуатеа"",""uk"":""Тапутапуатеа"",""pl"":""Taputapuatea"",""hi"":""तापुतापुआटिया"",""ar"":""تابوتابواتيا""}",2025-03-29T03:24:16,2025-12-02T14:39:55,1,Q1649742
