id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
81024,Abau,4847,CPM,171,PG,city,,,-10.08333000,148.91667000,Abau,38378,Pacific/Bougainville,"{""br"":""Abau"",""ko"":""아바우"",""pt-BR"":""Abau"",""pt"":""Abau"",""nl"":""Abau"",""hr"":""Abau"",""fa"":""آباو"",""de"":""Abau"",""es"":""Abau"",""fr"":""Abau"",""ja"":""アバウ"",""it"":""Abau"",""zh-CN"":""阿巴乌"",""tr"":""Abau"",""ru"":""Абау"",""uk"":""Абау"",""pl"":""Abau"",""hi"":""अबाउ"",""ar"":""أباو""}",2019-10-06T10:12:24,2025-12-02T16:59:27,1,Q3373972
81025,Aitape,4836,SAN,171,PG,city,,,-3.13697000,142.34913000,Aitape,6931,Pacific/Port_Moresby,"{""br"":""Aitape"",""ko"":""아이타페"",""pt-BR"":""Aitape"",""pt"":""Aitape"",""nl"":""Aitape"",""hr"":""Aitape"",""fa"":""آیتاپه"",""de"":""Eitape"",""es"":""Aitape"",""fr"":""Aitape"",""ja"":""アイタペ"",""it"":""Aitape"",""zh-CN"":""艾塔佩"",""tr"":""Aitape"",""ru"":""Аитапе"",""uk"":""Айтапе"",""pl"":""Aitape"",""hi"":""ऐतापे"",""ar"":""أيتاب""}",2019-10-06T10:12:24,2025-12-02T14:39:55,1,Q1771821
81026,Aitape Lumi,4836,SAN,171,PG,city,,,-3.25000000,142.08333000,Help the snow,,Pacific/Bougainville,"{""br"":""Aitape Lumi"",""ko"":""아이타페 루미"",""pt-BR"":""Aitape Lumi"",""pt"":""Aitape Lumi"",""nl"":""Aitape Lumi"",""hr"":""Aitape Lumi"",""fa"":""آیتاپه لومی"",""de"":""Aitape Lumi"",""es"":""Aitape Lumi"",""fr"":""Aitape Lumi"",""ja"":""アイタペ・ルミ"",""it"":""Aitape Lumi"",""zh-CN"":""艾塔佩·卢米"",""tr"":""Aitape Lumi"",""ru"":""Айтапе Луми"",""uk"":""Айтапе Лумі"",""pl"":""Aitape Lumi"",""hi"":""ऐतापे लुमी"",""ar"":""أيتاب لومي""}",2019-10-06T10:12:24,2025-12-02T17:11:50,1,Q3710592
81027,Alotau,4849,MBA,171,PG,city,,,-10.25000000,150.08333000,Welz,10025,Pacific/Bougainville,"{""br"":""Alotau"",""ko"":""알로타우"",""pt-BR"":""Alotau"",""pt"":""Alotau"",""nl"":""Alotau"",""hr"":""Alotau"",""fa"":""آلوتائو"",""de"":""Alotau"",""es"":""Alotau"",""fr"":""Alotau"",""ja"":""アロタウ"",""it"":""Alotau"",""zh-CN"":""阿洛陶"",""tr"":""Alotau"",""ru"":""Алотау"",""uk"":""Алотау"",""pl"":""Alotau"",""hi"":""अलोटाऊ"",""ar"":""ألوتاو""}",2019-10-06T10:12:24,2025-12-02T16:59:27,1,Q3710607
81028,Angalimp South Wahgi,4832,JWK,171,PG,city,,,-6.05000000,144.56667000,Angalimp South Wahgi,,Pacific/Bougainville,"{""br"":""Angalimp South Wahgi"",""ko"":""앙갈림프 사우스 와기"",""pt-BR"":""Angalimp Sul Wahgi"",""pt"":""Angalimp Sul Wahgi"",""nl"":""Angalimp Zuid-Wahgi"",""hr"":""Angalimp Južni Wahgi"",""fa"":""آنگالیمپ، واهگی جنوبی"",""de"":""Angalimp Süd-Wahgi"",""es"":""Angalimp Sur Wahgi"",""fr"":""Angalimp Sud Wahgi"",""ja"":""アンガリンプ・サウス・ワギ"",""it"":""Angalimp South Wahgi"",""zh-CN"":""南瓦吉安加林普"",""tr"":""Angalimp Güney Wahgi"",""ru"":""Ангалимп Южный Вахги"",""uk"":""Ангалімп Саут Вагі"",""pl"":""Angalimp South Wahgi"",""hi"":""अंगालिम्प दक्षिण वाहगी"",""ar"":""أنغاليمب جنوب واهجي""}",2019-10-06T10:12:24,2025-12-02T16:59:27,1,Q3710607
81029,Arawa,4831,NSB,171,PG,adm2,,,-6.22977000,155.56598000,Gas,38200,Pacific/Bougainville,"{""br"":""Arawa"",""ko"":""아라와"",""pt-BR"":""Arawa"",""pt"":""Arawa"",""nl"":""Arawa"",""hr"":""Arawa"",""fa"":""آراوا"",""de"":""Arawa"",""es"":""Arawa"",""fr"":""Arawa"",""ja"":""アラワ"",""it"":""Arawa"",""zh-CN"":""阿拉瓦"",""tr"":""Arawa"",""ru"":""Арава"",""uk"":""Арава"",""pl"":""Arawa"",""hi"":""अरावा"",""ar"":""أراوا""}",2019-10-06T10:12:24,2025-12-02T14:38:56,1,Q626729
81030,Baiyer Mul,4840,WHM,171,PG,adm3,,,-5.53333000,144.15000000,Baiyer Mul,,Pacific/Bougainville,"{""br"":""Baiyer Mul"",""ko"":""바이어 멀"",""pt-BR"":""Baiyer Mul"",""pt"":""Baiyer Mul"",""nl"":""Baiyer Mul"",""hr"":""Baiyer Mul"",""fa"":""بایر مول"",""de"":""Baiyer Mul"",""es"":""Baiyer Mul"",""fr"":""Baiyer Mul"",""ja"":""バイエル・ムル"",""it"":""Baiyer Mul"",""zh-CN"":""拜尔穆尔"",""tr"":""Bayiyer Mul"",""ru"":""Байер Муль"",""uk"":""Байєр Мул"",""pl"":""Baiyer Mul"",""hi"":""बैयर मुल"",""ar"":""باير مول""}",2019-10-06T10:12:24,2025-12-02T17:11:50,1,Q3710686
81031,Bogia,4843,MPM,171,PG,city,,,-4.50000000,145.00000000,Bogia,57104,Pacific/Bougainville,"{""br"":""Bogia"",""ko"":""보기아"",""pt-BR"":""Bogia"",""pt"":""Bogia"",""nl"":""Bogia"",""hr"":""Bogia"",""fa"":""بوگیا"",""de"":""Bogia"",""es"":""Bogia"",""fr"":""Bogia"",""ja"":""ボジア"",""it"":""Bogia"",""zh-CN"":""博吉亚"",""tr"":""Boğa"",""ru"":""Богиа"",""uk"":""Богія"",""pl"":""Bogia"",""hi"":""बोगिया"",""ar"":""بوجيا""}",2019-10-06T10:12:24,2025-12-02T16:59:27,1,Q3710743
81032,Bulolo,4835,MPL,171,PG,city,,,-7.41667000,146.75000000,Blue,16042,Pacific/Bougainville,"{""br"":""Bulolo"",""ko"":""불로로"",""pt-BR"":""Bulolo"",""pt"":""Bulolo"",""nl"":""Bulolo"",""hr"":""Bulolo"",""fa"":""بولولو"",""de"":""Bulolo"",""es"":""Bulolo"",""fr"":""Bulolo"",""ja"":""ブロロ"",""it"":""Bulolo"",""zh-CN"":""布洛洛"",""tr"":""Bulolo"",""ru"":""Булоло"",""uk"":""Булоло"",""pl"":""Bulolo"",""hi"":""बुलोलो"",""ar"":""بولولو""}",2019-10-06T10:12:24,2025-12-02T17:11:50,1,Q251975
81033,Central Bougainville,4831,NSB,171,PG,city,,,-6.22806000,155.56583000,Central Bougainville,,Pacific/Bougainville,"{""br"":""Kreiz Bougainville"",""ko"":""센트럴 부건빌"",""pt-BR"":""Bougainville Central"",""pt"":""Bougainville Central"",""nl"":""Centraal Bougainville"",""hr"":""Središnji Bougainville"",""fa"":""بوگنویل مرکزی"",""de"":""Zentral-Bougainville"",""es"":""Bougainville central"",""fr"":""Bougainville central"",""ja"":""ブーゲンビル中央部"",""it"":""Bougainville centrale"",""zh-CN"":""布干维尔中部"",""tr"":""Orta Bougainville"",""ru"":""Центральный Бугенвиль"",""uk"":""Центральний Бугенвіль"",""pl"":""Central Bougainville"",""hi"":""सेंट्रल बोगेनविले"",""ar"":""وسط بوغانفيل""}",2019-10-06T10:12:24,2025-12-02T17:11:50,1,Q251975
